Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,150,-1_health_appreciate_help_thank,"[('health', 0.020312367342879382), ('appreciate', 0.014713285735059131), ('help', 0.012584624753922791), ('thank', 0.010278878022700812), ('please', 0.008093944268418642), ('us', 0.008032062834181685), ('care', 0.008021116191249279), ('know', 0.008000270569132446), ('amp', 0.007317917575260413), ('mental', 0.007273656044306085)]",positive,"['health', 'appreciate', 'help', 'thank', 'please', 'us', 'care', 'know', 'amp', 'mental ']"
1,0,307,0_health_nurses_appreciate_day,"[('health', 0.025106818013000458), ('nurses', 0.017629772145421635), ('appreciate', 0.0167152126627096), ('day', 0.016372913337669586), ('good', 0.01581674596425036), ('happy', 0.014305462719497479), ('thank', 0.013004006320102379), ('celebrate', 0.012960435944451542), ('good health', 0.012960311794892945), ('birthday', 0.012738638479838773)]",positive,"['health', 'nurses', 'appreciate', 'day', 'good', 'happy', 'thank', 'celebrate', 'good health', 'birthday ']"
2,1,275,1_covid19_health_safe_thank,"[('covid19', 0.028568855092346992), ('health', 0.021463157059489202), ('safe', 0.01067391714888248), ('thank', 0.009646481917105043), ('covid', 0.009480767711179885), ('positive', 0.009097438378783258), ('lets', 0.009065936890249121), ('amp', 0.009061536925322461), ('healthcare', 0.008890590031601772), ('workers', 0.008865241980773786)]",positive,"['covid', 'health', 'safe', 'thank', 'covid', 'positive', 'lets', 'amp', 'healthcare', 'workers ']"
3,2,35,2_mental_mental health_health_help,"[('mental', 0.10244095219286176), ('mental health', 0.09837365482538782), ('health', 0.05636756267669245), ('help', 0.02139100371139633), ('someone', 0.020720262819664614), ('first', 0.017589745801879036), ('gonna', 0.01438743863180555), ('life', 0.014059703954844804), ('thank', 0.013511492835588513), ('like', 0.012902505295005938)]",positive,"['mental', 'mental health', 'health', 'help', 'someone', 'first', 'gonna', 'life', 'thank', 'like ']"
4,3,21,3_public_mask_face_mask public,"[('public', 0.06262767825086553), ('mask', 0.055531845549629644), ('face', 0.04533093209159697), ('mask public', 0.04318050137431688), ('kip', 0.03898911426348159), ('ya', 0.03645716183291254), ('face mask public', 0.03484551699722958), ('face mask', 0.03190001660379847), ('internet', 0.03059014017738916), ('africans', 0.02620412642485997)]",positive,"['public', 'mask', 'face', 'mask public', 'kip', 'ya', 'face mask public', 'face mask', 'internet', 'africans ']"
5,4,21,4_washyourhands_covid19_stayhome_warriors,"[('washyourhands', 0.04246567978963839), ('covid19', 0.0401183606044275), ('stayhome', 0.03705442333660597), ('warriors', 0.03382714502118288), ('never', 0.03252255713176233), ('stay', 0.032209507288536214), ('responsibility', 0.03145712628076355), ('washyourhands safehands', 0.027962309108075487), ('warriors frontline fighting', 0.027962309108075487), ('stayhome stayathome washyourhands', 0.027962309108075487)]",positive,"['washyourhands', 'covid', 'stayhome', 'warriors', 'never', 'stay', 'responsibility', 'washyourhands safehands', 'warriors frontline fighting', 'stayhome stayathome washyourhands ']"
6,5,21,5_blood_need_care_communities need,"[('blood', 0.07612136311205087), ('need', 0.046916245195314316), ('care', 0.04355268413683545), ('communities need', 0.034137485801193725), ('lockdown', 0.03356688446743033), ('communities', 0.029277447350788795), ('generosity assist', 0.028218844054021138), ('lockdown staysafe stayhome', 0.028218844054021138), ('need care essentials', 0.028218844054021138), ('need care', 0.028218844054021138)]",positive,"['blood', 'need', 'care', 'communities need', 'lockdown', 'communities', 'generosity assist', 'lockdown staysafe stayhome', 'need care essentials', 'need care ']"
7,6,17,6_operationmanifestation_healthcare_operationmanifestation operationmanifestation_coronavirus,"[('operationmanifestation', 0.04340406503163684), ('healthcare', 0.038479584980526414), ('operationmanifestation operationmanifestation', 0.038103507940256666), ('coronavirus', 0.03665163912724865), ('hi', 0.03593217424166459), ('everyone', 0.033076817302328816), ('face mask leave', 0.03264022765201856), ('leave home', 0.03264022765201856), ('leave home beat', 0.03264022765201856), ('reward', 0.03264022765201856)]",positive,"['operationmanifestation', 'healthcare', 'operationmanifestation operationmanifestation', 'coronavirus', 'hi', 'everyone', 'face mask leave', 'leave home', 'leave home beat', 'reward ']"
8,7,14,7_west province number_family physicians_technology specialists_cuban,"[('west province number', 0.0741225282683016), ('family physicians', 0.0741225282683016), ('technology specialists', 0.0741225282683016), ('cuban', 0.0741225282683016), ('cuban doctors', 0.0741225282683016), ('serve north west', 0.0741225282683016), ('biostatistician covid19 stayhome', 0.0741225282683016), ('biostatistician covid19', 0.0741225282683016), ('serve north', 0.0741225282683016), ('province number includes', 0.0741225282683016)]",positive,"['west province number', 'family physicians', 'technology specialists', 'cuban', 'cuban doctors', 'serve north west', 'biostatistician covid stayhome', 'biostatistician covid', 'serve north', 'province number includes ']"
9,8,12,8_monitoring period part_new infections_14_10 days,"[('monitoring period part', 0.07688490564762743), ('new infections', 0.07688490564762743), ('14', 0.07688490564762743), ('10 days', 0.07688490564762743), ('10 days recoveries', 0.07688490564762743), ('rise', 0.07688490564762743), ('stayhome maintain', 0.07688490564762743), ('14 day monitoring', 0.07688490564762743), ('stayhome maintain social', 0.07688490564762743), ('days recoveries expected', 0.07688490564762743)]",positive,"['monitoring period part', 'new infections', '', ' days', ' days recoveries', 'rise', 'stayhome maintain', ' day monitoring', 'stayhome maintain social', 'days recoveries expected ']"
