Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,353,-1_covid19_health_people_help,"[('covid19', 0.011492930219059174), ('health', 0.010303541430587872), ('people', 0.008185737252746052), ('help', 0.006913696512209004), ('amp', 0.006588493635195159), ('safe', 0.006435252294787289), ('thank', 0.005872279297391097), ('us', 0.00556614192508988), ('good', 0.005459488172524293), ('care', 0.005441321517881416)]",positive,"['covid', 'health', 'people', 'help', 'amp', 'safe', 'thank', 'us', 'good', 'care ']"
1,0,127,0_thank_safe_appreciate_good,"[('thank', 0.021603550776079446), ('safe', 0.020586673295900165), ('appreciate', 0.019853346084873), ('good', 0.014656571946990963), ('stay safe', 0.01397691293606905), ('stay', 0.013733172063157282), ('care', 0.013490457719881237), ('happy', 0.013427763817063901), ('really', 0.013242256922111837), ('love', 0.013037079210507134)]",positive,"['thank', 'safe', 'appreciate', 'good', 'stay safe', 'stay', 'care', 'happy', 'really', 'love ']"
2,1,117,1_dance_fitover40_health_dancing,"[('dance', 0.039540356174316414), ('fitover40', 0.030537333768100784), ('health', 0.02694009496963952), ('dancing', 0.0250427752450794), ('dancereminder', 0.02212279573333798), ('midlife', 0.021522587479442724), ('amp', 0.020485935771800752), ('exercise', 0.01718063423487922), ('flexibility', 0.014555457692059941), ('day', 0.01407218877519953)]",positive,"['dance', 'fitover', 'health', 'dancing', 'dancereminder', 'midlife', 'amp', 'exercise', 'flexibility', 'day ']"
3,2,92,2_mental_mental health_health_help,"[('mental', 0.03920872198454535), ('mental health', 0.03725583259516948), ('health', 0.022360182253104086), ('help', 0.016964196702482275), ('people', 0.014313743330171392), ('crisis', 0.012822985497811046), ('attention', 0.00881196417229564), ('covid19', 0.00857641288705822), ('mentalhealth', 0.008191376537483542), ('see', 0.007182745961307817)]",positive,"['mental', 'mental health', 'health', 'help', 'people', 'crisis', 'attention', 'covid', 'mentalhealth', 'see ']"
4,3,72,3_workers_nurses_doctors_covid19,"[('workers', 0.024550506893564254), ('nurses', 0.022132601696524527), ('doctors', 0.021875311884784813), ('covid19', 0.02119245383343242), ('thank', 0.01743064964578125), ('staff', 0.014003923515339804), ('medical', 0.013481681696084526), ('care', 0.01254194457621141), ('professionals', 0.011484697746031771), ('fight covid19', 0.0109078128331042)]",positive,"['workers', 'nurses', 'doctors', 'covid', 'thank', 'staff', 'medical', 'care', 'professionals', 'fight covid ']"
5,4,68,4_food_amp_health_environment,"[('food', 0.022732063345213053), ('amp', 0.018377011956815348), ('health', 0.016850331436305443), ('environment', 0.012091212142862922), ('water', 0.010405415006531605), ('contribute', 0.009939948753999823), ('nature', 0.008561921389738786), ('safe', 0.008294713782139775), ('climate', 0.008249077052331112), ('sustainable', 0.007949927978126105)]",positive,"['food', 'amp', 'health', 'environment', 'water', 'contribute', 'nature', 'safe', 'climate', 'sustainable ']"
6,5,59,5_covid19_health_amp_eu,"[('covid19', 0.021060310707425048), ('health', 0.01690035066197498), ('amp', 0.015322020435656758), ('eu', 0.015260000558679824), ('help', 0.014841510778980835), ('need', 0.014767564366936459), ('ministers', 0.014351787836387183), ('workers', 0.01118215313010648), ('economic', 0.011135721936618862), ('support', 0.0109428357583981)]",positive,"['covid', 'health', 'amp', 'eu', 'help', 'need', 'ministers', 'workers', 'economic', 'support ']"
7,6,59,6_amp fitness_health amp fitness_health also exipure_important longer life,"[('amp fitness', 0.06895436122855504), ('health amp fitness', 0.06895436122855504), ('health also exipure', 0.06801055664381088), ('important longer life', 0.06801055664381088), ('longer life span', 0.06801055664381088), ('life span', 0.06801055664381088), ('amp fitness exercising', 0.06801055664381088), ('also exipure', 0.06801055664381088), ('span right', 0.06801055664381088), ('important longer', 0.06801055664381088)]",positive,"['amp fitness', 'health amp fitness', 'health also exipure', 'important longer life', 'longer life span', 'life span', 'amp fitness exercising', 'also exipure', 'span right', 'important longer ']"
8,7,58,7_nurse_nurses_thank_help,"[('nurse', 0.04431879160480715), ('nurses', 0.020620436363221608), ('thank', 0.01867569604905134), ('help', 0.01583471237128921), ('midwives', 0.014029284667281362), ('beautiful', 0.013672259221466395), ('best', 0.012936195641556632), ('didnt', 0.012271781801699085), ('late', 0.011804517939368705), ('women', 0.011742027713827971)]",positive,"['nurse', 'nurses', 'thank', 'help', 'midwives', 'beautiful', 'best', 'didnt', 'late', 'women ']"
9,8,30,8_coronavirus_covid19_stay_home,"[('coronavirus', 0.04203297872058548), ('covid19', 0.03194226504242423), ('stay', 0.030260365135257695), ('home', 0.02207172832623571), ('coronavirus covid19', 0.02157813725869307), ('netherlands', 0.017090694502908402), ('gel', 0.017013181847762307), ('helpeachother', 0.017013181847762307), ('stay home', 0.016767973996515157), ('safe', 0.015552588341512076)]",positive,"['coronavirus', 'covid', 'stay', 'home', 'coronavirus covid', 'netherlands', 'gel', 'helpeachother', 'stay home', 'safe ']"
10,9,29,9_patients_care_covid19_icu,"[('patients', 0.039043694602923555), ('care', 0.02508170338306482), ('covid19', 0.021190607157427415), ('icu', 0.021005232262669277), ('symptoms', 0.02029246268154033), ('home', 0.018709809442107095), ('covid19 patients', 0.016910385567950274), ('mild', 0.014421770043136262), ('health care', 0.014133912272290522), ('people', 0.013300187383715039)]",positive,"['patients', 'care', 'covid', 'icu', 'symptoms', 'home', 'covid patients', 'mild', 'health care', 'people ']"
