Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,364,-1_health_people_amp_covid19,"[('health', 0.014204134486196793), ('people', 0.009020574259923907), ('amp', 0.007717711739531488), ('covid19', 0.005613310354720827), ('would', 0.005152442520104131), ('public', 0.004967988242033223), ('help', 0.004894685290801868), ('covid', 0.004693451593521082), ('like', 0.00465498613627491), ('many', 0.004614412447430173)]",negative,"['health', 'people', 'amp', 'covid', 'would', 'public', 'help', 'covid', 'like', 'many ']"
1,0,297,0_health_people_vaccination_covid19,"[('health', 0.013644148809658214), ('people', 0.010688504636561501), ('vaccination', 0.010079401796424832), ('covid19', 0.009524483251295544), ('covid', 0.0077242098084380735), ('system', 0.007371363323861684), ('get', 0.007265107381794366), ('vaccine', 0.007031558031326661), ('auckland', 0.0065381627592200195), ('amp', 0.0062606767023406975)]",negative,"['health', 'people', 'vaccination', 'covid', 'covid', 'system', 'get', 'vaccine', 'auckland', 'amp ']"
2,1,211,1_nurses_nursing_nurse_histnursing,"[('nurses', 0.028377357009065553), ('nursing', 0.023575763367864645), ('nurse', 0.017358872590737193), ('histnursing', 0.01620471230308964), ('nz', 0.013159102857663904), ('amp', 0.011936100871682145), ('hospital', 0.010985471695403527), ('ww1', 0.010089275410799677), ('history', 0.009918038275759882), ('hospitals', 0.008327920212929534)]",negative,"['nurses', 'nursing', 'nurse', 'histnursing', 'nz', 'amp', 'hospital', 'ww', 'history', 'hospitals ']"
3,2,122,2_mental_mental health_health_help,"[('mental', 0.04729631437900102), ('mental health', 0.04581030961363879), ('health', 0.028198280296415155), ('help', 0.019447397770739092), ('issues', 0.012878041984229075), ('mental health issues', 0.010467627057420568), ('health issues', 0.009872091987246867), ('anxiety', 0.009813400366331784), ('support', 0.009787311908014096), ('time', 0.009342157669725912)]",negative,"['mental', 'mental health', 'health', 'help', 'issues', 'mental health issues', 'health issues', 'anxiety', 'support', 'time ']"
4,3,52,3_singapore_nz_covid19_taiwan,"[('singapore', 0.06566845229592112), ('nz', 0.02034849816544833), ('covid19', 0.017043188758610328), ('taiwan', 0.015621842715139658), ('vaccination', 0.014271777640611012), ('australia', 0.013983800428677631), ('cases', 0.013127782107274524), ('uk', 0.01261827917190715), ('lockdown', 0.01251464969751112), ('vaccination rate', 0.012267482936980212)]",negative,"['singapore', 'nz', 'covid', 'taiwan', 'vaccination', 'australia', 'cases', 'uk', 'lockdown', 'vaccination rate ']"
5,4,38,4_mask_wearing_wearing mask_expert,"[('mask', 0.04571252768218393), ('wearing', 0.024724888617460212), ('wearing mask', 0.018851441285579407), ('expert', 0.014993959665728654), ('using', 0.014937611821940101), ('pandemic', 0.014515166939160235), ('wear', 0.013722720345958265), ('care', 0.013361003542704062), ('covid19', 0.013213543665529733), ('covid19 pandemic planetwas', 0.013167870188966195)]",negative,"['mask', 'wearing', 'wearing mask', 'expert', 'using', 'pandemic', 'wear', 'care', 'covid', 'covid pandemic planetwas ']"
6,5,38,5_housing_rent_poverty_tax,"[('housing', 0.05725304317779595), ('rent', 0.02042404028754771), ('poverty', 0.018705905206565232), ('tax', 0.016453724316392814), ('money', 0.016352664647637072), ('houses', 0.01565241460713455), ('people', 0.014434076953275574), ('health', 0.012075031591697588), ('ppl', 0.011752660225994868), ('house', 0.011454576934432031)]",negative,"['housing', 'rent', 'poverty', 'tax', 'money', 'houses', 'people', 'health', 'ppl', 'house ']"
7,6,34,6_tracing_contact_retired_contact tracing,"[('tracing', 0.03793124029181819), ('contact', 0.03486002012471405), ('retired', 0.034558350492200456), ('contact tracing', 0.03287816124775402), ('support', 0.027958211530740823), ('covid19', 0.025450984242224167), ('nurses', 0.024238183697038722), ('home', 0.022951545089727625), ('healthline', 0.022479803105521466), ('birth', 0.022268071284781837)]",negative,"['tracing', 'contact', 'retired', 'contact tracing', 'support', 'covid', 'nurses', 'home', 'healthline', 'birth ']"
8,7,29,7_protest_protesters_protests_abusing,"[('protest', 0.047610383309395814), ('protesters', 0.02819496612230173), ('protests', 0.01879664408153449), ('abusing', 0.01719804926230894), ('theyre', 0.014467642426595971), ('right protest', 0.014225567562425483), ('wider', 0.014225567562425483), ('police', 0.01421893904244268), ('capital', 0.01337804000034891), ('christmas', 0.01337804000034891)]",negative,"['protest', 'protesters', 'protests', 'abusing', 'theyre', 'right protest', 'wider', 'police', 'capital', 'christmas ']"
9,8,28,8_nurses_luxon_dont believe_believe,"[('nurses', 0.0426203028060601), ('luxon', 0.033379516697412535), ('dont believe', 0.02821020587561414), ('believe', 0.028205357399077095), ('dont', 0.02745688162765485), ('underpaid', 0.026607197164291187), ('wage', 0.025556630386091787), ('increases', 0.018241106459380665), ('country losing', 0.016566154547102436), ('country losing live', 0.016566154547102436)]",negative,"['nurses', 'luxon', 'dont believe', 'believe', 'dont', 'underpaid', 'wage', 'increases', 'country losing', 'country losing live ']"
