Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,519,-1_health_thank_help_love,"[('health', 0.010385779654229538), ('thank', 0.007897347409800146), ('help', 0.0070093730540192935), ('love', 0.006189308091696147), ('people', 0.005578730858595127), ('appreciate', 0.00549105654262974), ('amp', 0.0051265100229469455), ('care', 0.005092123935531162), ('us', 0.004925808703651568), ('one', 0.004752878413398043)]",positive,"['health', 'thank', 'help', 'love', 'people', 'appreciate', 'amp', 'care', 'us', 'one ']"
1,0,118,0_covid19_people_hospitals_workers,"[('covid19', 0.021256103466574104), ('people', 0.015854441391476237), ('hospitals', 0.014063225092067949), ('workers', 0.014023560802142518), ('nurses', 0.01285199043065367), ('staff', 0.010079434326539936), ('helping', 0.009572631062379723), ('doctors nurses', 0.008913607880876757), ('help', 0.008782561003450026), ('doctors', 0.008654292364349508)]",positive,"['covid', 'people', 'hospitals', 'workers', 'nurses', 'staff', 'helping', 'doctors nurses', 'help', 'doctors ']"
2,1,116,1_nurses_nurse_histnursing_ww1,"[('nurses', 0.02133485927645877), ('nurse', 0.01765249969311533), ('histnursing', 0.016191476903155276), ('ww1', 0.01567246102842342), ('history', 0.011684503840666343), ('nz', 0.010539576290483254), ('nursing', 0.01002296428282369), ('amp', 0.009400642499580758), ('im', 0.007911605355213456), ('nz nurses', 0.007509508611154552)]",positive,"['nurses', 'nurse', 'histnursing', 'ww', 'history', 'nz', 'nursing', 'amp', 'im', 'nz nurses ']"
3,2,109,2_mental_health_mental health_god,"[('mental', 0.019641793837319576), ('health', 0.01963254060261137), ('mental health', 0.017785983663818013), ('god', 0.014874550244196797), ('praise', 0.013268075615510877), ('help', 0.013236361430962311), ('lord', 0.011910538196027921), ('job', 0.010231919454266988), ('get', 0.009170793114057494), ('safety', 0.007809320300480317)]",positive,"['mental', 'health', 'mental health', 'god', 'praise', 'help', 'lord', 'job', 'get', 'safety ']"
4,3,98,3_datenight_fun theflahute pocketrocket_pocketrocket_cocktails finewine dressingup,"[('datenight', 0.04648750171840098), ('fun theflahute pocketrocket', 0.04648750171840098), ('pocketrocket', 0.04648750171840098), ('cocktails finewine dressingup', 0.04648750171840098), ('parklife foodporn', 0.04648750171840098), ('cocktails', 0.04648750171840098), ('pocketrocket friends', 0.04648750171840098), ('cocktailporn nightonthetown cocktails', 0.04648750171840098), ('theflahute pocketrocket friends', 0.04648750171840098), ('theflahute pocketrocket', 0.04648750171840098)]",positive,"['datenight', 'fun theflahute pocketrocket', 'pocketrocket', 'cocktails finewine dressingup', 'parklife foodporn', 'cocktails', 'pocketrocket friends', 'cocktailporn nightonthetown cocktails', 'theflahute pocketrocket friends', 'theflahute pocketrocket ']"
5,4,39,4_mahi_ministry_ministry health_please accept,"[('mahi', 0.024418761815486245), ('ministry', 0.02170615755819069), ('ministry health', 0.019909889072495565), ('please accept', 0.019909889072495565), ('accept koha', 0.019909889072495565), ('koha', 0.019909889072495565), ('please accept koha', 0.019909889072495565), ('health', 0.01928237638258858), ('support', 0.019146065195445677), ('accept', 0.018341249309759788)]",positive,"['mahi', 'ministry', 'ministry health', 'please accept', 'accept koha', 'koha', 'please accept koha', 'health', 'support', 'accept ']"
6,5,37,5_thank_us_love_care,"[('thank', 0.053235802742186304), ('us', 0.05151626088438527), ('love', 0.028601844356891108), ('care', 0.02823788392995943), ('great love care', 0.02332063608630748), ('us thank', 0.02288215968773612), ('love care', 0.021791171575683162), ('great love', 0.021196747808117575), ('thank great love', 0.018952264318005858), ('great', 0.018775218700718663)]",positive,"['thank', 'us', 'love', 'care', 'great love care', 'us thank', 'love care', 'great love', 'thank great love', 'great ']"
7,6,36,6_player_favorite_safe_favorite player,"[('player', 0.06914706474000637), ('favorite', 0.06914706474000637), ('safe', 0.0609161879228271), ('favorite player', 0.059415472921613054), ('dynamic', 0.050566251426693166), ('fearless', 0.04749314912687787), ('safe healthy', 0.04400772672415407), ('stay safe', 0.04281556568503456), ('blessings', 0.04281490886599295), ('stay', 0.03881634650923464)]",positive,"['player', 'favorite', 'safe', 'favorite player', 'dynamic', 'fearless', 'safe healthy', 'stay safe', 'blessings', 'stay ']"
8,7,35,7_nurses_celebrate_nurses day_day,"[('nurses', 0.05359211036467568), ('celebrate', 0.0318736836941217), ('nurses day', 0.028881422332701006), ('day', 0.02201868965883627), ('amazing', 0.021541768480743545), ('celebrate amazing', 0.021415435182217557), ('celebrating', 0.02117568167036353), ('nursing', 0.020754170227850487), ('hope', 0.020724841675496136), ('happy', 0.020341872183994022)]",positive,"['nurses', 'celebrate', 'nurses day', 'day', 'amazing', 'celebrate amazing', 'celebrating', 'nursing', 'hope', 'happy ']"
9,8,32,8_palmerston_palmerston north_north_book,"[('palmerston', 0.05977869373591772), ('palmerston north', 0.0561158753630926), ('north', 0.05311798039996743), ('book', 0.04801789928054733), ('hospital', 0.043742869885343864), ('palmerston north hospital', 0.04258285500294522), ('north hospital', 0.04258285500294522), ('matron', 0.03896381189510603), ('training', 0.03477438063374149), ('nursing', 0.03402223213304523)]",positive,"['palmerston', 'palmerston north', 'north', 'book', 'hospital', 'palmerston north hospital', 'north hospital', 'matron', 'training', 'nursing ']"
