Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,3059,-1_health_people_help_dont,"[('health', 0.007505122519562798), ('people', 0.005024387937776751), ('help', 0.004924737586545066), ('dont', 0.004023238512741924), ('nigeria', 0.0037615913353591527), ('please', 0.003475906699647188), ('us', 0.003434785180334667), ('appreciate', 0.003312569057450729), ('care', 0.0032931777093922173), ('hospital', 0.002993410248211257)]",negative,"['health', 'people', 'help', 'dont', 'nigeria', 'please', 'us', 'appreciate', 'care', 'hospital ']"
1,0,5046,0_covid19_health_help_stayhome,"[('covid19', 0.006996888117696261), ('health', 0.006173548107300292), ('help', 0.004948662667577174), ('stayhome', 0.0042926437815454105), ('people', 0.004250802545179645), ('nurse', 0.004020828507367584), ('nigeria', 0.0038726074728325766), ('dont', 0.00386430477119205), ('nurses', 0.003755276635793144), ('mental', 0.0036874363472426826)]",negative,"['covid', 'health', 'help', 'stayhome', 'people', 'nurse', 'nigeria', 'dont', 'nurses', 'mental ']"
2,1,377,1_protest_endsars_protests_protesters,"[('protest', 0.038378360439322405), ('endsars', 0.020511481463109854), ('protests', 0.013772111859849431), ('protesters', 0.013736930358172236), ('peaceful', 0.013142719470408615), ('police', 0.009180433716662538), ('peaceful protest', 0.008553027310833228), ('youths', 0.008143943986679242), ('people', 0.007144326784648415), ('us', 0.006666798134930892)]",negative,"['protest', 'endsars', 'protests', 'protesters', 'peaceful', 'police', 'peaceful protest', 'youths', 'people', 'us ']"
3,2,115,2_mask_face mask_face_using,"[('mask', 0.06037073350578952), ('face mask', 0.03689347674767733), ('face', 0.0357962548595804), ('using', 0.014625626346461784), ('masks', 0.01300451739280153), ('nose', 0.012569883107327496), ('nose mask', 0.012323910104692252), ('wear', 0.011943970286220984), ('wearing', 0.011783081932768464), ('cloth', 0.00958213961922195)]",negative,"['mask', 'face mask', 'face', 'using', 'masks', 'nose', 'nose mask', 'wear', 'wearing', 'cloth ']"
4,3,90,3_vaccine_vaccines_take vaccine_prof,"[('vaccine', 0.0510529828480798), ('vaccines', 0.014670703266853208), ('take vaccine', 0.011581925747233551), ('prof', 0.01091524381351217), ('covid19 vaccine', 0.010912701575056903), ('take', 0.00981647587877956), ('workers', 0.008910866452044423), ('covid19', 0.008863498351188428), ('vaccinated', 0.008732195050809737), ('nigeria', 0.008703908693603836)]",negative,"['vaccine', 'vaccines', 'take vaccine', 'prof', 'covid vaccine', 'take', 'workers', 'covid', 'vaccinated', 'nigeria ']"
5,4,44,4_china_chinese_sendchinesedoctorsback_sendchinesedoctorsback sendchinesedoctorsback,"[('china', 0.05905191690248251), ('chinese', 0.04059202053007006), ('sendchinesedoctorsback', 0.03276989518973871), ('sendchinesedoctorsback sendchinesedoctorsback', 0.02877928611296805), ('sendchinesedoctorsback sendchinesedoctorsback sendchinesedoctorsback', 0.024663799067607836), ('medical', 0.02175533088712611), ('doctors', 0.01942608792873615), ('chinese doctors', 0.01858958463221437), ('medical team', 0.01699482615268473), ('china help', 0.015943683038734408)]",negative,"['china', 'chinese', 'sendchinesedoctorsback', 'sendchinesedoctorsback sendchinesedoctorsback', 'sendchinesedoctorsback sendchinesedoctorsback sendchinesedoctorsback', 'medical', 'doctors', 'chinese doctors', 'medical team', 'china help ']"
6,5,41,5_hiv_bones_chunk_ill,"[('hiv', 0.03319069955346833), ('bones', 0.03265357974202307), ('chunk', 0.018334821167053594), ('ill', 0.01734213904389388), ('virus', 0.016966025845233712), ('ill appreciate ill', 0.016018239277406452), ('ill glad', 0.016018239277406452), ('covid19 pandemic nurses', 0.016018239277406452), ('ill glad gave', 0.016018239277406452), ('gave save', 0.016018239277406452)]",negative,"['hiv', 'bones', 'chunk', 'ill', 'virus', 'ill appreciate ill', 'ill glad', 'covid pandemic nurses', 'ill glad gave', 'gave save ']"
7,6,40,6_battery_battery health_iphone_price,"[('battery', 0.06153839276955475), ('battery health', 0.05720295447504048), ('iphone', 0.050721433431241796), ('price', 0.04204773516158838), ('help retweet', 0.038772696036276706), ('retweet', 0.03699139942836363), ('dm', 0.03323474373777257), ('buy swap', 0.02531327139847436), ('call 08166786213', 0.02531327139847436), ('dm call', 0.02531327139847436)]",negative,"['battery', 'battery health', 'iphone', 'price', 'help retweet', 'retweet', 'dm', 'buy swap', 'call', ' dm call ']"
8,7,39,7_palliatives_rubber_cases_lockdown,"[('palliatives', 0.03934200267707942), ('rubber', 0.026304789217154435), ('cases', 0.022601596749126873), ('lockdown', 0.021422132596913935), ('per day', 0.01864707001377009), ('day', 0.017758878866453665), ('lock', 0.01701466783575574), ('warehouse', 0.016729265879423295), ('covid 19', 0.015480950514419181), ('easing lockdown', 0.015347399057572982)]",negative,"['palliatives', 'rubber', 'cases', 'lockdown', 'per day', 'day', 'lock', 'warehouse', 'covid', ' easing lockdown ']"
9,8,37,8_community_cheaper amp_cheaper amp reduce_supervision community,"[('community', 0.03129920735813186), ('cheaper amp', 0.024474507750613696), ('cheaper amp reduce', 0.024474507750613696), ('supervision community', 0.024474507750613696), ('treated home', 0.024474507750613696), ('system adopt', 0.024474507750613696), ('amp reduce community', 0.024474507750613696), ('infected persons treated', 0.024474507750613696), ('instead using', 0.024474507750613696), ('instead using european', 0.024474507750613696)]",negative,"['community', 'cheaper amp', 'cheaper amp reduce', 'supervision community', 'treated home', 'system adopt', 'amp reduce community', 'infected persons treated', 'instead using', 'instead using european ']"
