Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,823,-1_appreciate_health_help_people,"[('appreciate', 0.009622999594177433), ('health', 0.009575286441094876), ('help', 0.006897040658042352), ('people', 0.006057305555700376), ('care', 0.005422149176355661), ('dont', 0.005362900210772448), ('like', 0.0052202252222462225), ('need', 0.004770388219977445), ('good', 0.004638384740628031), ('would', 0.004372057929137609)]",neutral,"['appreciate', 'health', 'help', 'people', 'care', 'dont', 'like', 'need', 'good', 'would ']"
1,0,353,0_nurse_nursing_nurses_nurse nurse,"[('nurse', 0.03578412188149711), ('nursing', 0.02332390762364553), ('nurses', 0.021326900771085504), ('nurse nurse', 0.011841194182376698), ('doctors', 0.008705346754021915), ('doctor', 0.008626969405623651), ('hospital', 0.008406263586878284), ('help', 0.008016319389138438), ('please', 0.006968657878703978), ('nurse nurses', 0.005879699760571096)]",neutral,"['nurse', 'nursing', 'nurses', 'nurse nurse', 'doctors', 'doctor', 'hospital', 'help', 'please', 'nurse nurses ']"
2,1,130,1_mental_mental health_health_help,"[('mental', 0.05639275189295692), ('mental health', 0.052431294418102715), ('health', 0.02886985609244176), ('help', 0.019564367665815843), ('depression', 0.013250273085020811), ('health problems', 0.008916045508568546), ('mental health problems', 0.008529291770623785), ('help mental', 0.00838788155664799), ('problems', 0.007820508008180412), ('people', 0.007505316185017809)]",neutral,"['mental', 'mental health', 'health', 'help', 'depression', 'health problems', 'mental health problems', 'help mental', 'problems', 'people ']"
3,2,128,2_covid19_amp_help_health,"[('covid19', 0.014882300047048647), ('amp', 0.01105036217198382), ('help', 0.010751398700092115), ('health', 0.008887319515233527), ('good', 0.008317927138384541), ('data', 0.008085956403830098), ('communities', 0.007532443936237154), ('phone', 0.0072204262633561115), ('social', 0.007033877610954149), ('pandemic', 0.00702620153786804)]",neutral,"['covid', 'amp', 'help', 'health', 'good', 'data', 'communities', 'phone', 'social', 'pandemic ']"
4,3,115,3_health_good_good health_help,"[('health', 0.025970691284515696), ('good', 0.021606046429315053), ('good health', 0.018106715165052807), ('help', 0.010909006367248775), ('body', 0.010791584963216376), ('wealth', 0.010545708343203897), ('money', 0.010195698755746874), ('health wealth', 0.009921007292834046), ('appreciate', 0.00949764544597416), ('appreciate good', 0.00941013509942347)]",neutral,"['health', 'good', 'good health', 'help', 'body', 'wealth', 'money', 'health wealth', 'appreciate', 'appreciate good ']"
5,4,110,4_stayhome_covid19_staysafe_stay,"[('stayhome', 0.02933126999799725), ('covid19', 0.02477364873409221), ('staysafe', 0.02436626660158233), ('stay', 0.022630471875904327), ('stayhome staysafe', 0.02017727487201654), ('stayhealthy', 0.013975829637414183), ('global', 0.012505090026060966), ('medical', 0.011035837488412512), ('stayathome', 0.011015609608831741), ('covid', 0.010997732290595927)]",neutral,"['stayhome', 'covid', 'staysafe', 'stay', 'stayhome staysafe', 'stayhealthy', 'global', 'medical', 'stayathome', 'covid ']"
6,5,87,5_appreciate_care_dont_dont care,"[('appreciate', 0.05420893667722375), ('care', 0.0250265976562598), ('dont', 0.024455408735395406), ('dont care', 0.015538429342727362), ('would', 0.01473443677834044), ('would appreciate', 0.013154848258383185), ('show', 0.012775138214602329), ('amp', 0.01194046077047126), ('thanks', 0.011815128434742622), ('didnt', 0.01165382200704552)]",neutral,"['appreciate', 'care', 'dont', 'dont care', 'would', 'would appreciate', 'show', 'amp', 'thanks', 'didnt ']"
7,6,82,6_mask_face_masks_using,"[('mask', 0.03172321282630838), ('face', 0.023276194556056465), ('masks', 0.01841388292527165), ('using', 0.017429010169478794), ('skin', 0.014236681844209528), ('face mask', 0.012849439561908087), ('covid19', 0.01271981753982484), ('use', 0.011966712117029888), ('goggles', 0.010025889473254633), ('wash', 0.009491076086082045)]",neutral,"['mask', 'face', 'masks', 'using', 'skin', 'face mask', 'covid', 'use', 'goggles', 'wash ']"
8,7,69,7_nigeria_appreciate_nigerians_people,"[('nigeria', 0.019271525733350975), ('appreciate', 0.012357383778152589), ('nigerians', 0.011360781683917265), ('people', 0.010176948149134906), ('obi', 0.010076270731069628), ('campaign', 0.009672701019417994), ('politicians', 0.008810686363524473), ('health', 0.008760489374409172), ('peter', 0.008636803483773967), ('amp', 0.008108682463871609)]",neutral,"['nigeria', 'appreciate', 'nigerians', 'people', 'obi', 'campaign', 'politicians', 'health', 'peter', 'amp ']"
9,8,55,8_education_health_housing_education health,"[('education', 0.024653026379300863), ('health', 0.020508510409967595), ('housing', 0.014430012231927684), ('education health', 0.010515227276609156), ('healthcare', 0.010063048808589443), ('cost', 0.009930472053555295), ('health education', 0.009408628648017404), ('health services', 0.008958811506247392), ('sectors', 0.008958811506247392), ('sector', 0.00865800733915661)]",neutral,"['education', 'health', 'housing', 'education health', 'healthcare', 'cost', 'health education', 'health services', 'sectors', 'sector ']"
