Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,787,-1_health_covid19_amp_help,"[('health', 0.017197037814429418), ('covid19', 0.013396277533126671), ('amp', 0.011266540351347745), ('help', 0.010471418143774568), ('people', 0.009102949575817223), ('covid', 0.008263618786369355), ('hospital', 0.0059670806535135025), ('care', 0.00570014953463312), ('please', 0.0055197226204461046), ('lockdown', 0.0054019402339334464)]",negative,"['health', 'covid', 'amp', 'help', 'people', 'covid', 'hospital', 'care', 'please', 'lockdown ']"
1,0,1285,0_health_covid19_amp_covid,"[('health', 0.015634447351339), ('covid19', 0.013393135219992403), ('amp', 0.01087533244088708), ('covid', 0.009825727361029402), ('people', 0.009023688786870085), ('help', 0.007748564722568716), ('protest', 0.006801572412150569), ('hospital', 0.006432464003672266), ('india', 0.00586730264935781), ('care', 0.005573813594786788)]",negative,"['health', 'covid', 'amp', 'covid', 'people', 'help', 'protest', 'hospital', 'india', 'care ']"
2,1,150,1_pakistan aggressive testing_vaccinequity pakistan aggressive_vaccinequity pakistan_pakistan aggressive,"[('pakistan aggressive testing', 0.06132065481636002), ('vaccinequity pakistan aggressive', 0.06132065481636002), ('vaccinequity pakistan', 0.06132065481636002), ('pakistan aggressive', 0.06132065481636002), ('free vaccination', 0.05925734774417262), ('vaccination poorampneedy kindly', 0.05925734774417262), ('vaccination poorampneedy', 0.05925734774417262), ('even free vaccination', 0.05925734774417262), ('capture even free', 0.05925734774417262), ('free vaccination poorampneedy', 0.05925734774417262)]",negative,"['pakistan aggressive testing', 'vaccinequity pakistan aggressive', 'vaccinequity pakistan', 'pakistan aggressive', 'free vaccination', 'vaccination poorampneedy kindly', 'vaccination poorampneedy', 'even free vaccination', 'capture even free', 'free vaccination poorampneedy ']"
3,2,53,2_vaccinequity aggressive testing_vaccinequity aggressive_planet 3rdworld_help planet 3rdworld,"[('vaccinequity aggressive testing', 0.046790462054681285), ('vaccinequity aggressive', 0.046790462054681285), ('planet 3rdworld', 0.046524968263360666), ('help planet 3rdworld', 0.046524968263360666), ('planet 3rdworld nations', 0.0453847173259319), ('nations discriminations healthcare', 0.0453847173259319), ('please ensure vaccineswork', 0.0453847173259319), ('ensure vaccineswork vaccinequity', 0.0453847173259319), ('ensure vaccineswork', 0.0453847173259319), ('vaccineswork vaccinequity aggressive', 0.0453847173259319)]",negative,"['vaccinequity aggressive testing', 'vaccinequity aggressive', 'planet rdworld', 'help planet rdworld', 'planet rdworld nations', 'nations discriminations healthcare', 'please ensure vaccineswork', 'ensure vaccineswork vaccinequity', 'ensure vaccineswork', 'vaccineswork vaccinequity aggressive ']"
4,3,38,3_pmcaresfunds_pakistan_covid19_coronainpakistan,"[('pmcaresfunds', 0.04332737977838544), ('pakistan', 0.03167156765877864), ('covid19', 0.028621052666050438), ('coronainpakistan', 0.02495250687690876), ('avoid target', 0.02489760276429706), ('pmimrankhan kashmirfutureheadlines', 0.02489760276429706), ('situation indianarmy pakistanarmy', 0.02489760276429706), ('pmimrankhan kashmirfutureheadlines pmcaresfunds', 0.02489760276429706), ('situation indianarmy', 0.02489760276429706), ('kashmirfutureheadlines pmcaresfunds covid2019', 0.02489760276429706)]",negative,"['pmcaresfunds', 'pakistan', 'covid', 'coronainpakistan', 'avoid target', 'pmimrankhan kashmirfutureheadlines', 'situation indianarmy pakistanarmy', 'pmimrankhan kashmirfutureheadlines pmcaresfunds', 'situation indianarmy', 'kashmirfutureheadlines pmcaresfunds covid ']"
5,4,31,4_bail_bapu_asharamji_sant,"[('bail', 0.06757220231292438), ('bapu', 0.06371301319631154), ('asharamji', 0.06371301319631154), ('sant', 0.06281704841094256), ('asharamji bapu', 0.06081498208163193), ('shri asharamji', 0.06081498208163193), ('sant shri', 0.06081498208163193), ('sant shri asharamji', 0.06081498208163193), ('shri', 0.05992562763235432), ('shri asharamji bapu', 0.05788845774264285)]",negative,"['bail', 'bapu', 'asharamji', 'sant', 'asharamji bapu', 'shri asharamji', 'sant shri', 'sant shri asharamji', 'shri', 'shri asharamji bapu ']"
6,5,24,5_stay_home_stay home_stay home stay,"[('stay', 0.14510996088662645), ('home', 0.09653167844200594), ('stay home', 0.08756035473887494), ('stay home stay', 0.08422837318259215), ('home stay', 0.08422837318259215), ('stay safe', 0.0766372935915256), ('home stay safe', 0.07580369152641152), ('stayhealthy', 0.07251088196181407), ('stayhome', 0.07250602771794934), ('safe', 0.06486399486442035)]",negative,"['stay', 'home', 'stay home', 'stay home stay', 'home stay', 'stay safe', 'home stay safe', 'stayhealthy', 'stayhome', 'safe ']"
7,6,20,6_missing_missing persons_persons_shia,"[('missing', 0.16922825710036066), ('missing persons', 0.11043349570021438), ('persons', 0.1060445673553195), ('shia', 0.10151054620964371), ('recover missing', 0.09364416407758636), ('shias', 0.0931912191410486), ('shia missing persons', 0.09248897093290476), ('shia missing', 0.09248897093290476), ('recover', 0.09232300873408072), ('recover missing shias', 0.08888229615668744)]",negative,"['missing', 'missing persons', 'persons', 'shia', 'recover missing', 'shias', 'shia missing persons', 'shia missing', 'recover', 'recover missing shias ']"
8,7,20,7_covid19_symptoms_days_per day,"[('covid19', 0.040153653299135464), ('symptoms', 0.03958851799846428), ('days', 0.03407454632980481), ('per day', 0.03182527906931955), ('day days', 0.03182527906931955), ('per day days', 0.03182527906931955), ('tablet per', 0.03182527906931955), ('tablet', 0.03182527906931955), ('tablet per day', 0.03182527906931955), ('covid19 patient faridkot', 0.024714863266690156)]",negative,"['covid', 'symptoms', 'days', 'per day', 'day days', 'per day days', 'tablet per', 'tablet', 'tablet per day', 'covid patient faridkot ']"
9,8,15,8_3rdworldnations_help 3rdworldnations_3rdworldnations openampinside_openampinside discriminations healthcare,"[('3rdworldnations', 0.08420823964377251), ('help 3rdworldnations', 0.08420823964377251), ('3rdworldnations openampinside', 0.08420823964377251), ('openampinside discriminations healthcare', 0.08420823964377251), ('help 3rdworldnations openampinside', 0.08420823964377251), ('kindly help 3rdworldnations', 0.08420823964377251), ('3rdworldnations openampinside discriminations', 0.08420823964377251), ('openampinside discriminations', 0.083309609442609), ('openampinside', 0.0824730672304213), ('discriminations healthcare', 0.07059021166557543)]",negative,"['rdworldnations', 'help rdworldnations', 'rdworldnations openampinside', 'openampinside discriminations healthcare', 'help rdworldnations openampinside', 'kindly help rdworldnations', 'rdworldnations openampinside discriminations', 'openampinside discriminations', 'openampinside', 'discriminations healthcare ']"
10,9,15,9_thul_plead govt pay_situation history_town surrounding,"[('thul', 0.13529796815252515), ('plead govt pay', 0.07505274298082958), ('situation history', 0.07505274298082958), ('town surrounding', 0.07505274298082958), ('population thul', 0.07505274298082958), ('population thul town', 0.07505274298082958), ('plead', 0.07505274298082958), ('thull passing dangerous', 0.07505274298082958), ('notice plead', 0.07505274298082958), ('thull', 0.07505274298082958)]",negative,"['thul', 'plead govt pay', 'situation history', 'town surrounding', 'population thul', 'population thul town', 'plead', 'thull passing dangerous', 'notice plead', 'thull ']"
11,10,11,10_testing_ordered government defeat_march2021_shops closing properly,"[('testing', 0.08732678887906599), ('ordered government defeat', 0.07791778853142135), ('march2021', 0.07791778853142135), ('shops closing properly', 0.07791778853142135), ('shops closing', 0.07791778853142135), ('see pakistan shops', 0.07791778853142135), ('see pakistan', 0.07791778853142135), ('government defeat', 0.07791778853142135), ('closing properly', 0.07791778853142135), ('closing properly time', 0.07791778853142135)]",negative,"['testing', 'ordered government defeat', 'march', 'shops closing properly', 'shops closing', 'see pakistan shops', 'see pakistan', 'government defeat', 'closing properly', 'closing properly time ']"
