Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1464,-1_health_amp_covid19_help,"[('health', 0.00695852448222514), ('amp', 0.005959525749788125), ('covid19', 0.005783775785917528), ('help', 0.004667264502181944), ('thank', 0.004294678481009936), ('covid', 0.004236230015588796), ('hospital', 0.003985294173496997), ('appreciate', 0.0038959461232952568), ('safe', 0.0036979020324665497), ('doctors', 0.0036635114579973813)]",positive,"['health', 'amp', 'covid', 'help', 'thank', 'covid', 'hospital', 'appreciate', 'safe', 'doctors ']"
1,0,247,0_allah_may_may allah_eid,"[('allah', 0.03192293494778157), ('may', 0.026139515577712134), ('may allah', 0.02144480296015608), ('eid', 0.0184437016843798), ('blessings', 0.01757488454979046), ('mubarak', 0.015107132934043248), ('peace', 0.013874428534936494), ('happiness', 0.013458663482501647), ('good health', 0.012818840369929991), ('ameen', 0.01228594575288332)]",positive,"['allah', 'may', 'may allah', 'eid', 'blessings', 'mubarak', 'peace', 'happiness', 'good health', 'ameen ']"
2,1,223,1_nurses_doctors_nursing_hospital,"[('nurses', 0.014939785170863302), ('doctors', 0.014838778495738537), ('nursing', 0.013428235682069386), ('hospital', 0.011241694612700063), ('staff', 0.009032069562149024), ('healthcare', 0.0070351286555597635), ('health', 0.0068124543801949215), ('day', 0.006806903497130407), ('hospitals', 0.006155913354270933), ('workers', 0.005944679912448554)]",positive,"['nurses', 'doctors', 'nursing', 'hospital', 'staff', 'healthcare', 'health', 'day', 'hospitals', 'workers ']"
3,2,111,2_covid19_information_lives_fight,"[('covid19', 0.023556503388398417), ('information', 0.00949497478246405), ('lives', 0.009027151150144854), ('fight', 0.008764579854834292), ('help', 0.008712448399856661), ('care', 0.00842688405318138), ('home', 0.00793830833985866), ('people', 0.007903346150442546), ('stay', 0.007878668975076658), ('back', 0.007618978222986644)]",positive,"['covid', 'information', 'lives', 'fight', 'help', 'care', 'home', 'people', 'stay', 'back ']"
4,3,105,3_year great healthamphappiness_sparking_opposition betterment india_healthamphappiness keep,"[('year great healthamphappiness', 0.03887483649116793), ('sparking', 0.03887483649116793), ('opposition betterment india', 0.03887483649116793), ('healthamphappiness keep', 0.03887483649116793), ('political fantastic countering', 0.03887483649116793), ('fantastic countering skills', 0.03887483649116793), ('year great', 0.03887483649116793), ('opposition betterment', 0.03887483649116793), ('issues raising masses', 0.03887483649116793), ('keep entertaining', 0.03887483649116793)]",positive,"['year great healthamphappiness', 'sparking', 'opposition betterment india', 'healthamphappiness keep', 'political fantastic countering', 'fantastic countering skills', 'year great', 'opposition betterment', 'issues raising masses', 'keep entertaining ']"
5,4,86,4_pakistan_covid19_pakistani_nation,"[('pakistan', 0.025128942750738004), ('covid19', 0.01237537827971679), ('pakistani', 0.010397846576068903), ('nation', 0.010227196786961665), ('tribute', 0.008065759991437993), ('corona', 0.007878033935287656), ('corona virus', 0.007040986082509385), ('pays', 0.006884005883256797), ('islamabad', 0.006799716804849526), ('pakistan army', 0.006693458260078873)]",positive,"['pakistan', 'covid', 'pakistani', 'nation', 'tribute', 'corona', 'corona virus', 'pays', 'islamabad', 'pakistan army ']"
6,5,82,5_environment_planet_soil_climate,"[('environment', 0.025307199902475347), ('planet', 0.014267848222254343), ('soil', 0.0132648068243153), ('climate', 0.01309570870759573), ('nature', 0.011395364175621734), ('amp', 0.011109354810039496), ('change', 0.011092252474548746), ('earth', 0.010289485413110928), ('trees', 0.0096046437369029), ('climate change', 0.009224256594298668)]",positive,"['environment', 'planet', 'soil', 'climate', 'nature', 'amp', 'change', 'earth', 'trees', 'climate change ']"
7,6,75,6_mental_mental health_health_mental health issues,"[('mental', 0.05790391890006588), ('mental health', 0.05506948938059574), ('health', 0.01699419418755965), ('mental health issues', 0.01396094169655957), ('health issues', 0.012330485780077003), ('help', 0.011003632711012552), ('suicide', 0.010894132143366802), ('search', 0.009745979782274799), ('google', 0.009532365625445951), ('helpline', 0.008859714256989152)]",positive,"['mental', 'mental health', 'health', 'mental health issues', 'health issues', 'help', 'suicide', 'search', 'google', 'helpline ']"
8,7,73,7_children_dera_dera sacha sauda_dera sacha,"[('children', 0.01646810266417125), ('dera', 0.015520089972289266), ('dera sacha sauda', 0.014436141255727), ('dera sacha', 0.014436141255727), ('sauda', 0.014362217780691935), ('sacha sauda', 0.014362217780691935), ('sacha', 0.014362217780691935), ('volunteers', 0.013246420034767573), ('inspiration', 0.01316294211372441), ('needy', 0.011407883165227823)]",positive,"['children', 'dera', 'dera sacha sauda', 'dera sacha', 'sauda', 'sacha sauda', 'sacha', 'volunteers', 'inspiration', 'needy ']"
9,8,66,8_milk_cow_cow milk_worldmilkday2022,"[('milk', 0.067032000464219), ('cow', 0.04653940822552405), ('cow milk', 0.0462955928829334), ('worldmilkday2022', 0.042858536245943026), ('worldmilkday', 0.042255076996308), ('worldmilkday worldmilkday2022', 0.03346347313234638), ('ram rahim', 0.030221475157634663), ('rahim', 0.029793464452063725), ('saint', 0.029457626352886852), ('ram', 0.029060418290899653)]",positive,"['milk', 'cow', 'cow milk', 'worldmilkday', 'worldmilkday', 'worldmilkday worldmilkday', 'ram rahim', 'rahim', 'saint', 'ram ']"
10,9,63,9_meditation_yoga_mental_saint dr,"[('meditation', 0.04586857382138451), ('yoga', 0.03628630503881523), ('mental', 0.023548525523962763), ('saint dr', 0.020799701849903596), ('fridayfitness', 0.019894775495917654), ('saint', 0.019817168978117135), ('ji', 0.019434360874085496), ('method meditation', 0.019142523913062252), ('method', 0.018911380391312616), ('dr', 0.018074386235511414)]",positive,"['meditation', 'yoga', 'mental', 'saint dr', 'fridayfitness', 'saint', 'ji', 'method meditation', 'method', 'dr ']"
11,10,54,10_appreciate_really appreciate_really_appreciation,"[('appreciate', 0.04672529002529232), ('really appreciate', 0.024710913526658173), ('really', 0.024523498157671374), ('appreciation', 0.022438941116511343), ('sir', 0.01960642592580305), ('thank', 0.019005809470721384), ('care', 0.01841887159102154), ('exams', 0.01751303372786229), ('commendation certificate', 0.014920621822791786), ('exams deptt', 0.014920621822791786)]",positive,"['appreciate', 'really appreciate', 'really', 'appreciation', 'sir', 'thank', 'care', 'exams', 'commendation certificate', 'exams deptt ']"
12,11,51,11_blood_donation_blood donation_donor,"[('blood', 0.08868383956356737), ('donation', 0.03736877980556209), ('blood donation', 0.0369736500163532), ('donor', 0.03482631042238994), ('blood donor', 0.03041208358707963), ('world blood donor', 0.026289154949354705), ('world blood', 0.026289154949354705), ('blood donor day', 0.02522766756156227), ('donor day', 0.02522766756156227), ('world', 0.017981125670866852)]",positive,"['blood', 'donation', 'blood donation', 'donor', 'blood donor', 'world blood donor', 'world blood', 'blood donor day', 'donor day', 'world ']"
13,12,51,12_fight covid19_pmcares_contribute_fight,"[('fight covid19', 0.02861246557039356), ('pmcares', 0.028098098501159904), ('contribute', 0.02507722299522761), ('fight', 0.024867860155283566), ('pm', 0.02279718896710094), ('india', 0.01908986004612511), ('indiafightscorona', 0.018803778322313617), ('covid19', 0.01849582436327041), ('fund', 0.018323526523095893), ('indias', 0.017865535843694026)]",positive,"['fight covid', 'pmcares', 'contribute', 'fight', 'pm', 'india', 'indiafightscorona', 'covid', 'fund', 'indias ']"
14,13,44,13_mask_masks_wear_use mask,"[('mask', 0.043693830815467176), ('masks', 0.04101066799696419), ('wear', 0.01599297856228545), ('use mask', 0.01403409324408424), ('wearing', 0.013387637051181333), ('sanitizers', 0.012672611709025507), ('distribute', 0.012639496474572352), ('country', 0.012143381713786119), ('use', 0.012106611328994828), ('masks help', 0.012036657347136175)]",positive,"['mask', 'masks', 'wear', 'use mask', 'wearing', 'sanitizers', 'distribute', 'country', 'use', 'masks help ']"
15,14,42,14_privacy_ynh_lockdown21 ynh_health covid2019,"[('privacy', 0.022254462826855434), ('ynh', 0.021237806162696608), ('lockdown21 ynh', 0.02039669340279577), ('health covid2019', 0.02039669340279577), ('privacy health', 0.02039669340279577), ('privacy health covid2019', 0.02039669340279577), ('globalization', 0.02039669340279577), ('covid2019 lockdown21', 0.02039669340279577), ('covid2019 lockdown21 ynh', 0.02039669340279577), ('lockdown21 ynh globalization', 0.02039669340279577)]",positive,"['privacy', 'ynh', 'lockdown ynh', 'health covid', 'privacy health', 'privacy health covid', 'globalization', 'covid lockdown', 'covid lockdown ynh', 'lockdown ynh globalization ']"
16,15,41,15_tribute_pay tribute_pay_paid,"[('tribute', 0.042249989404553843), ('pay tribute', 0.023810427263759103), ('pay', 0.020932493870863565), ('paid', 0.018107708770937623), ('shaheed', 0.015982212215969804), ('sidhumoosewala', 0.0158469740173699), ('tributes', 0.015462398041575117), ('president', 0.015022111671917186), ('director', 0.013393616214658316), ('emotional', 0.013393616214658316)]",positive,"['tribute', 'pay tribute', 'pay', 'paid', 'shaheed', 'sidhumoosewala', 'tributes', 'president', 'director', 'emotional ']"
17,16,39,16_vaccination_indianarmy_drive_unite2fightcorona,"[('vaccination', 0.03944728613984113), ('indianarmy', 0.0176290634305576), ('drive', 0.017341653895859142), ('unite2fightcorona', 0.015594821945215349), ('dist', 0.015518226002033154), ('ratia', 0.014836041429460484), ('unite2fightcorona indianarmy', 0.014803535657600033), ('awareness drive', 0.014771647619579706), ('poonch', 0.014118642021295376), ('amp', 0.01409747368193628)]",positive,"['vaccination', 'indianarmy', 'drive', 'unitefightcorona', 'dist', 'ratia', 'unitefightcorona indianarmy', 'awareness drive', 'poonch', 'amp ']"
18,17,39,17_holi_colours_palash_organic,"[('holi', 0.07148052433608648), ('colours', 0.06310873670229092), ('palash', 0.04738210431197336), ('organic', 0.040485492479072946), ('sant shri', 0.03958489210801), ('sant shri asharamji', 0.03832372918534674), ('sant', 0.03829340874148973), ('shri asharamji', 0.03812748399852719), ('asharamji', 0.03812748399852719), ('organic colours', 0.03805024090845562)]",positive,"['holi', 'colours', 'palash', 'organic', 'sant shri', 'sant shri asharamji', 'sant', 'shri asharamji', 'asharamji', 'organic colours ']"
19,18,38,18_helps_benefits_garlic_health benefits,"[('helps', 0.039936792293924064), ('benefits', 0.03048518928415829), ('garlic', 0.02967746036845041), ('health benefits', 0.027873991522376372), ('reduce', 0.019143253618841748), ('improves', 0.01782199855008202), ('sugar', 0.017714725222533884), ('heart', 0.01719381470468557), ('aloe', 0.016741913321381148), ('c247', 0.014713429516820312)]",positive,"['helps', 'benefits', 'garlic', 'health benefits', 'reduce', 'improves', 'sugar', 'heart', 'aloe', 'c ']"
20,19,38,19_stay_home_stay home_stay safe,"[('stay', 0.05318044466372577), ('home', 0.036906662333326574), ('stay home', 0.030778477796088447), ('stay safe', 0.023838991876873845), ('stay home stay', 0.022960426843471975), ('home stay', 0.022710774877726842), ('home stay safe', 0.022710774877726842), ('safe', 0.01681417818228969), ('quarantine', 0.016403425760857203), ('stayhome', 0.01617011388242985)]",positive,"['stay', 'home', 'stay home', 'stay safe', 'stay home stay', 'home stay', 'home stay safe', 'safe', 'quarantine', 'stayhome ']"
21,20,38,20_world_day_tobacco_health day,"[('world', 0.039772559216855664), ('day', 0.03821633967253761), ('tobacco', 0.02401418363814324), ('health day', 0.02297600117491548), ('celebrated', 0.02277553702534887), ('every year', 0.021964526163249017), ('awareness', 0.020590568648339955), ('world health', 0.017492667335447), ('world health day', 0.01618810698036132), ('health', 0.013590613185256669)]",positive,"['world', 'day', 'tobacco', 'health day', 'celebrated', 'every year', 'awareness', 'world health', 'world health day', 'health ']"
22,21,38,21_birthday_happy_happy birthday_happiness,"[('birthday', 0.04488334775650227), ('happy', 0.0369795852872576), ('happy birthday', 0.03504960984502069), ('happiness', 0.03322237427544376), ('good health', 0.02843863381481165), ('good', 0.027564523347476822), ('success', 0.025763306451097066), ('good health happiness', 0.02568074279717612), ('health happiness', 0.022669111284624354), ('wishing', 0.0218900593211612)]",positive,"['birthday', 'happy', 'happy birthday', 'happiness', 'good health', 'good', 'success', 'good health happiness', 'health happiness', 'wishing ']"
23,22,35,22_camp_free_medical camp_checkup,"[('camp', 0.047639168971972345), ('free', 0.0242467204439153), ('medical camp', 0.017124197209979892), ('checkup', 0.016778721921369994), ('organised', 0.01537255699604649), ('medicines', 0.014467883550975549), ('medical', 0.014126126590438796), ('health checkup', 0.012629942982732494), ('indianarmy', 0.012464994344838705), ('free medical', 0.012435365882151316)]",positive,"['camp', 'free', 'medical camp', 'checkup', 'organised', 'medicines', 'medical', 'health checkup', 'indianarmy', 'free medical ']"
24,23,35,23_recovery_speedy_speedy recovery_good health,"[('recovery', 0.06759044874003367), ('speedy', 0.05636078938341998), ('speedy recovery', 0.052019040016397004), ('good health', 0.03288443169012333), ('manmohan singh', 0.02826576301187086), ('manmohan', 0.028013135199533024), ('former', 0.027799597848323816), ('good', 0.027577220877315747), ('dr manmohan singh', 0.02240598587859124), ('dr manmohan', 0.02219017994562864)]",positive,"['recovery', 'speedy', 'speedy recovery', 'good health', 'manmohan singh', 'manmohan', 'former', 'good', 'dr manmohan singh', 'dr manmohan ']"
