Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1295,-1_health_sa_na_help,"[('health', 0.00893539749361241), ('sa', 0.006671316358228791), ('na', 0.006405741166108279), ('help', 0.006114028646623065), ('people', 0.005710646274302522), ('thank', 0.005235535852692687), ('covid19', 0.005185079438657568), ('ang', 0.005054345773124409), ('ng', 0.004690581070605711), ('amp', 0.004439891670445357)]",negative,"['health', 'sa', 'na', 'help', 'people', 'thank', 'covid', 'ang', 'ng', 'amp ']"
1,0,1469,0_covid19_health_na_help,"[('covid19', 0.010146915809867988), ('health', 0.007915030251394693), ('na', 0.007089984538989324), ('help', 0.006329891117101653), ('cases', 0.006202992437531775), ('sa', 0.006107788216911178), ('ang', 0.005250080560450281), ('thank', 0.005045784931035361), ('amp', 0.004648191969744941), ('workers', 0.004421562836967303)]",negative,"['covid', 'health', 'na', 'help', 'cases', 'sa', 'ang', 'thank', 'amp', 'workers ']"
2,1,122,1_mental_mental health_health_help,"[('mental', 0.06047997210056813), ('mental health', 0.057155052753201895), ('health', 0.03152259603792966), ('help', 0.016772266804485507), ('depression', 0.01529945923693496), ('people', 0.013184046532981629), ('using', 0.010659768101466167), ('joke', 0.010347897164782073), ('dont', 0.009346464656778032), ('issues', 0.009123586484055389)]",negative,"['mental', 'mental health', 'health', 'help', 'depression', 'people', 'using', 'joke', 'dont', 'issues ']"
3,2,79,2_vaccine_vaccinated_vaccines_vaccination,"[('vaccine', 0.03525238475537476), ('vaccinated', 0.024779229537766467), ('vaccines', 0.024513287166422003), ('vaccination', 0.014794820117436078), ('hesitancy', 0.011828122114444341), ('vaccine hesitancy', 0.009767208240623937), ('sinovac', 0.009177836820365807), ('po', 0.008754067857858533), ('get vaccinated', 0.00870284178220321), ('status', 0.007867815378088434)]",negative,"['vaccine', 'vaccinated', 'vaccines', 'vaccination', 'hesitancy', 'vaccine hesitancy', 'sinovac', 'po', 'get vaccinated', 'status ']"
4,3,66,3_mask_masks_face_face masks,"[('mask', 0.037237083420280245), ('masks', 0.028507324939859552), ('face', 0.02415652231428989), ('face masks', 0.017859742262901303), ('dotr', 0.01737590198100508), ('face mask', 0.011583934654003385), ('hospitals', 0.011562537210083875), ('health', 0.010755443280814115), ('health workers', 0.010273687513829514), ('wear', 0.010225785226261061)]",negative,"['mask', 'masks', 'face', 'face masks', 'dotr', 'face mask', 'hospitals', 'health', 'health workers', 'wear ']"
5,4,39,4_us_please help_please_please help us,"[('us', 0.060666978905868855), ('please help', 0.05906420888900617), ('please', 0.05191250904113658), ('please help us', 0.05051168261646781), ('help us', 0.04957572301734876), ('banning', 0.04369049879441148), ('notohcwdeploymentban', 0.043625994630763915), ('retake', 0.04233093060075543), ('abroad please', 0.04233093060075543), ('abroad please help', 0.04233093060075543)]",negative,"['us', 'please help', 'please', 'please help us', 'help us', 'banning', 'notohcwdeploymentban', 'retake', 'abroad please', 'abroad please help ']"
6,5,37,5_weight_exercise_healthy_healthylifestyle,"[('weight', 0.035709193621037194), ('exercise', 0.035254994876125725), ('healthy', 0.029236061148400785), ('healthylifestyle', 0.023721798474950012), ('newnormal pandemic', 0.023721798474950012), ('newnormal pandemic quarantine', 0.023721798474950012), ('single happy', 0.023721798474950012), ('exercise walking', 0.023721798474950012), ('pandemic quarantine', 0.023721798474950012), ('healthylifestyle healthyliving', 0.023721798474950012)]",negative,"['weight', 'exercise', 'healthy', 'healthylifestyle', 'newnormal pandemic', 'newnormal pandemic quarantine', 'single happy', 'exercise walking', 'pandemic quarantine', 'healthylifestyle healthyliving ']"
7,6,33,6_stayhomesavelives_pnpkaubanmobatoksacovid19_checkpoint_teampnp,"[('stayhomesavelives', 0.04083719550650855), ('pnpkaubanmobatoksacovid19', 0.035174081343661776), ('checkpoint', 0.034371746379477326), ('teampnp', 0.031155339014828174), ('weserveandprotect', 0.02946149689669485), ('teamdagohoycops teamloongoodcops stayhomesavelives', 0.02780950601937751), ('pnppatrolplan2030', 0.02780950601937751), ('teamloongoodcops stayhomesavelives pnppatrolplan2030', 0.02780950601937751), ('stayhomesavelives pnppatrolplan2030', 0.02780950601937751), ('teampro7amigocops teamdagohoycops', 0.02780950601937751)]",negative,"['stayhomesavelives', 'pnpkaubanmobatoksacovid', 'checkpoint', 'teampnp', 'weserveandprotect', 'teamdagohoycops teamloongoodcops stayhomesavelives', 'pnppatrolplan', 'teamloongoodcops stayhomesavelives pnppatrolplan', 'stayhomesavelives pnppatrolplan', 'teamproamigocops teamdagohoycops ']"
8,7,26,7_clap_clapping_slow clap_slow,"[('clap', 0.11290648080834224), ('clapping', 0.040182951165520175), ('slow clap', 0.03937592783599271), ('slow', 0.03660038429849067), ('care', 0.03448828813920043), ('clap care', 0.025835894246945268), ('clap slow clap', 0.025835894246945268), ('clap slow', 0.025835894246945268), ('clap clap', 0.022064324801306393), ('tell', 0.01988376412259344)]",negative,"['clap', 'clapping', 'slow clap', 'slow', 'care', 'clap care', 'clap slow clap', 'clap slow', 'clap clap', 'tell ']"
9,8,26,8_philippines_filipino_manila_without expectations pilipinas,"[('philippines', 0.02217459717855323), ('filipino', 0.01822572980966627), ('manila', 0.01807728373926881), ('without expectations pilipinas', 0.017529076764281365), ('help without expectations', 0.017529076764281365), ('expectation takeaway help', 0.017529076764281365), ('expectation takeaway', 0.017529076764281365), ('without expectations', 0.017529076764281365), ('expectations pilipinas', 0.017529076764281365), ('health covid19 metro', 0.017529076764281365)]",negative,"['philippines', 'filipino', 'manila', 'without expectations pilipinas', 'help without expectations', 'expectation takeaway help', 'expectation takeaway', 'without expectations', 'expectations pilipinas', 'health covid metro ']"
10,9,24,9_system_saying_system collapse_collapse,"[('system', 0.028620177508814577), ('saying', 0.023899094270844634), ('system collapse', 0.023122090049475637), ('collapse', 0.02139410168360648), ('collapsing', 0.020777705938719884), ('collapsing deal finding', 0.01959551264299746), ('hospital accomodate covid19', 0.01959551264299746), ('yet collapsing deal', 0.01959551264299746), ('yet collapsing', 0.01959551264299746), ('collapsing deal', 0.01959551264299746)]",negative,"['system', 'saying', 'system collapse', 'collapse', 'collapsing', 'collapsing deal finding', 'hospital accomodate covid', 'yet collapsing deal', 'yet collapsing', 'collapsing deal ']"
11,10,23,10_thank_deodorized_sanitized us_condos,"[('thank', 0.022187337689845398), ('deodorized', 0.02123566568360077), ('sanitized us', 0.02123566568360077), ('condos', 0.02123566568360077), ('cars homes', 0.02123566568360077), ('sanitized us avoid', 0.02123566568360077), ('sir availing sanitizing', 0.02123566568360077), ('covid 19 bring', 0.02123566568360077), ('thank much sir', 0.02123566568360077), ('crews', 0.02123566568360077)]",negative,"['thank', 'deodorized', 'sanitized us', 'condos', 'cars homes', 'sanitized us avoid', 'sir availing sanitizing', 'covid', 'bring', 'thank much sir', 'crews ']"
12,11,23,11_amp_increase_rate infection_increase rate,"[('amp', 0.058922131827002434), ('increase', 0.040058932959677655), ('rate infection', 0.029043344847478447), ('increase rate', 0.029043344847478447), ('vulnerable amp contribute', 0.029043344847478447), ('better increase purchasing', 0.029043344847478447), ('increase purchasing power', 0.029043344847478447), ('contribute increase rate', 0.029043344847478447), ('know need', 0.029043344847478447), ('increase purchasing', 0.029043344847478447)]",negative,"['amp', 'increase', 'rate infection', 'increase rate', 'vulnerable amp contribute', 'better increase purchasing', 'increase purchasing power', 'contribute increase rate', 'know need', 'increase purchasing ']"
13,12,20,12_dance_video_tiktok_nurse covid19,"[('dance', 0.06255894956379406), ('video', 0.042947378355732174), ('tiktok', 0.04070753277342514), ('nurse covid19', 0.030495133129022026), ('covid19 healthcareworker tiktok', 0.030495133129022026), ('healthcareworker tiktok likeforlike', 0.030495133129022026), ('tiktok likeforlike', 0.030495133129022026), ('likeforlike', 0.030495133129022026), ('nurse covid19 healthcareworker', 0.030495133129022026), ('healthcareworker tiktok', 0.030495133129022026)]",negative,"['dance', 'video', 'tiktok', 'nurse covid', 'covid healthcareworker tiktok', 'healthcareworker tiktok likeforlike', 'tiktok likeforlike', 'likeforlike', 'nurse covid healthcareworker', 'healthcareworker tiktok ']"
14,13,20,13_public_safety hours_public safety hours_public safety,"[('public', 0.03560113027890809), ('safety hours', 0.026662660088301593), ('public safety hours', 0.026662660088301593), ('public safety', 0.026662660088301593), ('bleeding', 0.0228117890398739), ('implement', 0.019966076800488636), ('public health', 0.019962843354714196), ('curfew', 0.019706109384392368), ('hours', 0.01957842069397744), ('consti', 0.01883006293038037)]",negative,"['public', 'safety hours', 'public safety hours', 'public safety', 'bleeding', 'implement', 'public health', 'curfew', 'hours', 'consti ']"
15,14,20,14_tally_new_death_death toll,"[('tally', 0.05191891027033627), ('new', 0.05138151604668258), ('death', 0.05015776296030868), ('death toll', 0.0499051564732143), ('nationwide', 0.04936239192946225), ('survivor count', 0.0490146681600613), ('toll', 0.0483462743277146), ('survivor', 0.04570154334179918), ('raising', 0.045530506120872595), ('nationwide tally', 0.04427833115825838)]",negative,"['tally', 'new', 'death', 'death toll', 'nationwide', 'survivor count', 'toll', 'survivor', 'raising', 'nationwide tally ']"
16,15,19,15_salary_grade_fathers_nursing,"[('salary', 0.046104610029010354), ('grade', 0.033886190835684143), ('fathers', 0.026311149716933994), ('nursing', 0.025769304801912814), ('salary grade', 0.023500273618542126), ('job', 0.023285407235281604), ('worker', 0.018587097654760118), ('nursing act', 0.017540766477955994), ('15', 0.01718902114822356), ('doormat', 0.015127253975575601)]",negative,"['salary', 'grade', 'fathers', 'nursing', 'salary grade', 'job', 'worker', 'nursing act', '', 'doormat ']"
17,16,19,16_davao city_singapore_davao_city,"[('davao city', 0.051432217932413746), ('singapore', 0.050004716179792345), ('davao', 0.047620191173139315), ('city', 0.046975736152121285), ('visit', 0.03348265959041232), ('emergency lifted thank', 0.028439505074792776), ('city requested', 0.028439505074792776), ('visit state public', 0.028439505074792776), ('davao city requested', 0.028439505074792776), ('emergency lifted', 0.028439505074792776)]",negative,"['davao city', 'singapore', 'davao', 'city', 'visit', 'emergency lifted thank', 'city requested', 'visit state public', 'davao city requested', 'emergency lifted ']"
18,17,19,17_workers_health workers_says emergency hiring_political ovp,"[('workers', 0.04999552717727623), ('health workers', 0.036202517905875434), ('says emergency hiring', 0.035707378593906484), ('political ovp', 0.035707378593906484), ('hiring healthcare', 0.035707378593906484), ('emergency hiring healthcare', 0.035707378593906484), ('p114m hospitals', 0.035707378593906484), ('workers amid spread', 0.035707378593906484), ('emergency hiring', 0.035707378593906484), ('amid spread covid19', 0.035707378593906484)]",negative,"['workers', 'health workers', 'says emergency hiring', 'political ovp', 'hiring healthcare', 'emergency hiring healthcare', 'pm hospitals', 'workers amid spread', 'emergency hiring', 'amid spread covid ']"
19,18,18,18_thank_pray_mayor_mayor thank,"[('thank', 0.04187587468748598), ('pray', 0.03935592229127904), ('mayor', 0.03220169865717547), ('mayor thank', 0.030955287902971466), ('52000', 0.030955287902971466), ('thank mayor thank', 0.030955287902971466), ('thank mayor', 0.029118904839819323), ('day', 0.027456428223112412), ('real quick', 0.026484435347880808), ('pui real quick', 0.026484435347880808)]",negative,"['thank', 'pray', 'mayor', 'mayor thank', '', 'thank mayor thank', 'thank mayor', 'day', 'real quick', 'pui real quick ']"
20,19,18,19_pts_respiratory therapist inside_sentiment rant_health profession,"[('pts', 0.03650939757803636), ('respiratory therapist inside', 0.026070616045570167), ('sentiment rant', 0.026070616045570167), ('health profession', 0.026070616045570167), ('profession far', 0.026070616045570167), ('fronliner', 0.026070616045570167), ('critical care unit', 0.026070616045570167), ('profession far one', 0.026070616045570167), ('one belittled underappreciated', 0.026070616045570167), ('health profession far', 0.026070616045570167)]",negative,"['pts', 'respiratory therapist inside', 'sentiment rant', 'health profession', 'profession far', 'fronliner', 'critical care unit', 'profession far one', 'one belittled underappreciated', 'health profession far ']"
