Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,402,-1_health_appreciate_im_sa,"[('health', 0.009651752841581632), ('appreciate', 0.009125441517780506), ('im', 0.008986986450244648), ('sa', 0.008623538421028388), ('na', 0.008056184099942387), ('help', 0.007690682591201019), ('ang', 0.006684053976152541), ('ng', 0.005858046288308751), ('nursing', 0.0053058187597684985), ('need', 0.0052549609020170205)]",neutral,"['health', 'appreciate', 'im', 'sa', 'na', 'help', 'ang', 'ng', 'nursing', 'need ']"
1,0,97,0_health_workers_na_help,"[('health', 0.015899030952287143), ('workers', 0.010946672377082552), ('na', 0.008500131872037011), ('help', 0.008114488869693964), ('system', 0.008042368741875555), ('ng', 0.007831651826659108), ('government', 0.007826883817794077), ('healthcare', 0.007791352261853354), ('sa', 0.007699685431672095), ('ang', 0.0076817778811955235)]",neutral,"['health', 'workers', 'na', 'help', 'system', 'ng', 'government', 'healthcare', 'sa', 'ang ']"
2,1,95,1_appreciate_na_appreciation_sa,"[('appreciate', 0.023194378634449085), ('na', 0.02080302139117424), ('appreciation', 0.019284348327776073), ('sa', 0.017215993560471907), ('ko', 0.01535109883966764), ('ang', 0.013917574043577774), ('pero', 0.01246373495858991), ('yung', 0.012094162715216399), ('lang', 0.011859802309497493), ('ako', 0.011649686348661698)]",neutral,"['appreciate', 'na', 'appreciation', 'sa', 'ko', 'ang', 'pero', 'yung', 'lang', 'ako ']"
3,2,62,2_vaccine_vaccines_covid19_health,"[('vaccine', 0.022995050678979185), ('vaccines', 0.017513053470344275), ('covid19', 0.014705966192470842), ('health', 0.014353625901327311), ('cases', 0.012847836024079714), ('vaccinated', 0.012455985762836658), ('still', 0.011623056272289272), ('increasing', 0.011615260165108672), ('covid', 0.01122992301756597), ('insurance', 0.010545259431880966)]",neutral,"['vaccine', 'vaccines', 'covid', 'health', 'cases', 'vaccinated', 'still', 'increasing', 'covid', 'insurance ']"
4,3,48,3_mental_mental health_health_help,"[('mental', 0.07150887589393481), ('mental health', 0.06883710030669078), ('health', 0.040125639170714406), ('help', 0.029330789096446045), ('people', 0.02164863177839527), ('seek', 0.014380166923583052), ('person', 0.012908509941553249), ('make', 0.01282142912156267), ('go', 0.012416072783100965), ('professional', 0.011758649798964625)]",neutral,"['mental', 'mental health', 'health', 'help', 'people', 'seek', 'person', 'make', 'go', 'professional ']"
5,4,40,4_appreciate_care_beauty_people,"[('appreciate', 0.058210259121271424), ('care', 0.024982270509873096), ('beauty', 0.02239707642939177), ('people', 0.02229172348710642), ('thanks', 0.019233142722679307), ('dont', 0.01802074482325482), ('post', 0.01795618121822937), ('appreciation', 0.017270835487670038), ('appreciation post', 0.01595462463457058), ('cant', 0.015769745064127823)]",neutral,"['appreciate', 'care', 'beauty', 'people', 'thanks', 'dont', 'post', 'appreciation', 'appreciation post', 'cant ']"
6,5,32,5_quarantine_qps_must_additional quarantine passes,"[('quarantine', 0.04435661535236452), ('qps', 0.024215952092094404), ('must', 0.018470088553268312), ('additional quarantine passes', 0.017310560143799857), ('additional quarantine', 0.017310560143799857), ('passes', 0.017310560143799857), ('quarantine passes', 0.017310560143799857), ('additional', 0.01556721698164412), ('however', 0.01541692326817673), ('community', 0.015039490908639775)]",neutral,"['quarantine', 'qps', 'must', 'additional quarantine passes', 'additional quarantine', 'passes', 'quarantine passes', 'additional', 'however', 'community ']"
7,6,29,6_stay_covid19_healthy_stayhome,"[('stay', 0.03319152827118002), ('covid19', 0.032199408494298504), ('healthy', 0.028846361644232963), ('stayhome', 0.028052049250199558), ('stay healthy', 0.022647307422161166), ('safe', 0.022287834777178248), ('beach', 0.020850258615561987), ('paradise', 0.020850258615561987), ('instagram', 0.020236535390778174), ('lifestyle', 0.01971785503255118)]",neutral,"['stay', 'covid', 'healthy', 'stayhome', 'stay healthy', 'safe', 'beach', 'paradise', 'instagram', 'lifestyle ']"
8,7,29,7_singapore_covid19_economy_singapores,"[('singapore', 0.05253007057355473), ('covid19', 0.026266939035924565), ('economy', 0.02375322689288241), ('singapores', 0.021868424110589427), ('hong', 0.017494739288471544), ('lockdown', 0.017354746618128886), ('control viral', 0.014203850906490281), ('kong stay', 0.014203850906490281), ('allan zeman chairman', 0.014203850906490281), ('transmission never fully', 0.014203850906490281)]",neutral,"['singapore', 'covid', 'economy', 'singapores', 'hong', 'lockdown', 'control viral', 'kong stay', 'allan zeman chairman', 'transmission never fully ']"
9,8,28,8_covid19_amp_puro_start,"[('covid19', 0.028829761963137874), ('amp', 0.021727139148605103), ('puro', 0.02040299076743144), ('start', 0.019495478080657953), ('ph', 0.01703143711629646), ('pag', 0.01703143711629646), ('pinapairal', 0.017015912311564966), ('ng crematorium para', 0.017015912311564966), ('ng crematorium', 0.017015912311564966), ('become relevant', 0.017015912311564966)]",neutral,"['covid', 'amp', 'puro', 'start', 'ph', 'pag', 'pinapairal', 'ng crematorium para', 'ng crematorium', 'become relevant ']"
