Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,3257,-1_health_thank_good_safe,"[('health', 0.008248467189095415), ('thank', 0.008183053412338513), ('good', 0.007060104548348481), ('safe', 0.006920160190826836), ('love', 0.0063554783044037), ('happy', 0.006203258903224135), ('good health', 0.005539198120033942), ('always', 0.0053563164116511), ('stay', 0.0052889268010355706), ('us', 0.0051130566583352036)]",positive,"['health', 'thank', 'good', 'safe', 'love', 'happy', 'good health', 'always', 'stay', 'us ']"
1,0,5395,0_thank_health_safe_covid19,"[('thank', 0.008671175355117114), ('health', 0.008037581512516134), ('safe', 0.006599915743616222), ('covid19', 0.005850360737037215), ('us', 0.0053200446836473595), ('help', 0.005130490231209935), ('good', 0.005109493689144663), ('stay', 0.005052353223745142), ('happy', 0.004969642401226028), ('amp', 0.004803001250074982)]",positive,"['thank', 'health', 'safe', 'covid', 'us', 'help', 'good', 'stay', 'happy', 'amp ']"
2,1,96,1_mask_face_masks_face mask,"[('mask', 0.04977690924169997), ('face', 0.03832392054751807), ('masks', 0.033470627188062645), ('face mask', 0.0179930897520605), ('face masks', 0.017433595031238227), ('shield', 0.015226866721375893), ('wear', 0.014145714338869927), ('face shield', 0.014106373033608191), ('wearing', 0.01109031502447035), ('n95', 0.010339438765698148)]",positive,"['mask', 'face', 'masks', 'face mask', 'face masks', 'shield', 'wear', 'face shield', 'wearing', 'n ']"
3,2,46,2_stayhomesavelives_quarantine checkpoint_teampnp_teampnp weserveandprotect pnpkakampimo,"[('stayhomesavelives', 0.058825085937753444), ('quarantine checkpoint', 0.04124959909040941), ('teampnp', 0.04121747617876201), ('teampnp weserveandprotect pnpkakampimo', 0.040065269139453394), ('teampnp weserveandprotect', 0.039884841903333364), ('checkpoint', 0.03982595039622953), ('weserveandprotect pnpkakampimo', 0.039203902613429015), ('pnpkakampimo', 0.03858007351012741), ('weserveandprotect', 0.03828674441244901), ('pnplabansacovid19', 0.03675069883056895)]",positive,"['stayhomesavelives', 'quarantine checkpoint', 'teampnp', 'teampnp weserveandprotect pnpkakampimo', 'teampnp weserveandprotect', 'checkpoint', 'weserveandprotect pnpkakampimo', 'pnpkakampimo', 'weserveandprotect', 'pnplabansacovid ']"
4,3,39,3_nursing_ncp fncp fdar_ncp fncp_many dm us,"[('nursing', 0.06189057221212633), ('ncp fncp fdar', 0.03456405883732586), ('ncp fncp', 0.03456405883732586), ('many dm us', 0.03456405883732586), ('many dm', 0.03456405883732586), ('accept types', 0.03456405883732586), ('accept types nursing', 0.03456405883732586), ('fdar', 0.03456405883732586), ('fdar health', 0.03456405883732586), ('fdar health teaching', 0.03456405883732586)]",positive,"['nursing', 'ncp fncp fdar', 'ncp fncp', 'many dm us', 'many dm', 'accept types', 'accept types nursing', 'fdar', 'fdar health', 'fdar health teaching ']"
5,4,37,4_protect_nursing_covid19nursesafety_ill use nursing,"[('protect', 0.06619147344261035), ('nursing', 0.06382728399563503), ('covid19nursesafety', 0.05452850504787772), ('ill use nursing', 0.05013480168770735), ('practices decrease spread', 0.05013480168770735), ('practices decrease', 0.05013480168770735), ('use nursing amp', 0.05013480168770735), ('use nursing', 0.05013480168770735), ('amp infection control', 0.05013480168770735), ('amp infection', 0.05013480168770735)]",positive,"['protect', 'nursing', 'covidnursesafety', 'ill use nursing', 'practices decrease spread', 'practices decrease', 'use nursing amp', 'use nursing', 'amp infection control', 'amp infection ']"
6,5,34,5_coronavirus awareness_response empowerment_awareness response_coronavirus awareness response,"[('coronavirus awareness', 0.037751211831626594), ('response empowerment', 0.035618009342264216), ('awareness response', 0.035618009342264216), ('coronavirus awareness response', 0.035618009342264216), ('awareness response empowerment', 0.035618009342264216), ('empowerment', 0.03547102942406378), ('coronavirus', 0.03183737037787119), ('pat', 0.030529274003524107), ('awareness', 0.029986708931362956), ('response empowerment care', 0.02903921823012218)]",positive,"['coronavirus awareness', 'response empowerment', 'awareness response', 'coronavirus awareness response', 'awareness response empowerment', 'empowerment', 'coronavirus', 'pat', 'awareness', 'response empowerment care ']"
7,6,31,6_forward welcoming future_events stay healthy_events stay_forward welcoming,"[('forward welcoming future', 0.04550542213735698), ('events stay healthy', 0.04550542213735698), ('events stay', 0.04550542213735698), ('forward welcoming', 0.04550542213735698), ('look forward welcoming', 0.04550542213735698), ('webinars', 0.04550542213735698), ('home ubops', 0.04550542213735698), ('home ubops psychpower', 0.04550542213735698), ('stay home ubops', 0.04550542213735698), ('welcoming future', 0.04550542213735698)]",positive,"['forward welcoming future', 'events stay healthy', 'events stay', 'forward welcoming', 'look forward welcoming', 'webinars', 'home ubops', 'home ubops psychpower', 'stay home ubops', 'welcoming future ']"
8,7,31,7_help buy fathers_medicine dont_sir hope help_dont job,"[('help buy fathers', 0.03657737847137762), ('medicine dont', 0.03657737847137762), ('sir hope help', 0.03657737847137762), ('dont job', 0.03657737847137762), ('dont job covid', 0.03657737847137762), ('buy fathers medicine', 0.03657737847137762), ('buy fathers', 0.03657737847137762), ('medicine dont job', 0.03657737847137762), ('job covid', 0.03657737847137762), ('fathers medicine', 0.03657737847137762)]",positive,"['help buy fathers', 'medicine dont', 'sir hope help', 'dont job', 'dont job covid', 'buy fathers medicine', 'buy fathers', 'medicine dont job', 'job covid', 'fathers medicine ']"
9,8,27,8_hapiness_good health hapiness_health hapiness_wishing good health,"[('hapiness', 0.12993119754468369), ('good health hapiness', 0.12993119754468369), ('health hapiness', 0.12993119754468369), ('wishing good health', 0.06285255825621702), ('wishing good', 0.06285255825621702), ('exo', 0.06130885853937436), ('hapiness exo', 0.06010224844259559), ('health hapiness exo', 0.06010224844259559), ('thank much', 0.05934964568919234), ('exo thank', 0.05771682478050516)]",positive,"['hapiness', 'good health hapiness', 'health hapiness', 'wishing good health', 'wishing good', 'exo', 'hapiness exo', 'health hapiness exo', 'thank much', 'exo thank ']"
10,9,27,9_protocols_health standard_standard_standard protocols,"[('protocols', 0.05657796689643414), ('health standard', 0.035158684162649355), ('standard', 0.034338618491015514), ('standard protocols', 0.034087217925258984), ('health standard protocols', 0.034087217925258984), ('minimum', 0.03185131853085406), ('health protocols', 0.030515257097294357), ('minimum health standard', 0.027480483196331694), ('observance', 0.02620735350299918), ('encouraged', 0.025611910793247167)]",positive,"['protocols', 'health standard', 'standard', 'standard protocols', 'health standard protocols', 'minimum', 'health protocols', 'minimum health standard', 'observance', 'encouraged ']"
11,10,26,10_appreciate_appreciate appreciate_appreciate care_really appreciate,"[('appreciate', 0.22450610444019103), ('appreciate appreciate', 0.16109748920913627), ('appreciate care', 0.10199958028829947), ('really appreciate', 0.07430751720157092), ('appreciate much', 0.06367125721986082), ('appreciate still care', 0.0631852728251226), ('appreciate much appreciate', 0.0631852728251226), ('appreciate appreciate brother', 0.0631852728251226), ('appreciate care appreciate', 0.0631852728251226), ('appreciate brother', 0.0631852728251226)]",positive,"['appreciate', 'appreciate appreciate', 'appreciate care', 'really appreciate', 'appreciate much', 'appreciate still care', 'appreciate much appreciate', 'appreciate appreciate brother', 'appreciate care appreciate', 'appreciate brother ']"
12,11,25,11_party_dance_yaaas party dance_philippines antipolo,"[('party', 0.05262371385949734), ('dance', 0.033023460006431214), ('yaaas party dance', 0.024335871017868344), ('philippines antipolo', 0.024335871017868344), ('party dance', 0.024335871017868344), ('philippines antipolo rizal', 0.024335871017868344), ('quarantine enjoy', 0.024335871017868344), ('quarantine enjoy stayhome', 0.024335871017868344), ('stayhealthy lockdown philippines', 0.024335871017868344), ('stayhome stayhealthy lockdown', 0.024335871017868344)]",positive,"['party', 'dance', 'yaaas party dance', 'philippines antipolo', 'party dance', 'philippines antipolo rizal', 'quarantine enjoy', 'quarantine enjoy stayhome', 'stayhealthy lockdown philippines', 'stayhome stayhealthy lockdown ']"
13,12,25,12_doctors nurses_nurses_doctors_frontliners,"[('doctors nurses', 0.04252377222346267), ('nurses', 0.041316506368610534), ('doctors', 0.036669534415948536), ('frontliners', 0.0359548042160851), ('someone actually works', 0.034955382355008266), ('actually works', 0.034955382355008266), ('nurses healthcare frontliners', 0.034955382355008266), ('works pgh thank', 0.034955382355008266), ('works pgh', 0.034955382355008266), ('actually works pgh', 0.034955382355008266)]",positive,"['doctors nurses', 'nurses', 'doctors', 'frontliners', 'someone actually works', 'actually works', 'nurses healthcare frontliners', 'works pgh thank', 'works pgh', 'actually works pgh ']"
14,13,25,13_doctors nurses_doctors_son_love covid19 ecqseason3,"[('doctors nurses', 0.033563913861997294), ('doctors', 0.033077917332685544), ('son', 0.03149480472264932), ('love covid19 ecqseason3', 0.029988906572806496), ('covid19 ecqseason3 frontlineheroes', 0.029988906572806496), ('daughter ashlee', 0.029988906572806496), ('frontlineheroes pantawidngpagibig', 0.029988906572806496), ('ashlee', 0.029988906572806496), ('ashlee sends', 0.029988906572806496), ('ashlee sends appreciation', 0.029988906572806496)]",positive,"['doctors nurses', 'doctors', 'son', 'love covid ecqseason', 'covid ecqseason frontlineheroes', 'daughter ashlee', 'frontlineheroes pantawidngpagibig', 'ashlee', 'ashlee sends', 'ashlee sends appreciation ']"
15,14,24,14_economy_government_address_necessary measures help,"[('economy', 0.050801192337539325), ('government', 0.03398689984287395), ('address', 0.02524392582366492), ('necessary measures help', 0.02164910818787014), ('session pass', 0.02164910818787014), ('933 asks', 0.02164910818787014), ('933 asks congress', 0.02164910818787014), ('pass necessary', 0.02164910818787014), ('933', 0.02164910818787014), ('pass necessary measures', 0.02164910818787014)]",positive,"['economy', 'government', 'address', 'necessary measures help', 'session pass', ' asks', ' asks congress', 'pass necessary', '', 'pass necessary measures ']"
16,15,23,15_1111_1111 blessings_1111 safety_blessings,"[('1111', 0.2388261085099321), ('1111 blessings', 0.09087550673335892), ('1111 safety', 0.07958594436629417), ('blessings', 0.0766461534929443), ('blessings 1111', 0.0679901393058952), ('1111 blessings come', 0.0679901393058952), ('blessings come good', 0.05857121630458677), ('health blessings 1111', 0.05602598877190569), ('1111 safety health', 0.05602598877190569), ('safety health blessings', 0.05602598877190569)]",positive,"['', ' blessings', ' safety', 'blessings', 'blessings', '', 'blessings come', 'blessings come good', 'health blessings', '', 'safety health', 'safety health blessings ']"
17,16,22,16_covid19_frontlinersph butuan_improvisedfaceshield nurse_sarscov2 covid19 coronavirus,"[('covid19', 0.04248785598765407), ('frontlinersph butuan', 0.033625558026285134), ('improvisedfaceshield nurse', 0.033625558026285134), ('sarscov2 covid19 coronavirus', 0.033625558026285134), ('face shield using', 0.033625558026285134), ('workfor stay', 0.033625558026285134), ('continue workfor', 0.033625558026285134), ('nurse covid19', 0.033625558026285134), ('empty water bottles', 0.033625558026285134), ('workfor', 0.033625558026285134)]",positive,"['covid', 'frontlinersph butuan', 'improvisedfaceshield nurse', 'sarscov covid coronavirus', 'face shield using', 'workfor stay', 'continue workfor', 'nurse covid', 'empty water bottles', 'workfor ']"
18,17,21,17_meds_makes everything_rewards todays made_everything health,"[('meds', 0.08976670087862215), ('makes everything', 0.0873167094891168), ('rewards todays made', 0.08343807833978666), ('everything health', 0.08343807833978666), ('reminds meds', 0.08343807833978666), ('supereasy every', 0.08343807833978666), ('supereasy', 0.08343807833978666), ('reminds meds makes', 0.08343807833978666), ('todays made', 0.08343807833978666), ('health supereasy', 0.08343807833978666)]",positive,"['meds', 'makes everything', 'rewards todays made', 'everything health', 'reminds meds', 'supereasy every', 'supereasy', 'reminds meds makes', 'todays made', 'health supereasy ']"
19,18,21,18_heroes_wear_courage_heroes wear capes,"[('heroes', 0.02640081314117351), ('wear', 0.02616676160031379), ('courage', 0.024856193923267357), ('heroes wear capes', 0.022215097944415764), ('heroes wear', 0.022215097944415764), ('wear capes', 0.022215097944415764), ('capes', 0.022215097944415764), ('bravery', 0.01927895811197654), ('serving people', 0.018379384467627064), ('policemen', 0.01801649448207821)]",positive,"['heroes', 'wear', 'courage', 'heroes wear capes', 'heroes wear', 'wear capes', 'capes', 'bravery', 'serving people', 'policemen ']"
20,19,21,19_anniversary_married_eyebrows done_months married getting,"[('anniversary', 0.058678240099622865), ('married', 0.019306837541194152), ('eyebrows done', 0.019306837541194152), ('months married getting', 0.019306837541194152), ('months married', 0.019306837541194152), ('married getting eyebrows', 0.019306837541194152), ('married getting', 0.019306837541194152), ('eyebrows', 0.019306837541194152), ('getting eyebrows done', 0.019306837541194152), ('done nurse', 0.019306837541194152)]",positive,"['anniversary', 'married', 'eyebrows done', 'months married getting', 'months married', 'married getting eyebrows', 'married getting', 'eyebrows', 'getting eyebrows done', 'done nurse ']"
21,20,20,20_overtime_exposing health protect_working overtime_world many,"[('overtime', 0.037428015180014304), ('exposing health protect', 0.037428015180014304), ('working overtime', 0.037428015180014304), ('world many', 0.037428015180014304), ('working overtime going', 0.037428015180014304), ('save life respect', 0.037428015180014304), ('nowaday stay home', 0.037428015180014304), ('nowaday stay', 0.037428015180014304), ('nowaday', 0.037428015180014304), ('us nowaday stay', 0.037428015180014304)]",positive,"['overtime', 'exposing health protect', 'working overtime', 'world many', 'working overtime going', 'save life respect', 'nowaday stay home', 'nowaday stay', 'nowaday', 'us nowaday stay ']"
22,21,20,21_indoor cycling_indoor_cycling_biking,"[('indoor cycling', 0.05813447581198415), ('indoor', 0.0558718965838388), ('cycling', 0.0546381960533732), ('biking', 0.048047512166154556), ('healthylifestyle healthyliving', 0.03893431109426343), ('gay single', 0.03849009222913483), ('bicycle', 0.03752497894991072), ('portrait portraitphotography', 0.037491213775341495), ('portrait', 0.03730779810190746), ('portraitphotography', 0.03730779810190746)]",positive,"['indoor cycling', 'indoor', 'cycling', 'biking', 'healthylifestyle healthyliving', 'gay single', 'bicycle', 'portrait portraitphotography', 'portrait', 'portraitphotography ']"
23,22,19,22_women_aizel_went ophthalmology_frontline great,"[('women', 0.15920532666661524), ('aizel', 0.13037768906042285), ('went ophthalmology', 0.07344787557423536), ('frontline great', 0.07344787557423536), ('celebrate women', 0.07344787557423536), ('women amp', 0.07344787557423536), ('amp girls', 0.07344787557423536), ('amp girls science', 0.07344787557423536), ('women fight', 0.07344787557423536), ('women like', 0.07344787557423536)]",positive,"['women', 'aizel', 'went ophthalmology', 'frontline great', 'celebrate women', 'women amp', 'amp girls', 'amp girls science', 'women fight', 'women like ']"
24,23,18,23_road_safety tips_health protocols_pcpl,"[('road', 0.04418191898840522), ('safety tips', 0.04039958086662818), ('health protocols', 0.039547960695832954), ('pcpl', 0.0395057635283615), ('safety', 0.03782185486988929), ('road safety', 0.03756208831353836), ('road safety tips', 0.03556847790423941), ('protocols', 0.03539846545830292), ('engaged', 0.03533867550526634), ('brgy', 0.03475677292309136)]",positive,"['road', 'safety tips', 'health protocols', 'pcpl', 'safety', 'road safety', 'road safety tips', 'protocols', 'engaged', 'brgy ']"
25,24,18,24_po_quality output_student friendly_offer quality,"[('po', 0.1850851162345312), ('quality output', 0.1596139980011522), ('student friendly', 0.1596139980011522), ('offer quality', 0.1596139980011522), ('friendly rate', 0.1596139980011522), ('offer quality output', 0.1596139980011522), ('student friendly rate', 0.1596139980011522), ('output', 0.1582127480264188), ('friendly', 0.1463828969063541), ('quality output yet', 0.14459298635852824)]",positive,"['po', 'quality output', 'student friendly', 'offer quality', 'friendly rate', 'offer quality output', 'student friendly rate', 'output', 'friendly', 'quality output yet ']"
