Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,421,-1_health_covid19_amp_help,"[('health', 0.008691843620923703), ('covid19', 0.008202899499916545), ('amp', 0.007299581452409815), ('help', 0.00684485558874622), ('stayhome', 0.006314074337133874), ('covid', 0.005923094938324061), ('cases', 0.0059048630627900915), ('please', 0.005752458323987719), ('hospital', 0.004973126208146282), ('us', 0.004930228802953543)]",negative,"['health', 'covid', 'amp', 'help', 'stayhome', 'covid', 'cases', 'please', 'hospital', 'us ']"
1,0,151,0_help_sir_please_job,"[('help', 0.01822365412291535), ('sir', 0.01151760744239791), ('please', 0.010848461251862375), ('job', 0.008998534039190872), ('need', 0.00832290795248281), ('back', 0.008012492802807792), ('health', 0.007620747698253427), ('please help', 0.006871238223853256), ('medical', 0.006776594622180143), ('pls', 0.006652562264328594)]",negative,"['help', 'sir', 'please', 'job', 'need', 'back', 'health', 'please help', 'medical', 'pls ']"
2,1,146,1_people_workers_covid19_india,"[('people', 0.011004173351061417), ('workers', 0.010015619132444854), ('covid19', 0.008429803867064356), ('india', 0.007998272776328858), ('pakistan', 0.0075318066644083975), ('amp', 0.0073104306292493815), ('govt', 0.00719952436008472), ('protest', 0.0069622425947335614), ('shame', 0.006530133102205918), ('medical', 0.006431746666578298)]",negative,"['people', 'workers', 'covid', 'india', 'pakistan', 'amp', 'govt', 'protest', 'shame', 'medical ']"
3,2,106,2_oman_recorded coronavirus_ministry health recorded_recorded coronavirus cases,"[('oman', 0.059349150657129986), ('recorded coronavirus', 0.05730341085335337), ('ministry health recorded', 0.05730341085335337), ('recorded coronavirus cases', 0.05730341085335337), ('recorded', 0.05730341085335337), ('health recorded', 0.05730341085335337), ('coronavirus cases sultanate', 0.05730341085335337), ('health recorded coronavirus', 0.05730341085335337), ('cases sultanate', 0.056466056403476815), ('coronavirus cases', 0.054275493127297805)]",negative,"['oman', 'recorded coronavirus', 'ministry health recorded', 'recorded coronavirus cases', 'recorded', 'health recorded', 'coronavirus cases sultanate', 'health recorded coronavirus', 'cases sultanate', 'coronavirus cases ']"
4,3,93,3_staysafe_stayhome_quarantine_allah,"[('staysafe', 0.021831524478430567), ('stayhome', 0.02127554106496952), ('quarantine', 0.01907401816219593), ('allah', 0.017676963380837997), ('stayhealthy', 0.01705706563670942), ('quarantinelife', 0.01653720189214711), ('staysafe stayhome', 0.013855435292454903), ('dubai', 0.013581344245372015), ('riyadh', 0.01225275078942296), ('stay', 0.011892910819047977)]",negative,"['staysafe', 'stayhome', 'quarantine', 'allah', 'stayhealthy', 'quarantinelife', 'staysafe stayhome', 'dubai', 'riyadh', 'stay ']"
5,4,83,4_nurses_amp_deh_doctors,"[('nurses', 0.025622329862281135), ('amp', 0.015485804131584013), ('deh', 0.014625833275793317), ('doctors', 0.012934487174788461), ('care', 0.012052039416212907), ('future', 0.009628922909689173), ('build', 0.009514711135862093), ('increasing', 0.009227416887127256), ('someone', 0.009224481508289275), ('amp nurses', 0.008749823277654565)]",negative,"['nurses', 'amp', 'deh', 'doctors', 'care', 'future', 'build', 'increasing', 'someone', 'amp nurses ']"
6,5,45,5_vaccine_dose_second dose_may,"[('vaccine', 0.05484495643016933), ('dose', 0.016364858882466516), ('second dose', 0.014195955948361283), ('may', 0.011907923119493173), ('tonnes', 0.011893445352152107), ('second', 0.0116827998909363), ('india', 0.010767309293269703), ('citizens', 0.010744425186722315), ('covid 19 vaccine', 0.01071675612174757), ('19 vaccine', 0.01071675612174757)]",negative,"['vaccine', 'dose', 'second dose', 'may', 'tonnes', 'second', 'india', 'citizens', 'covid', 'vaccine', ' vaccine ']"
7,6,43,6_singapore_countries_amid_31,"[('singapore', 0.05656293138608268), ('countries', 0.015480697868752405), ('amid', 0.01392403352839424), ('31', 0.013869475175333669), ('virus', 0.013483450436965501), ('first', 0.01111952528525147), ('declared', 0.011067231705568559), ('covid19', 0.010539731274449442), ('city', 0.010506104912363024), ('covid', 0.010287563400705375)]",negative,"['singapore', 'countries', 'amid', '', 'virus', 'first', 'declared', 'covid', 'city', 'covid ']"
8,7,38,7_deaths_total_cases_registered infected,"[('deaths', 0.03642771482641445), ('total', 0.035920515546893746), ('cases', 0.03376403976788879), ('registered infected', 0.02938572213223949), ('reported registration', 0.02938572213223949), ('covid19 sultanate total', 0.02938572213223949), ('registered infected cases', 0.02938572213223949), ('total registered infected', 0.02938572213223949), ('health reported registration', 0.02938572213223949), ('total registered', 0.02938572213223949)]",negative,"['deaths', 'total', 'cases', 'registered infected', 'reported registration', 'covid sultanate total', 'registered infected cases', 'total registered infected', 'health reported registration', 'total registered ']"
9,8,35,8_mental_mental health_health_issue,"[('mental', 0.06074806607856227), ('mental health', 0.059013576373262815), ('health', 0.02723791861973597), ('issue', 0.014609213010707188), ('help', 0.010865828820549882), ('talking', 0.010702516115271413), ('stigma', 0.009584084110752409), ('media', 0.009106638966966518), ('open', 0.009019268815904842), ('using', 0.00889531345015933)]",negative,"['mental', 'mental health', 'health', 'issue', 'help', 'talking', 'stigma', 'media', 'open', 'using ']"
