Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,280,-1_singapore_health_safe_covid,"[('singapore', 0.013957381381183392), ('health', 0.010076957242483852), ('safe', 0.006697564993994928), ('covid', 0.0064020222916825655), ('covid19', 0.00634029186842074), ('appreciate', 0.006302311171575276), ('need', 0.0059534641393204045), ('us', 0.005687732971409102), ('day', 0.005627063546049355), ('home', 0.005379296368157414)]",neutral,"['singapore', 'health', 'safe', 'covid', 'covid', 'appreciate', 'need', 'us', 'day', 'home ']"
1,0,251,0_singapore_covid19_safe_new,"[('singapore', 0.025041571883143005), ('covid19', 0.014874458082043464), ('safe', 0.00940867865936525), ('new', 0.008534919679159777), ('cases', 0.0077351008587654), ('due', 0.0076040602947359485), ('im', 0.007479777166466112), ('covid', 0.007238673103841191), ('day', 0.006663208391639179), ('quarantine', 0.006324997511066507)]",neutral,"['singapore', 'covid', 'safe', 'new', 'cases', 'due', 'im', 'covid', 'day', 'quarantine ']"
2,1,71,1_health_help_need_needs,"[('health', 0.028972176224492732), ('help', 0.017305011198974873), ('need', 0.010622249846686065), ('needs', 0.010313668262776), ('mental health', 0.009402673170428675), ('take', 0.009348566717049877), ('things', 0.009240747315601955), ('covid19', 0.009213746353079784), ('number', 0.009117923304856307), ('still', 0.009057840841849326)]",neutral,"['health', 'help', 'need', 'needs', 'mental health', 'take', 'things', 'covid', 'number', 'still ']"
3,2,56,2_mask_wear_face_wear mask,"[('mask', 0.06311896010125789), ('wear', 0.030253714382201587), ('face', 0.024649915800133745), ('wear mask', 0.021111462222434495), ('masks', 0.017994664250005295), ('public', 0.015618694327300777), ('youre', 0.014869264031068781), ('singapore', 0.013924284609615544), ('face mask', 0.013587634986725954), ('wearing', 0.012126313511234187)]",neutral,"['mask', 'wear', 'face', 'wear mask', 'masks', 'public', 'youre', 'singapore', 'face mask', 'wearing ']"
4,3,49,3_vaccine_vaccination_singapore_vaccines,"[('vaccine', 0.050036387662329276), ('vaccination', 0.02853590252627248), ('singapore', 0.019239292374454754), ('vaccines', 0.017559316406931202), ('covid19 vaccine', 0.015729685678750986), ('next year', 0.013482587724643702), ('next', 0.012368890607591918), ('folks', 0.01221981107463267), ('vaccination even', 0.0118934195005534), ('access', 0.0118934195005534)]",neutral,"['vaccine', 'vaccination', 'singapore', 'vaccines', 'covid vaccine', 'next year', 'next', 'folks', 'vaccination even', 'access ']"
5,4,26,4_circuit breaker_breaker_circuit_circuitbreaker,"[('circuit breaker', 0.05957147335516378), ('breaker', 0.05957147335516378), ('circuit', 0.05957147335516378), ('circuitbreaker', 0.03689405551745206), ('stay', 0.03356391533596446), ('covid19', 0.02477170364842849), ('singapore', 0.024346562155030352), ('covid19singapore', 0.02428008382615921), ('breaker measures', 0.021418234270064385), ('circuit breaker measures', 0.021418234270064385)]",neutral,"['circuit breaker', 'breaker', 'circuit', 'circuitbreaker', 'stay', 'covid', 'singapore', 'covidsingapore', 'breaker measures', 'circuit breaker measures ']"
6,5,26,5_0414_0414 singapore_looka_mask looka,"[('0414', 0.0746338392222473), ('0414 singapore', 0.0746338392222473), ('looka', 0.07182052470916296), ('mask looka', 0.06314652062803083), ('orchardgateway', 0.06016964803919459), ('mask', 0.060117659276116404), ('pants', 0.054071047776803986), ('shoes', 0.054071047776803986), ('tee', 0.05094246385409121), ('shirt', 0.041186324425446445)]",neutral,"['', ' singapore', 'looka', 'mask looka', 'orchardgateway', 'mask', 'pants', 'shoes', 'tee', 'shirt ']"
7,6,24,6_news_coronavirus_covid19_singapore,"[('news', 0.032293383656757435), ('coronavirus', 0.026861069364275812), ('covid19', 0.02582384872354013), ('singapore', 0.020274483657682297), ('two parts safe', 0.020108686949888578), ('story two parts', 0.020108686949888578), ('story two', 0.020108686949888578), ('safe nowhere', 0.020108686949888578), ('nowhere safe singaporeupdates', 0.020108686949888578), ('nowhere safe', 0.020108686949888578)]",neutral,"['news', 'coronavirus', 'covid', 'singapore', 'two parts safe', 'story two parts', 'story two', 'safe nowhere', 'nowhere safe singaporeupdates', 'nowhere safe ']"
8,7,23,7_worker_migrant_minimum_dormitories,"[('worker', 0.03294091064534096), ('migrant', 0.02607391717471526), ('minimum', 0.023580657543101128), ('dormitories', 0.023580657543101128), ('benefit', 0.021372097558513936), ('migrant worker', 0.01996919817376867), ('singapore', 0.019643721943887738), ('foreign', 0.017382611449810174), ('possible many migrants', 0.016235902796576704), ('many migrants crowded', 0.016235902796576704)]",neutral,"['worker', 'migrant', 'minimum', 'dormitories', 'benefit', 'migrant worker', 'singapore', 'foreign', 'possible many migrants', 'many migrants crowded ']"
9,8,23,8_sony_singapore air_force f15sg_a7riv sony,"[('sony', 0.05419563544449248), ('singapore air', 0.030806988080503087), ('force f15sg', 0.030806988080503087), ('a7riv sony', 0.030806988080503087), ('singapore air force', 0.030806988080503087), ('force f15sg strike', 0.030806988080503087), ('a7riv', 0.030806988080503087), ('air force f15sg', 0.030806988080503087), ('air force', 0.030806988080503087), ('f15sg strike', 0.030806988080503087)]",neutral,"['sony', 'singapore air', 'force fsg', 'ariv sony', 'singapore air force', 'force fsg strike', 'ariv', 'air force fsg', 'air force', 'fsg strike ']"
10,9,21,9_measures_distancing_public_many ignoring,"[('measures', 0.03490548557229193), ('distancing', 0.0337214491308716), ('public', 0.03370349828522799), ('many ignoring', 0.032731181898884916), ('selfisolation effective ways', 0.032731181898884916), ('measures floor stickers', 0.032731181898884916), ('measures floor', 0.032731181898884916), ('floor stickers help', 0.032731181898884916), ('ignoring public', 0.032731181898884916), ('isnt following', 0.032731181898884916)]",neutral,"['measures', 'distancing', 'public', 'many ignoring', 'selfisolation effective ways', 'measures floor stickers', 'measures floor', 'floor stickers help', 'ignoring public', 'isnt following ']"
11,10,21,10_coronavirus_test_well_covid19,"[('coronavirus', 0.0714757026573813), ('test', 0.05812532552556931), ('well', 0.0476504684382542), ('covid19', 0.04111196948684334), ('covid19 covid19 sglife', 0.03723915527411262), ('swab test done', 0.03723915527411262), ('symptoms four days', 0.03723915527411262), ('get swab', 0.03723915527411262), ('covid19 coronavirus', 0.03723915527411262), ('four days', 0.03723915527411262)]",neutral,"['coronavirus', 'test', 'well', 'covid', 'covid covid sglife', 'swab test done', 'symptoms four days', 'get swab', 'covid coronavirus', 'four days ']"
12,11,21,11_exploring_archives_exploring archives_exploringsgfromhome,"[('exploring', 0.048780824051767306), ('archives', 0.048780824051767306), ('exploring archives', 0.048780824051767306), ('exploringsgfromhome', 0.048780824051767306), ('stayhome covid19', 0.048780824051767306), ('sgmemory', 0.04623222290847673), ('stayhome', 0.04339329296117386), ('exploringsgfromhome singapore sgmemory', 0.034918614441007675), ('exploringsgfromhome singapore', 0.034918614441007675), ('stayhome covid19 exploringsgfromhome', 0.034918614441007675)]",neutral,"['exploring', 'archives', 'exploring archives', 'exploringsgfromhome', 'stayhome covid', 'sgmemory', 'stayhome', 'exploringsgfromhome singapore sgmemory', 'exploringsgfromhome singapore', 'stayhome covid exploringsgfromhome ']"
13,12,18,12_stayhome stayhealthy_stayhealthy_fitnessgoals_fitforlife fightingfit,"[('stayhome stayhealthy', 0.03235278673242382), ('stayhealthy', 0.03106829674867492), ('fitnessgoals', 0.029217938079394185), ('fitforlife fightingfit', 0.029217938079394185), ('fitnessathome', 0.029217938079394185), ('fitnessathome stayhome', 0.029217938079394185), ('fitnessathome stayhome stayhealthy', 0.029217938079394185), ('homeworkout workout fitnessathome', 0.029217938079394185), ('fitnessgoals fitforlife', 0.029217938079394185), ('fitnessgoals fitforlife fightingfit', 0.029217938079394185)]",neutral,"['stayhome stayhealthy', 'stayhealthy', 'fitnessgoals', 'fitforlife fightingfit', 'fitnessathome', 'fitnessathome stayhome', 'fitnessathome stayhome stayhealthy', 'homeworkout workout fitnessathome', 'fitnessgoals fitforlife', 'fitnessgoals fitforlife fightingfit ']"
14,13,17,13_anti_people_ho ching_ho,"[('anti', 0.04287653008643043), ('people', 0.0390354502626442), ('ho ching', 0.03643211475733618), ('ho', 0.03643211475733618), ('ching', 0.03643211475733618), ('frontline', 0.028718018630409178), ('govt', 0.026956647374980453), ('mandarin', 0.025957990242495243), ('reminded people singapore', 0.025957990242495243), ('reminded', 0.025957990242495243)]",neutral,"['anti', 'people', 'ho ching', 'ho', 'ching', 'frontline', 'govt', 'mandarin', 'reminded people singapore', 'reminded ']"
15,14,16,14_masks_covid19_turn pandemic something_masks contact,"[('masks', 0.05992131851778412), ('covid19', 0.036270356836616106), ('turn pandemic something', 0.033378378845754134), ('masks contact', 0.033378378845754134), ('lawrence', 0.033378378845754134), ('something much', 0.033378378845754134), ('tighten measures', 0.033378378845754134), ('life threatening', 0.033378378845754134), ('markets', 0.033378378845754134), ('delusional singapore', 0.033378378845754134)]",neutral,"['masks', 'covid', 'turn pandemic something', 'masks contact', 'lawrence', 'something much', 'tighten measures', 'life threatening', 'markets', 'delusional singapore ']"
16,15,15,15_appreciate_dont_person_someone,"[('appreciate', 0.08620307819759378), ('dont', 0.05796904688545027), ('person', 0.05628078887456295), ('someone', 0.048565026270273114), ('people', 0.03850748387602029), ('love', 0.03470620201650375), ('someone care', 0.034426914306877304), ('care', 0.033365157604508894), ('caring', 0.030805165095862796), ('things', 0.027286814062824623)]",neutral,"['appreciate', 'dont', 'person', 'someone', 'people', 'love', 'someone care', 'care', 'caring', 'things ']"
17,16,14,16_thank_hospital_hyung_utk,"[('thank', 0.03581436300240218), ('hospital', 0.03418291432819538), ('hyung', 0.032372319877706425), ('utk', 0.032372319877706425), ('scaling', 0.032372319877706425), ('operations', 0.032372319877706425), ('la', 0.027181303618429038), ('doctor', 0.027181303618429038), ('okay', 0.02412504111852192), ('appointment', 0.021157191384099848)]",neutral,"['thank', 'hospital', 'hyung', 'utk', 'scaling', 'operations', 'la', 'doctor', 'okay', 'appointment ']"
18,17,14,17_covid_celcius_deg celcius_deg,"[('covid', 0.033423827412111716), ('celcius', 0.030159823195417133), ('deg celcius', 0.030159823195417133), ('deg', 0.030159823195417133), ('get covid', 0.029091817483368025), ('world', 0.02631538814131597), ('chance', 0.026281595052670793), ('singapore', 0.0254379133086316), ('die', 0.02452680882847778), ('high', 0.02384490857968423)]",neutral,"['covid', 'celcius', 'deg celcius', 'deg', 'get covid', 'world', 'chance', 'singapore', 'die', 'high ']"
19,18,13,18_sites_covid19_daily_music industries,"[('sites', 0.039654669778363835), ('covid19', 0.029219372085112882), ('daily', 0.029066863300679358), ('music industries', 0.029011871447494685), ('industries', 0.029011871447494685), ('average', 0.025822524127840005), ('members', 0.025281257524714468), ('music', 0.02435971500751945), ('time', 0.023824101023010448), ('systemdesign', 0.022752735752988116)]",neutral,"['sites', 'covid', 'daily', 'music industries', 'industries', 'average', 'members', 'music', 'time', 'systemdesign ']"
20,19,13,19_voucher_vouchers_hotel_winning,"[('voucher', 0.06974494834528748), ('vouchers', 0.04724021764238499), ('hotel', 0.03982741153222443), ('winning', 0.030726825386044695), ('staycation', 0.030726825386044695), ('wisteria', 0.030726825386044695), ('hotels', 0.028344130585430994), ('thats', 0.028335884517910755), ('singapore', 0.022718790565944925), ('singapore marriott', 0.02174623348507098)]",neutral,"['voucher', 'vouchers', 'hotel', 'winning', 'staycation', 'wisteria', 'hotels', 'thats', 'singapore', 'singapore marriott ']"
21,20,13,20_residents_ensure resources_office plan_must ensure resources,"[('residents', 0.04150918418144529), ('ensure resources', 0.031016701097233798), ('office plan', 0.031016701097233798), ('must ensure resources', 0.031016701097233798), ('must ensure', 0.031016701097233798), ('available implement new', 0.031016701097233798), ('leads frustration', 0.031016701097233798), ('office plan leads', 0.031016701097233798), ('leads frustration residents', 0.031016701097233798), ('implement', 0.031016701097233798)]",neutral,"['residents', 'ensure resources', 'office plan', 'must ensure resources', 'must ensure', 'available implement new', 'leads frustration', 'office plan leads', 'leads frustration residents', 'implement ']"
22,21,13,21_doctors_covid cluster_go_cluster,"[('doctors', 0.035089788025134044), ('covid cluster', 0.032093354207842505), ('go', 0.03025664165767073), ('cluster', 0.027478411146660768), ('theyre rehousing get', 0.026617240788336393), ('hospital capacity', 0.026617240788336393), ('go singapore nurses', 0.026617240788336393), ('criteria prompt', 0.026617240788336393), ('may turn', 0.026617240788336393), ('still technically', 0.026617240788336393)]",neutral,"['doctors', 'covid cluster', 'go', 'cluster', 'theyre rehousing get', 'hospital capacity', 'go singapore nurses', 'criteria prompt', 'may turn', 'still technically ']"
23,22,13,22_perspective_covid cases_cases_based,"[('perspective', 0.0520225876754607), ('covid cases', 0.0454815877560778), ('cases', 0.042906006858660285), ('based', 0.04042807800540248), ('advice', 0.03723915527411262), ('covid', 0.032344957033619504), ('follow', 0.031060676697448154), ('singapore', 0.029372337400275176), ('singapore 208000', 0.026533009013689757), ('covid cases singapore', 0.026533009013689757)]",neutral,"['perspective', 'covid cases', 'cases', 'based', 'advice', 'covid', 'follow', 'singapore', 'singapore', ' covid cases singapore ']"
24,23,12,23_covid19_clean_various_remember,"[('covid19', 0.060581575761959834), ('clean', 0.05471469666196726), ('various', 0.04344264688251794), ('remember', 0.04293319031834337), ('equipment use', 0.034070158718205006), ('hands clean touching', 0.034070158718205006), ('life goes changes', 0.034070158718205006), ('goes changes singapore', 0.034070158718205006), ('got covid19', 0.034070158718205006), ('socialdistancing streetphotography coronavirus', 0.034070158718205006)]",neutral,"['covid', 'clean', 'various', 'remember', 'equipment use', 'hands clean touching', 'life goes changes', 'goes changes singapore', 'got covid', 'socialdistancing streetphotography coronavirus ']"
25,24,12,24_room_cases_testing_number,"[('room', 0.07166420450027683), ('cases', 0.06779149083668325), ('testing', 0.06720258795117068), ('number', 0.057138986043766195), ('easily shn', 0.055896205655506424), ('explains explosion number', 0.055896205655506424), ('easily shn explains', 0.055896205655506424), ('explains', 0.055896205655506424), ('explains explosion', 0.055896205655506424), ('explosion', 0.055896205655506424)]",neutral,"['room', 'cases', 'testing', 'number', 'easily shn', 'explains explosion number', 'easily shn explains', 'explains', 'explains explosion', 'explosion ']"
26,25,10,25_feel_yall_nurses_work,"[('feel', 0.04999969912765), ('yall', 0.04071829801152092), ('nurses', 0.03941377681755476), ('work', 0.036806999536599015), ('pain', 0.03343060530289656), ('cant', 0.03175370912823133), ('novocain', 0.026441442987529488), ('pain nurse nursing', 0.026441442987529488), ('pantat', 0.026441442987529488), ('pantat apek', 0.026441442987529488)]",neutral,"['feel', 'yall', 'nurses', 'work', 'pain', 'cant', 'novocain', 'pain nurse nursing', 'pantat', 'pantat apek ']"
