Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,2491,-1_health_people_help_covid19,"[('health', 0.011815254890751433), ('people', 0.008863608359517161), ('help', 0.007138383850847717), ('covid19', 0.006069222293403126), ('dont', 0.0055991188594181045), ('amp', 0.005537712228831572), ('workers', 0.005353712060124777), ('lockdown', 0.005321259596233398), ('im', 0.0050817847118771065), ('using', 0.004931181915291492)]",negative,"['health', 'people', 'help', 'covid', 'dont', 'amp', 'workers', 'lockdown', 'im', 'using ']"
1,0,4821,0_health_covid19_help_people,"[('health', 0.012234800467596183), ('covid19', 0.012156209872003053), ('help', 0.00866819722143058), ('people', 0.00850557589204988), ('amp', 0.006340884335316393), ('lockdown', 0.006108541001688943), ('please', 0.005635264765041451), ('covid', 0.005365557222130459), ('south', 0.005363714261310266), ('mental', 0.005253374886396203)]",negative,"['health', 'covid', 'help', 'people', 'amp', 'lockdown', 'please', 'covid', 'south', 'mental ']"
2,1,75,1_weight_fitness_health_exercise,"[('weight', 0.022824226997512385), ('fitness', 0.02089429067232432), ('health', 0.020727440616132645), ('exercise', 0.020694604306084784), ('exercising', 0.017149512344941616), ('foods', 0.014106676893753303), ('sugar', 0.013279712673197925), ('gym', 0.012643632382035178), ('unhealthy', 0.012440554195380146), ('stayhome', 0.012335983624387842)]",negative,"['weight', 'fitness', 'health', 'exercise', 'exercising', 'foods', 'sugar', 'gym', 'unhealthy', 'stayhome ']"
3,2,40,2_smileyrisingup_imtheone_imtheone jesuslovesme jesuslovesus_jesuslovesme,"[('smileyrisingup', 0.0793634727866113), ('imtheone', 0.07612800460477864), ('imtheone jesuslovesme jesuslovesus', 0.07612800460477864), ('jesuslovesme', 0.07612800460477864), ('jesuslovesme jesuslovesus', 0.07612800460477864), ('jesuslovesus', 0.07612800460477864), ('imtheone jesuslovesme', 0.07612800460477864), ('smileyrisingup imtheone jesuslovesme', 0.06740437615541199), ('smileyrisingup imtheone', 0.06740437615541199), ('tested', 0.043871495052715696)]",negative,"['smileyrisingup', 'imtheone', 'imtheone jesuslovesme jesuslovesus', 'jesuslovesme', 'jesuslovesme jesuslovesus', 'jesuslovesus', 'imtheone jesuslovesme', 'smileyrisingup imtheone jesuslovesme', 'smileyrisingup imtheone', 'tested ']"
4,3,39,3_coronavirus_food social grant_see doctor_social grant see,"[('coronavirus', 0.03764632211114236), ('food social grant', 0.031691622667410144), ('see doctor', 0.031691622667410144), ('social grant see', 0.031691622667410144), ('coronavirus kills', 0.031691622667410144), ('get food social', 0.031691622667410144), ('grant see doctor', 0.031691622667410144), ('grant see', 0.031691622667410144), ('food social', 0.031691622667410144), ('leave home get', 0.03085013668589483)]",negative,"['coronavirus', 'food social grant', 'see doctor', 'social grant see', 'coronavirus kills', 'get food social', 'grant see doctor', 'grant see', 'food social', 'leave home get ']"
5,4,35,4_see_gems_scheme gems_medical scheme gems,"[('see', 0.08908219443806213), ('gems', 0.08304516288967982), ('scheme gems', 0.07841077340093969), ('medical scheme gems', 0.07841077340093969), ('coloured amp', 0.0757038867441296), ('black coloured amp', 0.0757038867441296), ('black coloured', 0.0757038867441296), ('coloured amp indian', 0.0757038867441296), ('amp indian', 0.0757038867441296), ('520 black coloured', 0.0757038867441296)]",negative,"['see', 'gems', 'scheme gems', 'medical scheme gems', 'coloured amp', 'black coloured amp', 'black coloured', 'coloured amp indian', 'amp indian', ' black coloured ']"
6,5,32,5_voucher_icanwithabsa_dischem_using,"[('voucher', 0.05338047941401345), ('icanwithabsa', 0.039034946663380615), ('dischem', 0.02876539704819856), ('using', 0.02703321715290105), ('system', 0.026370648746052435), ('code', 0.02236361205239908), ('vouchers', 0.02175360807239307), ('redeem free', 0.021333133176491943), ('redeem free voucher', 0.021333133176491943), ('register redeem', 0.021333133176491943)]",negative,"['voucher', 'icanwithabsa', 'dischem', 'using', 'system', 'code', 'vouchers', 'redeem free', 'redeem free voucher', 'register redeem ']"
7,6,24,6_awareness_health_raising awareness_amongst countrys,"[('awareness', 0.03903711304241502), ('health', 0.028637628654296903), ('raising awareness', 0.025922360564322712), ('amongst countrys', 0.024137976578692294), ('raising awareness amongst', 0.024137976578692294), ('phola', 0.024137976578692294), ('phola team', 0.024137976578692294), ('countrys vulnerable keep', 0.024137976578692294), ('countrys vulnerable', 0.024137976578692294), ('amongst countrys vulnerable', 0.024137976578692294)]",negative,"['awareness', 'health', 'raising awareness', 'amongst countrys', 'raising awareness amongst', 'phola', 'phola team', 'countrys vulnerable keep', 'countrys vulnerable', 'amongst countrys vulnerable ']"
8,7,23,7_contacts_defense covid19sa_line defense covid19sa_last line defense,"[('contacts', 0.05184971702462171), ('defense covid19sa', 0.025696728598956203), ('line defense covid19sa', 0.025696728598956203), ('last line defense', 0.023209014867860693), ('workers last line', 0.023209014867860693), ('healthcare workers last', 0.023209014867860693), ('line defense', 0.023209014867860693), ('last line', 0.022934541655061286), ('healthcare workers', 0.02271738991463651), ('workers last', 0.02268206549378237)]",negative,"['contacts', 'defense covidsa', 'line defense covidsa', 'last line defense', 'workers last line', 'healthcare workers last', 'line defense', 'last line', 'healthcare workers', 'workers last ']"
9,8,23,8_collapsing_healthcare_public healthcare funded_funded definitely,"[('collapsing', 0.07369324114769146), ('healthcare', 0.05943428424946023), ('public healthcare funded', 0.05423204725757054), ('funded definitely', 0.05423204725757054), ('healthcare funded definitely', 0.05423204725757054), ('healthcare funded', 0.05423204725757054), ('funded definitely collapsing', 0.05423204725757054), ('definitely collapsing', 0.05423204725757054), ('funded', 0.05128175253035475), ('large population compared', 0.04964980473373539)]",negative,"['collapsing', 'healthcare', 'public healthcare funded', 'funded definitely', 'healthcare funded definitely', 'healthcare funded', 'funded definitely collapsing', 'definitely collapsing', 'funded', 'large population compared ']"
