Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,620,-1_health_help_appreciate_people,"[('health', 0.012195207599689407), ('help', 0.009244541028153634), ('appreciate', 0.008905559980078546), ('people', 0.007661354159216227), ('covid19', 0.007343955733186757), ('would', 0.007103054479907156), ('care', 0.006053847831021713), ('amp', 0.0058425128647320995), ('dont', 0.005560939070796388), ('im', 0.005042185479690342)]",neutral,"['health', 'help', 'appreciate', 'people', 'covid', 'would', 'care', 'amp', 'dont', 'im ']"
1,0,380,0_health_covid19_covid_nursing,"[('health', 0.012007054155026195), ('covid19', 0.009493504643774728), ('covid', 0.008694863896914906), ('nursing', 0.007804602615699277), ('help', 0.007441754028530735), ('people', 0.00624488215727964), ('amp', 0.006174238031305838), ('appreciate', 0.006152395304192965), ('workers', 0.005933451243139679), ('need', 0.005613547891707965)]",neutral,"['health', 'covid', 'covid', 'nursing', 'help', 'people', 'amp', 'appreciate', 'workers', 'need ']"
2,1,136,1_mental_mental health_health_help,"[('mental', 0.055472936963246296), ('mental health', 0.05338804380360731), ('health', 0.032753194975390365), ('help', 0.01894494651353209), ('issues', 0.009805956483194536), ('depression', 0.009435437507949559), ('mental health issues', 0.00870963462272267), ('need', 0.008507111561573966), ('pray', 0.008174861268431817), ('people', 0.007968243801624555)]",neutral,"['mental', 'mental health', 'health', 'help', 'issues', 'depression', 'mental health issues', 'need', 'pray', 'people ']"
3,2,97,2_appreciate_dont_song_love,"[('appreciate', 0.027629960766310135), ('dont', 0.01295190796863176), ('song', 0.011906916286829735), ('love', 0.011643481136864017), ('care', 0.011414233171853973), ('player', 0.008003851336908136), ('people', 0.007631377553950185), ('still', 0.007614097196154676), ('music', 0.00701390850878791), ('good', 0.006916166249187547)]",neutral,"['appreciate', 'dont', 'song', 'love', 'care', 'player', 'people', 'still', 'music', 'good ']"
4,3,44,3_closing date_date_closing_salary,"[('closing date', 0.04246881653572075), ('date', 0.041435003201478554), ('closing', 0.03985627456310754), ('salary', 0.030013319002915685), ('requirements', 0.029881631044114086), ('12', 0.02461535675900794), ('assistant', 0.02362389546662618), ('grade', 0.022670510429814356), ('2021', 0.02226046836693166), ('apply', 0.01818597343860762)]",neutral,"['closing date', 'date', 'closing', 'salary', 'requirements', '', 'assistant', 'grade', '', 'apply ']"
5,4,43,4_food_weight_health_black friday,"[('food', 0.02614887872392747), ('weight', 0.01837710569184793), ('health', 0.016877993961014012), ('black friday', 0.016149803256553935), ('im', 0.016012736145444253), ('friday', 0.014155179851048525), ('black', 0.013964275840923305), ('fat', 0.013458169380461609), ('sugar', 0.013126504065605662), ('benefits', 0.012201232041029565)]",neutral,"['food', 'weight', 'health', 'black friday', 'im', 'friday', 'black', 'fat', 'sugar', 'benefits ']"
6,5,42,5_appreciation_tweet_appreciation tweet_appreciation post,"[('appreciation', 0.13777916041486318), ('tweet', 0.08295959574966118), ('appreciation tweet', 0.07263166703179198), ('appreciation post', 0.07015970966474332), ('post', 0.061794635135625206), ('appreciate', 0.036794297195614986), ('appreciation post appreciation', 0.025777221514124576), ('tweet appreciation', 0.025777221514124576), ('post appreciation', 0.025777221514124576), ('account', 0.02213704607680168)]",neutral,"['appreciation', 'tweet', 'appreciation tweet', 'appreciation post', 'post', 'appreciate', 'appreciation post appreciation', 'tweet appreciation', 'post appreciation', 'account ']"
7,6,33,6_prescreening_using_reduce_time,"[('prescreening', 0.023114470236427567), ('using', 0.01600513218023275), ('reduce', 0.015512440199723735), ('time', 0.013821369728125666), ('line visitors', 0.012899980858761333), ('visitors encouraged', 0.012899980858761333), ('screeningapp', 0.012899980858761333), ('covid19 prescreening app', 0.012899980858761333), ('prescreening process', 0.012899980858761333), ('line visitors encouraged', 0.012899980858761333)]",neutral,"['prescreening', 'using', 'reduce', 'time', 'line visitors', 'visitors encouraged', 'screeningapp', 'covid prescreening app', 'prescreening process', 'line visitors encouraged ']"
8,7,31,7_mask_masks_wear_fabric,"[('mask', 0.05378656042326907), ('masks', 0.02657976784315972), ('wear', 0.025728952000275068), ('fabric', 0.024543494671446276), ('wear mask', 0.019730468360129715), ('3ply', 0.019294896317335688), ('day', 0.016586891706201104), ('vlieseline', 0.016547903409185886), ('vlieseline fabric', 0.016547903409185886), ('social distance', 0.015037110910836907)]",neutral,"['mask', 'masks', 'wear', 'fabric', 'wear mask', 'ply', 'day', 'vlieseline', 'vlieseline fabric', 'social distance ']"
9,8,27,8_quarantine_practice_safety first_necessary,"[('quarantine', 0.08568349066938173), ('practice', 0.03481926499557839), ('safety first', 0.029794267105766565), ('necessary', 0.025762255907001708), ('givers curb spread', 0.025552490467167704), ('washhands', 0.025552490467167704), ('patients amp', 0.025552490467167704), ('socialdistance washhands', 0.025552490467167704), ('patients amp care', 0.025552490467167704), ('covid19 patients amp', 0.025552490467167704)]",neutral,"['quarantine', 'practice', 'safety first', 'necessary', 'givers curb spread', 'washhands', 'patients amp', 'socialdistance washhands', 'patients amp care', 'covid patients amp ']"
10,9,26,9_government_sure_health_assist,"[('government', 0.02440680944499334), ('sure', 0.016979626980081368), ('health', 0.01685618776726593), ('assist', 0.016451638422297084), ('pr', 0.015731453709632835), ('public', 0.01491689354324857), ('section sure', 0.013438125169185099), ('sa government', 0.013438125169185099), ('emergency section sure', 0.013438125169185099), ('sure event', 0.013438125169185099)]",neutral,"['government', 'sure', 'health', 'assist', 'pr', 'public', 'section sure', 'sa government', 'emergency section sure', 'sure event ']"
11,10,26,10_south_africans_life_south africans,"[('south', 0.03970665882558175), ('africans', 0.03705868813324847), ('life', 0.03564574455827547), ('south africans', 0.03460838242032842), ('back life', 0.03301380676179987), ('know bring', 0.03301380676179987), ('bring', 0.029541362209868898), ('back', 0.028661166680732465), ('power', 0.027686705936262733), ('africa', 0.024286867697081042)]",neutral,"['south', 'africans', 'life', 'south africans', 'back life', 'know bring', 'bring', 'back', 'power', 'africa ']"
12,11,26,11_fitness_consistency_gym_stayhome,"[('fitness', 0.033392446202959884), ('consistency', 0.030834254470729593), ('gym', 0.02968217440263101), ('stayhome', 0.02527505418161303), ('exercising', 0.024453299862535922), ('hometeam', 0.020789307778142266), ('health fitness', 0.0172083239805224), ('sweat', 0.016631446222513814), ('body', 0.016483583351272417), ('health', 0.01583336083964057)]",neutral,"['fitness', 'consistency', 'gym', 'stayhome', 'exercising', 'hometeam', 'health fitness', 'sweat', 'body', 'health ']"
