Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,206,-1_health_help_people_covid19,"[('health', 0.014473138237840829), ('help', 0.01013135085609298), ('people', 0.01013135085609298), ('covid19', 0.00665061253903584), ('care', 0.006466935275653489), ('amp', 0.006465862216144638), ('losing', 0.006336683146028158), ('get', 0.006262192631880463), ('staff', 0.006197934273709135), ('healthcare', 0.005935824862113109)]",negative,"['health', 'help', 'people', 'covid', 'care', 'amp', 'losing', 'get', 'staff', 'healthcare ']"
1,0,53,0_covid19_deaths_covid_uk,"[('covid19', 0.026691124989997168), ('deaths', 0.023357293108880517), ('covid', 0.020949149136657953), ('uk', 0.014390094579217581), ('health', 0.012524784096572218), ('us', 0.01201620714841802), ('vaccine', 0.01154322058968717), ('far', 0.011401776841889765), ('country', 0.010739444969236669), ('nursing', 0.01064446745539372)]",negative,"['covid', 'deaths', 'covid', 'uk', 'health', 'us', 'vaccine', 'far', 'country', 'nursing ']"
2,1,37,1_mental_mental health_health_get,"[('mental', 0.03383561819566455), ('mental health', 0.02836079870144727), ('health', 0.02457284630711573), ('get', 0.016339863622751867), ('people', 0.016098609542826478), ('dont', 0.015152732831342632), ('appreciate', 0.013963345374338274), ('left wing', 0.012451005363585088), ('wing', 0.012451005363585088), ('amp', 0.012329024153318328)]",negative,"['mental', 'mental health', 'health', 'get', 'people', 'dont', 'appreciate', 'left wing', 'wing', 'amp ']"
3,2,33,2_trump_health_vaccines_americans,"[('trump', 0.025023275279146193), ('health', 0.017360556352040205), ('vaccines', 0.017000015777539287), ('americans', 0.01592390245036576), ('fda', 0.01544265093144565), ('vaccine', 0.014875013805346875), ('american', 0.0146976902753493), ('virus', 0.014239941880152518), ('using', 0.012886011441785005), ('china', 0.012868875776204708)]",negative,"['trump', 'health', 'vaccines', 'americans', 'fda', 'vaccine', 'american', 'virus', 'using', 'china ']"
4,3,29,3_health_public_people_public health,"[('health', 0.02188459963869475), ('public', 0.01627422624439818), ('people', 0.015180815162110641), ('public health', 0.013960808075103779), ('uk', 0.013714834503011126), ('thunder', 0.013045737515004407), ('euroland', 0.013045737515004407), ('voted', 0.013045737515004407), ('brexit', 0.012214526160465486), ('nhs', 0.011168646460083025)]",negative,"['health', 'public', 'people', 'public health', 'uk', 'thunder', 'euroland', 'voted', 'brexit', 'nhs ']"
5,4,25,4_whatshappeninginmyanmar_military_myanmar_protest,"[('whatshappeninginmyanmar', 0.057556529387008754), ('military', 0.035939445606261416), ('myanmar', 0.027986179521002155), ('protest', 0.026539837417276266), ('democracy', 0.02559466094483468), ('housings', 0.019341242960919807), ('strike', 0.0187671105069652), ('help', 0.01865975197009433), ('coup', 0.01603538569552625), ('mandalay', 0.01603538569552625)]",negative,"['whatshappeninginmyanmar', 'military', 'myanmar', 'protest', 'democracy', 'housings', 'strike', 'help', 'coup', 'mandalay ']"
6,5,21,5_gop_education_healthcare_amp,"[('gop', 0.03007656245889578), ('education', 0.027490704658600536), ('healthcare', 0.0271832864708942), ('amp', 0.021742055042158877), ('health care', 0.020132905659417496), ('federal', 0.01956642723378105), ('care', 0.01798959418721488), ('housing', 0.016973563470831496), ('kids', 0.015653141787024843), ('health', 0.015600188734392974)]",negative,"['gop', 'education', 'healthcare', 'amp', 'health care', 'federal', 'care', 'housing', 'kids', 'health ']"
7,6,20,6_workers_nurses_health_new health service,"[('workers', 0.039596808999727534), ('nurses', 0.03375753232292462), ('health', 0.031097150413471525), ('new health service', 0.02950580947199293), ('new health', 0.02950580947199293), ('health service', 0.024659776015097005), ('make', 0.024361064792875777), ('worker', 0.024361064792875777), ('one', 0.023968467941177247), ('service', 0.023813384497589622)]",negative,"['workers', 'nurses', 'health', 'new health service', 'new health', 'health service', 'make', 'worker', 'one', 'service ']"
8,7,17,7_spain_workers_quarantine_healthcare workers,"[('spain', 0.04773000900917677), ('workers', 0.0466139650249957), ('quarantine', 0.03944118935573322), ('healthcare workers', 0.038801914198676055), ('mostoles', 0.03762924435826946), ('carlos hospital mostoles', 0.03762924435826946), ('cheer tribute', 0.03762924435826946), ('cheer', 0.03762924435826946), ('hospital mostoles', 0.03762924435826946), ('quarantine virus covid19', 0.03762924435826946)]",negative,"['spain', 'workers', 'quarantine', 'healthcare workers', 'mostoles', 'carlos hospital mostoles', 'cheer tribute', 'cheer', 'hospital mostoles', 'quarantine virus covid ']"
9,8,16,8_amp_health_safety_covid19,"[('amp', 0.08686357926201549), ('health', 0.026806741425944434), ('safety', 0.0244221870222882), ('covid19', 0.023979192504382484), ('dav', 0.022638191570154703), ('da', 0.022638191570154703), ('health amp safety', 0.022638191570154703), ('amp safety', 0.022638191570154703), ('caution', 0.022638191570154703), ('health amp', 0.020647793703396044)]",negative,"['amp', 'health', 'safety', 'covid', 'dav', 'da', 'health amp safety', 'amp safety', 'caution', 'health amp ']"
