Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,106,-1_health_covid19_amp_appreciate,"[('health', 0.017445910101846863), ('covid19', 0.015040777910210412), ('amp', 0.00903604186681343), ('appreciate', 0.008553238908119527), ('us', 0.008061578039401496), ('help', 0.007900186658745426), ('love', 0.007877720040064736), ('know', 0.007572803231620279), ('public health', 0.007361486123521301), ('doctors', 0.007175323654698638)]",positive,"['health', 'covid', 'amp', 'appreciate', 'us', 'help', 'love', 'know', 'public health', 'doctors ']"
1,0,34,0_global_covid19_join_help,"[('global', 0.03807054652750857), ('covid19', 0.0313850899059724), ('join', 0.020631680443571863), ('help', 0.01816720474913132), ('combat', 0.017654802021783923), ('health', 0.01712373824282321), ('pandemic join help', 0.015951055845688254), ('efforts', 0.015951055845688254), ('join help combat', 0.015951055845688254), ('help combat growing', 0.015951055845688254)]",positive,"['global', 'covid', 'join', 'help', 'combat', 'health', 'pandemic join help', 'efforts', 'join help combat', 'help combat growing ']"
2,1,26,1_amp_safe_good_appreciate,"[('amp', 0.04163772618126515), ('safe', 0.02046641357573518), ('good', 0.02013330393761468), ('appreciate', 0.018864336664061624), ('take care', 0.018374270115140336), ('music', 0.017757218657731836), ('stay', 0.016746701807016765), ('take', 0.016060294838844514), ('time', 0.01575951792990563), ('great', 0.013955584839180636)]",positive,"['amp', 'safe', 'good', 'appreciate', 'take care', 'music', 'stay', 'take', 'time', 'great ']"
3,2,25,2_tribute_birthday_happy_birthdayboy,"[('tribute', 0.07932312195734845), ('birthday', 0.07487117309527794), ('happy', 0.06921884541102723), ('birthdayboy', 0.06432103973042504), ('birthdayboy tribute', 0.06432103973042504), ('classicmovies', 0.058657633264271564), ('blackandwhitephoto', 0.058657633264271564), ('heavenly', 0.058657633264271564), ('happy heavenly', 0.058657633264271564), ('heavenly birthday', 0.058657633264271564)]",positive,"['tribute', 'birthday', 'happy', 'birthdayboy', 'birthdayboy tribute', 'classicmovies', 'blackandwhitephoto', 'heavenly', 'happy heavenly', 'heavenly birthday ']"
4,3,25,3_mental_mental health_health_help,"[('mental', 0.07499580918661003), ('mental health', 0.07248705286421428), ('health', 0.04656805271941043), ('help', 0.027173169496563943), ('therapy', 0.017916282663297776), ('one', 0.01704598241429057), ('levels', 0.016874423089213494), ('good', 0.015369829929064816), ('people', 0.01459559808660704), ('need', 0.014136094950895076)]",positive,"['mental', 'mental health', 'health', 'help', 'therapy', 'one', 'levels', 'good', 'people', 'need ']"
5,4,25,4_people_health_muslims_system,"[('people', 0.024209710850860676), ('health', 0.02106611031630272), ('muslims', 0.019623443043904707), ('system', 0.017503914360033398), ('right', 0.0159031799324969), ('healthcare', 0.014382679694469986), ('make', 0.013885690752765948), ('care', 0.012550990111923581), ('means', 0.012411108626913126), ('get', 0.011588149454426724)]",positive,"['people', 'health', 'muslims', 'system', 'right', 'healthcare', 'make', 'care', 'means', 'get ']"
6,5,25,5_appreciate_big_health_thank,"[('appreciate', 0.030055476928281966), ('big', 0.029464359559702474), ('health', 0.02807676000174616), ('thank', 0.02529305200938658), ('care', 0.022518285412518747), ('thanks', 0.021353940644118444), ('hope', 0.021353940644118444), ('healthy', 0.02075806447443394), ('always', 0.019565209473709697), ('year', 0.019086272455982618)]",positive,"['appreciate', 'big', 'health', 'thank', 'care', 'thanks', 'hope', 'healthy', 'always', 'year ']"
7,6,24,6_sweden_stockholm_keep_covid,"[('sweden', 0.0411980441407804), ('stockholm', 0.03014599065665334), ('keep', 0.02317352818340045), ('covid', 0.020350284342060362), ('swedish', 0.020350284342060362), ('science', 0.019311273486167044), ('corona', 0.01856772421860366), ('within', 0.01785855316566788), ('clean', 0.01719482161645357), ('country', 0.01719482161645357)]",positive,"['sweden', 'stockholm', 'keep', 'covid', 'swedish', 'science', 'corona', 'within', 'clean', 'country ']"
8,7,19,7_healthcare_specialist_experience_nursing,"[('healthcare', 0.038206091251883394), ('specialist', 0.02236070942592029), ('experience', 0.02236070942592029), ('nursing', 0.019343729407992536), ('patients', 0.018952562539084627), ('using', 0.01861982526617871), ('health', 0.01790717724739682), ('well', 0.015872032519654244), ('healthcare professionals', 0.01563829004479241), ('learn', 0.014835968085532707)]",positive,"['healthcare', 'specialist', 'experience', 'nursing', 'patients', 'using', 'health', 'well', 'healthcare professionals', 'learn ']"
9,8,18,8_vaccine_health_vaccines_get,"[('vaccine', 0.027187840152178483), ('health', 0.023071353363033894), ('vaccines', 0.02095216080066547), ('get', 0.020767423746673404), ('good', 0.020767423746673404), ('effects', 0.01953760121081676), ('air', 0.016467543511118683), ('production', 0.016467543511118683), ('people', 0.016434413593581155), ('new', 0.01612700022160747)]",positive,"['vaccine', 'health', 'vaccines', 'get', 'good', 'effects', 'air', 'production', 'people', 'new ']"
