Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,210,-1_health_amp_help_covid19,"[('health', 0.0194556519205011), ('amp', 0.010813900795765117), ('help', 0.010234917765253204), ('covid19', 0.009723171876990544), ('good', 0.008261052889561658), ('healthcare', 0.008207753388035362), ('people', 0.007438705852771654), ('care', 0.007396716914056202), ('thank', 0.006569316409388587), ('workers', 0.006352395550783268)]",positive,"['health', 'amp', 'help', 'covid', 'good', 'healthcare', 'people', 'care', 'thank', 'workers ']"
1,0,242,0_health_help_mental_mental health,"[('health', 0.03370650123321003), ('help', 0.013136226440936224), ('mental', 0.012221713036063364), ('mental health', 0.01201975813735199), ('amp', 0.011486345980619681), ('thank', 0.010660556621552934), ('healthcare', 0.008821926824650984), ('global', 0.008390164141516786), ('world', 0.007944113473441186), ('data', 0.0070147410896398196)]",positive,"['health', 'help', 'mental', 'mental health', 'amp', 'thank', 'healthcare', 'global', 'world', 'data ']"
2,1,99,1_safe_thank_love_appreciate,"[('safe', 0.029305449308054964), ('thank', 0.026859160480870982), ('love', 0.026348188379211216), ('appreciate', 0.023991392893869666), ('happy', 0.022623547062311462), ('stay', 0.022317190116742446), ('healthy', 0.02128122907551675), ('good', 0.020381377181582994), ('take care', 0.019668483090706814), ('health', 0.018648133462356862)]",positive,"['safe', 'thank', 'love', 'appreciate', 'happy', 'stay', 'healthy', 'good', 'take care', 'health ']"
3,2,70,2_covid19_health_medical_pandemic,"[('covid19', 0.047667830822403036), ('health', 0.01895701715448026), ('medical', 0.01546295378137541), ('pandemic', 0.014214475649382807), ('new', 0.012863218595335018), ('coronavirus', 0.012258446151894975), ('countries', 0.012149463685366395), ('help', 0.011383362584454455), ('covid19 pandemic', 0.010915559484087872), ('global', 0.010905903723044383)]",positive,"['covid', 'health', 'medical', 'pandemic', 'new', 'coronavirus', 'countries', 'help', 'covid pandemic', 'global ']"
4,3,68,3_covid19_vaccine_vaccines_vaccination,"[('covid19', 0.029004958638204313), ('vaccine', 0.02320072685415172), ('vaccines', 0.022158649434485436), ('vaccination', 0.020185633953875758), ('health', 0.019345894747537763), ('people', 0.017366261748998725), ('rates', 0.016915502776665974), ('workers', 0.016844157673371184), ('increasing', 0.016832887006876678), ('help', 0.016029056089533963)]",positive,"['covid', 'vaccine', 'vaccines', 'vaccination', 'health', 'people', 'rates', 'workers', 'increasing', 'help ']"
5,4,27,4_ukraine_discussed_support_health needs,"[('ukraine', 0.057026203282315405), ('discussed', 0.03269627729763597), ('support', 0.0317612791408746), ('health needs', 0.029873736902854265), ('amp', 0.028456373235683098), ('needs', 0.026554838667832367), ('treat', 0.02450853522697959), ('health', 0.024324279240460843), ('donate', 0.02403743293287315), ('frontline', 0.02323512870221998)]",positive,"['ukraine', 'discussed', 'support', 'health needs', 'amp', 'needs', 'treat', 'health', 'donate', 'frontline ']"
6,5,22,5_amp_healthcare_digital_bitcoin,"[('amp', 0.04756896031470463), ('healthcare', 0.030173341173007785), ('digital', 0.026831451570622285), ('bitcoin', 0.021426764677224472), ('new', 0.02093144275892685), ('care', 0.019522324459364478), ('better', 0.017724804680910596), ('currency', 0.017721793464080822), ('buy', 0.017721793464080822), ('digital currency', 0.017721793464080822)]",positive,"['amp', 'healthcare', 'digital', 'bitcoin', 'new', 'care', 'better', 'currency', 'buy', 'digital currency ']"
7,6,19,6_easl_awards_nurses_opening,"[('easl', 0.03872132338541465), ('awards', 0.037311408573352474), ('nurses', 0.0347518942749861), ('opening', 0.02967403126884716), ('prof', 0.027983556430014357), ('ceremony', 0.026058203122895317), ('opening ceremony', 0.026058203122895317), ('excellence', 0.025337519577627948), ('award', 0.025337519577627948), ('amp', 0.023140434851428755)]",positive,"['easl', 'awards', 'nurses', 'opening', 'prof', 'ceremony', 'opening ceremony', 'excellence', 'award', 'amp ']"
8,7,16,7_covid_support_commitment ministers_week sidelines,"[('covid', 0.04425233374707676), ('support', 0.02640723494284146), ('commitment ministers', 0.023641912386582264), ('week sidelines', 0.023641912386582264), ('inspired commitment ministers', 0.023641912386582264), ('sidelines wha75 increase', 0.023641912386582264), ('commitment ministers health', 0.023641912386582264), ('covid19 rates countries', 0.023641912386582264), ('inspired commitment', 0.023641912386582264), ('last week sidelines', 0.023641912386582264)]",positive,"['covid', 'support', 'commitment ministers', 'week sidelines', 'inspired commitment ministers', 'sidelines wha increase', 'commitment ministers health', 'covid rates countries', 'inspired commitment', 'last week sidelines ']"
9,8,12,8_ai_robots_fight_sustainable,"[('ai', 0.07827627548028242), ('robots', 0.03414942728323402), ('fight', 0.029617483871165966), ('sustainable', 0.022550602953905555), ('share', 0.022213112903374476), ('ensure', 0.020432570381798968), ('helping', 0.0196934559972137), ('talk ai', 0.019449446694221967), ('check report review', 0.019449446694221967), ('talk ai technologies', 0.019449446694221967)]",positive,"['ai', 'robots', 'fight', 'sustainable', 'share', 'ensure', 'helping', 'talk ai', 'check report review', 'talk ai technologies ']"
