Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,189,-1_health_covid19_people_help,"[('health', 0.017381882451907343), ('covid19', 0.012907996651414474), ('people', 0.010799196796432054), ('help', 0.00955372337916029), ('update', 0.008896191452722343), ('covid19 update', 0.008304615260282339), ('mental', 0.007285501712980785), ('single', 0.007251252843523386), ('im', 0.007184792850084564), ('want', 0.007115944026961634)]",negative,"['health', 'covid', 'people', 'help', 'update', 'covid update', 'mental', 'single', 'im', 'want ']"
1,0,197,0_covid19_update_covid19 update_health,"[('covid19', 0.03594815462718461), ('update', 0.028109554764470877), ('covid19 update', 0.02763450762867674), ('health', 0.027013232734876456), ('tested', 0.025067468459465087), ('samples', 0.019952089573693623), ('people', 0.01943783763126871), ('positive', 0.018981396290293977), ('moh', 0.017921819723519895), ('tested positive', 0.01784597503252297)]",negative,"['covid', 'update', 'covid update', 'health', 'tested', 'samples', 'people', 'positive', 'moh', 'tested positive ']"
2,1,81,1_minister_deyalsingh_health_quarantine,"[('minister', 0.047051544580693855), ('deyalsingh', 0.03660101301816628), ('health', 0.031407181482416474), ('quarantine', 0.030705383773328845), ('minister health', 0.019755634251560215), ('health minister', 0.019639058698880146), ('terrence', 0.018658099015362428), ('covid19', 0.018503193981328006), ('terrence deyalsingh', 0.01767919297536514), ('tests', 0.016043075379671024)]",negative,"['minister', 'deyalsingh', 'health', 'quarantine', 'minister health', 'health minister', 'terrence', 'covid', 'terrence deyalsingh', 'tests ']"
3,2,56,2_workers_better_benefits_need,"[('workers', 0.02173840547001789), ('better', 0.013062975796698554), ('benefits', 0.012385218954267982), ('need', 0.012009138394237683), ('essential', 0.011691526415681044), ('healthcare', 0.011271981781546533), ('vote', 0.010837066584984486), ('safe', 0.010531491394391048), ('pay', 0.010521552235648126), ('essential workers', 0.010271269889102666)]",negative,"['workers', 'better', 'benefits', 'need', 'essential', 'healthcare', 'vote', 'safe', 'pay', 'essential workers ']"
4,3,40,3_gas_prices_gas prices_biden,"[('gas', 0.06372947461285079), ('prices', 0.04987312950992683), ('gas prices', 0.02688072805689971), ('biden', 0.021491765045098834), ('inflation', 0.021491765045098834), ('price', 0.021110186009239276), ('gop', 0.018764609785990465), ('rising', 0.017460425735890215), ('oil', 0.017047692563490122), ('voted', 0.017047692563490122)]",negative,"['gas', 'prices', 'gas prices', 'biden', 'inflation', 'price', 'gop', 'rising', 'oil', 'voted ']"
5,4,35,4_vaccine_court_doctors_care workers,"[('vaccine', 0.04441274211778074), ('court', 0.021261409716362308), ('doctors', 0.020631215375353618), ('care workers', 0.019742481505765935), ('health care workers', 0.019742481505765935), ('workers', 0.018353893781613187), ('health care', 0.017514720818631393), ('dont', 0.017032967116080953), ('vaccination', 0.01691202798617634), ('vaccinated', 0.016556606769480117)]",negative,"['vaccine', 'court', 'doctors', 'care workers', 'health care workers', 'workers', 'health care', 'dont', 'vaccination', 'vaccinated ']"
6,5,31,5_nurse_nurses_nursing_run,"[('nurse', 0.04623134683720842), ('nurses', 0.04551091473321487), ('nursing', 0.033374670804357576), ('run', 0.030613397386935814), ('hospital', 0.02618077277940336), ('patient', 0.023856477799029024), ('staff', 0.02213348320729652), ('im', 0.02101213003326618), ('get', 0.02038708085976609), ('help', 0.01746258400671987)]",negative,"['nurse', 'nurses', 'nursing', 'run', 'hospital', 'patient', 'staff', 'im', 'get', 'help ']"
7,6,27,6_movement_state_police_political,"[('movement', 0.05055216710716405), ('state', 0.03516993167951222), ('police', 0.03481515897445818), ('political', 0.031913895726586664), ('curfew', 0.030567938283163783), ('barring movement', 0.0289123744743512), ('regulation barring', 0.0289123744743512), ('civil rights', 0.0289123744743512), ('barring movement yet', 0.0289123744743512), ('bullies', 0.0289123744743512)]",negative,"['movement', 'state', 'police', 'political', 'curfew', 'barring movement', 'regulation barring', 'civil rights', 'barring movement yet', 'bullies ']"
8,7,26,7_doctors_time_say_ago,"[('doctors', 0.02769826152602723), ('time', 0.02069878804320672), ('say', 0.01868760446291845), ('ago', 0.017840202213660363), ('hope', 0.017840202213660363), ('lost', 0.01728242551184398), ('lives today 24hrs', 0.016517698571152584), ('frontline staff', 0.016517698571152584), ('doctors frontline staff', 0.016517698571152584), ('lost lives today', 0.016517698571152584)]",negative,"['doctors', 'time', 'say', 'ago', 'hope', 'lost', 'lives today hrs', 'frontline staff', 'doctors frontline staff', 'lost lives today ']"
9,8,23,8_covid19_covid19 update_update_discharged,"[('covid19', 0.06684348005193855), ('covid19 update', 0.06015774700946048), ('update', 0.059217948716157376), ('discharged', 0.05483008057386396), ('spain', 0.053244754062756784), ('port', 0.053244754062756784), ('port spain', 0.053244754062756784), ('people discharged', 0.047493808598091276), ('moh covid19 update', 0.04166787126603444), ('moh covid19', 0.04166787126603444)]",negative,"['covid', 'covid update', 'update', 'discharged', 'spain', 'port', 'port spain', 'people discharged', 'moh covid update', 'moh covid ']"
