Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,33218,-1_health_help_people_amp,"[('health', 0.008770033669176345), ('help', 0.006415551104360196), ('people', 0.006336089273549217), ('amp', 0.0060087918054985935), ('covid19', 0.005193769289479331), ('mental', 0.005121004634369275), ('nurses', 0.005056942875684605), ('mental health', 0.0049138194639192605), ('nhs', 0.004574174174311805), ('care', 0.004550269391551474)]",negative,"['health', 'help', 'people', 'amp', 'covid', 'mental', 'nurses', 'mental health', 'nhs', 'care ']"
1,0,945,0_schools_children_school_parents,"[('schools', 0.019203887194694777), ('children', 0.017597173764701303), ('school', 0.01716347329942186), ('parents', 0.012788907025667227), ('kids', 0.010452679745861882), ('teachers', 0.01023733814051585), ('child', 0.008652156372338198), ('health', 0.008532660729448112), ('childcare', 0.007258698934566944), ('closing', 0.0061973239120983285)]",negative,"['schools', 'children', 'school', 'parents', 'kids', 'teachers', 'child', 'health', 'childcare', 'closing ']"
2,1,877,1_clap_clapping_frontline_nhs,"[('clap', 0.024493202686969907), ('clapping', 0.022582729764543494), ('frontline', 0.0198090319014254), ('nhs', 0.019004822227523532), ('workers', 0.017777411686961335), ('clapforourcarers', 0.0164528485750965), ('frontline workers', 0.01537003529442776), ('proper', 0.01352488849753424), ('coronavirus', 0.011422268841221047), ('8pm', 0.010591389194225496)]",negative,"['clap', 'clapping', 'frontline', 'nhs', 'workers', 'clapforourcarers', 'frontline workers', 'proper', 'coronavirus', 'pm ']"
3,2,855,2_vaccine_vaccines_vaccination_vaccinated,"[('vaccine', 0.04075149964473382), ('vaccines', 0.014492708107550621), ('vaccination', 0.013189245211008284), ('vaccinated', 0.010442112945102064), ('covid', 0.009202745974348258), ('jab', 0.008413464238623542), ('people', 0.007883281010538772), ('get', 0.007405374976375165), ('medical', 0.006486995255848067), ('refusing', 0.006200076217674052)]",negative,"['vaccine', 'vaccines', 'vaccination', 'vaccinated', 'covid', 'jab', 'people', 'get', 'medical', 'refusing ']"
4,3,769,3_mask_masks_wearing_wear,"[('mask', 0.04757810368400957), ('masks', 0.02600834759383899), ('wearing', 0.024498111468220472), ('wear', 0.02317356362617865), ('wear mask', 0.013903919521354844), ('face', 0.013507193337080356), ('wearing mask', 0.011775461585528621), ('people', 0.009869578747714353), ('wearing masks', 0.007240295146730625), ('face mask', 0.006768662134940664)]",negative,"['mask', 'masks', 'wearing', 'wear', 'wear mask', 'face', 'wearing mask', 'people', 'wearing masks', 'face mask ']"
5,4,680,4_health_mental_mental health_public,"[('health', 0.025332692281525983), ('mental', 0.02112651136071364), ('mental health', 0.020679704378224365), ('public', 0.012023540651858972), ('public health', 0.010621191798169666), ('help', 0.009642926626369014), ('people', 0.009178079523573811), ('secretary', 0.007155583149182245), ('health secretary', 0.006496996611737431), ('know', 0.006304118277492579)]",negative,"['health', 'mental', 'mental health', 'public', 'public health', 'help', 'people', 'secretary', 'health secretary', 'know ']"
6,5,564,5_football_players_fans_health,"[('football', 0.02326002290125591), ('players', 0.021178692034938818), ('fans', 0.015138292567673942), ('health', 0.01161293571838517), ('game', 0.010497788001449288), ('clubs', 0.009843100917764306), ('mental', 0.009331620919551432), ('mental health', 0.009154722892736956), ('games', 0.007831744608701452), ('play', 0.007609013050754844)]",negative,"['football', 'players', 'fans', 'health', 'game', 'clubs', 'mental', 'mental health', 'games', 'play ']"
7,6,408,6_lockdown_stayhome_covid19_staysafe,"[('lockdown', 0.03533303973014467), ('stayhome', 0.015212850494078745), ('covid19', 0.01123250386426152), ('staysafe', 0.010974250992499693), ('people', 0.008171206763256398), ('stayhome staysafe', 0.007550326262970929), ('stayhealthy', 0.0070121648777943186), ('home', 0.006992583985808451), ('coronavirus', 0.006962787695278235), ('stayathome', 0.006252951603283904)]",negative,"['lockdown', 'stayhome', 'covid', 'staysafe', 'people', 'stayhome staysafe', 'stayhealthy', 'home', 'coronavirus', 'stayathome ']"
8,7,398,7_amp_health_health amp_amp safety,"[('amp', 0.05455670457320822), ('health', 0.008437292814099795), ('health amp', 0.00830776902218551), ('amp safety', 0.006506908809592739), ('health amp safety', 0.006398352480442888), ('help', 0.006272781244716398), ('covid19', 0.005503776360119135), ('safety', 0.005456300481866271), ('safe', 0.005441649115366395), ('im', 0.004427098216145712)]",negative,"['amp', 'health', 'health amp', 'amp safety', 'health amp safety', 'help', 'covid', 'safety', 'safe', 'im ']"
9,8,377,8_donate_raise_please_help,"[('donate', 0.038413141972007035), ('raise', 0.019622614023987125), ('please', 0.01742678198920114), ('help', 0.015734794239626843), ('fundraising', 0.015014262734659644), ('please donate', 0.013595518618603334), ('charity', 0.012866355603362356), ('money', 0.011958847529468217), ('mental health', 0.011837332505623603), ('mental', 0.011753532408748994)]",negative,"['donate', 'raise', 'please', 'help', 'fundraising', 'please donate', 'charity', 'money', 'mental health', 'mental ']"
