Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,8383,-1_health_help_amp_people,"[('health', 0.00923077467601049), ('help', 0.006967430077110592), ('amp', 0.0063391820488791426), ('people', 0.005791272376580633), ('im', 0.004841631477371307), ('mental', 0.004798523278852434), ('care', 0.004783072251432056), ('appreciate', 0.004770480494569387), ('would', 0.00462838180662789), ('mental health', 0.0045894918574906785)]",neutral,"['health', 'help', 'amp', 'people', 'im', 'mental', 'care', 'appreciate', 'would', 'mental health ']"
1,0,1687,0_mental_mental health_health_help,"[('mental', 0.016359308395052216), ('mental health', 0.016098412097833588), ('health', 0.013404496452900743), ('help', 0.010384324129389203), ('nursing', 0.008020281068861839), ('nurses', 0.007933744045506688), ('nurse', 0.007717858329609299), ('need', 0.006267296621616178), ('people', 0.005124541885808419), ('would', 0.0049121075423464704)]",neutral,"['mental', 'mental health', 'health', 'help', 'nursing', 'nurses', 'nurse', 'need', 'people', 'would ']"
2,1,421,1_vaccine_vaccination_vaccines_covid,"[('vaccine', 0.037209332220186776), ('vaccination', 0.015909779067658964), ('vaccines', 0.015826168086658245), ('covid', 0.011344454759923375), ('covid19', 0.009957634635017785), ('people', 0.008217864084630537), ('help', 0.00801782622886841), ('get', 0.007060824089794278), ('vaccinated', 0.006937105218802675), ('covid19 vaccine', 0.006890747925874281)]",neutral,"['vaccine', 'vaccination', 'vaccines', 'covid', 'covid', 'people', 'help', 'get', 'vaccinated', 'covid vaccine ']"
3,2,384,2_mask_masks_wear_wearing,"[('mask', 0.0339255315886158), ('masks', 0.02440370351084226), ('wear', 0.019762825191023438), ('wearing', 0.018755165487105735), ('face', 0.0152602587263578), ('wear mask', 0.009580448479760716), ('wearing mask', 0.009199868524677548), ('using', 0.008442322251638636), ('help', 0.008415159152017244), ('people', 0.00702348822733543)]",neutral,"['mask', 'masks', 'wear', 'wearing', 'face', 'wear mask', 'wearing mask', 'using', 'help', 'people ']"
4,3,244,3_clapping_nurses_clap_pay,"[('clapping', 0.024954138862038032), ('nurses', 0.024709295478956828), ('clap', 0.021749232959038942), ('pay', 0.01852341300511302), ('nhs', 0.013305828681080632), ('workers', 0.012780633755719749), ('nurse', 0.011714688675198063), ('rise', 0.009324540780194752), ('pay rise', 0.007821276433827904), ('wages', 0.0070550089836954296)]",neutral,"['clapping', 'nurses', 'clap', 'pay', 'nhs', 'workers', 'nurse', 'rise', 'pay rise', 'wages ']"
5,4,230,4_workers_covid19_death_covid,"[('workers', 0.017818791663675945), ('covid19', 0.01622636258219454), ('death', 0.010290433654811531), ('covid', 0.009754700476718762), ('deaths', 0.009528179310010676), ('homes', 0.008681867303267048), ('frontline', 0.008555677150907355), ('death rate', 0.008385027319002425), ('front line', 0.007734590064425139), ('appreciate', 0.007449549674366282)]",neutral,"['workers', 'covid', 'death', 'covid', 'deaths', 'homes', 'frontline', 'death rate', 'front line', 'appreciate ']"
6,5,216,5_safe_transport_safety_road,"[('safe', 0.012845730724271776), ('transport', 0.011233989380290304), ('safety', 0.010639831585804994), ('road', 0.009454363256223331), ('car', 0.009404328927717757), ('using', 0.008899910306454342), ('people', 0.008859694299841424), ('public transport', 0.008768146587825735), ('roads', 0.008445887829846144), ('crossing', 0.008276400911388029)]",neutral,"['safe', 'transport', 'safety', 'road', 'car', 'using', 'people', 'public transport', 'roads', 'crossing ']"
7,6,165,6_closing date_date_closing_per year closing,"[('closing date', 0.0616850964083383), ('date', 0.0592983708280357), ('closing', 0.055668616354597016), ('per year closing', 0.05134954400925404), ('year closing date', 0.05134954400925404), ('year closing', 0.05134954400925404), ('per year', 0.05114006743633266), ('location', 0.050414280979451664), ('salary', 0.04823980381856271), ('per', 0.04486301755126332)]",neutral,"['closing date', 'date', 'closing', 'per year closing', 'year closing date', 'year closing', 'per year', 'location', 'salary', 'per ']"
8,7,158,7_football_players_appreciate_fans,"[('football', 0.025992189790208585), ('players', 0.021709051181125264), ('appreciate', 0.01601088463652096), ('fans', 0.010854525590562632), ('club', 0.010655538381359428), ('season', 0.009744449614288005), ('hes', 0.00938534561995692), ('game', 0.009053081286220755), ('play', 0.008331918791188872), ('league', 0.00707388037409416)]",neutral,"['football', 'players', 'appreciate', 'fans', 'club', 'season', 'hes', 'game', 'play', 'league ']"
9,8,140,8_key_key worker_worker_back together sign,"[('key', 0.05857993735779348), ('key worker', 0.049291554666296554), ('worker', 0.04458270997940422), ('back together sign', 0.020168117945542675), ('us back together', 0.020168117945542675), ('office im', 0.020168117945542675), ('sign petition via', 0.020168117945542675), ('bring us back', 0.020168117945542675), ('together sign petition', 0.020168117945542675), ('together sign', 0.020168117945542675)]",neutral,"['key', 'key worker', 'worker', 'back together sign', 'us back together', 'office im', 'sign petition via', 'bring us back', 'together sign petition', 'together sign ']"
10,9,121,9_amp_nurses_workforce_uk amp,"[('amp', 0.05623118239508023), ('nurses', 0.010689424839317034), ('workforce', 0.007650934721878899), ('uk amp', 0.007486001673882102), ('nurses amp', 0.00738540021494767), ('need', 0.007274709995299383), ('well', 0.007219416352757016), ('im', 0.007090283102254494), ('need nurses', 0.006809600765741453), ('amp need', 0.0062082995363669)]",neutral,"['amp', 'nurses', 'workforce', 'uk amp', 'nurses amp', 'need', 'well', 'im', 'need nurses', 'amp need ']"
11,10,108,10_appreciate_cheers_mate_would appreciate,"[('appreciate', 0.1122921895552334), ('cheers', 0.05461993925530579), ('mate', 0.03727333490680945), ('would appreciate', 0.030450827457238913), ('would', 0.026876505452994227), ('appreciate appreciate', 0.022312079869732413), ('mate appreciate', 0.02206522098320187), ('care', 0.022014666123392156), ('take care', 0.020927011922140307), ('appreciate mate', 0.019978930508106233)]",neutral,"['appreciate', 'cheers', 'mate', 'would appreciate', 'would', 'appreciate appreciate', 'mate appreciate', 'care', 'take care', 'appreciate mate ']"
