Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,60151,-1_health_amp_thank_help,"[('health', 0.008696775444395725), ('amp', 0.007585995254564863), ('thank', 0.007349596319631967), ('help', 0.0069875998414121), ('covid19', 0.005635790647101991), ('care', 0.005434980725924661), ('nurses', 0.005275222142949453), ('mental', 0.005157333671907509), ('mental health', 0.0049714753392525604), ('people', 0.004840614947314836)]",positive,"['health', 'amp', 'thank', 'help', 'covid', 'care', 'nurses', 'mental', 'mental health', 'people ']"
1,0,1312,0_nurses_nurses day_international_international nurses,"[('nurses', 0.04899331096172748), ('nurses day', 0.0460009700606879), ('international', 0.0425832976915967), ('international nurses', 0.0410471863761857), ('international nurses day', 0.040546923781411566), ('day', 0.0395731630397173), ('happy international', 0.032041086219152984), ('happy', 0.03154141141522871), ('happy international nurses', 0.030470024265106106), ('internationalnursesday', 0.02293989941876885)]",positive,"['nurses', 'nurses day', 'international', 'international nurses', 'international nurses day', 'day', 'happy international', 'happy', 'happy international nurses', 'internationalnursesday ']"
2,1,1075,1_clapforourcarers_clapping_nhs_workers,"[('clapforourcarers', 0.027336522113164376), ('clapping', 0.025589419328999503), ('nhs', 0.02047022266968831), ('workers', 0.018235194331467575), ('clapforcarers', 0.0162935960527601), ('clapfornhs', 0.016171833422176114), ('8pm', 0.015614505021188267), ('tonight', 0.014243831497646789), ('appreciation', 0.013116460896519163), ('carers', 0.012982142094781752)]",positive,"['clapforourcarers', 'clapping', 'nhs', 'workers', 'clapforcarers', 'clapfornhs', 'pm', 'tonight', 'appreciation', 'carers ']"
3,2,937,2_take care_appreciate_take_safe,"[('take care', 0.04441449793939693), ('appreciate', 0.0410184529741608), ('take', 0.038536857551014894), ('safe', 0.03773848357011136), ('stay safe', 0.037465137237397944), ('stay', 0.03480993101253672), ('care stay safe', 0.03075454213877674), ('care stay', 0.030629572352112368), ('take care stay', 0.030234451984855974), ('cheers', 0.027931168113032735)]",positive,"['take care', 'appreciate', 'take', 'safe', 'stay safe', 'stay', 'care stay safe', 'care stay', 'take care stay', 'cheers ']"
4,3,810,3_charity_donate_fundraising_mental health,"[('charity', 0.021723603660778443), ('donate', 0.02035990806349069), ('fundraising', 0.01919902896298914), ('mental health', 0.018880804223924554), ('mental', 0.0188799812691372), ('money', 0.016430450529530266), ('raise', 0.014611929859790467), ('health', 0.014527688936230024), ('please', 0.014219276582311816), ('raising', 0.014112009233117678)]",positive,"['charity', 'donate', 'fundraising', 'mental health', 'mental', 'money', 'raise', 'health', 'please', 'raising ']"
5,4,704,4_amp_safe_safe amp_thank,"[('amp', 0.05121349990237482), ('safe', 0.011653229677494825), ('safe amp', 0.010110931563098726), ('thank', 0.009625544346570392), ('stay', 0.008431584954422361), ('stay safe', 0.007893063309343425), ('mental', 0.007069165236262883), ('well', 0.006844720717010565), ('health', 0.006802284141202772), ('nurses', 0.006798127254094207)]",positive,"['amp', 'safe', 'safe amp', 'thank', 'stay', 'stay safe', 'mental', 'well', 'health', 'nurses ']"
6,5,667,5_mask_masks_face_wear,"[('mask', 0.033670944436112515), ('masks', 0.03307684791765808), ('face', 0.016875492343133337), ('wear', 0.01513225714115771), ('wearing', 0.014733018875526908), ('face masks', 0.011540033832610012), ('covid19', 0.010807778349942256), ('wear mask', 0.010398058199646405), ('ppe', 0.01018061276661003), ('help', 0.008885676075292042)]",positive,"['mask', 'masks', 'face', 'wear', 'wearing', 'face masks', 'covid', 'wear mask', 'ppe', 'help ']"
7,6,549,6_key_young_key worker_children,"[('key', 0.025221451519614295), ('young', 0.01782036902791367), ('key worker', 0.01726167302164298), ('children', 0.016972916508253784), ('young people', 0.01591861992774974), ('key workers', 0.014461112789283609), ('worker', 0.01398631554137819), ('school', 0.01376677002589313), ('workers', 0.012776614753764222), ('people', 0.012198876494162531)]",positive,"['key', 'young', 'key worker', 'children', 'young people', 'key workers', 'worker', 'school', 'workers', 'people ']"
8,7,545,7_football_sport_mental_mental health,"[('football', 0.023416059448906196), ('sport', 0.016905179145584058), ('mental', 0.01658317015281736), ('mental health', 0.01615659264959231), ('players', 0.015957226814763005), ('health', 0.013313027048301312), ('fans', 0.008830085745958654), ('game', 0.008669545387841617), ('club', 0.00829604524293952), ('sports', 0.007429111300425146)]",positive,"['football', 'sport', 'mental', 'mental health', 'players', 'health', 'fans', 'game', 'club', 'sports ']"
9,8,538,8_fitness_exercise_gym_health,"[('fitness', 0.027946028190142313), ('exercise', 0.026559790203913882), ('gym', 0.021101863059876394), ('health', 0.019804144336511537), ('mental', 0.014867076019106373), ('mental health', 0.01268831872280504), ('gyms', 0.012506326031729473), ('physical', 0.011811339624409169), ('weight', 0.011808737006372798), ('workout', 0.011655572304940647)]",positive,"['fitness', 'exercise', 'gym', 'health', 'mental', 'mental health', 'gyms', 'physical', 'weight', 'workout ']"
10,9,528,9_new year_year_new_happiness,"[('new year', 0.03597956409513657), ('year', 0.0336700936925114), ('new', 0.03366888615618143), ('happiness', 0.025089802466379294), ('2021', 0.02507270398752536), ('sometimes', 0.024318701793338667), ('happy new', 0.018697962131430344), ('happy new year', 0.01782836349329787), ('new year new', 0.01725261394413071), ('year new', 0.01712002159921915)]",positive,"['new year', 'year', 'new', 'happiness', '', 'sometimes', 'happy new', 'happy new year', 'new year new', 'year new ']"
11,10,527,10_mental_mental health_nurse_nurses,"[('mental', 0.023931052464477076), ('mental health', 0.023906802738173607), ('nurse', 0.022883880295937017), ('nurses', 0.021612894380400618), ('nursing', 0.019215662999303232), ('mental health nursing', 0.018247543004485074), ('health nursing', 0.01726629457998978), ('health', 0.01598662524256915), ('mental health nurses', 0.014920383856928128), ('health nurse', 0.014418811273037636)]",positive,"['mental', 'mental health', 'nurse', 'nurses', 'nursing', 'mental health nursing', 'health nursing', 'health', 'mental health nurses', 'health nurse ']"
12,11,524,11_ampstay_ampstay safe_care ampstay_care ampstay safe,"[('ampstay', 0.08064710179469271), ('ampstay safe', 0.08022802086387884), ('care ampstay', 0.0785553008553147), ('care ampstay safe', 0.07839454340972729), ('take care ampstay', 0.07132162752294423), ('love', 0.06032773431429901), ('take care', 0.05477571972259096), ('good morning', 0.04907660853714171), ('take', 0.047204342825938696), ('hope', 0.042364241871342245)]",positive,"['ampstay', 'ampstay safe', 'care ampstay', 'care ampstay safe', 'take care ampstay', 'love', 'take care', 'good morning', 'take', 'hope ']"
13,12,485,12_christmas_merry_merry christmas_year,"[('christmas', 0.07781197001215943), ('merry', 0.02873303596717879), ('merry christmas', 0.026393151892202368), ('year', 0.019804602714301678), ('safe', 0.013975588864947288), ('happy', 0.013304198265582176), ('thank', 0.012951053590483848), ('amp', 0.012849888926870067), ('happy christmas', 0.012351439692591953), ('new year', 0.010699543798529216)]",positive,"['christmas', 'merry', 'merry christmas', 'year', 'safe', 'happy', 'thank', 'amp', 'happy christmas', 'new year ']"
14,13,481,13_mental_mental health_health_help,"[('mental', 0.04224792247111192), ('mental health', 0.04124252789848654), ('health', 0.02823200766521865), ('help', 0.019812157913629065), ('anxiety', 0.010124305884969428), ('issues', 0.010076572111807666), ('people', 0.009993375396262416), ('mental health issues', 0.00994151391038752), ('im', 0.009752776619730143), ('health issues', 0.009420122022504944)]",positive,"['mental', 'mental health', 'health', 'help', 'anxiety', 'issues', 'people', 'mental health issues', 'im', 'health issues ']"
15,14,446,14_vaccine_vaccination_covid_thank,"[('vaccine', 0.048247868646069496), ('vaccination', 0.02797612371239001), ('covid', 0.01593650544161427), ('thank', 0.014505313723495113), ('covid19', 0.012058318423541988), ('vaccines', 0.011747061985839531), ('dose', 0.010610293786119215), ('vaccinated', 0.01054915090526441), ('pfizer', 0.009833719812595268), ('covidvaccine', 0.00928692601355321)]",positive,"['vaccine', 'vaccination', 'covid', 'thank', 'covid', 'vaccines', 'dose', 'vaccinated', 'pfizer', 'covidvaccine ']"
16,15,437,15_covid19_coronavirus_deliver billion_billion,"[('covid19', 0.033418007522408644), ('coronavirus', 0.025407511997432214), ('deliver billion', 0.023401204926882815), ('billion', 0.022805388394964238), ('vaccines', 0.018739874360111215), ('unicef', 0.01820427434117092), ('deliver', 0.017795614816852143), ('world', 0.017281537835248013), ('givetheworldashot', 0.016694543442973657), ('donate', 0.016428282087816274)]",positive,"['covid', 'coronavirus', 'deliver billion', 'billion', 'vaccines', 'unicef', 'deliver', 'world', 'givetheworldashot', 'donate ']"
