Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,259,-1_health_appreciate_thank_amp,"[('health', 0.02212900967849047), ('appreciate', 0.012546499890549671), ('thank', 0.011862145351065143), ('amp', 0.010794585244420148), ('help', 0.010321733579033095), ('good', 0.007768260475240033), ('covid19', 0.007349677159074169), ('today', 0.006884674475989751), ('time', 0.006802697509755577), ('mental', 0.006444784850102911)]",positive,"['health', 'appreciate', 'thank', 'amp', 'help', 'good', 'covid', 'today', 'time', 'mental ']"
1,0,251,0_health_covid19_malawi_zambia,"[('health', 0.02465508538773589), ('covid19', 0.020545688421957337), ('malawi', 0.0138190081797318), ('zambia', 0.010524764850184807), ('birthday', 0.009815749489931634), ('help', 0.009789728642126762), ('happy', 0.00836685067459844), ('us', 0.008295933199875764), ('happy birthday', 0.008074460498808148), ('amp', 0.007730892124136675)]",positive,"['health', 'covid', 'malawi', 'zambia', 'birthday', 'help', 'happy', 'us', 'happy birthday', 'amp ']"
2,1,50,1_amp_health_zambia_appreciate,"[('amp', 0.023923588608802334), ('health', 0.019109277504981228), ('zambia', 0.01606754683448288), ('appreciate', 0.01585463750954489), ('rural', 0.011189509387015554), ('plant', 0.010974256680097326), ('good', 0.010885252866432401), ('started', 0.010602389329098183), ('live', 0.010598314604790066), ('work', 0.010364807458816435)]",positive,"['amp', 'health', 'zambia', 'appreciate', 'rural', 'plant', 'good', 'started', 'live', 'work ']"
3,2,43,2_nurses_nursing_appreciate_nurses day,"[('nurses', 0.07885760974060353), ('nursing', 0.031918353651257954), ('appreciate', 0.031827593209459513), ('nurses day', 0.03121638808437963), ('day', 0.025128754778704195), ('doctors', 0.020334213710714893), ('nurse', 0.0194520878716488), ('happy', 0.017866468999508427), ('two', 0.01731072434167321), ('respect', 0.016530259904266424)]",positive,"['nurses', 'nursing', 'appreciate', 'nurses day', 'day', 'doctors', 'nurse', 'happy', 'two', 'respect ']"
4,3,43,3_workers_health workers_health_thank,"[('workers', 0.0350897710491282), ('health workers', 0.02581034032743344), ('health', 0.02104994123194083), ('thank', 0.018730968706377867), ('covid19', 0.01832453291688087), ('worker', 0.017228298484314987), ('help', 0.014635455329079082), ('much', 0.014449524963745155), ('well', 0.013942764370281023), ('world', 0.013067713427962088)]",positive,"['workers', 'health workers', 'health', 'thank', 'covid', 'worker', 'help', 'much', 'well', 'world ']"
5,4,36,4_vaccination_vaccine_covid19_covid19 vaccination,"[('vaccination', 0.0353595069028744), ('vaccine', 0.03317594462908293), ('covid19', 0.03053191877095569), ('covid19 vaccination', 0.02838518186226395), ('coordinator', 0.0274957267483704), ('partners', 0.02454363711280878), ('population', 0.02439487695123019), ('vaccines', 0.024069743634474058), ('district', 0.023201776709415076), ('vaccinate', 0.023119530470454674)]",positive,"['vaccination', 'vaccine', 'covid', 'covid vaccination', 'coordinator', 'partners', 'population', 'vaccines', 'district', 'vaccinate ']"
6,5,35,5_mental_mental health_health_help,"[('mental', 0.07653182009497206), ('mental health', 0.06793716258643517), ('health', 0.03907807905358214), ('help', 0.034305470204366556), ('depression', 0.019572742072097814), ('good mental health', 0.015594804993304751), ('good mental', 0.015594804993304751), ('get', 0.013305933888963931), ('thank', 0.013002736250206023), ('improve mental health', 0.012196763055240862)]",positive,"['mental', 'mental health', 'health', 'help', 'depression', 'good mental health', 'good mental', 'get', 'thank', 'improve mental health ']"
7,6,35,6_god_good_lord_good health,"[('god', 0.03630902791346947), ('good', 0.03192513004233394), ('lord', 0.030272036093930657), ('good health', 0.030065865777341334), ('blessing', 0.02930131930014294), ('pray', 0.025400929402235498), ('may', 0.024575459564977163), ('family', 0.02257860391309822), ('health', 0.022290704377809917), ('grateful', 0.021190425265751458)]",positive,"['god', 'good', 'lord', 'good health', 'blessing', 'pray', 'may', 'family', 'health', 'grateful ']"
8,7,32,7_covid19_public_quarantine_sanitize,"[('covid19', 0.024643035180425158), ('public', 0.020189413399488418), ('quarantine', 0.01829116338363428), ('sanitize', 0.017660998835054283), ('self', 0.016941607156075646), ('keep', 0.015755934367163393), ('isolation', 0.015520620599001693), ('please', 0.0154398899800176), ('reality', 0.015085378818271898), ('stay safe', 0.014520754949279265)]",positive,"['covid', 'public', 'quarantine', 'sanitize', 'self', 'keep', 'isolation', 'please', 'reality', 'stay safe ']"
9,8,22,8_health_health guidelines_guidelines_doctor,"[('health', 0.029995014727001904), ('health guidelines', 0.025838731264299176), ('guidelines', 0.023911736564663503), ('doctor', 0.022446601364027784), ('covid 19', 0.020195612939202235), ('19', 0.020195612939202235), ('trailer', 0.0195873480659889), ('fight', 0.019244883026211693), ('community', 0.018286889358668252), ('surgical', 0.017957281091222226)]",positive,"['health', 'health guidelines', 'guidelines', 'doctor', 'covid', '', ' trailer', 'fight', 'community', 'surgical ']"
