Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,793,-1_health_people_amp_help,"[('health', 0.006795571899222994), ('people', 0.005589692091081779), ('amp', 0.004923341374895597), ('help', 0.0047957265643336425), ('dont', 0.004434304384328188), ('lockdown', 0.0043139675867991025), ('need', 0.004007791385339897), ('covid19', 0.0037533365268996623), ('appreciate', 0.003577309008145078), ('hospital', 0.0034059443613255196)]",negative,"['health', 'people', 'amp', 'help', 'dont', 'lockdown', 'need', 'covid', 'appreciate', 'hospital ']"
1,0,172,0_mental_mental health_health_issues,"[('mental', 0.04036769209174125), ('mental health', 0.03807436754298658), ('health', 0.017852609610163182), ('issues', 0.009803041218339208), ('help', 0.009362695306868356), ('depression', 0.009059149095198506), ('people', 0.008502458713486065), ('mental health issues', 0.008323400422872098), ('health issues', 0.007897158351337322), ('im', 0.007035187565382423)]",negative,"['mental', 'mental health', 'health', 'issues', 'help', 'depression', 'people', 'mental health issues', 'health issues', 'im ']"
2,1,137,1_vaccine_vaccines_vaccination_astrazeneca,"[('vaccine', 0.029568487472358056), ('vaccines', 0.017639744234479317), ('vaccination', 0.013049541870041603), ('astrazeneca', 0.00896817450558687), ('covid19 vaccine', 0.008682555997460033), ('vaccinated', 0.006917201956848178), ('covid19', 0.0067680444438847675), ('health', 0.006536200698515266), ('people', 0.006332970840050181), ('countries', 0.006198361909021688)]",negative,"['vaccine', 'vaccines', 'vaccination', 'astrazeneca', 'covid vaccine', 'vaccinated', 'covid', 'health', 'people', 'countries ']"
3,2,56,2_salary_salaries_pension_workers,"[('salary', 0.02996013959324914), ('salaries', 0.011465466661750282), ('pension', 0.011420838467459647), ('workers', 0.010716636963958153), ('pay', 0.010403314333445702), ('zar', 0.01028423787539845), ('strike', 0.010189677735233407), ('benefits', 0.010032896411841834), ('players', 0.009586782107877669), ('civil', 0.009489124646073703)]",negative,"['salary', 'salaries', 'pension', 'workers', 'pay', 'zar', 'strike', 'benefits', 'players', 'civil ']"
4,3,54,3_lockdown_people_malls_business,"[('lockdown', 0.04282364245980553), ('people', 0.015076416622272696), ('malls', 0.012430123550490982), ('business', 0.01143216306354329), ('lockdownsa', 0.010975170268792642), ('lock', 0.010643765140553239), ('see young', 0.009675895661954419), ('see young people', 0.009675895661954419), ('still', 0.009214226304854144), ('easing', 0.008142498325748955)]",negative,"['lockdown', 'people', 'malls', 'business', 'lockdownsa', 'lock', 'see young', 'see young people', 'still', 'easing ']"
5,4,51,4_zimbabwe_health_zimbabwes_system,"[('zimbabwe', 0.027261236314708365), ('health', 0.015465593816806785), ('zimbabwes', 0.013030969035915756), ('system', 0.009718905660097775), ('zimbabweans', 0.008436617387278309), ('eg', 0.00801269158948868), ('smith', 0.007742482203954402), ('care', 0.007272419212545076), ('service', 0.006903150018013666), ('domestic', 0.006630911407409118)]",negative,"['zimbabwe', 'health', 'zimbabwes', 'system', 'zimbabweans', 'eg', 'smith', 'care', 'service', 'domestic ']"
6,5,43,5_nurses_nursing_nurse_uniform,"[('nurses', 0.0350362585014026), ('nursing', 0.027756058028000165), ('nurse', 0.023282212180855997), ('uniform', 0.011269270246393128), ('nurses also', 0.011269270246393128), ('sheets', 0.011269270246393128), ('bafana', 0.011269270246393128), ('delivering', 0.010280646629523323), ('advice', 0.010280646629523323), ('dressing', 0.010280646629523323)]",negative,"['nurses', 'nursing', 'nurse', 'uniform', 'nurses also', 'sheets', 'bafana', 'delivering', 'advice', 'dressing ']"
7,6,42,6_closing_closing date_date_2021,"[('closing', 0.049807899898080425), ('closing date', 0.046331450365942585), ('date', 0.04431682178863343), ('2021', 0.03793807279303473), ('general', 0.022850553729178772), ('application', 0.02078060353134925), ('requirements', 0.020135751001797996), ('requirements grade', 0.019226134662752362), ('2021 refer', 0.019226134662752362), ('refer', 0.018586052872126124)]",negative,"['closing', 'closing date', 'date', '', 'general', 'application', 'requirements', 'requirements grade', ' refer', 'refer ']"
8,7,40,7_black_neck black health_knee neck black_black health professionals,"[('black', 0.09005496578919094), ('neck black health', 0.06535060864531826), ('knee neck black', 0.06535060864531826), ('black health professionals', 0.06535060864531826), ('black health', 0.06535060864531826), ('knee neck', 0.06535060864531826), ('knee', 0.06535060864531826), ('professionals 520 black', 0.06535060864531826), ('professionals 520', 0.06535060864531826), ('health professionals 520', 0.06535060864531826)]",negative,"['black', 'neck black health', 'knee neck black', 'black health professionals', 'black health', 'knee neck', 'knee', 'professionals', 'black', 'professionals', ' health professionals', '']"
9,8,39,8_covid19_help_companies_god,"[('covid19', 0.01708607392203206), ('help', 0.015509304775827432), ('companies', 0.014444610900379093), ('god', 0.013020788320425282), ('fight', 0.012209608844854983), ('knows', 0.0119753317937449), ('help fight', 0.011794391340929196), ('us', 0.010517263457444645), ('people', 0.00979892592223307), ('workers', 0.009409532000929923)]",negative,"['covid', 'help', 'companies', 'god', 'fight', 'knows', 'help fight', 'us', 'people', 'workers ']"
10,9,38,9_security_pple_frm_incarcerations,"[('security', 0.051207122976263814), ('pple', 0.043588217659164125), ('frm', 0.03935921275788937), ('incarcerations', 0.03896646559308673), ('frm abductions incarcerations', 0.03896646559308673), ('abductions incarcerations', 0.03896646559308673), ('frm abductions', 0.038661457571911785), ('socioeconomic', 0.03840259061821649), ('pple frm', 0.03836691630386318), ('abductions', 0.03836691630386318)]",negative,"['security', 'pple', 'frm', 'incarcerations', 'frm abductions incarcerations', 'abductions incarcerations', 'frm abductions', 'socioeconomic', 'pple frm', 'abductions ']"
11,10,37,10_mask_wear_wear mask_masks,"[('mask', 0.05197868570735673), ('wear', 0.028038953345611132), ('wear mask', 0.024432825753337318), ('masks', 0.02441017960306571), ('13', 0.015129175914580156), ('stayhomestaysafe stayathome covid', 0.011985537423070656), ('zim zimbabweans', 0.011985537423070656), ('real wear', 0.011985537423070656), ('covid19 stayhomestaysafe stayathome', 0.011985537423070656), ('mask public buying', 0.011985537423070656)]",negative,"['mask', 'wear', 'wear mask', 'masks', '', 'stayhomestaysafe stayathome covid', 'zim zimbabweans', 'real wear', 'covid stayhomestaysafe stayathome', 'mask public buying ']"
12,11,36,11_covid19_lockdown_tshwaranang_44,"[('covid19', 0.03089536654394838), ('lockdown', 0.026480090759543325), ('tshwaranang', 0.02590362384302491), ('44', 0.020409985783539045), ('covid19 lockdown', 0.017772370513728927), ('stayhome besafe covid19', 0.014530411807421274), ('covid19 latest', 0.014530411807421274), ('health amp educational', 0.014530411807421274), ('tshwaranang health amp', 0.014530411807421274), ('latest updates', 0.014530411807421274)]",negative,"['covid', 'lockdown', 'tshwaranang', '', 'covid lockdown', 'stayhome besafe covid', 'covid latest', 'health amp educational', 'tshwaranang health amp', 'latest updates ']"
13,12,36,12_amp_amp dont_help_worker,"[('amp', 0.03297204054853938), ('amp dont', 0.015047463187327468), ('help', 0.011518847048359896), ('worker', 0.011338582368455112), ('calls', 0.011308251419995958), ('scared', 0.00995124700013019), ('hospital', 0.009651001409228708), ('shes', 0.00931767637355925), ('neighbor health', 0.008821713360198578), ('amp dont amp', 0.008821713360198578)]",negative,"['amp', 'amp dont', 'help', 'worker', 'calls', 'scared', 'hospital', 'shes', 'neighbor health', 'amp dont amp ']"
