Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,190,-1_health_appreciate_people_amp,"[('health', 0.01875575007650609), ('appreciate', 0.01350735224137512), ('people', 0.010737124001671407), ('amp', 0.01006935115530535), ('would', 0.009517959330009625), ('help', 0.009115082767349136), ('dont', 0.00801901623429311), ('care', 0.007696605752881622), ('make', 0.007193678056514115), ('like', 0.0070552753543250595)]",neutral,"['health', 'appreciate', 'people', 'amp', 'would', 'help', 'dont', 'care', 'make', 'like ']"
1,0,73,0_hospitals_health_nurse_single,"[('hospitals', 0.024304694872010795), ('health', 0.022594167499209294), ('nurse', 0.02232942990746512), ('single', 0.016577369462377152), ('hospital', 0.014518054082120464), ('nurses', 0.01361471276003325), ('without', 0.013010506590627984), ('private', 0.012763894653991484), ('facilities', 0.012763894653991484), ('care', 0.012362317251803902)]",neutral,"['hospitals', 'health', 'nurse', 'single', 'hospital', 'nurses', 'without', 'private', 'facilities', 'care ']"
2,1,73,1_mental_mental health_health_help,"[('mental', 0.0543828469654133), ('mental health', 0.052317095360644314), ('health', 0.04141129796165317), ('help', 0.026382907773345392), ('okay', 0.0190768512298726), ('anxiety', 0.01365197915734885), ('get', 0.01055725120525781), ('need', 0.010282940986263811), ('men', 0.009862161576904175), ('also', 0.00975578613816229)]",neutral,"['mental', 'mental health', 'health', 'help', 'okay', 'anxiety', 'get', 'need', 'men', 'also ']"
3,2,64,2_covid19_amp_help_need,"[('covid19', 0.03077299970456773), ('amp', 0.01712416853221271), ('help', 0.011978291118975276), ('need', 0.01160292112332408), ('time', 0.011359364520902984), ('health', 0.01078317719472067), ('safe', 0.010629025080670446), ('pf', 0.010603983171230085), ('know', 0.009453339281325019), ('el', 0.009330250963420621)]",neutral,"['covid', 'amp', 'help', 'need', 'time', 'health', 'safe', 'pf', 'know', 'el ']"
4,3,50,3_covid19_symptoms_help_hospital,"[('covid19', 0.02323831711876561), ('symptoms', 0.02143619329023108), ('help', 0.018771948768543344), ('hospital', 0.01465047414422936), ('doctors', 0.013543515412839125), ('test', 0.013361600151433615), ('medication', 0.0124074654690402), ('batswana', 0.01183688555060825), ('coronavirussa', 0.01183688555060825), ('symptoms covid19', 0.01183688555060825)]",neutral,"['covid', 'symptoms', 'help', 'hospital', 'doctors', 'test', 'medication', 'batswana', 'coronavirussa', 'symptoms covid ']"
5,4,39,4_ppe_health_sexual_pregnant,"[('ppe', 0.021387387847869525), ('health', 0.018659153315346882), ('sexual', 0.01636867411055838), ('pregnant', 0.014741102823248193), ('reproductive', 0.014360147151692362), ('reproductive health', 0.014360147151692362), ('enough ppe', 0.012659895271075998), ('help', 0.012245464898580673), ('towards', 0.012031303706616293), ('need', 0.01128107858716096)]",neutral,"['ppe', 'health', 'sexual', 'pregnant', 'reproductive', 'reproductive health', 'enough ppe', 'help', 'towards', 'need ']"
6,5,30,5_vaccine_vaccines_politics_using,"[('vaccine', 0.054708515322110116), ('vaccines', 0.023022391500365384), ('politics', 0.018721548871430915), ('using', 0.01864331601969071), ('something', 0.016270284513962986), ('cancer', 0.016015172291816492), ('people', 0.015386340528670911), ('already', 0.015347773687361154), ('masvingo', 0.013683638979686736), ('vaccination', 0.013683638979686736)]",neutral,"['vaccine', 'vaccines', 'politics', 'using', 'something', 'cancer', 'people', 'already', 'masvingo', 'vaccination ']"
7,6,28,6_covid_cases_local_increase,"[('covid', 0.053287836017113496), ('cases', 0.03435813205092985), ('local', 0.02008402844210018), ('increase', 0.01869772179662444), ('masks', 0.016285327081809634), ('related', 0.015911250309829695), ('covid19', 0.015753462869719688), ('spread', 0.015019878097308361), ('besides', 0.013782847195626753), ('social', 0.013249274015321817)]",neutral,"['covid', 'cases', 'local', 'increase', 'masks', 'related', 'covid', 'spread', 'besides', 'social ']"
8,7,27,7_security_labor_housing_food,"[('security', 0.07065286184376417), ('labor', 0.038764506084898315), ('housing', 0.03531503079582203), ('food', 0.03341371707736511), ('basic', 0.032078408939138506), ('socioeconomic', 0.03149616119397988), ('security labor', 0.026505596960466775), ('basic socioeconomic', 0.025621322475768916), ('abductions', 0.024315239090785732), ('abductions incarcerations', 0.024315239090785732)]",neutral,"['security', 'labor', 'housing', 'food', 'basic', 'socioeconomic', 'security labor', 'basic socioeconomic', 'abductions', 'abductions incarcerations ']"
9,8,26,8_salary_closing_requirements_closing date,"[('salary', 0.0397341944931198), ('closing', 0.035989479993312895), ('requirements', 0.035711630783104666), ('closing date', 0.03363944316521727), ('date', 0.03229891192905883), ('grade', 0.026707009630296426), ('department', 0.025876494742474825), ('2021', 0.02403630866726678), ('link', 0.021744921524388935), ('per', 0.02101947175223501)]",neutral,"['salary', 'closing', 'requirements', 'closing date', 'date', 'grade', 'department', '', 'link', 'per ']"
10,9,26,9_amp_money_health_care,"[('amp', 0.03410389702994565), ('money', 0.025504321141186725), ('health', 0.0236229397307025), ('care', 0.020311038420458866), ('spending', 0.019051115163914594), ('government', 0.017180506590036955), ('maybe', 0.015702896935893267), ('health care', 0.013887760155728941), ('housing', 0.012970082186609893), ('govt', 0.012460363107188505)]",neutral,"['amp', 'money', 'health', 'care', 'spending', 'government', 'maybe', 'health care', 'housing', 'govt ']"
11,10,24,10_lockdown_lockdown must_like seeing doctor_things like seeing,"[('lockdown', 0.10036166031173592), ('lockdown must', 0.07340602124010996), ('like seeing doctor', 0.06944506627501694), ('things like seeing', 0.06944506627501694), ('like seeing', 0.06944506627501694), ('stayhome however able', 0.06944506627501694), ('stayhome however', 0.06944506627501694), ('social grants', 0.06944506627501694), ('collecting', 0.06944506627501694), ('collecting social', 0.06944506627501694)]",neutral,"['lockdown', 'lockdown must', 'like seeing doctor', 'things like seeing', 'like seeing', 'stayhome however able', 'stayhome however', 'social grants', 'collecting', 'collecting social ']"
