Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1176,-1_health_appreciate_thank_amp,"[('health', 0.010056558307830983), ('appreciate', 0.007188821341465035), ('thank', 0.007152729500308317), ('amp', 0.006268901914016924), ('people', 0.005209163331458575), ('help', 0.005083003517240379), ('us', 0.004903576316465942), ('good', 0.004839360310475662), ('love', 0.004665485953054084), ('care', 0.004384350862712733)]",positive,"['health', 'appreciate', 'thank', 'amp', 'people', 'help', 'us', 'good', 'love', 'care ']"
1,0,1914,0_health_covid19_mental_mental health,"[('health', 0.013381671324270521), ('covid19', 0.00761193911838058), ('mental', 0.007522293415530414), ('mental health', 0.007094116552943912), ('thank', 0.006745445477917029), ('help', 0.006225025352024321), ('appreciate', 0.0059868310509865776), ('good', 0.005718506526352417), ('nurses', 0.005608400895320942), ('happy', 0.005586311209828859)]",positive,"['health', 'covid', 'mental', 'mental health', 'thank', 'help', 'appreciate', 'good', 'nurses', 'happy ']"
2,1,95,1_vaccines_vaccine_vaccinated_countries,"[('vaccines', 0.0316977574480938), ('vaccine', 0.025813878662603658), ('vaccinated', 0.021064952561791243), ('countries', 0.014449254542753273), ('vaccination', 0.013172469948402625), ('vaccinate', 0.01306010056662131), ('get', 0.012220097220746696), ('get vaccinated', 0.012143121375860925), ('public', 0.010683109002448399), ('covid19 vaccine', 0.010425032075855756)]",positive,"['vaccines', 'vaccine', 'vaccinated', 'countries', 'vaccination', 'vaccinate', 'get', 'get vaccinated', 'public', 'covid vaccine ']"
3,2,94,2_donation_covid19_donations_help,"[('donation', 0.025492858658929324), ('covid19', 0.017254497974928933), ('donations', 0.016206885886761346), ('help', 0.013411002869338782), ('us', 0.010829972532252256), ('pads', 0.010348602054064127), ('generous donation', 0.010017436151550901), ('helping', 0.009557761376790319), ('donation ppe', 0.009371591061856813), ('ppe', 0.009234408282324956)]",positive,"['donation', 'covid', 'donations', 'help', 'us', 'pads', 'generous donation', 'helping', 'donation ppe', 'ppe ']"
4,3,51,3_traditional_medicine_using traditional_covid19,"[('traditional', 0.034962390433127134), ('medicine', 0.024950593205613512), ('using traditional', 0.01992819970920629), ('covid19', 0.018070723714421602), ('african', 0.016959753038616694), ('medicines', 0.016685363382342455), ('bulawayo', 0.016441615697653598), ('traditional health', 0.015790931967019348), ('chinese', 0.015499710884938227), ('western', 0.014407926856473212)]",positive,"['traditional', 'medicine', 'using traditional', 'covid', 'african', 'medicines', 'bulawayo', 'traditional health', 'chinese', 'western ']"
5,4,38,4_edgar manaka_manaka_edgar_notogbv,"[('edgar manaka', 0.02288030442289133), ('manaka', 0.02288030442289133), ('edgar', 0.02288030442289133), ('notogbv', 0.015353049357021796), ('mahlokediala letfootballtouchlives', 0.015353049357021796), ('covid19 emfcares', 0.015353049357021796), ('godisgr8 footballlanguage mahlokediala', 0.015353049357021796), ('godisgr8 footballlanguage', 0.015353049357021796), ('godisgr8', 0.015353049357021796), ('jerusalemdancechallenge', 0.015353049357021796)]",positive,"['edgar manaka', 'manaka', 'edgar', 'notogbv', 'mahlokediala letfootballtouchlives', 'covid emfcares', 'godisgr footballlanguage mahlokediala', 'godisgr footballlanguage', 'godisgr', 'jerusalemdancechallenge ']"
6,5,35,5_security_basic_priority_rts,"[('security', 0.059812581062787425), ('basic', 0.03146410458235638), ('priority', 0.029805605622082135), ('rts', 0.02960145495920996), ('socioeconomic', 0.025807604701105158), ('amp', 0.024006003211142792), ('housing', 0.023806176036539523), ('food security', 0.0236105056162274), ('pple', 0.022726055049336783), ('abductions', 0.022363893392311204)]",positive,"['security', 'basic', 'priority', 'rts', 'socioeconomic', 'amp', 'housing', 'food security', 'pple', 'abductions ']"
7,6,32,6_gym_fitness_workout_stayhome,"[('gym', 0.0401893271580588), ('fitness', 0.034108381683773364), ('workout', 0.031898454008461696), ('stayhome', 0.023424401322572123), ('training', 0.022971735764004804), ('staysafe', 0.01898820719904969), ('homeworkout', 0.016472658010494145), ('runners', 0.01566388265363911), ('staysafe stayhome', 0.015495104717394846), ('sets', 0.015343020023653663)]",positive,"['gym', 'fitness', 'workout', 'stayhome', 'training', 'staysafe', 'homeworkout', 'runners', 'staysafe stayhome', 'sets ']"
8,7,32,7_tagzero15_tagsneakers_platforms ready_using social,"[('tagzero15', 0.10412665801334085), ('tagsneakers', 0.07482531921444692), ('platforms ready', 0.07482531921444692), ('using social', 0.07482531921444692), ('place order', 0.07482531921444692), ('order using', 0.07482531921444692), ('using social media', 0.07482531921444692), ('us take care', 0.07482531921444692), ('order using social', 0.07482531921444692), ('tagclothing', 0.07482531921444692)]",positive,"['tagzero', 'tagsneakers', 'platforms ready', 'using social', 'place order', 'order using', 'using social media', 'us take care', 'order using social', 'tagclothing ']"
9,8,32,8_sexual_reproductive_reproductive health_sexual reproductive health,"[('sexual', 0.0574609016978983), ('reproductive', 0.04747989835543975), ('reproductive health', 0.04524457373881335), ('sexual reproductive health', 0.036850349265741635), ('sexual reproductive', 0.036850349265741635), ('rights', 0.025342083554944415), ('girls', 0.02481302365154867), ('young', 0.0224744564000426), ('women', 0.02062995122726619), ('reproductive health rights', 0.0194803535297746)]",positive,"['sexual', 'reproductive', 'reproductive health', 'sexual reproductive health', 'sexual reproductive', 'rights', 'girls', 'young', 'women', 'reproductive health rights ']"
10,9,32,9_mask_masks_face_face masks,"[('mask', 0.072926314686326), ('masks', 0.033697113245091), ('face', 0.029602842222331994), ('face masks', 0.02254410211910513), ('wear', 0.021788012103694472), ('covid19 maskup', 0.01862271369869164), ('safe people', 0.01862271369869164), ('tool shall', 0.01862271369869164), ('mask stay safe', 0.01862271369869164), ('sanitize harare', 0.01862271369869164)]",positive,"['mask', 'masks', 'face', 'face masks', 'wear', 'covid maskup', 'safe people', 'tool shall', 'mask stay safe', 'sanitize harare ']"
11,10,30,10_cuban_doctors_cuba_cuban doctors,"[('cuban', 0.05400782544371496), ('doctors', 0.050719855300158684), ('cuba', 0.03853274418534699), ('cuban doctors', 0.03475879701821928), ('covid19', 0.02978260774453389), ('doctors help', 0.027807037614575425), ('cubandoctors', 0.025739210563903585), ('fight covid19', 0.02560314005222182), ('help', 0.025198036841316957), ('200', 0.02395506671419837)]",positive,"['cuban', 'doctors', 'cuba', 'cuban doctors', 'covid', 'doctors help', 'cubandoctors', 'fight covid', 'help', ' ']"
12,11,29,11_stay_lockdown_covid19 waterwell_mineralwater,"[('stay', 0.0892632564370872), ('lockdown', 0.06993163936685891), ('covid19 waterwell', 0.050014806365830604), ('mineralwater', 0.050014806365830604), ('stay home lockdown', 0.050014806365830604), ('stay hydrated', 0.050014806365830604), ('stay hydrated stay', 0.050014806365830604), ('safe stay hydrated', 0.050014806365830604), ('mineralwater covid19 waterwell', 0.050014806365830604), ('mineralwater covid19', 0.050014806365830604)]",positive,"['stay', 'lockdown', 'covid waterwell', 'mineralwater', 'stay home lockdown', 'stay hydrated', 'stay hydrated stay', 'safe stay hydrated', 'mineralwater covid waterwell', 'mineralwater covid ']"
13,12,28,12_livebetteracademy_livebetteracademy livebetteracademy_livebetteracademy livebetteracademy livebetteracademy_app,"[('livebetteracademy', 0.046428963496307256), ('livebetteracademy livebetteracademy', 0.03858100896872472), ('livebetteracademy livebetteracademy livebetteracademy', 0.030326921043735584), ('app', 0.02505842067629405), ('business', 0.024198769247980593), ('financial', 0.022402565624015484), ('health', 0.019905064131826865), ('using', 0.017962885635690234), ('help', 0.017467283579235722), ('money', 0.0150424944753988)]",positive,"['livebetteracademy', 'livebetteracademy livebetteracademy', 'livebetteracademy livebetteracademy livebetteracademy', 'app', 'business', 'financial', 'health', 'using', 'help', 'money ']"
14,13,27,13_bizpressoffice_bizpressoffice via_via covid19 stayhome_stayhome stayhealthy socialdistance,"[('bizpressoffice', 0.042183787062551506), ('bizpressoffice via', 0.042183787062551506), ('via covid19 stayhome', 0.042183787062551506), ('stayhome stayhealthy socialdistance', 0.042183787062551506), ('socialdistance coronavirussa', 0.042183787062551506), ('stayhealthy socialdistance coronavirussa', 0.042183787062551506), ('socialdistance coronavirussa covid19sa', 0.042183787062551506), ('stayhealthy socialdistance', 0.042183787062551506), ('covid19sa salockdown', 0.042183787062551506), ('bizcommunity takes business', 0.042183787062551506)]",positive,"['bizpressoffice', 'bizpressoffice via', 'via covid stayhome', 'stayhome stayhealthy socialdistance', 'socialdistance coronavirussa', 'stayhealthy socialdistance coronavirussa', 'socialdistance coronavirussa covidsa', 'stayhealthy socialdistance', 'covidsa salockdown', 'bizcommunity takes business ']"
15,14,26,14_farming_farm_farmers_crop,"[('farming', 0.036270716923978714), ('farm', 0.03441859689127448), ('farmers', 0.02906872226121717), ('crop', 0.022769093158217953), ('animal', 0.020816549263775033), ('new farm', 0.018808569124826282), ('soil', 0.018215274526574364), ('advising', 0.016966133918371516), ('focusing', 0.016826157279791965), ('using', 0.015535565560767621)]",positive,"['farming', 'farm', 'farmers', 'crop', 'animal', 'new farm', 'soil', 'advising', 'focusing', 'using ']"
16,15,26,15_music_oshakachallenge_mix_stayhome,"[('music', 0.044276343499922835), ('oshakachallenge', 0.02934925509772209), ('mix', 0.028671115606110353), ('stayhome', 0.024186428610598866), ('reggae', 0.020755711743475697), ('beautiful', 0.019796085679955933), ('youtube', 0.018377253182645447), ('new', 0.0166713573536252), ('covid19 lockdownsa', 0.01619997526356905), ('oshakachallenge join', 0.01619997526356905)]",positive,"['music', 'oshakachallenge', 'mix', 'stayhome', 'reggae', 'beautiful', 'youtube', 'new', 'covid lockdownsa', 'oshakachallenge join ']"
17,16,25,16_amp_safety_companies_mining,"[('amp', 0.038135701516960586), ('safety', 0.030902637643720737), ('companies', 0.0254531285277396), ('mining', 0.023175758180336205), ('lockdownsa covid19', 0.021124658652346657), ('mining companies', 0.021124658652346657), ('employees', 0.020047068194519006), ('fire', 0.019711708380632933), ('health amp safety', 0.019313131816946837), ('amp safety', 0.01898860207476794)]",positive,"['amp', 'safety', 'companies', 'mining', 'lockdownsa covid', 'mining companies', 'employees', 'fire', 'health amp safety', 'amp safety ']"
18,17,25,17_amp_amp still_appreciate_thank,"[('amp', 0.05718138894639189), ('amp still', 0.013773012677266569), ('appreciate', 0.013051879317600273), ('thank', 0.012654785271005279), ('art', 0.011180545202078932), ('amp appreciate', 0.010763868316185091), ('much', 0.01008244446623677), ('yesterday', 0.009966594125039124), ('understand amp', 0.009687940924944294), ('helped understand', 0.009687940924944294)]",positive,"['amp', 'amp still', 'appreciate', 'thank', 'art', 'amp appreciate', 'much', 'yesterday', 'understand amp', 'helped understand ']"
19,18,23,18_podcast_episode_listen episode podcast_listen episode,"[('podcast', 0.06469372604605735), ('episode', 0.06283251712725726), ('listen episode podcast', 0.05725005658209998), ('listen episode', 0.05725005658209998), ('podcast voice', 0.05725005658209998), ('podcast voice knot', 0.05725005658209998), ('episode podcast', 0.05725005658209998), ('episode podcast voice', 0.05725005658209998), ('realbe safe stay', 0.05037791711459627), ('voice knot', 0.05037791711459627)]",positive,"['podcast', 'episode', 'listen episode podcast', 'listen episode', 'podcast voice', 'podcast voice knot', 'episode podcast', 'episode podcast voice', 'realbe safe stay', 'voice knot ']"
20,19,22,19_coronaviruszim voice_covididiots coronaviruszim voice_coronaviruszim voice knot_knot podcastcovid19 realbe,"[('coronaviruszim voice', 0.0697561369034325), ('covididiots coronaviruszim voice', 0.0697561369034325), ('coronaviruszim voice knot', 0.0697561369034325), ('knot podcastcovid19 realbe', 0.06265372972164113), ('knot podcastcovid19', 0.06265372972164113), ('voice knot podcastcovid19', 0.06265372972164113), ('socialdistancing 21dayslockdown', 0.06265372972164113), ('socialdistancing 21dayslockdown covididiots', 0.06265372972164113), ('covid19 socialdistancing 21dayslockdown', 0.06265372972164113), ('podcastcovid19', 0.06265372972164113)]",positive,"['coronaviruszim voice', 'covididiots coronaviruszim voice', 'coronaviruszim voice knot', 'knot podcastcovid realbe', 'knot podcastcovid', 'voice knot podcastcovid', 'socialdistancing dayslockdown', 'socialdistancing dayslockdown covididiots', 'covid socialdistancing dayslockdown', 'podcastcovid ']"
21,20,21,20_global_pandemic_help fight_begins,"[('global', 0.0481110046157387), ('pandemic', 0.0371045808322276), ('help fight', 0.035921503764138545), ('begins', 0.03537886590728284), ('covid19', 0.02968199082647803), ('germany', 0.028297576971585487), ('500m', 0.028297576971585487), ('germanys', 0.028297576971585487), ('500m euros support', 0.028297576971585487), ('production africa help', 0.028297576971585487)]",positive,"['global', 'pandemic', 'help fight', 'begins', 'covid', 'germany', 'm', 'germanys', 'm euros support', 'production africa help ']"
22,21,21,21_fathers_mothers_dad_day,"[('fathers', 0.04452442308059406), ('mothers', 0.04061504175449081), ('dad', 0.038548902916572016), ('day', 0.028653081181567234), ('fathers day', 0.02459691323729044), ('appreciate', 0.02370647467890662), ('really appreciate', 0.022630089449173087), ('father', 0.02172299954967059), ('mothers day', 0.021367558121401287), ('really', 0.021284741552801207)]",positive,"['fathers', 'mothers', 'dad', 'day', 'fathers day', 'appreciate', 'really appreciate', 'father', 'mothers day', 'really ']"
23,22,21,22_powerexperience_powerexperience powerexperience_powerexperience powerexperience powerexperience_needs,"[('powerexperience', 0.060714522093600926), ('powerexperience powerexperience', 0.054236193688225416), ('powerexperience powerexperience powerexperience', 0.04758772076559224), ('needs', 0.0351590620734462), ('workers', 0.03220083985934322), ('appreciation', 0.03096031988838864), ('guys', 0.029466052815961565), ('appreciate', 0.027380978254137146), ('take care', 0.027359373147527944), ('health needs', 0.027064665558755627)]",positive,"['powerexperience', 'powerexperience powerexperience', 'powerexperience powerexperience powerexperience', 'needs', 'workers', 'appreciation', 'guys', 'appreciate', 'take care', 'health needs ']"
24,23,20,23_covid19 stayhome_stayhome staysafe_chicken_stayhome,"[('covid19 stayhome', 0.03785820623387758), ('stayhome staysafe', 0.03712629834269854), ('chicken', 0.035250163530068324), ('stayhome', 0.03169015465862016), ('lets eat', 0.030178083789066654), ('beefstew', 0.030178083789066654), ('homecookedmeals americanfoodie covid19', 0.030178083789066654), ('health food dinner', 0.030178083789066654), ('beef beefstew', 0.030178083789066654), ('pasionforfood southafricanchefsassociation beef', 0.030178083789066654)]",positive,"['covid stayhome', 'stayhome staysafe', 'chicken', 'stayhome', 'lets eat', 'beefstew', 'homecookedmeals americanfoodie covid', 'health food dinner', 'beef beefstew', 'pasionforfood southafricanchefsassociation beef ']"
25,24,19,24_dream_one day_social worker_dittodreamjob,"[('dream', 0.15207234192091484), ('one day', 0.10182921900679494), ('social worker', 0.07330585496410974), ('dittodreamjob', 0.0642942469892935), ('since student', 0.0642942469892935), ('accomplish', 0.0642942469892935), ('years go', 0.0642942469892935), ('accomplish dream', 0.0642942469892935), ('kids need tender', 0.0642942469892935), ('kids need', 0.0642942469892935)]",positive,"['dream', 'one day', 'social worker', 'dittodreamjob', 'since student', 'accomplish', 'years go', 'accomplish dream', 'kids need tender', 'kids need ']"
26,25,18,25_gautengcovid19_coronavirussa_coronavirussa stayhomesa_gautengcovid19 coronavirussa,"[('gautengcovid19', 0.06456328196642334), ('coronavirussa', 0.05639191775911184), ('coronavirussa stayhomesa', 0.04414573904855557), ('gautengcovid19 coronavirussa', 0.04414573904855557), ('gautengcovid19 coronavirussa stayhomesa', 0.04414573904855557), ('stayhomesa', 0.03581269114814374), ('healthcare workers', 0.0299927985489015), ('trained', 0.028539637468811014), ('drive 400', 0.02739271259168014), ('call upon health', 0.02739271259168014)]",positive,"['gautengcovid', 'coronavirussa', 'coronavirussa stayhomesa', 'gautengcovid coronavirussa', 'gautengcovid coronavirussa stayhomesa', 'stayhomesa', 'healthcare workers', 'trained', 'drive', ' call upon health ']"
