,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,1425,-1_health_travel_amp_people,"[('health', 0.014087205360921418), ('travel', 0.01131059393648995), ('amp', 0.008660774625945113), ('people', 0.00833849464247488), ('message', 0.0071070402289309), ('covid', 0.007094647273618891), ('care', 0.006041137333117806), ('get', 0.006034308834485182), ('workers', 0.005858581447669191), ('public', 0.005715626373622066)]",negative
1,0,2584,0_health_covid19_travel_amp,"[('health', 0.016902184233561036), ('covid19', 0.010872018758565222), ('travel', 0.010292281618956388), ('amp', 0.010133389483616933), ('covid', 0.008110349966590784), ('message', 0.007860356176202692), ('quarantine', 0.00778713131948877), ('people', 0.0076004829038009945), ('get', 0.007315879078641972), ('care', 0.006134106902816161)]",negative
2,1,70,1_mask_masks_wearing_wear,"[('mask', 0.06210281002510208), ('masks', 0.039975716700461836), ('wearing', 0.037518806992794765), ('wear', 0.026544879344888698), ('wear mask', 0.025690739523001355), ('wearing masks', 0.019263693831268483), ('appreciates', 0.016988320227848235), ('one appreciates', 0.016988320227848235), ('one', 0.016482023658280495), ('face', 0.015857914985400505)]",negative
3,2,35,2_support_thank_healthcare_nurses,"[('support', 0.033894845056405845), ('thank', 0.03380879605194852), ('healthcare', 0.02874654725833193), ('nurses', 0.027179733317596017), ('workers', 0.02703967369752781), ('put workcover claim', 0.0257247041297879), ('get support', 0.0257247041297879), ('work put workcover', 0.0257247041297879), ('worker get coronavirus', 0.0257247041297879), ('workcover', 0.0257247041297879)]",negative
4,3,32,3_workers philippine general_hospital pgh_stalled six_allowances allegedly,"[('workers philippine general', 0.11417550430862586), ('hospital pgh', 0.11417550430862586), ('stalled six', 0.11417550430862586), ('allowances allegedly', 0.11417550430862586), ('stalled six months', 0.11417550430862586), ('release hazard pay', 0.11417550430862586), ('allowances allegedly stalled', 0.11417550430862586), ('demanding administration release', 0.11417550430862586), ('release hazard', 0.11417550430862586), ('allegedly stalled six', 0.11417550430862586)]",negative
5,4,26,4_leigh_leigh sales_sales_really,"[('leigh', 0.08957731589588329), ('leigh sales', 0.04948846577465848), ('sales', 0.03408978945800355), ('really', 0.025430599021729096), ('health', 0.024795518214587434), ('like', 0.023947050589212603), ('chris', 0.0193245212197133), ('questioning', 0.017836939969801274), ('auspol', 0.017364517892328384), ('think', 0.01711618511403002)]",negative
6,5,20,5_well bring please_passion_amazing new life_covid19 restrictions affect,"[('well bring please', 0.10124266602691159), ('passion', 0.10124266602691159), ('amazing new life', 0.10124266602691159), ('covid19 restrictions affect', 0.10124266602691159), ('amazing new', 0.10124266602691159), ('starting amazing new', 0.10124266602691159), ('bring please message', 0.10124266602691159), ('karate', 0.10124266602691159), ('bring please', 0.10124266602691159), ('stay well bring', 0.10124266602691159)]",negative
7,6,19,6_protest_strongly_one_would,"[('protest', 0.08672758709626761), ('strongly', 0.04176692776629382), ('one', 0.03573579904287843), ('would', 0.03088031385192562), ('protests', 0.030261528058152652), ('protesters', 0.028462299332788977), ('doctor surgeon know', 0.024850597629544474), ('vaccines dress', 0.024850597629544474), ('sales would', 0.024850597629544474), ('doctor surgeon', 0.024850597629544474)]",negative
8,7,19,7_amp_scams_land sale scams_sale scams,"[('amp', 0.03979233561737176), ('scams', 0.03258404949963756), ('land sale scams', 0.0298668359268624), ('sale scams', 0.0298668359268624), ('land sale', 0.0298668359268624), ('lnp', 0.028719739778644844), ('rorts', 0.02723774603970272), ('land', 0.026391626083825132), ('lying', 0.02570042816995137), ('pay', 0.025595926515296373)]",negative
9,8,19,8_cough_fever_symptoms_overseas,"[('cough', 0.06505410181930332), ('fever', 0.051893201707143184), ('symptoms', 0.0457114714445728), ('overseas', 0.03967553673057235), ('runny nose', 0.038734899321864545), ('runny', 0.038734899321864545), ('nose', 0.03710903602912679), ('gp', 0.0364837287718541), ('overseas travel', 0.035800426533077565), ('develop fever', 0.03448963591342403)]",negative
