,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,140,-1_health_amp_sales_message,"[('health', 0.021036524640008034), ('amp', 0.016590095512733844), ('sales', 0.011360105454403403), ('message', 0.011126126617953635), ('covid19', 0.009679144321267099), ('safe', 0.008613045845020628), ('get', 0.008596333472525614), ('school', 0.007663566264464938), ('bonus', 0.007633880269317945), ('covid', 0.00712840086194323)]",positive
1,0,66,0_health_message_mental_mental health,"[('health', 0.03082439160390339), ('message', 0.029727501482365196), ('mental', 0.026070351838551196), ('mental health', 0.02514348028354329), ('care', 0.018917500943323305), ('health care', 0.015304727129113306), ('people', 0.01500131307839436), ('thank', 0.013783693685245148), ('im', 0.013388879943130122), ('important', 0.012671761544253157)]",positive
2,1,62,1_travel_covid_covid19_health,"[('travel', 0.03310968311448327), ('covid', 0.01944541844586154), ('covid19', 0.01584212351438511), ('health', 0.01567593082790798), ('people', 0.015403331486343192), ('cases', 0.013578929188142068), ('safe', 0.010181318780633492), ('care', 0.009538801645244057), ('control', 0.008631180070411587), ('restrictions', 0.008452161259377094)]",positive
3,2,55,2_holiday_happy_holidays_season,"[('holiday', 0.03781510770563644), ('happy', 0.03364088345628999), ('holidays', 0.02918787277364117), ('season', 0.02835756367166133), ('safe', 0.026246084869849202), ('christmas', 0.0256213416098559), ('holiday season', 0.02355935093172088), ('family', 0.02129756403989901), ('wishing', 0.021163230450828473), ('happiness', 0.020861910547212443)]",positive
4,3,40,3_bonus_benefits_hiring_job,"[('bonus', 0.02746718411685674), ('benefits', 0.026464905008229817), ('hiring', 0.026407639456118976), ('job', 0.02339566760121825), ('team', 0.02144280174668749), ('psw', 0.019858034786816074), ('support', 0.01790425485983608), ('sales', 0.014934868902236987), ('worker', 0.014424878102984042), ('transportation', 0.01420441488009613)]",positive
5,4,38,4_health_gift_food_give,"[('health', 0.02350791914571508), ('gift', 0.018697569778119063), ('food', 0.015660011764762182), ('give', 0.01314446430728751), ('great', 0.012096295887318852), ('holiday', 0.011698908765871865), ('community', 0.01164385704858636), ('much', 0.010737115028437235), ('life', 0.010084494125728434), ('cards', 0.010042133636029732)]",positive
6,5,22,5_vaccine_getting_travel_vaccinated,"[('vaccine', 0.0616568561052657), ('getting', 0.034417709527236516), ('travel', 0.030761160945365504), ('vaccinated', 0.0298720986297499), ('got', 0.02200174668195752), ('ever getting', 0.021270147374806692), ('covid19 vaccine', 0.021270147374806692), ('covid19', 0.02029357446838528), ('ever', 0.019399777331317196), ('health', 0.018441444109285138)]",positive
7,6,20,6_covid19_day_heritage_buildings,"[('covid19', 0.03671292108371519), ('day', 0.019887135658683303), ('heritage', 0.019239815125393328), ('buildings', 0.0185649466894499), ('message', 0.018086277417025766), ('national day', 0.017547980404236916), ('pandemic', 0.01647111274150082), ('national', 0.015921263962580173), ('today', 0.015677407172841714), ('covid19 pandemic', 0.015082690693987889)]",positive
8,7,18,7_health_sale_keto_supplements,"[('health', 0.04564486788243461), ('sale', 0.0382495655335218), ('keto', 0.03361180326184683), ('supplements', 0.03361180326184683), ('products', 0.032839278402225176), ('healthcare', 0.031868290277100794), ('offers', 0.027042125396493883), ('nutrition', 0.027042125396493883), ('sportnutrition organic keto', 0.025399802684570757), ('healthcare sportnutrition', 0.025399802684570757)]",positive
9,8,18,8_safe travels_travels_safe_thankyou,"[('safe travels', 0.08063044174258051), ('travels', 0.07965357640165911), ('safe', 0.0692188880972023), ('thankyou', 0.037107038872161234), ('sincerely thankyou', 0.024855370432039968), ('sincerely', 0.024855370432039968), ('wish safe travels', 0.024855370432039968), ('appreciate', 0.024508792738972034), ('wish safe', 0.023779546784194), ('ford', 0.023779546784194)]",positive
10,9,16,9_business_use_sales_best,"[('business', 0.0386034097988249), ('use', 0.03514111886597673), ('sales', 0.033157785865178674), ('best', 0.03121954885670779), ('help', 0.02890930565263139), ('open business', 0.027084139732619215), ('approved health canada', 0.027084139732619215), ('approved health', 0.027084139732619215), ('sanitizer 80 ethanol', 0.027084139732619215), ('sanitizer 80', 0.027084139732619215)]",positive
11,10,15,10_bonus_summer_winnipeg_winnipeg ywg,"[('bonus', 0.06513842713312577), ('summer', 0.06328892997682388), ('winnipeg', 0.06202969663294251), ('winnipeg ywg', 0.05029100921026484), ('bonus deadline', 0.05029100921026484), ('winnipeg ywg manitoba', 0.05029100921026484), ('dream bonus deadline', 0.05029100921026484), ('ywg', 0.05029100921026484), ('deadline', 0.05029100921026484), ('dream', 0.05029100921026484)]",positive
12,11,11,11_nurse_travel_nurses_travel around district,"[('nurse', 0.08372602292000325), ('travel', 0.054865937512028354), ('nurses', 0.040780517840832274), ('travel around district', 0.033058270722041365), ('keeps well', 0.033058270722041365), ('locally tech worry', 0.033058270722041365), ('long shifts train', 0.033058270722041365), ('informed locally', 0.033058270722041365), ('informed', 0.033058270722041365), ('healthunit nurse keeps', 0.033058270722041365)]",positive
13,12,11,12_amp_week_healthy always_south,"[('amp', 0.06285547355248282), ('week', 0.022989177201334792), ('healthy always', 0.019478317188920638), ('south', 0.018357908451880144), ('music', 0.018357908451880144), ('folks', 0.017563316711977313), ('stay', 0.0174005945052536), ('today', 0.0171735912598764), ('safe', 0.017041441329601673), ('thx', 0.01694725423933186)]",positive
