,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,1911,-1_health_amp_message_travel,"[('health', 0.013380931733057676), ('amp', 0.011606572599712522), ('message', 0.01028623128677755), ('travel', 0.009608105973661496), ('covid19', 0.008479270357753041), ('good', 0.006725458096945276), ('people', 0.006322531971050959), ('doctors', 0.006203316892711466), ('care', 0.006164557913768408), ('sir', 0.005984573787578222)]",positive
1,0,6962,0_health_amp_message_travel,"[('health', 0.016238012306186985), ('amp', 0.012444497725694333), ('message', 0.011552184986296697), ('travel', 0.009613886328965206), ('covid19', 0.009328516228187124), ('india', 0.00823532611465066), ('family', 0.007979882712086217), ('day', 0.007437950880156857), ('safe', 0.0072174908204961806), ('doctors', 0.006978687577285249)]",positive
2,1,318,1_yoga_yogatravel_yogainspiration_yogateacher,"[('yoga', 0.09494138539116924), ('yogatravel', 0.0438689714487769), ('yogainspiration', 0.04341646323778612), ('yogateacher', 0.042962684341384935), ('yogainstructor', 0.04273531350168032), ('yogainspiration yogateacher yogatravel', 0.04273531350168032), ('yogainspiration yogateacher', 0.04273531350168032), ('yogainstructor yogainspiration', 0.04273531350168032), ('yogateacher yogatravel', 0.04273531350168032), ('yogainstructor yogainspiration yogateacher', 0.04273531350168032)]",positive
3,2,67,2_fruits_spices_dailyneeds spices dryfruits_dryfruits,"[('fruits', 0.13629416918791806), ('spices', 0.10805898220688616), ('dailyneeds spices dryfruits', 0.0928389075969805), ('dryfruits', 0.0928389075969805), ('benefits health fruits', 0.0928389075969805), ('spices dryfruits', 0.0928389075969805), ('benefits health', 0.08984662084849748), ('viyabaari hillstationofindia', 0.08571086249222551), ('rarefruits rarevegetables dailyneeds', 0.08571086249222551), ('ecommerce directsales', 0.08571086249222551)]",positive
4,3,44,3_wtp_travel_blue_mission,"[('wtp', 0.039298706211776245), ('travel', 0.026495987394964764), ('blue', 0.02292424529020281), ('mission', 0.021750968906300246), ('worldtradepark worldtradeparkjaipur', 0.02136886979207212), ('worldtradeparkjaipur worldtradeparkofficial wecareforyou', 0.02136886979207212), ('worldtradeparkofficial wecareforyou assafeasyourhome', 0.02136886979207212), ('wtp wtp jaipur', 0.02136886979207212), ('worldtradeparkofficial', 0.02136886979207212), ('wtp jaipur', 0.02136886979207212)]",positive
5,4,36,4_aromaticoils_spices essentialoils aromaticoils_essentialoils aromaticoils_essentialoils,"[('aromaticoils', 0.10812371740369839), ('spices essentialoils aromaticoils', 0.10812371740369839), ('essentialoils aromaticoils', 0.10812371740369839), ('essentialoils', 0.10812371740369839), ('essential oils used', 0.10812371740369839), ('essential oils', 0.10812371740369839), ('oils used health', 0.10812371740369839), ('dailyneeds spices essentialoils', 0.10812371740369839), ('spices essentialoils', 0.10812371740369839), ('used health', 0.10812371740369839)]",positive
6,5,23,5_ambitious_ambitious people_people_people ambitious,"[('ambitious', 0.32793550333313065), ('ambitious people', 0.2327573532129359), ('people', 0.13210082518852234), ('people ambitious', 0.1284673932668759), ('lockdown home covid19', 0.1284673932668759), ('lockdown home', 0.1284673932668759), ('ambitious message', 0.1284673932668759), ('looking 10 ambitious', 0.1284673932668759), ('amazing opportunities ambitious', 0.1284673932668759), ('amazing opportunities', 0.1284673932668759)]",positive
7,6,20,6_becreative_becreative stayhome stayhappy_stay home becreative_home becreative,"[('becreative', 0.1360533743701397), ('becreative stayhome stayhappy', 0.1360533743701397), ('stay home becreative', 0.1360533743701397), ('home becreative', 0.1360533743701397), ('home becreative stayhome', 0.1360533743701397), ('becreative stayhome', 0.1360533743701397), ('covid19 yogastretch yogastrong', 0.10973296687670374), ('stayhealthy covd19 covid19', 0.1088808274053731), ('covd19 covid19', 0.1088808274053731), ('covd19 covid19 yogastretch', 0.1088808274053731)]",positive
8,7,19,7_amr_amp_countries_surveillance,"[('amr', 0.07117922967795877), ('amp', 0.05002730521085503), ('countries', 0.03415002164166765), ('surveillance', 0.0311761539679449), ('creating synergies health', 0.02701740516837719), ('synergies health programs', 0.02701740516837719), ('highlighted', 0.02701740516837719), ('government actors highlighted', 0.02701740516837719), ('government actors', 0.02701740516837719), ('synergies health', 0.02701740516837719)]",positive
9,8,17,8_superheroes_doctors_hero_doctor,"[('superheroes', 0.07815505143094569), ('doctors', 0.07196068452399514), ('hero', 0.06669470704112826), ('doctor', 0.053671784506504436), ('doctors day', 0.05199389295636693), ('nations superheroes', 0.04652881351203858), ('kids made', 0.04652881351203858), ('doctors policemen', 0.04652881351203858), ('doctors policemen nations', 0.04652881351203858), ('special thank message', 0.04652881351203858)]",positive
10,9,15,9_flipkart account_account information safe_ensure flipkart_flipkart account information,"[('flipkart account', 0.12982292003423387), ('account information safe', 0.12982292003423387), ('ensure flipkart', 0.12982292003423387), ('flipkart account information', 0.12982292003423387), ('ensure flipkart account', 0.12982292003423387), ('information safe', 0.12982292003423387), ('clicking link', 0.12982292003423387), ('account information', 0.12982292003423387), ('clicking', 0.1204071493027335), ('information safe please', 0.11835981346513409)]",positive
11,10,14,10_ayurveda_latest jiva_ayurveda store coupons_jiva ayurveda store,"[('ayurveda', 0.07352470891560449), ('latest jiva', 0.07177504723250114), ('ayurveda store coupons', 0.07177504723250114), ('jiva ayurveda store', 0.07177504723250114), ('latest jiva ayurveda', 0.07177504723250114), ('ayurveda store', 0.07177504723250114), ('deal ad', 0.07177504723250114), ('exciting latest jiva', 0.07177504723250114), ('jiva', 0.07177504723250114), ('jiva ayurveda', 0.07177504723250114)]",positive
12,11,12,11_monitor_honor_watch_premium design build,"[('monitor', 0.11212417713354991), ('honor', 0.07623286933018449), ('watch', 0.07483116555072662), ('premium design build', 0.062178011019531146), ('stay tuned honorwatchgs3', 0.062178011019531146), ('gs premium design', 0.062178011019531146), ('gs premium', 0.062178011019531146), ('offers health', 0.062178011019531146), ('monitoring capabilities', 0.062178011019531146), ('monitor sale starts', 0.062178011019531146)]",positive
13,12,11,12_guardian gnc_gnc coupons_gnc coupons amp_latest guardian gnc,"[('guardian gnc', 0.06701676674089543), ('gnc coupons', 0.06701676674089543), ('gnc coupons amp', 0.06701676674089543), ('latest guardian gnc', 0.06701676674089543), ('latest guardian', 0.06701676674089543), ('exciting latest guardian', 0.06701676674089543), ('guardian gnc coupons', 0.06701676674089543), ('gnc', 0.06701676674089543), ('coupons', 0.06629493502205007), ('guardian', 0.06581738657339843)]",positive
14,13,11,13_lockdown_packets_distributing food_distributing food packets,"[('lockdown', 0.05798817204120695), ('packets', 0.05721662985842831), ('distributing food', 0.05448541359216414), ('distributing food packets', 0.05448541359216414), ('workers travelling home', 0.05157393500273413), ('travelling home', 0.05084436431381225), ('food packets', 0.05019176090542871), ('distributing', 0.05019176090542871), ('migrant workers travelling', 0.05019176090542871), ('workers travelling', 0.04530890139154232)]",positive
15,14,11,14_md_mbbs_md students stay_physician,"[('md', 0.19361624229833554), ('mbbs', 0.11103493870811941), ('md students stay', 0.10715542606000256), ('physician', 0.10620480749939536), ('mumbai professor mbbs', 0.10589511051530401), ('students stay', 0.10589511051530401), ('professor mbbs md', 0.10589511051530401), ('professor mbbs', 0.10589511051530401), ('students stay safe', 0.10589511051530401), ('mumbai professor', 0.10474456748244593)]",positive
16,15,11,15_water raipurhealth health_water raipurhealth_technologies water raipurhealth_raipurhealth health,"[('water raipurhealth health', 0.18785500236304967), ('water raipurhealth', 0.18785500236304967), ('technologies water raipurhealth', 0.18785500236304967), ('raipurhealth health', 0.18785500236304967), ('raipurhealth', 0.18785500236304967), ('qualitysalesandservice healthywater', 0.18442702369399713), ('follow us qualitysalesandservice', 0.18442702369399713), ('healthywater', 0.18442702369399713), ('us qualitysalesandservice healthywater', 0.18442702369399713), ('healthywater raipur technologies', 0.18442702369399713)]",positive
17,16,10,16_birds_lockdown_lonavala_weekend,"[('birds', 0.11677730974726908), ('lockdown', 0.07129982961491216), ('lonavala', 0.0655042514247694), ('weekend', 0.05267691989244444), ('period birds message', 0.051981624113598364), ('ahead birds need', 0.051981624113598364), ('hot summer ahead', 0.051981624113598364), ('summer ahead birds', 0.051981624113598364), ('summer ahead', 0.051981624113598364), ('water spare', 0.051981624113598364)]",positive
