,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,340,-1_health_reward_amp_singapore,"[('health', 0.01094505563133927), ('reward', 0.008184217196008248), ('amp', 0.0077025162570011135), ('singapore', 0.007234383329922057), ('rewards', 0.0065542612341400845), ('good', 0.00624550573946452), ('safe', 0.006216640923335948), ('get', 0.006126083774737515), ('travel', 0.006055021927508654), ('us', 0.005967680889671038)]",positive
1,0,188,0_reward_bonus_rewards_health,"[('reward', 0.015138079599048938), ('bonus', 0.013197498004379929), ('rewards', 0.011186047709229424), ('health', 0.009714196676446178), ('points', 0.008643430373454957), ('get', 0.007940893003471259), ('earn', 0.00777908733610946), ('code', 0.0072185596692556295), ('medical', 0.0072065704564241205), ('news', 0.0071635994277769914)]",positive
2,1,123,1_prizes_coins_join get_attractive prizes,"[('prizes', 0.0998243031593364), ('coins', 0.0711656011307098), ('join get', 0.0629331695734299), ('attractive prizes', 0.06243086388174857), ('coins vouchers', 0.06243086388174857), ('attractive', 0.06234911430865227), ('get coins', 0.06192640476151774), ('daily join get', 0.06192640476151774), ('join get coins', 0.06192640476151774), ('daily join', 0.06192640476151774)]",positive
3,2,123,2_safe_happy_stay_stay safe,"[('safe', 0.02929717705167423), ('happy', 0.025537635458124666), ('stay', 0.02115338219591507), ('stay safe', 0.0207064137727484), ('take', 0.02050306221050564), ('travel', 0.02020127078151366), ('take care', 0.018704081919251644), ('care', 0.01806477848262542), ('holiday', 0.016567316844257652), ('holidays', 0.015418741791959602)]",positive
4,3,70,3_singapore_voucher_discount_singapore zerowaste free,"[('singapore', 0.047120342028679235), ('voucher', 0.026722333440659943), ('discount', 0.02340147282791683), ('singapore zerowaste free', 0.0215615758562385), ('singapore zerowaste', 0.0215615758562385), ('zerowaste', 0.0215615758562385), ('zerowaste free', 0.0215615758562385), ('free', 0.01857322100135873), ('singapore singapore zerowaste', 0.01857200314796788), ('singapore singapore', 0.018289284820780898)]",positive
5,4,62,4_supplements_vitamins_21st century_century,"[('supplements', 0.04274891212552543), ('vitamins', 0.0374850609019459), ('21st century', 0.03597942831803859), ('century', 0.03597942831803859), ('21st', 0.035878310202797005), ('21stcenturysg', 0.034020705371592255), ('sale', 0.02952973919697516), ('add cart', 0.02797570565933087), ('add cart 21stcenturysg', 0.02797570565933087), ('cart 21stcenturysg', 0.02797570565933087)]",positive
6,5,36,5_supplements_vitamins supplements_vitamins_shopeesg,"[('supplements', 0.07831690462891536), ('vitamins supplements', 0.07130095365446566), ('vitamins', 0.06735277599371442), ('shopeesg', 0.06085715332607326), ('shop 21stcenturysg', 0.057017580928505146), ('shop', 0.055771803628008924), ('vouchers shop 21stcenturysg', 0.05461851558253059), ('21st century', 0.05158570551042301), ('century', 0.05158570551042301), ('21st', 0.051440726850158804)]",positive
7,6,34,6_local_skincare give try_skincare give_merdeka sale local,"[('local', 0.09209203850353191), ('skincare give try', 0.060013027303077345), ('skincare give', 0.060013027303077345), ('merdeka sale local', 0.060013027303077345), ('sale local', 0.060013027303077345), ('local skincare give', 0.060013027303077345), ('sale local skincare', 0.060013027303077345), ('cashback 10', 0.05719089534111064), ('amp cashback 10', 0.05719089534111064), ('give try proud', 0.05688888254802205)]",positive
8,7,33,7_covid19_help_singapore_message,"[('covid19', 0.029741337782379456), ('help', 0.021527211181822905), ('singapore', 0.020409916764316322), ('message', 0.019270401584181848), ('coronavirus', 0.017857859869461833), ('autodetailer studio', 0.013598691763863658), ('autodetailer', 0.013598691763863658), ('rumours', 0.013598691763863658), ('quarantine', 0.0132892275117295), ('studio', 0.012751572466068234)]",positive
9,8,32,8_malaysia_situation_health_travel,"[('malaysia', 0.042677893329879445), ('situation', 0.028071319158329118), ('health', 0.02534040155086889), ('travel', 0.024255806500758433), ('applications', 0.02253009674381847), ('appointment', 0.02049226193166082), ('health minister understand', 0.019811589416793816), ('covid situation malaysia', 0.019811589416793816), ('understand many problems', 0.019811589416793816), ('problems', 0.019811589416793816)]",positive
10,9,26,9_national day_day_national_singapore,"[('national day', 0.05182280019477299), ('day', 0.05173700173482494), ('national', 0.04924269882368159), ('singapore', 0.039903394160449746), ('fireworks', 0.026315610132458308), ('55th', 0.026315610132458308), ('happy', 0.02602179029402384), ('quarantine', 0.02437793498911934), ('55th national day', 0.022584623620243483), ('55th national', 0.022584623620243483)]",positive
11,10,23,10_christmas_merry_merry christmas_season,"[('christmas', 0.08514042626461445), ('merry', 0.06830928577916842), ('merry christmas', 0.06214117308331661), ('season', 0.04174456353171403), ('happy', 0.04116659079544318), ('holiday season', 0.04101119781311879), ('wishing', 0.0348964904580545), ('holiday', 0.03204775732151161), ('merry christmas happy', 0.027754276745622312), ('christmas happy', 0.027754276745622312)]",positive
12,11,21,11_free_local_shipping_gift free postage,"[('free', 0.07582001550999108), ('local', 0.05287281963690432), ('shipping', 0.046277432804097116), ('gift free postage', 0.04270345856525307), ('fast shipping', 0.04270345856525307), ('free postage', 0.04270345856525307), ('fast shipping give', 0.04270345856525307), ('free gift', 0.04270345856525307), ('sale mimpimika', 0.04270345856525307), ('free gift free', 0.04270345856525307)]",positive
13,12,19,12_unifi_stay_100_healthy covid19,"[('unifi', 0.0456106547898623), ('stay', 0.0450287069538045), ('100', 0.04287398422663234), ('healthy covid19', 0.04182153212076172), ('serve raya holidays', 0.04182153212076172), ('business hour', 0.04182153212076172), ('usual serve raya', 0.04182153212076172), ('usual serve', 0.04182153212076172), ('usual', 0.04182153212076172), ('business hour open', 0.04182153212076172)]",positive
14,13,19,13_red velvet_red_velvet_dinner,"[('red velvet', 0.034811792832366274), ('red', 0.033933084483547), ('velvet', 0.032501304962420534), ('dinner', 0.031901395121595115), ('food', 0.023799822584964235), ('lunch', 0.02211479988158662), ('covid19', 0.021651693905572245), ('plus bonus', 0.0193830854789169), ('day', 0.018665635171343335), ('photo', 0.017925738404867542)]",positive
15,14,18,14_supplements_century mega_finale sale_expo finale,"[('supplements', 0.06532838678405418), ('century mega', 0.06031926056712412), ('finale sale', 0.06031926056712412), ('expo finale', 0.06031926056712412), ('health expo finale', 0.06031926056712412), ('century mega health', 0.06031926056712412), ('21st century mega', 0.06031926056712412), ('expo finale sale', 0.06031926056712412), ('finale', 0.06031926056712412), ('mega health', 0.06031926056712412)]",positive
16,15,17,15_entering singapore_travellers entering singapore_travellers entering_travellers,"[('entering singapore', 0.10239193842630795), ('travellers entering singapore', 0.10239193842630795), ('travellers entering', 0.10239193842630795), ('travellers', 0.10152886479380901), ('entering', 0.09948389894483031), ('asean countries japan', 0.09536478878813767), ('uk switzerland', 0.09536478878813767), ('asean countries', 0.09536478878813767), ('japan uk', 0.09536478878813767), ('switzerland', 0.09536478878813767)]",positive
17,16,16,16_mask_eyewear_kitajagakita_covid19,"[('mask', 0.04681098272155653), ('eyewear', 0.044870608455393146), ('kitajagakita', 0.029430259640889363), ('covid19', 0.021965486570870392), ('primarycareoptometry', 0.019663999761220043), ('primarycareoptometry eyewear', 0.019663999761220043), ('avoptometry', 0.019663999761220043), ('kaki bukit', 0.019663999761220043), ('kaki', 0.019663999761220043), ('sectsshopsale', 0.019663999761220043)]",positive
18,17,16,17_petition_allowance_critical allowance_critical,"[('petition', 0.08214714451692387), ('allowance', 0.07392323584468756), ('critical allowance', 0.06845595376410323), ('critical', 0.06744623464532512), ('doctors', 0.06082118248461317), ('reinstate', 0.0588606840954777), ('doctors reinstate critical', 0.0588606840954777), ('doctors reinstate', 0.0588606840954777), ('reinstate critical', 0.0588606840954777), ('allowance healthcare', 0.0588606840954777)]",positive
19,18,15,18_photography_airport_instagram_changi,"[('photography', 0.041806527553925325), ('airport', 0.036836385973192894), ('instagram', 0.03334058488881323), ('changi', 0.03157404511987962), ('travel travelphotography', 0.030546758151341183), ('singapore', 0.029567192609514778), ('travelphotography', 0.02925786197748762), ('student', 0.02673569954808997), ('student instagram', 0.02673569954808997), ('sony', 0.02673569954808997)]",positive
