,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,673,-1_health_workers_travel_people,"[('health', 0.009697323309982693), ('workers', 0.006158018220572695), ('travel', 0.005976967863845287), ('people', 0.005636513347907721), ('nigeria', 0.005472006442744475), ('allowance', 0.004880239722639159), ('hazard', 0.00456508215209588), ('message', 0.0044668756040743786), ('dont', 0.004466552640981336), ('hazard allowance', 0.00444570658267228)]",negative
1,0,364,0_travel_abroad_health_covid19,"[('travel', 0.01626527208969332), ('abroad', 0.011555361225123049), ('health', 0.009096866274994977), ('covid19', 0.008678982903207982), ('medical', 0.007643812924965847), ('travel abroad', 0.007228586754203694), ('politicians', 0.007078115391495004), ('country', 0.006617082929505791), ('care', 0.006541400129534597), ('nigeria', 0.006105582533581924)]",negative
2,1,215,1_hazard_allowance_hazard allowance_workers,"[('hazard', 0.0325830495144418), ('allowance', 0.02973912666721713), ('hazard allowance', 0.02926298164238743), ('workers', 0.02195051074870642), ('health', 0.021715464089831202), ('health workers', 0.0195978352162768), ('minister', 0.01747158480849096), ('paid', 0.0171445899059447), ('minister health', 0.012497135731659151), ('50', 0.012060327656923431)]",negative
3,2,144,2_bonus_data_airtime_recharge,"[('bonus', 0.052518717128449556), ('data', 0.038509667326882734), ('airtime', 0.015569476671868936), ('recharge', 0.015206552762935654), ('customer', 0.014391336702615398), ('bonus data', 0.013850206388070552), ('customer care', 0.01349168829470367), ('given', 0.01064033557525788), ('data bonus', 0.010599495530571018), ('airtel', 0.009622017489497446)]",negative
4,3,132,3_sale_sales_dm_price,"[('sale', 0.018439861284315746), ('sales', 0.01423377136307519), ('dm', 0.010569254038043), ('price', 0.009403967362346412), ('prices', 0.009260227232003943), ('send', 0.008867617182590725), ('discount', 0.008184530683031876), ('send dm', 0.00809973347819485), ('products', 0.007924038372611209), ('amp', 0.007799410494611083)]",negative
5,4,70,4_nurses_doctors_hospitals_allowances,"[('nurses', 0.024143671954765498), ('doctors', 0.023294620265033105), ('hospitals', 0.0160692372169302), ('allowances', 0.015415451009787607), ('ward', 0.014380048262763012), ('state', 0.012931222664937632), ('despite', 0.012307056021464133), ('doctors nurses', 0.011474120909673835), ('governor', 0.011163457555490053), ('minister', 0.011089701378668802)]",negative
6,5,52,5_nurse_message_nursesweek2021_nursesweek2021 nursesweek2021,"[('nurse', 0.048808154869058686), ('message', 0.04141624566448613), ('nursesweek2021', 0.03968126131598788), ('nursesweek2021 nursesweek2021', 0.034988478546094645), ('nursesweek2021 nursesweek2021 nursesweek2021', 0.030119659604338534), ('reply', 0.021083761723036974), ('messages', 0.019884803835542426), ('drop message', 0.01969171357871654), ('send', 0.019197310356667163), ('like', 0.0182023363906999)]",negative
7,6,51,6_mental health_mental_message_health,"[('mental health', 0.04449829095714561), ('mental', 0.04447195712604965), ('message', 0.023263679616633493), ('health', 0.020791452069031987), ('pmb', 0.015513654931391216), ('federal ministry', 0.014370063993139752), ('dey', 0.01245634542151709), ('important', 0.012223072168342983), ('wondering', 0.011830036791661717), ('federal ministry health', 0.011133358995766271)]",negative
8,7,36,7_nurses_dont_nurses dont_doctors nurses,"[('nurses', 0.03557747140787447), ('dont', 0.017033240699799355), ('nurses dont', 0.01660333490752373), ('doctors nurses', 0.016438293193316238), ('doctors', 0.015573983722768447), ('much', 0.01482939681610623), ('dont cars', 0.014242682796756247), ('cars move', 0.014242682796756247), ('cars move work', 0.014242682796756247), ('move work', 0.014242682796756247)]",negative
9,8,36,8_case_confirmed_cases_confirmed case,"[('case', 0.04960409587947577), ('confirmed', 0.042569608068618925), ('cases', 0.034827848723781106), ('confirmed case', 0.03167637258790463), ('state', 0.024262004341719715), ('index case', 0.02230336130753389), ('index', 0.02230336130753389), ('covid19', 0.019725595318806483), ('absconded', 0.0181445247774316), ('tested', 0.01789579160174939)]",negative
