,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,46,-1_life_due_health_covid19,"[('life', 0.023369260391103455), ('due', 0.020643585759509062), ('health', 0.02049602027090958), ('covid19', 0.01815800816457582), ('travel', 0.014626758500902358), ('insurance', 0.013271965951927414), ('applications', 0.013081438983487818), ('travel restrictions', 0.011954058282177054), ('restrictions', 0.011743964408907522), ('emergency', 0.011552250597394903)]",neutral
1,0,67,0_nigeria_covid19_travel_health,"[('nigeria', 0.032331735654326246), ('covid19', 0.021813766792831882), ('travel', 0.021150963050270113), ('health', 0.018718853383141366), ('lagos', 0.014070868382704719), ('better', 0.013641448696254277), ('travelers', 0.011565057970562747), ('traveling', 0.01012318467286703), ('nigeria covid19', 0.009920672202951326), ('country', 0.009716614715011188)]",neutral
2,1,65,1_travel_health_covid19_us,"[('travel', 0.03338078061978474), ('health', 0.02634861553290917), ('covid19', 0.015231889799694174), ('us', 0.01486224218183211), ('history', 0.012825838880468359), ('amp', 0.011882035775732517), ('help', 0.01106578149295512), ('patient', 0.011002188107043561), ('home', 0.010775885007713227), ('travel history', 0.010747667378944066)]",neutral
3,2,47,2_allowance_hazard_hazard allowance_workers,"[('allowance', 0.05525576422248208), ('hazard', 0.042941133871901946), ('hazard allowance', 0.033366953577183084), ('workers', 0.029884857967835295), ('health', 0.02595952660948827), ('covid19', 0.022195169370709936), ('salary', 0.021866305682157455), ('allowances', 0.0159817263962862), ('care', 0.015821395394736336), ('health workers', 0.015208864536282304)]",neutral
4,3,40,3_bonus_data_data bonus_glo,"[('bonus', 0.08692336825224496), ('data', 0.06598337544410389), ('data bonus', 0.024449306904541245), ('glo', 0.018482505872399035), ('new', 0.018442969154925198), ('kindly', 0.016097146116034446), ('please', 0.015460914250107241), ('sim', 0.015326841423588913), ('bonus data', 0.015326841423588913), ('active', 0.01478600469791923)]",neutral
5,4,39,4_day_message_sms_holiday,"[('day', 0.028519013572749937), ('message', 0.022933500228739093), ('sms', 0.01921194754917474), ('holiday', 0.016648869533070154), ('appreciate', 0.016271696514358534), ('health', 0.016235005530378377), ('messages', 0.015364852890500585), ('us', 0.014305274526102701), ('workers', 0.014207703214874337), ('mental health', 0.013595897258004478)]",neutral
6,5,33,5_sale_price_used_abuja,"[('sale', 0.04083135482221336), ('price', 0.033461956541624406), ('used', 0.026849753435208814), ('abuja', 0.026849753435208814), ('location', 0.022153737685133675), ('hurry stock', 0.018592207305652975), ('last', 0.018592207305652975), ('iseyin', 0.018592207305652975), ('hurry', 0.018592207305652975), ('nurses', 0.01839936359532254)]",neutral
7,6,21,6_sales_sell_nurse_pressure,"[('sales', 0.02777042556923346), ('sell', 0.026424207614445496), ('nurse', 0.025363512179286563), ('pressure', 0.021912593597787272), ('ad', 0.021912593597787272), ('contract', 0.021912593597787272), ('product', 0.021139366091556398), ('amp', 0.020591027906809188), ('really', 0.02050788090640538), ('high', 0.018411110870214395)]",neutral
8,7,13,7_salary_job_experience_lagos,"[('salary', 0.04456202295915537), ('job', 0.0442582739307679), ('experience', 0.03306076229210134), ('lagos', 0.03282393952034394), ('apply', 0.02901529635017349), ('commission', 0.02901529635017349), ('must', 0.027991436479853988), ('monthly', 0.027991436479853988), ('location', 0.027987323784040345), ('sales', 0.026265624183708494)]",neutral
9,8,11,8_need_ill_funds_take,"[('need', 0.053063778982636284), ('ill', 0.043902302016668844), ('funds', 0.03963631142166825), ('take', 0.03678616323715876), ('dont', 0.034185601731720985), ('funds ill', 0.03286889039668091), ('etc', 0.03004049493169277), ('child', 0.028657108483961025), ('pay', 0.028110715179181976), ('thats', 0.026751306371853693)]",neutral
