,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,179,-1_singapore_travel_health_amp,"[('singapore', 0.014939561352525004), ('travel', 0.012290505478984474), ('health', 0.011084764108389107), ('amp', 0.00904982987532338), ('covid19', 0.008839715076375659), ('together', 0.006874839108244916), ('covid', 0.006685870835679905), ('safe', 0.0062583644108079785), ('go', 0.006196877707850372), ('take', 0.006054336170626137)]",positive
1,0,104,0_happy_day_national day_national,"[('happy', 0.024801810415538524), ('day', 0.02137653036039222), ('national day', 0.019045395526931127), ('national', 0.018522591399100074), ('safe', 0.018511700491063213), ('year', 0.01759114927163944), ('health', 0.015513396548329983), ('everyone', 0.01478166068382472), ('stay', 0.013808266377798839), ('singapore', 0.013375592746890975)]",positive
2,1,75,1_voucher_singapore_zerowaste_zerowaste free,"[('voucher', 0.05085267648447205), ('singapore', 0.04214224435634845), ('zerowaste', 0.03334799864134363), ('zerowaste free', 0.03334799864134363), ('singapore zerowaste free', 0.03334799864134363), ('singapore zerowaste', 0.03334799864134363), ('free', 0.03328899039557179), ('singapore singapore zerowaste', 0.02753591442178679), ('singapore singapore', 0.026791067140397806), ('vouchers', 0.02299908648847007)]",positive
3,2,57,2_covid19_travel_singapore_life,"[('covid19', 0.02679410584398017), ('travel', 0.025992518494421392), ('singapore', 0.025097419079637875), ('life', 0.018706255400397206), ('airport', 0.016502102420458704), ('instagram', 0.013758855545942444), ('photography', 0.013620655835444364), ('travelphotography', 0.013327632098132754), ('student instagram', 0.012208907764170123), ('student', 0.01191807385601382)]",positive
4,3,34,3_bonus_miles_news_credit,"[('bonus', 0.05908997641904896), ('miles', 0.04474299664762573), ('news', 0.032601031599565206), ('credit', 0.029757223532055333), ('card', 0.029521544092498797), ('creditcard', 0.025275199611163715), ('sg', 0.024757055974421124), ('krisflyer', 0.024731449476013304), ('american express', 0.022655486233686125), ('express', 0.022115799659768252)]",positive
5,4,30,4_gss_21st century_21st_century,"[('gss', 0.04635659223609124), ('21st century', 0.030958547468591145), ('21st', 0.030958547468591145), ('century', 0.030958547468591145), ('sale', 0.027974694715769476), ('shop', 0.02755394602435986), ('happening', 0.0272605006008664), ('till', 0.025724353411903038), ('supplements', 0.025419985638768617), ('21stcenturysg', 0.02097784432071229)]",positive
6,5,29,5_minister_please_malaysia_pay attention,"[('minister', 0.029462534769421928), ('please', 0.0256596182273004), ('malaysia', 0.021833540460198177), ('pay attention', 0.02112917973288837), ('malaysia please pay', 0.02112917973288837), ('understand many', 0.02112917973288837), ('many problems address', 0.02112917973288837), ('regarding', 0.02112917973288837), ('understand many problems', 0.02112917973288837), ('new appointment', 0.02112917973288837)]",positive
7,6,27,6_supplements_vitamins supplements_vitamins_55 brands,"[('supplements', 0.06612620881413907), ('vitamins supplements', 0.06266762330956194), ('vitamins', 0.05945315159729297), ('55 brands', 0.05941580039619675), ('brands festival', 0.05941580039619675), ('55brandsfestival', 0.05941580039619675), ('century 55 brands', 0.05941580039619675), ('century 55', 0.05941580039619675), ('shopeesg 55brandsfestival', 0.05941580039619675), ('21st century 55', 0.05941580039619675)]",positive
8,7,26,7_prizes_coins_grab_grab amazing prizes,"[('prizes', 0.10227500232566267), ('coins', 0.05863847264665533), ('grab', 0.056442250510398626), ('grab amazing prizes', 0.05605278144014099), ('join get', 0.05605278144014099), ('get coins vouchers', 0.05605278144014099), ('join get coins', 0.05605278144014099), ('amazing prizes', 0.05605278144014099), ('get coins', 0.05605278144014099), ('grab amazing', 0.05605278144014099)]",positive
9,8,24,8_mask_singapore_need_sectsshopsale,"[('mask', 0.05347430357953677), ('singapore', 0.01992481112944465), ('need', 0.01946387870276903), ('sectsshopsale', 0.01827667130432706), ('orchard gateway', 0.014348449269385258), ('orchard gateway singapore', 0.014348449269385258), ('kaki', 0.014348449269385258), ('pants', 0.014348449269385258), ('depression', 0.014348449269385258), ('0414', 0.014348449269385258)]",positive
