,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,420,-1_health_travel_amp_covid19,"[('health', 0.010386768966705269), ('travel', 0.008886831811807173), ('amp', 0.00872660310379043), ('covid19', 0.006202712859547872), ('safe', 0.005338984277083393), ('people', 0.0050958919029474165), ('like', 0.004640081167863603), ('vouchers', 0.004379634038775348), ('food', 0.004324063291955733), ('world', 0.004264982374080237)]",positive
1,0,761,0_health_amp_safe_message,"[('health', 0.01346633005419358), ('amp', 0.00893902037486185), ('safe', 0.006409197717451795), ('message', 0.005957885166568569), ('good', 0.005835248310725014), ('workers', 0.005482479040617607), ('travel', 0.00522961985563539), ('care', 0.005170680470650725), ('love', 0.004944407363430001), ('healthy', 0.0049194865768540244)]",positive
2,1,93,1_voucher_vouchers_win_r50,"[('voucher', 0.04858153974255528), ('vouchers', 0.02333676353594446), ('win', 0.015787144810957537), ('r50', 0.014631803744186843), ('using', 0.01170148483908491), ('promo code', 0.011228112200611678), ('promo', 0.010983740169709615), ('register', 0.0103487399028931), ('free', 0.010327880974622079), ('r50 voucher', 0.009865978020820659)]",positive
3,2,78,2_travel_safe_starofazania_us,"[('travel', 0.03415457618786426), ('safe', 0.02440846895770355), ('starofazania', 0.01858135175537267), ('us', 0.017799194603469598), ('health', 0.016340649448223957), ('strict', 0.016273237809824415), ('starofazania travel', 0.015908363970156856), ('measures ensure', 0.015908363970156856), ('safe possible starofazania', 0.015908363970156856), ('important us implement', 0.015908363970156856)]",positive
4,3,42,3_get_rewards_programme_rewards programme,"[('get', 0.06280701367128225), ('rewards', 0.05300952121442912), ('programme', 0.05208550367353909), ('rewards programme', 0.051835094274885474), ('prescriptions healthcare everything', 0.051835094274885474), ('get essentials', 0.051835094274885474), ('prescriptions healthcare', 0.051835094274885474), ('get 30 cashback', 0.051835094274885474), ('beauty meds', 0.051835094274885474), ('beauty meds prescriptions', 0.051835094274885474)]",positive
5,4,37,4_masks_lockdownhustle_maskedsinger_help contain,"[('masks', 0.06103506422720691), ('lockdownhustle', 0.04464402716387963), ('maskedsinger', 0.04464402716387963), ('help contain', 0.04464402716387963), ('spread coronavirus keep', 0.04464402716387963), ('sa health department', 0.04464402716387963), ('maskedsinger masksforsale lockdownhustle', 0.04464402716387963), ('contain spread coronavirus', 0.04464402716387963), ('recommends cloth masks', 0.04464402716387963), ('maskedsinger masksforsale', 0.04464402716387963)]",positive
6,5,37,5_reliefreformreward_covid19_reliefreformreward covid19_ubuntuinaction,"[('reliefreformreward', 0.04651755568546143), ('covid19', 0.04516000442590091), ('reliefreformreward covid19', 0.04416513952716442), ('ubuntuinaction', 0.03557169261701866), ('ubuntuinaction reliefreformreward', 0.032326019950137876), ('ubuntuinaction reliefreformreward covid19', 0.032326019950137876), ('reliefreformreward covid19 covid19', 0.02693004650537797), ('covid19 covid19', 0.024983484576355637), ('people', 0.023754065889719837), ('continue', 0.022229484753699)]",positive
7,6,34,6_stay_air_stay healthy happy_safe stay healthy,"[('stay', 0.03956361818927479), ('air', 0.035014172441049325), ('stay healthy happy', 0.032116437679863025), ('safe stay healthy', 0.03171021982253146), ('healthy happy', 0.03171021982253146), ('safe stay', 0.02973119790090839), ('stay safe stay', 0.02973119790090839), ('stay healthy', 0.028946945792042357), ('online', 0.028926260119496977), ('stay safe', 0.0270797678490951)]",positive
8,7,32,7_lockdown_day_lockdown level_sa lockdown level,"[('lockdown', 0.02410946914644213), ('day', 0.020548404188017726), ('lockdown level', 0.018373202158603563), ('sa lockdown level', 0.016840818089650923), ('sa lockdown', 0.016366098125305005), ('level', 0.014839431795966201), ('booking', 0.014563109829894887), ('take', 0.013299259731325726), ('safe', 0.012817523257218697), ('wonderful', 0.012765001246323173)]",positive
9,8,30,8_vaccination_vaccination certificate_certificate_digital,"[('vaccination', 0.0729711808871183), ('vaccination certificate', 0.03240692019553033), ('certificate', 0.032380158996649734), ('digital', 0.028247030229924277), ('covid19 vaccination', 0.025933328300757556), ('south', 0.02292412267372433), ('popup', 0.02116277241565578), ('proof vaccination', 0.02116277241565578), ('proof', 0.020643929731406486), ('president', 0.02017036645614477)]",positive
