,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,85,-1_health_travel_thailand_covid19,"[('health', 0.020854454563276892), ('travel', 0.017356448099760374), ('thailand', 0.011884810495556123), ('covid19', 0.011845987387328418), ('amp', 0.01045424218200435), ('day', 0.009288625511675308), ('covid', 0.008972123988298919), ('year', 0.008572540996885286), ('airport', 0.008183982885963339), ('happy', 0.008173376584553218)]",positive
1,0,28,0_covid19_public_travel_thailand,"[('covid19', 0.034208959232509877), ('public', 0.02849694446565473), ('travel', 0.027111511464985916), ('thailand', 0.02620881937221354), ('bangkok', 0.021699074404279546), ('gambling', 0.019635952714333212), ('hospital', 0.019086894620141067), ('contact', 0.019086894620141067), ('cambodia', 0.018611606876173335), ('health', 0.017835480268441707)]",positive
2,1,25,1_health_travels_safe_safe travels,"[('health', 0.04402352441324715), ('travels', 0.04268722359952755), ('safe', 0.04183182746241072), ('safe travels', 0.03556524697552952), ('good', 0.03427320371386708), ('wish', 0.03234872719789085), ('travel', 0.028018266218184602), ('good health', 0.026970694600611807), ('take', 0.024261545398418138), ('time', 0.02351019054757675)]",positive
3,2,20,2_thailand_bangkok_asia_travelphotography,"[('thailand', 0.05065411978134994), ('bangkok', 0.043873681715716706), ('asia', 0.03756301000975854), ('travelphotography', 0.034309644733591174), ('travelphoto', 0.03347426634827707), ('covid19 covid', 0.03347426634827707), ('pattaya', 0.029658186503665068), ('seafood', 0.02951457657810183), ('food', 0.029222179874043647), ('thai', 0.027407733497216022)]",positive
4,3,19,3_amp_thailand_safe_lockdown,"[('amp', 0.043752939502462646), ('thailand', 0.040696472302964914), ('safe', 0.0389318052356719), ('lockdown', 0.035549838195608925), ('positivethinking', 0.03073539862082798), ('bepositive thinkpositive positivethinking', 0.03073539862082798), ('think', 0.03073539862082798), ('holidaytime safetravels', 0.03073539862082798), ('positivethinking travelthailand', 0.03073539862082798), ('holidaytime', 0.03073539862082798)]",positive
5,4,19,4_holiday_bts_mask_lets,"[('holiday', 0.03402127213643921), ('bts', 0.03358801692907472), ('mask', 0.025504450223225526), ('lets', 0.020097562899965886), ('properly', 0.019022871932851626), ('mask time', 0.019022871932851626), ('un', 0.019022871932851626), ('covid19', 0.01852087962321842), ('since', 0.017222879891297588), ('time', 0.016603241912130473)]",positive
6,5,17,5_happiness_holiday_family_wishing,"[('happiness', 0.06343275384174099), ('holiday', 0.04795489894999794), ('family', 0.044482819611141464), ('wishing', 0.044464645788016025), ('prosperity', 0.042484083417868024), ('year', 0.040575275490997535), ('love', 0.03822464004354645), ('health', 0.03712081962169003), ('good', 0.03639172180463702), ('peace', 0.03550815100266517)]",positive
7,6,15,6_singapore_covid19_travel_time,"[('singapore', 0.0715074264894254), ('covid19', 0.032632778517018804), ('travel', 0.03042628971878564), ('time', 0.028083845363999535), ('topologieofficial', 0.026813809243234545), ('weeks', 0.024276619095924584), ('thailand', 0.021876090060467486), ('wanderlust', 0.02108985079958209), ('travelgram', 0.02108985079958209), ('medal', 0.02108985079958209)]",positive
8,7,14,7_singapore_travel_hong_pass,"[('singapore', 0.05997617164523371), ('travel', 0.051039520348878965), ('hong', 0.047510826112348595), ('pass', 0.041895028882871235), ('kong', 0.041895028882871235), ('travel pass', 0.041895028882871235), ('hong kong', 0.036067944802675056), ('visitors', 0.03309124759472294), ('tests', 0.0299864355277394), ('predeparture', 0.0299864355277394)]",positive
9,8,13,8_thailand_support_amp_message,"[('thailand', 0.03168410473414223), ('support', 0.03076578458090789), ('amp', 0.028613514069084568), ('message', 0.025362587330588004), ('love', 0.02422106300337178), ('need', 0.022141767734289296), ('home', 0.02143690527754338), ('great', 0.02082716350408728), ('thai', 0.019810280267115003), ('service', 0.019618965131420484)]",positive
10,9,12,9_countries_vaccines_test_vaccination,"[('countries', 0.04644400054225896), ('vaccines', 0.03839073152686677), ('test', 0.03004645114365474), ('vaccination', 0.02899057604526835), ('health', 0.026756211929041034), ('travelers', 0.023612438653909988), ('requirement make', 0.02280194200840425), ('easier many', 0.02280194200840425), ('easier many visitors', 0.02280194200840425), ('proof', 0.02280194200840425)]",positive
