,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,345,-1_health_support_care_services,"[('health', 0.01732726014037031), ('support', 0.014949952643686398), ('care', 0.008499718931476222), ('services', 0.00762398129660994), ('need', 0.007361506492434186), ('people', 0.0072395765199018865), ('health services', 0.006612304322210809), ('public', 0.006125525870634265), ('service', 0.005340242250764744), ('amp', 0.005332963960167712)]",neutral
1,0,276,0_mental_mental health_health_support,"[('mental', 0.03226017224992506), ('mental health', 0.03102237255763209), ('health', 0.025022372687799103), ('support', 0.019144775289327988), ('mental health services', 0.01326434322647835), ('services', 0.012293849222951065), ('health services', 0.01085994993346912), ('need', 0.008335068061138607), ('people', 0.007746627491773404), ('better', 0.007213941052996996)]",neutral
2,1,124,1_health_health services_services_service,"[('health', 0.024913439269230946), ('health services', 0.022104742950724742), ('services', 0.021771732156699555), ('service', 0.011800657066098693), ('health service', 0.011542267848728839), ('dont', 0.010100132274554812), ('hospital', 0.009635596389327353), ('free', 0.009001443565797808), ('amp', 0.008762888199922868), ('would', 0.008064280792891716)]",neutral
3,2,116,2_amp_support_health_care,"[('amp', 0.05303228200122582), ('support', 0.015555367820741016), ('health', 0.01496222316768061), ('care', 0.00782318832594815), ('people', 0.007688476475865185), ('health amp', 0.007620430467885978), ('amp support', 0.007272528896766613), ('want', 0.007267761252445904), ('still', 0.006962962409131599), ('support amp', 0.00695271026870326)]",neutral
4,3,61,3_vaccine_vaccination_support_health,"[('vaccine', 0.03707241555644079), ('vaccination', 0.019135254841054442), ('support', 0.01853368123084626), ('health', 0.01658322786004819), ('vaccinated', 0.014980633104589861), ('vaccines', 0.012182013163261911), ('fully', 0.009924448792912446), ('mandatory vaccines', 0.00851233197330096), ('support vaccine', 0.00851233197330096), ('vac', 0.00851233197330096)]",neutral
5,4,39,4_covid_covid19_support_ive,"[('covid', 0.024533179720746593), ('covid19', 0.015971559236836384), ('support', 0.01370028510428102), ('ive', 0.013221848497705873), ('weve', 0.01320061054769006), ('im', 0.013138570454571258), ('people', 0.012311952194459788), ('health', 0.012258490194262523), ('elderly', 0.011957126090300531), ('house', 0.01114649445515679)]",neutral
6,5,33,5_worker_support worker_support_disability,"[('worker', 0.05408759643430616), ('support worker', 0.05182102944515925), ('support', 0.03821067128020029), ('disability', 0.03387187098680544), ('disability support', 0.029901971154274863), ('new', 0.02390396016053727), ('disability support worker', 0.020469998392480947), ('work', 0.017547925434859578), ('shes new amp', 0.017340118844142802), ('meant shes new', 0.017340118844142802)]",neutral
7,6,32,6_amp_covid19_online_risk,"[('amp', 0.0279676994418576), ('covid19', 0.022573718102813767), ('online', 0.021371530516066994), ('risk', 0.018664661509176696), ('survivors', 0.016962868224929768), ('victims', 0.016599303775998307), ('support', 0.015088494571005268), ('also invited would', 0.014899484204290768), ('media personalities researchers', 0.014899484204290768), ('ur support', 0.014899484204290768)]",neutral
8,7,29,7_healthcare_job_love_support,"[('healthcare', 0.03308657553730389), ('job', 0.028148478868708696), ('love', 0.024917940902752775), ('support', 0.02461956588477897), ('research', 0.024008620332601854), ('benefit', 0.023843731915185854), ('thanks', 0.023610812993612153), ('coronavirus', 0.023178199657456263), ('worker support others', 0.02181766020860316), ('however please spare', 0.02181766020860316)]",neutral
9,8,29,8_medical_frontline_covid19_frontline medical,"[('medical', 0.03202256732295854), ('frontline', 0.030668845986382132), ('covid19', 0.03015039243688501), ('frontline medical', 0.024670203192209365), ('emergency', 0.02463274409458349), ('australian', 0.022444641896098027), ('testing', 0.02177667718794045), ('support frontline staff', 0.01857367673766179), ('school closing next', 0.01857367673766179), ('suggest mobilisation support', 0.01857367673766179)]",neutral
10,9,27,9_minister_health_premier_politics,"[('minister', 0.028673390271355237), ('health', 0.024694132154061355), ('premier', 0.020173859732727756), ('politics', 0.01837999611559979), ('government', 0.018219425226172026), ('obrien', 0.01669907933049612), ('support', 0.016354700954597946), ('health minister', 0.015321974625845374), ('andrews', 0.014445030395993558), ('health advice', 0.014210833473707054)]",neutral
11,10,27,10_nurses_lets_hospitals_doctors,"[('nurses', 0.038466535553695495), ('lets', 0.038254106912914775), ('hospitals', 0.035228032874441255), ('doctors', 0.023140089900978194), ('community', 0.02218046309609527), ('people hospital', 0.02215915402056391), ('midwives', 0.02215915402056391), ('keep people', 0.02215915402056391), ('keep people hospital', 0.02215915402056391), ('health', 0.021512923502974547)]",neutral
12,11,26,11_nurses_nurse_support_strike,"[('nurses', 0.04674752584650494), ('nurse', 0.0441363183978474), ('support', 0.034562082876708936), ('strike', 0.029677505222133513), ('family', 0.024103584166207084), ('work', 0.02129457100519062), ('though', 0.0204181175724555), ('lives', 0.019320415149424956), ('nurses way strike', 0.019193065661380904), ('work wish could', 0.019193065661380904)]",neutral
13,12,25,12_health_mental health_mental_nurses,"[('health', 0.03215288927881394), ('mental health', 0.031524060524654875), ('mental', 0.030742813518531874), ('nurses', 0.026616435551594354), ('move mental', 0.02299912195275135), ('mental health nurses', 0.02299912195275135), ('hiring', 0.02299912195275135), ('move mental health', 0.02299912195275135), ('need', 0.022021639151732195), ('health nurses', 0.02153843588131297)]",neutral
14,13,24,13_could_melbourne_workers_sector,"[('could', 0.021804652710970922), ('melbourne', 0.020995634020250745), ('workers', 0.020093385871873128), ('sector', 0.019713251686659102), ('time', 0.01761193151410335), ('nrl', 0.01669907933049612), ('payment', 0.01669907933049612), ('support', 0.016354700954597946), ('protocols', 0.01614982908945676), ('stadium', 0.01614982908945676)]",neutral
15,14,21,14_telehealth_covid19_telehealth services_services,"[('telehealth', 0.05767338017241626), ('covid19', 0.03651923937860903), ('telehealth services', 0.02537697167920899), ('services', 0.021168903296823045), ('need', 0.021089002748590553), ('ok recognise', 0.019840022930865654), ('support selfmanagement ncds', 0.019840022930865654), ('codesign', 0.019840022930865654), ('someone know needs', 0.019840022930865654), ('services supports', 0.019840022930865654)]",neutral
16,15,20,15_lockdown_wont_support_cant,"[('lockdown', 0.04059604345363825), ('wont', 0.024747759665524657), ('support', 0.022276982328115716), ('cant', 0.020696270127316747), ('worker', 0.020323249968670364), ('support worker', 0.020203609135141905), ('tonight', 0.01922162664740404), ('thru', 0.01922162664740404), ('make', 0.01822829132017425), ('since', 0.017241797970625142)]",neutral
17,16,19,16_masks_mask_settings_wear,"[('masks', 0.05559965640431249), ('mask', 0.03865788466117707), ('settings', 0.03865788466117707), ('wear', 0.02935839226275573), ('public', 0.028594243149819974), ('outdoor settings', 0.024285489026339785), ('wear mask', 0.024285489026339785), ('provide scientific', 0.024285489026339785), ('provide scientific evidence', 0.024285489026339785), ('public transport', 0.024285489026339785)]",neutral
18,17,18,17_nursing_nurses_fry_prof fry,"[('nursing', 0.06318982418446945), ('nurses', 0.04866503397882268), ('fry', 0.02981584791352607), ('prof fry', 0.02981584791352607), ('great', 0.029018483935233336), ('prof', 0.027357057005222268), ('peer', 0.02625367101924617), ('hard sometimes partner', 0.02331038997817879), ('great supporters', 0.02331038997817879), ('great supporters among', 0.02331038997817879)]",neutral
