,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,1934,-1_health_support_mental_mental health,"[('health', 0.011395875698916931), ('support', 0.010316634716792936), ('mental', 0.008538106882624777), ('mental health', 0.008252084392532985), ('amp', 0.006694828876997327), ('services', 0.005610617922207108), ('people', 0.004831109553385889), ('care', 0.00460827494991903), ('supporting', 0.004534375691763211), ('health services', 0.0042590923940783254)]",positive
1,0,3877,0_support_health_amp_covid19,"[('support', 0.010867723822903089), ('health', 0.010846061343739971), ('amp', 0.009094746001773058), ('covid19', 0.007676113127225277), ('services', 0.005727921509337198), ('care', 0.005543095189707793), ('nurses', 0.0055201400097619185), ('community', 0.005365165643878162), ('mental', 0.005294800600520155), ('mental health', 0.0052133627904455415)]",positive
2,1,89,1_cancer_amp_patients_head amp neck,"[('cancer', 0.040689449559516165), ('amp', 0.022001690422602978), ('patients', 0.016640109560952795), ('head amp neck', 0.014832961687416435), ('amp neck cancer', 0.014832961687416435), ('amp neck', 0.014832961687416435), ('head amp', 0.014661437138510598), ('neck cancer', 0.014661437138510598), ('neck', 0.01435243450616924), ('head', 0.01235343520248975)]",positive
3,2,72,2_taking part_push_taking_challenge,"[('taking part', 0.0363950968281782), ('push', 0.0318388167199189), ('taking', 0.031675478773584745), ('challenge', 0.030135287819654133), ('part', 0.029999875340341677), ('pushup challenge', 0.02806363155884907), ('pushup', 0.02806363155884907), ('part pushup', 0.02392431445149402), ('part pushup challenge', 0.02392431445149402), ('team', 0.02369904855799121)]",positive
4,3,70,3_happy_happiness_birthday_year,"[('happy', 0.032214299455203446), ('happiness', 0.02224480993279053), ('birthday', 0.020950137072727026), ('year', 0.02010953690018475), ('thank', 0.019429599398534555), ('2020', 0.01795626736440151), ('happy birthday', 0.017252240014027177), ('wishing', 0.015067381154621544), ('may', 0.014963006731966126), ('always', 0.014338329853169204)]",positive
5,4,55,4_music_art_therapy_art therapy,"[('music', 0.04524034532014108), ('art', 0.03998955359372486), ('therapy', 0.018708295987124913), ('art therapy', 0.01855059222738234), ('artists', 0.018338967996477322), ('musicians', 0.014963706444828242), ('arts', 0.014546457083345713), ('kiwi', 0.013107610786680964), ('musicfromthehomefront', 0.013107610786680964), ('mental', 0.012330684281391531)]",positive
6,5,52,5_diet_foraging_healthy_meat,"[('diet', 0.02514589380788242), ('foraging', 0.019873322283117147), ('healthy', 0.01836315075095833), ('meat', 0.01816861942413275), ('nutrition', 0.017266112692851904), ('covid19', 0.016509843227208845), ('varied diet', 0.016430766866005007), ('varied', 0.016430766866005007), ('dietitians', 0.016149883932562444), ('food', 0.015274726989767739)]",positive
7,6,48,6_socks_crazysocks4docs_crazy_crazysocks4docs day,"[('socks', 0.08391068891496004), ('crazysocks4docs', 0.048222782558188536), ('crazy', 0.03814347425619308), ('crazysocks4docs day', 0.03309834666031823), ('crazy socks', 0.03233596033093384), ('day', 0.032072777613954134), ('doctors', 0.030327336013142928), ('mental health', 0.027647325718784158), ('mental', 0.027625739283089104), ('stigma', 0.021544428242565826)]",positive
8,7,43,7_guys_imrickjamesbricks_lego imrickjamesbricks_lego imrickjamesbricks legopakenham,"[('guys', 0.13704621614909676), ('imrickjamesbricks', 0.10750322270948703), ('lego imrickjamesbricks', 0.10750322270948703), ('lego imrickjamesbricks legopakenham', 0.10750322270948703), ('imrickjamesbricks legopakenham', 0.10750322270948703), ('legopakenham', 0.10750322270948703), ('lego', 0.10703105102847518), ('legomelbourne', 0.10138508607293775), ('imrickjamesbricks legopakenham legomelbourne', 0.10138508607293775), ('legopakenham legomelbourne', 0.10138508607293775)]",positive
9,8,41,8_rural_rural health_remote_rural remote,"[('rural', 0.08066470615622563), ('rural health', 0.02856033973525133), ('remote', 0.022468223555716767), ('rural remote', 0.020878958741518808), ('health', 0.020529783937097437), ('rural communities', 0.01789625034987326), ('clinician', 0.0165468937698891), ('communities', 0.015514414167854198), ('service', 0.01466469164657984), ('health service', 0.013862996992950906)]",positive
10,9,39,9_masks_mask_wearing_safety measures,"[('masks', 0.06419189804232116), ('mask', 0.028762837554808962), ('wearing', 0.019469830533493115), ('safety measures', 0.017863354106538786), ('n95', 0.016560055403309897), ('mask wearing', 0.015856756553133417), ('hadley spoke strong', 0.014998075093585273), ('support onair', 0.014998075093585273), ('hadley', 0.014998075093585273), ('veteran highrating radio', 0.014998075093585273)]",positive
11,10,39,10_telehealth_telehealth services_via telehealth_available,"[('telehealth', 0.08220346681921091), ('telehealth services', 0.030414919811167153), ('via telehealth', 0.02575424859994452), ('available', 0.0199735003911336), ('via', 0.01982743620864255), ('colleagues nurses', 0.018197622082016463), ('please reachout help', 0.018197622082016463), ('clinicalpsychologist', 0.018197622082016463), ('via telehealth available', 0.018197622082016463), ('please reachout', 0.018197622082016463)]",positive
12,11,39,11_innovation_health services innovation_services innovation_research,"[('innovation', 0.036273264528752173), ('health services innovation', 0.024019641877100463), ('services innovation', 0.024019641877100463), ('research', 0.02382315464632793), ('health', 0.023344707649937076), ('health services', 0.02181989253449974), ('services', 0.01873406705471026), ('grad cert health', 0.016918083080977243), ('congratulations', 0.016441627471457405), ('grad cert', 0.01642000315103406)]",positive
13,12,34,12_pharmacy_pharmacists_medicines_important role,"[('pharmacy', 0.04549337947126954), ('pharmacists', 0.02942330288343995), ('medicines', 0.02738392926907649), ('important role', 0.023683859992978656), ('patents', 0.02301721701545582), ('role', 0.022030285367055147), ('pharma', 0.02053794695180737), ('napsacongress', 0.01966842271502274), ('pharmacies play', 0.01966842271502274), ('play', 0.01864709767867125)]",positive
14,13,34,13_coastrek_support trek support_30km please support_trek support mental,"[('coastrek', 0.05965474002735173), ('support trek support', 0.0516666909200054), ('30km please support', 0.0516666909200054), ('trek support mental', 0.0516666909200054), ('support trek', 0.0516666909200054), ('30km please', 0.0516666909200054), ('trek support', 0.0516666909200054), ('please support trek', 0.0516666909200054), ('30km', 0.05116176400297514), ('trek', 0.05068576721909288)]",positive
15,14,30,14_trump_covid19_bipartisan support_bipartisan,"[('trump', 0.058482218044668785), ('covid19', 0.025911590494409855), ('bipartisan support', 0.025660665174694404), ('bipartisan', 0.025660665174694404), ('watch', 0.02518844673979991), ('jabs 2gether tues', 0.024345884890711333), ('got jabs', 0.024345884890711333), ('2gether tues', 0.024345884890711333), ('promote public health', 0.024345884890711333), ('2gether', 0.024345884890711333)]",positive
16,15,29,15_exercising_stress_exercising eating well_supporting immunity,"[('exercising', 0.04027732746551097), ('stress', 0.02905306858411437), ('exercising eating well', 0.027557307191182573), ('supporting immunity', 0.027557307191182573), ('positive key factors', 0.027557307191182573), ('key factors supporting', 0.027557307191182573), ('well managing stress', 0.027557307191182573), ('well managing', 0.027557307191182573), ('managing stress', 0.027557307191182573), ('managing stress positive', 0.027557307191182573)]",positive
17,16,29,16_climate_climateemergency_mining_coal,"[('climate', 0.06340420015463029), ('climateemergency', 0.0330089234055641), ('mining', 0.03253714141917418), ('coal', 0.031002358587450214), ('major', 0.026541125919522627), ('climate change', 0.024402856064380633), ('change', 0.02239148474486911), ('join supporting', 0.02063057712847756), ('protect health', 0.020335713386983863), ('screwed', 0.01877341189469036)]",positive
