,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,2838,-1_migrant_workers_lockdown_health,"[('migrant', 0.0063942330761906615), ('workers', 0.005588018615723667), ('lockdown', 0.005509490851947117), ('health', 0.005056373587120284), ('migrant workers', 0.004918761639388246), ('amp', 0.004656250497063386), ('bail', 0.0042061385198586656), ('migrants', 0.004095050627931314), ('govt', 0.004084334218028894), ('people', 0.004058474050711242)]",negative
1,0,4152,0_migrant_covid19_workers_migrant workers,"[('migrant', 0.006968657524775206), ('covid19', 0.0069346382544990875), ('workers', 0.006389643493609373), ('migrant workers', 0.005665659718621303), ('lockdown', 0.005652128984591284), ('india', 0.004460801556301098), ('migrants', 0.004309352636103305), ('health', 0.004295510874661124), ('worker', 0.004028119649585348), ('amp', 0.003924106813762609)]",negative
2,1,112,1_data_deaths_died_data migrant,"[('data', 0.08685158899806808), ('deaths', 0.025634286845323314), ('died', 0.02153280095007158), ('data migrant', 0.016406848012759653), ('deaths data', 0.015207663037857509), ('farmers', 0.014084722084881431), ('data many', 0.01386478151765181), ('covid', 0.013478958760017395), ('data covid', 0.01318155083290593), ('lives', 0.012587686331159899)]",negative
3,2,79,2_amp_lockdown_etc_govts,"[('amp', 0.03959258479714939), ('lockdown', 0.010534298261070009), ('etc', 0.008429294250970111), ('govts', 0.00825858887747571), ('migrant', 0.008215054029958558), ('migrant workers', 0.00772943070589896), ('workers', 0.007665965979640673), ('amp state', 0.006928870406019759), ('reddy', 0.0066843488801536476), ('govt', 0.005966916979159254)]",negative
4,3,61,3_coronavirus_children_coronavirusinindia_women children,"[('coronavirus', 0.026092999634083344), ('children', 0.012162440879985815), ('coronavirusinindia', 0.011998313003552457), ('women children', 0.01180154711794146), ('migrant', 0.010877498046538035), ('coronavirus cases', 0.010698650291483681), ('migrantworkers', 0.0099750340559457), ('virus', 0.009849323883149814), ('loss', 0.009586634208223225), ('migrantlivesmatter', 0.009019534234745257)]",negative
5,4,48,4_billion_business every1 including_centurywhy_usd475 billion,"[('billion', 0.023694805264939032), ('business every1 including', 0.014825727694488096), ('centurywhy', 0.014825727694488096), ('usd475 billion', 0.014825727694488096), ('allot usd100 billion', 0.014825727694488096), ('biggest disaster', 0.014825727694488096), ('usd100 billion', 0.014825727694488096), ('usd100', 0.014825727694488096), ('amp employee', 0.014825727694488096), ('least get', 0.014825727694488096)]",negative
6,5,46,5_worship grant salvation_based true worship_true worship grant_true worship,"[('worship grant salvation', 0.10364217811876834), ('based true worship', 0.10364217811876834), ('true worship grant', 0.10364217811876834), ('true worship', 0.10364217811876834), ('grant salvation', 0.10364217811876834), ('grant salvation available', 0.10364217811876834), ('worship', 0.10364217811876834), ('salvation available', 0.10364217811876834), ('salvation', 0.10364217811876834), ('worship grant', 0.10364217811876834)]",negative
7,6,40,6_narrative_narrative failed_failed_crisis,"[('narrative', 0.04868986983944209), ('narrative failed', 0.034401929460027084), ('failed', 0.033898231301759896), ('crisis', 0.015751855304849034), ('agenda', 0.015593902611549394), ('unemployment', 0.014521479349762133), ('central vista', 0.014114016210074836), ('vista', 0.014114016210074836), ('gdp inflation farmers', 0.013597008183400842), ('gdp inflation', 0.013597008183400842)]",negative
8,7,37,7_rent_room rent_room_students migrant,"[('rent', 0.061326523535901865), ('room rent', 0.05008631591264087), ('room', 0.0463058869641214), ('students migrant', 0.04496910814880987), ('students', 0.0437414574268715), ('students migrant workers', 0.04373244802824847), ('crisis government must', 0.042537799932566504), ('unavailability employment', 0.042537799932566504), ('19 students migrant', 0.042537799932566504), ('workers others unable', 0.042537799932566504)]",negative
9,8,37,8_wounds_sanjeevani_onestepahead_emergencyresponse awareness onestepahead,"[('wounds', 0.06481300298538302), ('sanjeevani', 0.05064212512977869), ('onestepahead', 0.044699553191517555), ('emergencyresponse awareness onestepahead', 0.044699553191517555), ('emergencyresponse awareness', 0.044699553191517555), ('awareness onestepahead', 0.044699553191517555), ('awareness', 0.04446539777142158), ('emergencyresponse', 0.04378216194468666), ('togetherwewill healthcare', 0.043358387337293774), ('togetherwewill', 0.043358387337293774)]",negative
10,9,36,9_kolkata_lockdownwithoutplan_thetelegraphkolkata_choronapandemic lockdownwithoutplan,"[('kolkata', 0.03750165274637311), ('lockdownwithoutplan', 0.03191303331676997), ('thetelegraphkolkata', 0.031108705900881703), ('choronapandemic lockdownwithoutplan', 0.031108705900881703), ('telegraph', 0.031108705900881703), ('lockdownwithoutplan thetelegraphkolkata', 0.031108705900881703), ('choronapandemic lockdownwithoutplan thetelegraphkolkata', 0.031108705900881703), ('telegraph kolkata', 0.031108705900881703), ('mentorathar', 0.031108705900881703), ('choronapandemic', 0.031108705900881703)]",negative
11,10,34,10_modi_modis_unplanned_lockdown,"[('modi', 0.027444731878321936), ('modis', 0.020532940288036948), ('unplanned', 0.018940890782917125), ('lockdown', 0.01874156853961676), ('unplanned lockdown', 0.018397956239324734), ('modis unplanned lockdown', 0.018069815646880098), ('modis unplanned', 0.018069815646880098), ('accident', 0.013688626858691297), ('hours', 0.013117739458631239), ('caused modis', 0.013030116204945973)]",negative
