,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,105,-1_grant_allah_health_may,"[('grant', 0.023846851221886255), ('allah', 0.023060926715140213), ('health', 0.02238756896173231), ('may', 0.020577442299663577), ('may allah', 0.017954605208918454), ('ameen', 0.013780872976973753), ('us', 0.012974768369285045), ('hospital', 0.012495486716358972), ('keep', 0.01206180724744687), ('protect', 0.010826634687335366)]",positive
1,0,69,0_blood_donation_blood donation_world,"[('blood', 0.07241445340921272), ('donation', 0.03301744761517426), ('blood donation', 0.03188980685372988), ('world', 0.026449085495179294), ('donor', 0.025400878841682448), ('world blood', 0.023571391217077457), ('day', 0.022659727647724587), ('blood donor', 0.022548678377807083), ('worldblooddonorday', 0.021399180832459907), ('world blood donor', 0.02090887243903011)]",positive
2,1,43,1_recovery_may_allah_may allah,"[('recovery', 0.08561203364099883), ('may', 0.05940630257085169), ('allah', 0.05808616251372166), ('may allah', 0.05664208685290334), ('speedy recovery', 0.05506766469975617), ('speedy', 0.054687912339196565), ('health', 0.053826913861492603), ('grant', 0.05297522877509977), ('allah grant', 0.04344059023530099), ('may allah grant', 0.04342289408696862)]",positive
3,2,38,2_may_allah_may allah_grant,"[('may', 0.045975312424398264), ('allah', 0.04214403638903174), ('may allah', 0.04004254551348643), ('grant', 0.037474935953472406), ('us', 0.03198240546698707), ('life', 0.02912499219897126), ('health', 0.028825398940966244), ('allah grant', 0.025456875987597473), ('may allah grant', 0.02520415808961005), ('long', 0.0226958757313038)]",positive
4,3,27,3_allah_may_grant_positive,"[('allah', 0.036418328660900966), ('may', 0.036418328660900966), ('grant', 0.033925649276452266), ('positive', 0.029044844708211132), ('may allah', 0.028618482713076338), ('covid19 may', 0.02692125621459441), ('lala', 0.02692125621459441), ('tested positive', 0.02692125621459441), ('tested', 0.02692125621459441), ('allah grant', 0.026338092745558588)]",positive
5,4,26,4_covid19_fund_donations_bank,"[('covid19', 0.027911717399219105), ('fund', 0.0225090405383535), ('donations', 0.018670021405411404), ('bank', 0.017744808300914894), ('pm', 0.017040078177626025), ('plz', 0.017040078177626025), ('large', 0.016518576802238595), ('help', 0.016464004206542142), ('university', 0.015359976012665208), ('covid', 0.01522734609127103)]",positive
6,5,26,5_allah grant_health_allah_grant,"[('allah grant', 0.10706434701069566), ('health', 0.10558863184421773), ('allah', 0.10473614030396253), ('grant', 0.10103132916394027), ('may allah', 0.09749908224877779), ('may allah grant', 0.09010126457634311), ('may', 0.08862288794950675), ('grant good health', 0.08461402165940046), ('grant good', 0.08401752271334227), ('allah grant good', 0.08096042999237367)]",positive
7,6,22,6_donations_save_change_donation,"[('donations', 0.02779770556061966), ('save', 0.0245308822371424), ('change', 0.022551903009568837), ('donation', 0.022307997270096178), ('giving', 0.021278477957669028), ('society', 0.019242141062309866), ('deserving', 0.01748937243207403), ('need', 0.016794016854647813), ('positive change society', 0.014692354648067799), ('delivered', 0.014692354648067799)]",positive
8,7,21,7_birthday_happy_happy birthday_may,"[('birthday', 0.07091229031249728), ('happy', 0.05300046660919267), ('happy birthday', 0.049275964853237986), ('may', 0.04593690364208883), ('life', 0.04093279724729508), ('grant', 0.03544958918032992), ('health', 0.03430429884477509), ('long', 0.03220390310051975), ('long life', 0.028506497734508997), ('good', 0.028428746658898312)]",positive
9,8,20,8_migrant_workers_covid19_migrant workers,"[('migrant', 0.039176508914677284), ('workers', 0.034194804719175964), ('covid19', 0.027927740199103848), ('migrant workers', 0.024627575674628657), ('frontline', 0.023873863487812497), ('covid', 0.022007681788628032), ('work', 0.020683505367109018), ('lockdownextended', 0.02044042570378904), ('relief', 0.019099090790249997), ('covid 19', 0.01858955586749593)]",positive
10,9,20,9_complete health_grant complete health_grant complete_complete,"[('complete health', 0.1265034825042278), ('grant complete health', 0.1244374049141896), ('grant complete', 0.1210833727088732), ('complete', 0.11599722375606854), ('ameen', 0.11331648205676642), ('health ameen', 0.11156224024926611), ('complete health ameen', 0.11075215600351805), ('allah grant complete', 0.10369783742849133), ('allah grant', 0.10164336741521739), ('grant', 0.09399750244999507)]",positive
11,10,17,10_pakistan_allah_grant_health,"[('pakistan', 0.05999201752359681), ('allah', 0.044997114287708945), ('grant', 0.04263378783868402), ('health', 0.041256393451083236), ('may', 0.03249791587445646), ('pak', 0.028645439243135135), ('may allah', 0.027502158919303858), ('sharif', 0.022872140746460153), ('nawaz sharif', 0.022872140746460153), ('nawaz', 0.022872140746460153)]",positive
12,11,13,11_blood_benefits_benefits blood_benefits blood donation,"[('blood', 0.07421169931720746), ('benefits', 0.05940492766736013), ('benefits blood', 0.04490136384079741), ('benefits blood donation', 0.04490136384079741), ('blood donation', 0.04419179818974388), ('better', 0.04183531651611485), ('levels', 0.04112500802762071), ('donation', 0.04003513849699336), ('new blood', 0.036216200460757075), ('cholesterol', 0.036216200460757075)]",positive
