,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,36,-1_still_help_hospital_blood,"[('still', 0.02835485868882368), ('help', 0.023997063082223657), ('hospital', 0.023656123800782813), ('blood', 0.022025332827114903), ('pnp general', 0.018639338682422714), ('adanglao', 0.018639338682422714), ('pnp general hospital', 0.018639338682422714), ('pnp', 0.018639338682422714), ('lives', 0.017327583118407118), ('nurse', 0.017327583118407118)]",positive
1,0,99,0_donations_donation_covid19_thank,"[('donations', 0.030050973188707402), ('donation', 0.024323761122164694), ('covid19', 0.02214197841523088), ('thank', 0.020097010762135045), ('help', 0.018477998807004306), ('frontliners', 0.016454058008642955), ('health', 0.015650720335382895), ('medical', 0.014241808509271465), ('workers', 0.012301949036621122), ('ppes', 0.01194177579363896)]",positive
2,1,72,1_us_grant_grant us_health,"[('us', 0.04371409915356271), ('grant', 0.03856724603164135), ('grant us', 0.02604174077767476), ('health', 0.024106222376416072), ('god', 0.02344816216415737), ('prayer', 0.02168514383075374), ('may', 0.02050452057162901), ('pray', 0.020187958236045647), ('amp', 0.019764523891394947), ('good', 0.01968433974876385)]",positive
3,2,43,2_happy_birthday_good health_good,"[('happy', 0.05011798788491134), ('birthday', 0.04991502848166473), ('good health', 0.04298019948092435), ('good', 0.041665866449535925), ('may', 0.03914066242229133), ('health', 0.034394243807581604), ('happy birthday', 0.033047878651190174), ('grant', 0.03248610350383068), ('god', 0.0322290610658802), ('always', 0.029523841826947252)]",positive
4,3,37,3_migrant_health_migrant workers_filipino,"[('migrant', 0.02705180253336049), ('health', 0.024503218742423345), ('migrant workers', 0.023527055332506874), ('filipino', 0.0189794219254466), ('philippine', 0.01830266404471937), ('philippines', 0.017880560428439825), ('workers', 0.017226591115645274), ('hospital', 0.015809261408581757), ('nurses', 0.015653796579116027), ('overseas', 0.014714196132552166)]",positive
5,4,29,4_covid19_granting_workers_allowance,"[('covid19', 0.038981535683656476), ('granting', 0.034572951526297475), ('workers', 0.025138639748941233), ('allowance', 0.022533995097580257), ('president', 0.02214321649685867), ('order', 0.022023083759844436), ('special', 0.020473194938627818), ('health', 0.02009109740422097), ('barangay', 0.019820603014079313), ('powers', 0.019314852940783077)]",positive
6,5,24,5_ng_sa_personnel_covid19,"[('ng', 0.024812696058509727), ('sa', 0.02469624420135452), ('personnel', 0.02280619059766143), ('covid19', 0.021434808251891726), ('donation', 0.021121812254054965), ('donation drive', 0.020623999099467764), ('drive', 0.019384193467399037), ('kits', 0.01784067480724867), ('help', 0.01617093471176932), ('used', 0.016039746907830627)]",positive
7,6,19,6_masks_n95_n95 masks_hospital,"[('masks', 0.0657456253174121), ('n95', 0.04589014754907175), ('n95 masks', 0.036265843191835075), ('hospital', 0.03619810886390752), ('face', 0.0339037976257885), ('cebu', 0.032471740976456345), ('medical', 0.03207103470194427), ('center', 0.030248721257594466), ('alcohol', 0.029463804342642577), ('donations', 0.02882308396164194)]",positive
8,7,12,7_coronavirus_captivatingcatbalogan_dexiplinacatbalogan_facility,"[('coronavirus', 0.07429289361359406), ('captivatingcatbalogan', 0.05225069068459976), ('dexiplinacatbalogan', 0.05225069068459976), ('facility', 0.05225069068459976), ('kasugbongkatbalogan', 0.05225069068459976), ('says', 0.05225069068459976), ('dexiplinacatbalogan captivatingcatbalogan kasugbongkatbalogan', 0.05225069068459976), ('captivatingcatbalogan kasugbongkatbalogan', 0.05225069068459976), ('dexiplinacatbalogan captivatingcatbalogan', 0.05225069068459976), ('coronavirus catbalogancity', 0.05225069068459976)]",positive
9,8,11,8_cebu_personal_fundraising campaign_campaign personal,"[('cebu', 0.06088451433085565), ('personal', 0.04810421337585475), ('fundraising campaign', 0.04302201332725477), ('campaign personal', 0.04171627724012401), ('organizing', 0.04171627724012401), ('fighting covid19', 0.04171627724012401), ('campaign personal protective', 0.04171627724012401), ('fundraising campaign personal', 0.04171627724012401), ('organizing donation', 0.04171627724012401), ('fundraising', 0.04163913039714109)]",positive
