,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,186,-1_health_grant_people_us,"[('health', 0.01416337172994079), ('grant', 0.01188243901442255), ('people', 0.009581856997449048), ('us', 0.009156158027780272), ('anc', 0.008460378529210779), ('amp', 0.008130765966401231), ('covid19', 0.00811382555992956), ('grants', 0.006549653127749369), ('covid', 0.006455267274722219), ('help', 0.006390691823336968)]",negative
1,0,91,0_immigrants_illegal_illegal immigrants_health,"[('immigrants', 0.030527681149492503), ('illegal', 0.02900380335507478), ('illegal immigrants', 0.023824343717997236), ('health', 0.019854536012477064), ('migrant', 0.016200907681995714), ('care', 0.014722792323187382), ('country', 0.0140507675468482), ('south', 0.01334822916950579), ('health care', 0.012562676942468026), ('worker', 0.011733931687953324)]",negative
2,1,43,1_tax_grants_getting_grant,"[('tax', 0.029398156215766042), ('grants', 0.026588462171570678), ('getting', 0.024424751019222635), ('grant', 0.020267657471699254), ('cyrilramaphosa', 0.018669514073292478), ('workers', 0.01723117859884443), ('social', 0.017014363521745086), ('money', 0.016986589733839014), ('covid19', 0.016956630558598293), ('benefit', 0.01648679846321651)]",negative
3,2,30,2_grants_better_education_free,"[('grants', 0.02346070217585608), ('better', 0.0183015045051882), ('education', 0.018024398498250417), ('free', 0.015506104720707755), ('money', 0.014307066595802604), ('relief', 0.014272736411982172), ('r350', 0.013531958315382606), ('rands', 0.013129792746678417), ('amp', 0.012410885312710179), ('workers', 0.012280292683396577)]",negative
4,3,28,3_period_lockdown_leave_message,"[('period', 0.042013313147291134), ('lockdown', 0.03643956045993695), ('leave', 0.03417352943221768), ('message', 0.023771269906839868), ('sa message', 0.023771269906839868), ('save sa message', 0.023771269906839868), ('leave home', 0.022129843670314276), ('granted', 0.021721418222041287), ('covid19', 0.02162814009681909), ('home', 0.021415382134162886)]",negative
5,4,27,4_vaccines_donations_zim_side,"[('vaccines', 0.026698053110396597), ('donations', 0.022560029770998698), ('zim', 0.021782541409243534), ('side', 0.02073759094628753), ('every', 0.02053714167767553), ('vaccine', 0.01992775090519015), ('child', 0.019553147673858556), ('zimbabwe', 0.0192666222862375), ('website', 0.016606459087658457), ('black child', 0.01550438091812725)]",negative
6,5,25,5_granted_siu_order_special,"[('granted', 0.04961369389352612), ('siu', 0.03455644833367806), ('order', 0.032781122836191286), ('special', 0.032287597436709864), ('court', 0.0263713315181287), ('covid19', 0.02502110245262173), ('accounts', 0.02470788271420393), ('digital vibes', 0.02470788271420393), ('freeze', 0.02470788271420393), ('million held bank', 0.02470788271420393)]",negative
7,6,25,6_social_grant_relief_sassa,"[('social', 0.03963855164488187), ('grant', 0.02937995616182007), ('relief', 0.028711918729643435), ('sassa', 0.024957596933578068), ('distress', 0.02464272170890012), ('grants', 0.022712593050350463), ('covid19', 0.022467928732966453), ('social relief distress', 0.021616247165351776), ('relief distress', 0.021616247165351776), ('social relief', 0.02068685342424265)]",negative
8,7,22,7_lockdown_essential_keep_gonna,"[('lockdown', 0.042013489402183524), ('essential', 0.02655992718821767), ('keep', 0.02260525108919259), ('gonna', 0.02091842303432006), ('granted', 0.01878300457154526), ('medical', 0.01806199345857102), ('amp', 0.01801120832188724), ('food', 0.01788896810142932), ('leave', 0.015760335179829645), ('home', 0.015712554838919094)]",negative
9,8,22,8_donate_im_donations_asking,"[('donate', 0.037749536709260643), ('im', 0.026023058598297046), ('donations', 0.025323423752241846), ('asking', 0.02331285554757693), ('help', 0.022707149608719234), ('food electricity', 0.02222790935627268), ('cancer', 0.021656426063428637), ('please', 0.021549287508055483), ('electricity', 0.020335195626299984), ('campaign', 0.019364556579141972)]",negative
10,9,17,9_take_granted_health granted_health,"[('take', 0.1258701200695756), ('granted', 0.10139629243813536), ('health granted', 0.10023598973901257), ('health', 0.0740903601739872), ('never take', 0.07108515297783927), ('never', 0.06645060575675564), ('good health', 0.06221277283886259), ('good health granted', 0.056112999286840416), ('good', 0.05537492421380667), ('take good', 0.046513142754381745)]",negative
11,10,14,10_act_poverty_justice_act justice,"[('act', 0.08610257823833076), ('poverty', 0.08124952638822203), ('justice', 0.07384203919943096), ('act justice', 0.06558949409215757), ('charity act', 0.06558949409215757), ('charity act justice', 0.06558949409215757), ('overcoming poverty', 0.06558949409215757), ('overcoming', 0.06558949409215757), ('charity', 0.06206354333069442), ('words', 0.0533059480750799)]",negative
12,11,13,11_watch_live_prelockdown pkt_pkt cigs,"[('watch', 0.06844472433671381), ('live', 0.06844472433671381), ('prelockdown pkt', 0.06803691073973503), ('pkt cigs', 0.06803691073973503), ('scheme capetown', 0.06803691073973503), ('donation cost prelockdown', 0.06803691073973503), ('protestor food', 0.06803691073973503), ('food donation', 0.06803691073973503), ('mandatory', 0.06803691073973503), ('mandatory protestor', 0.06803691073973503)]",negative
13,12,13,12_donations_command_command centre_thereby,"[('donations', 0.035957776483388576), ('command', 0.02745775846468342), ('command centre', 0.02745775846468342), ('thereby', 0.02745775846468342), ('humanity', 0.02745775846468342), ('centre', 0.02649981643739818), ('lesotho', 0.025717452115429463), ('staff', 0.02505625209059055), ('command centre ministry', 0.021519963572050924), ('mismanagement millions', 0.021519963572050924)]",negative
14,13,11,13_home_amp save_kills lockdownonly_kills lockdownonly leave,"[('home', 0.08425495058873567), ('amp save', 0.07094472352907698), ('kills lockdownonly', 0.06862998272394906), ('kills lockdownonly leave', 0.06862998272394906), ('lockdownonly leave home', 0.06862998272394906), ('lockdownonly leave', 0.06862998272394906), ('lockdownonly', 0.06862998272394906), ('coronavirus kills lockdownonly', 0.06862998272394906), ('food social', 0.06490005401105516), ('food social grant', 0.06490005401105516)]",negative
15,14,11,14_amp_pandemic_us_countries,"[('amp', 0.05529478714165969), ('pandemic', 0.05412704297851076), ('us', 0.03453528017936568), ('countries', 0.03229797597916792), ('sadc', 0.03212039669453532), ('illegal', 0.03201819235156919), ('migrants', 0.030390541188797485), ('migration', 0.02931108735125687), ('let us', 0.02931108735125687), ('lockdown amp declared', 0.025174297008814288)]",negative
