,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,141,-1_covid19_donations_care_health,"[('covid19', 0.021940013462189465), ('donations', 0.01794303551773313), ('care', 0.013713080433532329), ('health', 0.010641521961597839), ('hand', 0.010061573143376521), ('help', 0.009967866409714862), ('amp', 0.00977663471059637), ('us', 0.009637846708008806), ('need', 0.009375454362921016), ('hiv', 0.00915744447510956)]",positive
1,0,179,0_health_may_good_grant,"[('health', 0.03320157808407458), ('may', 0.029396134937994495), ('good', 0.029237066647454416), ('grant', 0.027556481887140712), ('good health', 0.024823677872787685), ('god', 0.021958094703340033), ('happy', 0.02121400325049548), ('birthday', 0.020985608741653214), ('granted', 0.019945569291150534), ('happy birthday', 0.0184599998681616)]",positive
2,1,70,1_money_grants_grant_free,"[('money', 0.03528027773943561), ('grants', 0.03004926601872762), ('grant', 0.029576915509189037), ('free', 0.024484383410138203), ('social', 0.023759455636779555), ('health', 0.015175666300427397), ('sassa', 0.014790776385157184), ('tax', 0.014552764491347719), ('covid19', 0.014262920133742724), ('including', 0.013691194814953215)]",positive
3,2,35,2_donation_ppe_health_workers,"[('donation', 0.044306430193941544), ('ppe', 0.034118133684210294), ('health', 0.030456927269988), ('workers', 0.02768363835769999), ('donation ppe', 0.027381365065525888), ('health workers', 0.024517798578321513), ('covid19', 0.024396378328520055), ('today', 0.022846751556193808), ('old mutual', 0.019191464116228414), ('sibanye stillwater old', 0.019191464116228414)]",positive
4,3,29,3_food_donations_donation_covid19 lockdownsa,"[('food', 0.034412288630772246), ('donations', 0.027370300480845114), ('donation', 0.024195542546365637), ('covid19 lockdownsa', 0.023379292196573788), ('gautengwecare', 0.023379292196573788), ('lockdownsa', 0.02090753167426283), ('appreciate', 0.019529280829364812), ('receives donations', 0.017660644661372106), ('appreciate donations', 0.017660644661372106), ('thank', 0.016758020289938683)]",positive
5,4,28,4_immigrants_migrants_health_national,"[('immigrants', 0.0533366881058089), ('migrants', 0.037201227842865656), ('health', 0.023631523943311458), ('national', 0.02273660733672934), ('uk', 0.022690519274718084), ('refugees', 0.01999707235976375), ('undocumented', 0.01999707235976375), ('public', 0.019254251420930443), ('reduce', 0.01809658526970257), ('including', 0.017766589380493764)]",positive
6,5,27,5_difference_zimbabwe_make difference_african,"[('difference', 0.0507720074621211), ('zimbabwe', 0.048132366524275674), ('make difference', 0.047408506887354415), ('african', 0.04714543550054102), ('southafrica', 0.04673859780266468), ('south', 0.04496831448502247), ('southafrica zimbabwe', 0.041485189805543665), ('make', 0.03799046042191346), ('zimbabwe fundraising', 0.03453546111914542), ('southafrica zimbabwe fundraising', 0.03453546111914542)]",positive
7,6,17,6_inspecting compliance_civil society organisations_part community_part community constituency,"[('inspecting compliance', 0.03479764496566504), ('civil society organisations', 0.03479764496566504), ('part community', 0.03479764496566504), ('part community constituency', 0.03479764496566504), ('mall', 0.03479764496566504), ('organisations suprise mall', 0.03479764496566504), ('inspecting', 0.03479764496566504), ('health inspecting', 0.03479764496566504), ('society organisations', 0.03479764496566504), ('society organisations suprise', 0.03479764496566504)]",positive
8,7,16,7_donation_fight_fight covid19_supplies,"[('donation', 0.04827702853905225), ('fight', 0.04239000572436526), ('fight covid19', 0.03997142709100974), ('supplies', 0.03997142709100974), ('ppes', 0.03790180517661823), ('machines', 0.03248726157995848), ('medical', 0.030115255997435024), ('help fight', 0.02863090582985673), ('help fight covid19', 0.02863090582985673), ('lesotho', 0.02863090582985673)]",positive
9,8,15,8_amp_20000_hospital_biko,"[('amp', 0.07899845831249198), ('20000', 0.056966712003247814), ('hospital', 0.033691964033141474), ('biko', 0.033158974704124024), ('steve', 0.033158974704124024), ('biko academic hospital', 0.033158974704124024), ('covered today', 0.033158974704124024), ('covered today made', 0.033158974704124024), ('covid19 stopthespread', 0.033158974704124024), ('covid19 stopthespread flattenthecurve', 0.033158974704124024)]",positive
10,9,15,9_auction_africa_covid19_fundraising,"[('auction', 0.05185585967178883), ('africa', 0.050039111386261714), ('covid19', 0.04821472399977901), ('fundraising', 0.03513870711692232), ('media', 0.03240991229486802), ('assist', 0.031037853154061795), ('support', 0.030669514998223915), ('support amref', 0.029685580097462725), ('covid19 mitigation vaccine', 0.029685580097462725), ('legendlive', 0.029685580097462725)]",positive
11,10,11,10_support_maternalsupportgrant_mothers_support grant,"[('support', 0.06985833971817668), ('maternalsupportgrant', 0.051155512257216984), ('mothers', 0.04984156797950896), ('support grant', 0.04392519313213063), ('child support', 0.04262959354768082), ('child', 0.03714341707698708), ('pregnant women', 0.03640923712808463), ('petition', 0.03640923712808463), ('pregnant', 0.03640923712808463), ('stunting', 0.03640923712808463)]",positive
12,11,11,11_grateful_mostly_things_took,"[('grateful', 0.08305483438695464), ('mostly', 0.05555763068567891), ('things', 0.05108908304757207), ('took', 0.05042788570494685), ('granted', 0.04932809093023165), ('appreciate thank', 0.04548006722530339), ('appreciate thank much', 0.04548006722530339), ('thank much', 0.04413860570866067), ('covid19', 0.042094547474364585), ('doctor', 0.040383813085042505)]",positive
13,12,11,12_charity_cycling_wellness_walks,"[('charity', 0.05666453287060254), ('cycling', 0.051596508052537814), ('wellness', 0.042997090043781515), ('walks', 0.03672310986194743), ('walking', 0.02754233239646057), ('daily', 0.026582315154099742), ('health', 0.02617802436823726), ('please', 0.02539802285311631), ('philanthropy bikeisbest', 0.020350944442318726), ('fitnessthings', 0.020350944442318726)]",positive
14,13,11,13_mec_acting_gauteng_hospital,"[('mec', 0.05107155308241882), ('acting', 0.0487422436434609), ('gauteng', 0.04430280074249527), ('hospital', 0.04130984624538986), ('mec health', 0.037954408716222604), ('donation', 0.037841600972750564), ('preside', 0.037204198637431456), ('mamabolo', 0.037204198637431456), ('solidarity fund', 0.035907406787488445), ('acting mec', 0.03395320788123754)]",positive
