,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,1301,-1_health_mental_mental health_charity,"[('health', 0.010036682353417325), ('mental', 0.008017954924239233), ('mental health', 0.007887418306617523), ('charity', 0.00783921844014757), ('people', 0.005294777614249573), ('amp', 0.0050691915990626665), ('workers', 0.004135978665258871), ('health charity', 0.004010665576385148), ('mental health charity', 0.003857461115757711), ('help', 0.0037826688269647375)]",negative
1,0,751,0_nurses_pay_nhs_health,"[('nurses', 0.011782184344035338), ('pay', 0.008146210154535864), ('nhs', 0.007742150929121131), ('health', 0.007308935367916867), ('charity', 0.007269192959453505), ('mental', 0.007090143795857147), ('mental health', 0.006988250657664437), ('workers', 0.005585756713419265), ('people', 0.0051231343159581335), ('immigrants', 0.005002711124919461)]",negative
2,1,138,1_vaccine_covid_health_coronavirus,"[('vaccine', 0.02056921043799335), ('covid', 0.011388492364955871), ('health', 0.011056388163041162), ('coronavirus', 0.010767797645983686), ('vaccines', 0.009735380094619281), ('covid19', 0.009229971669393659), ('donations', 0.00881509920256075), ('test', 0.008722957711417645), ('public', 0.008352464349317896), ('virus', 0.008312444815120223)]",negative
3,2,63,2_immigrants_free_illegal_illegal immigrants,"[('immigrants', 0.03297238255285278), ('free', 0.031980783110044556), ('illegal', 0.02914423512606018), ('illegal immigrants', 0.025206642971639926), ('benefits', 0.02489816820699816), ('free health', 0.017649766366583882), ('free health care', 0.015563892616668951), ('care', 0.013246261393014864), ('free healthcare', 0.012992353708010544), ('health care', 0.01092390112863359)]",negative
4,3,51,3_food_donations_foodbank_local,"[('food', 0.02532073977276209), ('donations', 0.015494260149552321), ('foodbank', 0.014122313933557958), ('local', 0.01240976972217011), ('donation', 0.012217524592803406), ('covid19', 0.010225708363510918), ('stockport', 0.00880049680968933), ('groups', 0.00849182097465611), ('support', 0.00847422009596012), ('vulnerable', 0.00844687516356508)]",negative
5,4,48,4_grants_tories_poverty_benefits,"[('grants', 0.011616180150436478), ('tories', 0.011576338658683545), ('poverty', 0.010128963118180253), ('benefits', 0.00985934152410897), ('people', 0.009668825307363717), ('privatisation', 0.009236695347213062), ('kids', 0.0071197896894725395), ('help', 0.006948187011617077), ('health', 0.00644986291381922), ('business', 0.006125846007635043)]",negative
6,5,46,5_blood_donation_blood donation_blooddonation,"[('blood', 0.0775525030426566), ('donation', 0.025995524682476092), ('blood donation', 0.025422538265193712), ('blooddonation', 0.021521782067254927), ('giveblood', 0.019507071742364317), ('nurse', 0.017596030875584822), ('blood donations', 0.01706868777456878), ('give blood', 0.01532048026340628), ('rabbit', 0.01532048026340628), ('time', 0.013886104563282532)]",negative
7,6,43,6_train_drivers_train drivers_pay,"[('train', 0.04785793482503682), ('drivers', 0.03778069396790283), ('train drivers', 0.037491682671912836), ('pay', 0.026726171779066565), ('nurses', 0.024338405151285155), ('paid', 0.02102059558773013), ('driver', 0.01562874173513386), ('nurse', 0.01491258495625815), ('would', 0.01489153751477377), ('less train drivers', 0.014838928497268946)]",negative
8,7,40,7_eu_uk_brexit_shortages,"[('eu', 0.04777296395440398), ('uk', 0.025310696709254087), ('brexit', 0.022303364151482444), ('shortages', 0.018480993844124945), ('workers', 0.01648529988980092), ('migrants', 0.015788902462577227), ('eu migrants', 0.014473487436272584), ('farm workers', 0.013915545392089546), ('labour', 0.013328800491553942), ('movement', 0.013032112576387261)]",negative
9,8,36,8_average_million_shapps_train,"[('average', 0.03777558968495385), ('million', 0.033025413019535724), ('shapps', 0.03287146991412004), ('train', 0.03141042635598001), ('grant shapps', 0.03068377327585925), ('driver', 0.026669645317273817), ('grant', 0.026639962456610447), ('drivers', 0.024414982974179825), ('59000', 0.023894177569674394), ('31000', 0.023894177569674394)]",negative
10,9,36,9_covid19_vaccine_wearing_masks,"[('covid19', 0.022251977154010238), ('vaccine', 0.022022469871112445), ('wearing', 0.020520581761464107), ('masks', 0.017857865652751468), ('learned', 0.01708641066873261), ('face', 0.015085611908791834), ('educator internationalnursesday2021 nhs', 0.015007685191874233), ('internationalnursesday2021', 0.015007685191874233), ('educator internationalnursesday2021', 0.015007685191874233), ('internationalnursesday2021 nhs', 0.015007685191874233)]",negative
11,10,36,10_fundraising_donate_page_please,"[('fundraising', 0.04059086530124286), ('donate', 0.03036502021791632), ('page', 0.02662685889978053), ('please', 0.026062208328036025), ('justgiving', 0.024320773984581042), ('please donate thank', 0.023232278783592165), ('please donate', 0.02272526069841004), ('donate thank', 0.02270208334544611), ('thank justgiving', 0.02124311413843275), ('donate thank justgiving', 0.02091080721490614)]",negative
12,11,34,11_protests_protest_mcdonalds molly_maes dug protests,"[('protests', 0.021688419747888894), ('protest', 0.01725293642321419), ('mcdonalds molly', 0.01685488748893948), ('maes dug protests', 0.01685488748893948), ('dug', 0.01685488748893948), ('molly maes dug', 0.01685488748893948), ('mcdonalds', 0.01685488748893948), ('molly maes', 0.01685488748893948), ('mcdonalds molly maes', 0.01685488748893948), ('dug protests', 0.01685488748893948)]",negative
13,12,32,12_children_medication_fund_across england,"[('children', 0.03667281031119823), ('medication', 0.02040394860408222), ('fund', 0.01571840337005533), ('across england', 0.015697693706443163), ('cannabis medication', 0.015697693706443163), ('name fundthehubs campaign', 0.015697693706443163), ('mental health worse', 0.015697693706443163), ('worried childs mental', 0.015697693706443163), ('act fund', 0.015697693706443163), ('parents worried', 0.015697693706443163)]",negative
14,13,31,13_safety_public_car_public transport,"[('safety', 0.01966412260685133), ('public', 0.01854758186426631), ('car', 0.01741858880933788), ('public transport', 0.01707689782159839), ('transport', 0.016414805802024077), ('travel', 0.01564528884548421), ('drivers', 0.01470961621529395), ('hence', 0.013960613879727654), ('drive', 0.013161910607403137), ('go work', 0.013161910607403137)]",negative
15,14,29,14_nh_retired_nurse_shes,"[('nh', 0.03781615733289951), ('retired', 0.028795033509267962), ('nurse', 0.02283677884019328), ('shes', 0.0170542893783859), ('contact', 0.015987699335637234), ('hard', 0.015442656594052336), ('works', 0.015330822677317836), ('nh charity', 0.01503763928480788), ('hard understand nh', 0.01503763928480788), ('declaration', 0.01503763928480788)]",negative
16,15,29,15_doctors nurses_nurses_doctors_immigrants,"[('doctors nurses', 0.03408892041092487), ('nurses', 0.03061755922619568), ('doctors', 0.02866303809956366), ('immigrants', 0.026447151116997338), ('radiographers', 0.026445310330195072), ('nurses radiographers', 0.026445310330195072), ('violins nuclear', 0.01875025147338078), ('kings', 0.01875025147338078), ('kings queens', 0.01875025147338078), ('amongst immigrants first', 0.01875025147338078)]",negative
