,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,158,-1_amp_health_mental_im,"[('amp', 0.017545790013928884), ('health', 0.016952106981425154), ('mental', 0.01091804309685788), ('im', 0.010729662455519436), ('mental health', 0.009842780019933075), ('grant', 0.00950156375626132), ('charity', 0.00898095344788673), ('get', 0.008535351234227712), ('work', 0.00829645722837963), ('support', 0.00822962411324935)]",neutral
1,0,160,0_people_charity_help_health,"[('people', 0.015274871342719659), ('charity', 0.013928718113401076), ('help', 0.012436966707483434), ('health', 0.01242192488968232), ('care', 0.011810837086849525), ('support', 0.00997011663591928), ('covid19', 0.00980515503711929), ('covid', 0.009253944062440123), ('need', 0.00917683058145499), ('raise', 0.009016970849922716)]",neutral
2,1,99,1_migrants_immigrant_immigrants_nurses,"[('migrants', 0.023467261236384013), ('immigrant', 0.017776155224674912), ('immigrants', 0.015595667573288962), ('nurses', 0.013674376069236353), ('workers', 0.01331048733051577), ('eu', 0.011889882331658575), ('migrant', 0.011889882331658575), ('doctors', 0.010390761454230752), ('etc', 0.010137183922637825), ('health', 0.01000390792641568)]",neutral
3,2,49,2_mental_mental health_health_charity,"[('mental', 0.06433668774655293), ('mental health', 0.06390963236894485), ('health', 0.05166909319680955), ('charity', 0.030595537650286775), ('mental health charity', 0.023982938076844065), ('health charity', 0.0236544226576641), ('everyone', 0.018651309737602335), ('mental health issues', 0.018000021124918882), ('hard everyone', 0.017696754899760372), ('health issues', 0.017338928988216696)]",neutral
4,3,47,3_nurses_pay_nurse_train,"[('nurses', 0.045649584872752856), ('pay', 0.04059793340852492), ('nurse', 0.02935102908542151), ('train', 0.028778539059614233), ('average', 0.024545898708815867), ('rise', 0.023473839972894622), ('think', 0.020914389169159935), ('pay rise', 0.020813547961784612), ('earn', 0.020813547961784612), ('salary', 0.01976642416828364)]",neutral
5,4,36,4_vaccines_covid_vaccine_know,"[('vaccines', 0.02712272253019896), ('covid', 0.02603164771535001), ('vaccine', 0.02086454548074036), ('know', 0.02068484011248898), ('granted', 0.018921347619932173), ('regulatory', 0.016420777798169757), ('regulatory authority', 0.016420777798169757), ('covid vaccines', 0.016420777798169757), ('great', 0.01581196943852837), ('authority', 0.01564840911055527)]",neutral
6,5,25,5_schools_health_private_private schools,"[('schools', 0.03165456181464038), ('health', 0.0288293793887931), ('private', 0.01885966558019847), ('private schools', 0.018414823486318465), ('deaths', 0.017784194612586006), ('education', 0.01734453007445822), ('pharma', 0.017269126544996644), ('govt', 0.016124484903633093), ('never', 0.014684743965578924), ('dependent', 0.014421113434120614)]",neutral
7,6,20,6_emergency_nurses_fundraising activities grinding_even greater,"[('emergency', 0.03521767592606168), ('nurses', 0.034265882679341796), ('fundraising activities grinding', 0.023129018298815994), ('even greater', 0.023129018298815994), ('needed ever', 0.023129018298815994), ('nurses amp frontline', 0.023129018298815994), ('put even greater', 0.023129018298815994), ('fundraising activities', 0.023129018298815994), ('national emergency', 0.023129018298815994), ('donate emergency', 0.023129018298815994)]",neutral
8,7,16,7_hospital_eyes_better masks_nurses viewgive donations,"[('hospital', 0.05607358906748305), ('eyes', 0.04901716713879677), ('better masks', 0.04080480904361247), ('nurses viewgive donations', 0.04080480904361247), ('local drs', 0.04080480904361247), ('50000 justgiving page', 0.04080480904361247), ('50000', 0.04080480904361247), ('50000 justgiving', 0.04080480904361247), ('protecting local', 0.04080480904361247), ('drs nurses viewgive', 0.04080480904361247)]",neutral
9,8,15,8_lockdown_would_amp_done,"[('lockdown', 0.06101468063074317), ('would', 0.02250757887186738), ('amp', 0.020547043568943036), ('done', 0.018888469528752894), ('without', 0.017756777596203765), ('ok', 0.016731370530751435), ('support ittakesdallstotalk', 0.016210439986704035), ('ittakesdallstotalk', 0.016210439986704035), ('health issues gym', 0.016210439986704035), ('swing', 0.016210439986704035)]",neutral
