,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,2261,-1_health_mental_mental health_charity,"[('health', 0.00862393654346666), ('mental', 0.007900524225761027), ('mental health', 0.007781797458724303), ('charity', 0.007231373430438673), ('amp', 0.0062054611747944), ('support', 0.005775367107580408), ('help', 0.004893998834307267), ('people', 0.004177165606186513), ('fundraising', 0.0036192694633728206), ('donations', 0.0036023285521465547)]",positive
1,0,488,0_mental_mental health_health_charity,"[('mental', 0.01985057040334435), ('mental health', 0.019331192765172273), ('health', 0.015424441719576304), ('charity', 0.012210853343905165), ('mental health charity', 0.010730691501300195), ('health charity', 0.010575888973995919), ('support', 0.006936293140297647), ('awareness', 0.00547440572701338), ('football', 0.005453905093234291), ('mind', 0.005294336974600926)]",positive
2,1,266,1_nhs_worker_covid19_support,"[('nhs', 0.010016037982792136), ('worker', 0.008574182726501641), ('covid19', 0.007679370797089278), ('support', 0.007104584328290276), ('working', 0.006537061637567607), ('hospital', 0.006480791019970631), ('staff', 0.005597415914983835), ('charity', 0.005596405375522202), ('community', 0.005090083977502092), ('grants', 0.005076989182631042)]",positive
3,2,234,2_migrant_migrants_immigrants_immigrant,"[('migrant', 0.02169802285426432), ('migrants', 0.019991040304871414), ('immigrants', 0.01686821393322465), ('immigrant', 0.009845398227326867), ('workers', 0.009840010111448746), ('nhs', 0.009127703314321505), ('nurses', 0.007060797168157567), ('healthcare', 0.006605334702562318), ('uk', 0.006375616314271092), ('amp', 0.006132741038396746)]",positive
4,3,158,3_allah_may_grant_good,"[('allah', 0.026669993121764504), ('may', 0.02502499049344877), ('grant', 0.0238440092798654), ('good', 0.020932137213035863), ('good health', 0.02040653654195664), ('may allah', 0.01928979633821372), ('allah grant', 0.01730044141200194), ('may allah grant', 0.01354934714635531), ('safe', 0.012729130080284808), ('health', 0.011417465338816582)]",positive
5,4,143,4_nurses_nurse_thanks_donation,"[('nurses', 0.02106068774162469), ('nurse', 0.012775271059068147), ('thanks', 0.01063910587056541), ('donation', 0.008453521155918764), ('thank', 0.008017330332874334), ('thankyou', 0.007775513681678686), ('nurses charity', 0.007147558575002445), ('huge thanks', 0.0068655939505554075), ('charity', 0.006819590360341655), ('amazing', 0.006764169026437644)]",positive
6,5,104,5_garden_charityhero_jon_running marathon,"[('garden', 0.032995056028112264), ('charityhero', 0.03197033783096759), ('jon', 0.03173215034927353), ('running marathon', 0.029806479454927613), ('marathon', 0.029607898006339572), ('marathon garden', 0.02844442869728403), ('running marathon garden', 0.02731928870151995), ('hospice', 0.02704332589649239), ('running', 0.022826825723532927), ('palliativecare', 0.018960162952010993)]",positive
7,6,75,6_organ_organ donation_organdonation_donation,"[('organ', 0.049939373246939346), ('organ donation', 0.049300186011322834), ('organdonation', 0.028291137304071703), ('donation', 0.026090066785960403), ('specialist', 0.018410183416324843), ('specialist nurse', 0.012970632776453423), ('transplant', 0.011577820758041887), ('nurse', 0.011272924014704285), ('leavethemcertain', 0.010834899888074952), ('specialist nurses', 0.010130593163286652)]",positive
8,7,75,7_christmas_xmas_hospital_merry christmas,"[('christmas', 0.052132107829645634), ('xmas', 0.01599334673127872), ('hospital', 0.013418378752011411), ('merry christmas', 0.012787043269137516), ('merry', 0.012584438290101847), ('year', 0.009641547428533386), ('gifts', 0.009052020453685899), ('safe', 0.008148596570576183), ('festive', 0.007550662974061108), ('cards', 0.0073376726649769354)]",positive
9,8,67,8_nurses_teachers_grant shapps_shapps,"[('nurses', 0.0398653399345449), ('teachers', 0.027739435773898535), ('grant shapps', 0.025579910356886237), ('shapps', 0.025579910356886237), ('pay', 0.022657064496238423), ('grant', 0.0203467889575562), ('strike', 0.019462065552824544), ('train', 0.019259607638499855), ('nurses teachers', 0.016804321439248055), ('rail', 0.01389437356662389)]",positive
10,9,66,9_music_festival_mental health_mental,"[('music', 0.051330382357890655), ('festival', 0.017984503050998083), ('mental health', 0.012946190707116832), ('mental', 0.012635307633729581), ('concert', 0.0119263359851819), ('music festival', 0.010864293172453701), ('health music', 0.010864293172453701), ('mental health music', 0.010864293172453701), ('charity', 0.010862633216829924), ('health', 0.010245375451489859)]",positive
11,10,61,10_amp_fundraising_event_19,"[('amp', 0.0292102936486716), ('fundraising', 0.010656288660588853), ('event', 0.009384778593994088), ('19', 0.007780489587105986), ('funds', 0.00726529587358083), ('nursesactive', 0.007157849482123772), ('fabulous charity', 0.007157849482123772), ('great event', 0.007157849482123772), ('homeless amp', 0.007157849482123772), ('nursesmidwivesamphcas', 0.007157849482123772)]",positive
12,11,60,11_masks_protective_face_face masks,"[('masks', 0.04204780718174052), ('protective', 0.020794999934539007), ('face', 0.02051004185095971), ('face masks', 0.017151745860146717), ('ppe', 0.017024345496864327), ('mask', 0.01640383082907937), ('donations', 0.014115196131258303), ('visors', 0.013192994805817976), ('frontline', 0.01284625095942075), ('help protect', 0.012718490720754119)]",positive
13,12,58,12_granted_take_never_health granted,"[('granted', 0.04924037785584041), ('take', 0.03265246216880332), ('never', 0.030624237008053324), ('health granted', 0.024845432899140908), ('never take', 0.02371699021964336), ('new year', 0.02211492486333053), ('things', 0.021247714594392106), ('year', 0.01956268796015306), ('health', 0.01893167202992691), ('take health granted', 0.017812899070082145)]",positive
14,13,56,13_unicef_donate start fundraising_givetheworldashot donate start_donate start,"[('unicef', 0.07057729557690096), ('donate start fundraising', 0.0701101354719609), ('givetheworldashot donate start', 0.0701101354719609), ('donate start', 0.0701101354719609), ('unicef deliver', 0.0701101354719609), ('unicef deliver billion', 0.0701101354719609), ('deliver billion', 0.0701101354719609), ('givetheworldashot donate', 0.0701101354719609), ('givetheworldashot', 0.0701101354719609), ('start fundraising', 0.0701101354719609)]",positive
15,14,54,14_justgiving_page_thank justgiving_check page please,"[('justgiving', 0.07149580781416758), ('page', 0.061834870114755594), ('thank justgiving', 0.061170234753284404), ('check page please', 0.06007273134852174), ('page please donate', 0.06007273134852174), ('check page', 0.05969989706734854), ('page please', 0.0595169851653578), ('donate thank justgiving', 0.05728095028619021), ('please donate thank', 0.056735357384714975), ('donate thank', 0.056039871420615776)]",positive
16,15,48,15_vaccine_surgery_hospital_surgery cannock,"[('vaccine', 0.03149632097805442), ('surgery', 0.014501753815504254), ('hospital', 0.014442353518375335), ('surgery cannock', 0.012941379753406146), ('sheet installation', 0.012941379753406146), ('consultation room', 0.012941379753406146), ('nhs wednesdaythought covid19', 0.012941379753406146), ('staffordshire midlands vaccine', 0.012941379753406146), ('hospital yesterday accountability', 0.012941379753406146), ('wolverhampton staffordshire', 0.012941379753406146)]",positive
17,16,46,16_nurses day_international_international nurses day_international nurses,"[('nurses day', 0.05288407809665007), ('international', 0.04505761961144449), ('international nurses day', 0.04361913053413714), ('international nurses', 0.04361913053413714), ('happy international', 0.04323544258817808), ('happy international nurses', 0.03855861221280375), ('happy', 0.03767869803547973), ('day', 0.03593001610465086), ('nurses', 0.03178840702688475), ('nurse', 0.017799353707427818)]",positive
18,17,45,17_bike_cycling_ride_bike ride,"[('bike', 0.0349439426377017), ('cycling', 0.029661184755042196), ('ride', 0.021530236001086552), ('bike ride', 0.017656668785003573), ('miles', 0.010226316392226247), ('end john', 0.009999251771123013), ('part bike ride', 0.009999251771123013), ('part bike', 0.009999251771123013), ('car', 0.009786470909584795), ('giveaway', 0.009676915895017141)]",positive
19,18,41,18_amp_nurses_ward_amp ongoing care,"[('amp', 0.021328150918077677), ('nurses', 0.021046043054173975), ('ward', 0.01778741402904639), ('amp ongoing care', 0.01642276874905792), ('saving moses life', 0.01642276874905792), ('money team', 0.01642276874905792), ('money team nurses', 0.01642276874905792), ('moses', 0.01642276874905792), ('moses life', 0.01642276874905792), ('moses life amp', 0.01642276874905792)]",positive
20,19,38,19_childsafetyweek_safety_child safety_child,"[('childsafetyweek', 0.058472441219529894), ('safety', 0.053576801191731305), ('child safety', 0.050790717237129065), ('child', 0.04932709215484765), ('child safety week', 0.04881848272263706), ('safety week', 0.04881848272263706), ('childsafetyweek sharebecauseyoucare', 0.03645921704704715), ('sharebecauseyoucare', 0.03645921704704715), ('children', 0.03299401424564824), ('week', 0.03179677137041593)]",positive
21,20,38,20_covid19_covid_vaccine_models,"[('covid19', 0.02697672008762601), ('covid', 0.021466605173275016), ('vaccine', 0.020955885518467422), ('models', 0.01829228200987186), ('understand', 0.01601180576636834), ('offered', 0.015872171168992914), ('outbreak care home', 0.014289516503038942), ('home followed detailing', 0.014289516503038942), ('outbreak care', 0.014289516503038942), ('vaccine despite covid19', 0.014289516503038942)]",positive
22,21,34,21_food_food parcels_parcels_food donations,"[('food', 0.056985716966195685), ('food parcels', 0.021767549031761715), ('parcels', 0.02110786369493351), ('food donations', 0.01384306855422899), ('recipes', 0.012543279092483563), ('donations', 0.012213965631945958), ('lots', 0.012139457623745801), ('donations food', 0.011529453978930458), ('community', 0.010517272924152776), ('provided', 0.010409179181881112)]",positive
23,22,33,22_dementia_nurses_care_palliative,"[('dementia', 0.02197527578898605), ('nurses', 0.020267945479472912), ('care', 0.019406021693788203), ('palliative', 0.0192676101913251), ('end life', 0.014084585233215423), ('life', 0.013804360512544422), ('moms', 0.013577776337224474), ('admiral nurses', 0.012480336781316475), ('admiral', 0.012218612118679096), ('hospice', 0.01101291208444255)]",positive
24,23,32,23_walk_walking_mental_mental health,"[('walk', 0.043284951324324174), ('walking', 0.020784441197121768), ('mental', 0.015232673808823914), ('mental health', 0.01430684135330531), ('health', 0.013626879485492441), ('5k', 0.013431721731412357), ('burton', 0.011989397075561152), ('mind', 0.011194034522081177), ('physical', 0.010374308927282208), ('us', 0.009949052088413733)]",positive
25,24,30,24_coronavirus_appeal_emergency_staysafe,"[('coronavirus', 0.027629674239443264), ('appeal', 0.022469769742882718), ('emergency', 0.018503491592307658), ('staysafe', 0.017351939663385767), ('appeal help', 0.017237473831541353), ('customers', 0.01673531903302105), ('coronavirus appeal', 0.014249320143702346), ('donation emergency', 0.014249320143702346), ('nhs', 0.013295181931944042), ('donation', 0.012714133827870512)]",positive
26,25,30,25_lockdown_campaign_taking_part,"[('lockdown', 0.038991907465550764), ('campaign', 0.021327199783677964), ('taking', 0.015296814202848346), ('part', 0.013821721858213362), ('taking part', 0.013356642576742996), ('fundraising', 0.011859418025494044), ('managed', 0.011151539704281515), ('next week', 0.01080656435241356), ('fundraising campaign', 0.010338059101870805), ('taking place next', 0.010224641141522472)]",positive
