,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,4780,-1_health_immigrants_care_people,"[('health', 0.003572385588902382), ('immigrants', 0.003359754831514669), ('care', 0.003002489545307588), ('people', 0.0028870816168663094), ('healthcare', 0.002884768824045481), ('amp', 0.0027914483105499956), ('dont', 0.0026188953757278533), ('immigrant', 0.002407515910491868), ('covid', 0.0022868547780440064), ('get', 0.0022406203527436386)]",negative
1,0,1038,0_campaign_donations_blood_donation,"[('campaign', 0.01211788229507308), ('donations', 0.008642869302777715), ('blood', 0.006938664630907671), ('donation', 0.006437270161069873), ('campaign donations', 0.005566741333603839), ('fundraising', 0.005489850097065196), ('gop', 0.004967114621144704), ('donate', 0.004372239819939476), ('money', 0.003715785141533607), ('charity', 0.003645547345282709)]",negative
2,1,358,1_mental_mental health_health_charity,"[('mental', 0.028956667130183078), ('mental health', 0.02800823075253694), ('health', 0.010755738693527452), ('charity', 0.005206352337918845), ('services', 0.005145533159272375), ('stream', 0.004937321918139839), ('awareness', 0.004832629932469554), ('suicide', 0.004165984493929093), ('im', 0.004098164300634979), ('grant', 0.0040542281136071185)]",negative
3,2,343,2_biden_illegal_illegal immigrants_immigrants,"[('biden', 0.018478133660645484), ('illegal', 0.011979536451163751), ('illegal immigrants', 0.011527700879351788), ('immigrants', 0.010120354720584198), ('border', 0.008429882498363657), ('free', 0.007752099477793869), ('healthcare', 0.006449762726601793), ('migrants', 0.005950663466050064), ('democrats', 0.005772470384541798), ('care', 0.005446336282762492)]",negative
4,3,331,3_migrant_worker_workers_migrant workers,"[('migrant', 0.014546639421159753), ('worker', 0.01259035507078287), ('workers', 0.011592548968384552), ('migrant workers', 0.01020222923770278), ('migrant worker', 0.0075355439506487425), ('farm', 0.00675945711180834), ('covid19', 0.005617622609573676), ('jobs', 0.00536190685893579), ('immigrants', 0.005242620154964558), ('work', 0.004548744487485257)]",negative
5,4,286,4_vaccine_vaccines_vaccinated_mandate,"[('vaccine', 0.02152325032939218), ('vaccines', 0.009651591338002613), ('vaccinated', 0.009367189803178135), ('mandate', 0.007397377522190638), ('covid19 vaccine', 0.007306167279720799), ('exemption', 0.005976848480585049), ('vaccination', 0.005905775746366093), ('exemptions', 0.005724357443925652), ('get', 0.005482086018900363), ('immigrants', 0.004934162689566172)]",negative
6,5,234,5_amp_lgbtq_black_people,"[('amp', 0.009754534401524956), ('lgbtq', 0.008032361935445782), ('black', 0.007779057343904256), ('people', 0.0057684475526846805), ('rights', 0.004734196842666814), ('women', 0.00430081783840743), ('immigrants', 0.004126230408608369), ('right', 0.004027547209526722), ('blm', 0.003839332173079658), ('health', 0.0035175020377659324)]",negative
7,6,175,6_mask_masks_wear_wearing,"[('mask', 0.026527257620099023), ('masks', 0.021219086115699257), ('wear', 0.017054255381956866), ('wearing', 0.013252291492235523), ('wear mask', 0.011180308907350054), ('wear masks', 0.007653663061299396), ('wearing mask', 0.0073626700349995996), ('ppe', 0.006574380666657808), ('people', 0.004954323184825811), ('mandate', 0.004899804606988578)]",negative
8,7,173,7_health granted_take health_take health granted_granted,"[('health granted', 0.06600265960524387), ('take health', 0.05335772151608433), ('take health granted', 0.052048894157476336), ('granted', 0.04145689400276221), ('take', 0.040275599101076115), ('never', 0.03545081571483188), ('never take', 0.035151129805976546), ('dont take', 0.026990854110467765), ('never take health', 0.02683190947117177), ('dont take health', 0.025738628240274328)]",negative
9,8,126,8_200_watch weeknights_choose 200 matching_worker choose,"[('200', 0.09176235063737173), ('watch weeknights', 0.04523182451995371), ('choose 200 matching', 0.04523182451995371), ('worker choose', 0.04523182451995371), ('200 tip', 0.04523182451995371), ('entered broke girls', 0.04523182451995371), ('200 matching donation', 0.04523182451995371), ('choose 200', 0.04523182451995371), ('200 200 tip', 0.04523182451995371), ('200 200', 0.04523182451995371)]",negative
10,9,113,9_nurses_doctors_nurse_doctors nurses,"[('nurses', 0.02737472084077963), ('doctors', 0.014193773939298963), ('nurse', 0.01290275364819324), ('doctors nurses', 0.012489040645229946), ('thanks', 0.0058699704045837835), ('teachers', 0.005728724336455902), ('commissioner', 0.005480192991619979), ('truckers', 0.005199053744116841), ('let go', 0.005122278481307816), ('let', 0.005113563360238224)]",negative
11,10,97,10_trump_trump doesnt_lie_covid,"[('trump', 0.02342576771257884), ('trump doesnt', 0.00691976386035926), ('lie', 0.006368294279640189), ('covid', 0.006168074890780221), ('melania', 0.005772882802599254), ('fauci', 0.0054647915593387), ('hes', 0.005318938994946542), ('happened', 0.005317032058453446), ('trumps', 0.0052755605169725285), ('like', 0.005259047809711388)]",negative
12,11,95,11_protest_protests_peaceful_march,"[('protest', 0.026851399503300368), ('protests', 0.01711046387982527), ('peaceful', 0.00876710189059295), ('march', 0.00849299100221199), ('eyes', 0.007696386457141476), ('police', 0.007153260206807998), ('rights', 0.007141175726533556), ('rally', 0.005775266543155302), ('protesters', 0.00518883049256306), ('loud rights gods', 0.005028573928551714)]",negative
13,12,88,12_powers_governor_authority_orders,"[('powers', 0.016062662041060008), ('governor', 0.0144664170976601), ('authority', 0.013656186150788846), ('orders', 0.011828293926777844), ('court', 0.01046356438609133), ('public health', 0.010285918846257713), ('public', 0.010037613196012185), ('constitution', 0.009895096506823358), ('granted', 0.009787265374778772), ('kentucky', 0.008794952041002278)]",negative
14,13,85,13_front lines_lines_battling_front,"[('front lines', 0.01357342390102702), ('lines', 0.012023783929197658), ('battling', 0.011545154399892255), ('front', 0.010544431716746022), ('covid19 patients', 0.010319068668534917), ('workers front', 0.01030689601903865), ('workers front lines', 0.01030689601903865), ('doctors', 0.009126011124556374), ('covid19', 0.009112807607023226), ('nurses', 0.009044863903532452)]",negative
15,14,76,14_nra_gun_campaign donations_campaign,"[('nra', 0.03555633261854827), ('gun', 0.028644852067337995), ('campaign donations', 0.02168290571982819), ('campaign', 0.015163930411529365), ('donations', 0.014483252741287329), ('donations nra', 0.012518393072462608), ('republicans', 0.011907626289271417), ('gun safety', 0.011807544272617078), ('gop', 0.010960330552183773), ('safety', 0.00990335025582623)]",negative
16,15,67,15_icu_hospital_bars_patients,"[('icu', 0.01696451488739101), ('hospital', 0.012976940203625907), ('bars', 0.011044294404039026), ('patients', 0.010644983670396258), ('monkey bars', 0.010260948385633347), ('monkey', 0.009806204403057128), ('little', 0.008932472874466723), ('wrist', 0.008550790321361124), ('nowhere', 0.007752613791042532), ('sink minute', 0.0072681367164666826)]",negative
17,16,67,16_texas_abbott_texans_20,"[('texas', 0.03928750149051408), ('abbott', 0.02723432059252014), ('texans', 0.013593933268559852), ('20', 0.011645130893924991), ('immigrants', 0.010340205908089161), ('blame', 0.010127317256884967), ('migrants', 0.009282032086229214), ('greg', 0.00923261734084518), ('tx', 0.00893564527968528), ('border', 0.0087661306204894)]",negative
18,17,64,17_game_players_career_team,"[('game', 0.013776854123409833), ('players', 0.010647565602688213), ('career', 0.008065376933552202), ('team', 0.008047360370304336), ('tatum', 0.00785225688418825), ('grant', 0.0071442560878496025), ('qb', 0.00649197784504768), ('teams', 0.0061110190962042595), ('lost', 0.0058962990100213195), ('top', 0.00579507565644247)]",negative
19,18,56,18_abortion_planned parenthood_parenthood_planned,"[('abortion', 0.02355633663099837), ('planned parenthood', 0.01810228890797925), ('parenthood', 0.017928960720118264), ('planned', 0.01634318156893212), ('womens', 0.014772723874228585), ('pregnancy', 0.01381253306626653), ('abortions', 0.012298245933651216), ('woman', 0.009399862895608605), ('women', 0.008980754791598612), ('abortion healthcare', 0.008262661810474654)]",negative
20,19,55,19_n95_n95 masks_masks_covid19,"[('n95', 0.025401969177862364), ('n95 masks', 0.0250263488168617), ('masks', 0.023432175205455593), ('covid19', 0.015831234091802697), ('items', 0.01568256288447067), ('gloves', 0.01499567506195332), ('manatee', 0.014118736385902596), ('lebanon', 0.012101774045059367), ('fabric', 0.012101774045059367), ('donation', 0.011781704437935072)]",negative
