,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,610,-1_health_granted_would_care,"[('health', 0.008918748678605868), ('granted', 0.007137795093509288), ('would', 0.005929365598357463), ('care', 0.005457461809500534), ('amp', 0.005336674456989774), ('good', 0.005296200197968146), ('healthcare', 0.005136800532544342), ('dont', 0.005124559687340694), ('people', 0.005084911226380678), ('charity', 0.0047085060362656445)]",neutral
1,0,279,0_immigrants_workers_migrant_care,"[('immigrants', 0.019499641154288854), ('workers', 0.01390787644179729), ('migrant', 0.013164163642550207), ('care', 0.011214435872880216), ('immigrant', 0.011048982195572389), ('healthcare', 0.009507102524019418), ('covid19', 0.009493286080721492), ('worker', 0.007873284773959748), ('us', 0.006971267433065445), ('illegal', 0.006965140252929547)]",neutral
2,1,153,1_mental_mental health_health_grants,"[('mental', 0.03574344765241197), ('mental health', 0.032915267551733005), ('health', 0.024270818840240866), ('grants', 0.010789917303749993), ('grant', 0.010672802595971812), ('services', 0.009564643712091037), ('charity', 0.008203162115802349), ('help', 0.0076206644347213935), ('housing', 0.007266384072614266), ('amp', 0.006617585227278624)]",neutral
3,2,108,2_granted_take_health_health granted,"[('granted', 0.03429084912371642), ('take', 0.03164307789090426), ('health', 0.02533615518795596), ('health granted', 0.023534304946305276), ('take health granted', 0.01738604761424862), ('dont', 0.016984005815729824), ('take health', 0.016949319854180123), ('take granted', 0.012788833139857129), ('good', 0.012456870631950915), ('dont take', 0.012389982909126766)]",neutral
4,3,75,3_vaccine_vaccines_granted_vaccinated,"[('vaccine', 0.03269646972670928), ('vaccines', 0.018649349556946082), ('granted', 0.01634713410423675), ('vaccinated', 0.014437454647313995), ('covid', 0.013327747860255772), ('cases', 0.013053732948794822), ('doctor', 0.01041557308258177), ('get', 0.010061945890817183), ('big pharma', 0.009175401500461524), ('pharma', 0.009175401500461524)]",neutral
5,4,72,4_campaign_donations_fundraising_campaign donations,"[('campaign', 0.048628277795523374), ('donations', 0.024971613770289832), ('fundraising', 0.02337414670672478), ('campaign donations', 0.022185473286855526), ('gop', 0.016730415643016947), ('biden', 0.01034040915311984), ('campaign fundraising', 0.009098082875976864), ('thats', 0.008640132568777346), ('money', 0.008157992232148841), ('trump', 0.007854291309729597)]",neutral
6,5,56,5_season_grant_play_health,"[('season', 0.015958476870219167), ('grant', 0.01486860891030347), ('play', 0.012968447889952847), ('health', 0.012544321725725243), ('miss', 0.009854009993912108), ('two', 0.009530340256889393), ('lost', 0.009431012814450449), ('granted', 0.009348606469078674), ('player', 0.009248943962583446), ('year', 0.008948801691489691)]",neutral
7,6,52,6_covid19_fda_plasma_antibody,"[('covid19', 0.03450614636358668), ('fda', 0.028078782182341607), ('plasma', 0.022201276454667025), ('antibody', 0.02162177082948315), ('astrazenecas', 0.02162177082948315), ('coronavirus', 0.021143696086463156), ('donation', 0.02055314493643803), ('blood', 0.017557813055797792), ('test', 0.016879941180255886), ('fda granted', 0.015476145190926239)]",neutral
8,7,43,7_masks_mask_donations_n95,"[('masks', 0.04363986025916561), ('mask', 0.0350023745107722), ('donations', 0.020907183415569415), ('n95', 0.017331094960774104), ('ppe', 0.014941161984852947), ('healthcare', 0.012872707022637257), ('detroit', 0.012695434181644658), ('first', 0.012210622967061087), ('wear', 0.012105646862507808), ('even', 0.011605960332231956)]",neutral
9,8,36,8_veterans_run_health amp suicide_amp suicide,"[('veterans', 0.0536935861243558), ('run', 0.050831517009593784), ('health amp suicide', 0.04863038297139271), ('amp suicide', 0.04863038297139271), ('mental health amp', 0.04863038297139271), ('veterans mental health', 0.048137746320055165), ('veterans mental', 0.048137746320055165), ('suicide', 0.046796338845679866), ('health amp', 0.04393671088255707), ('today', 0.03579357498235355)]",neutral
10,9,30,9_pecas_butter_name pecas_cook,"[('pecas', 0.020145768948224653), ('butter', 0.020145768948224653), ('name pecas', 0.020145768948224653), ('cook', 0.019303141757613915), ('dig', 0.018649776740974715), ('dad', 0.016930118269370117), ('food', 0.015627920312237118), ('name', 0.01543816954508022), ('simple', 0.01543816954508022), ('usually', 0.014748989433367292)]",neutral
11,10,28,10_donation_appreciate_would_help,"[('donation', 0.025818616473372028), ('appreciate', 0.021926734526260587), ('would', 0.02163205622499497), ('help', 0.02048331675618501), ('small', 0.019467506419242744), ('would appreciate', 0.019440949713849173), ('donations', 0.01914403636879871), ('small donation', 0.01905336742526472), ('could', 0.015299814230876726), ('surgery', 0.014870260630965599)]",neutral
12,11,28,11_mom_shes_im_gonna,"[('mom', 0.03298248774991077), ('shes', 0.027658091087400118), ('im', 0.022420727648708002), ('gonna', 0.01975208814557925), ('day', 0.019068684433049893), ('symptoms', 0.01906666133576633), ('doctor', 0.017336142753008325), ('uncle', 0.016252768739126778), ('okra', 0.016252768739126778), ('still', 0.016064743972019766)]",neutral
13,12,27,12_salary_pay_charity_ceo,"[('salary', 0.025811875321196054), ('pay', 0.022626415059406896), ('charity', 0.02157788295678444), ('ceo', 0.019635359210987666), ('jay', 0.01755299023825692), ('striking', 0.016958863649793005), ('teachers', 0.016764684655927488), ('stock', 0.01647359539410211), ('form', 0.016063449157928913), ('donations', 0.016063319131604335)]",neutral
14,13,26,13_amp_healthcare_ppe_patients,"[('amp', 0.029125663726461935), ('healthcare', 0.02861777794780377), ('ppe', 0.024912175924580057), ('patients', 0.023383019222226922), ('donations instead lobby', 0.020321046949961483), ('relief better yet', 0.020321046949961483), ('im already overpaying', 0.020321046949961483), ('instead lobby congress', 0.020321046949961483), ('hospitals hitting patients', 0.020321046949961483), ('hospitals hitting', 0.020321046949961483)]",neutral
15,14,22,14_mandate_cases_covid19_judge,"[('mandate', 0.03240227023666998), ('cases', 0.023320801380196356), ('covid19', 0.023176987134929418), ('judge', 0.022831813036032166), ('increase', 0.021265598247989726), ('homes', 0.020956692889221282), ('mask mandate working', 0.020541259265737653), ('working time grant', 0.020541259265737653), ('covid19 cases continue', 0.020541259265737653), ('doesnt appear', 0.020541259265737653)]",neutral
16,15,21,15_covid19_help_donations_covid19 needs,"[('covid19', 0.03834482659587182), ('help', 0.028743777948917974), ('donations', 0.026705434965260736), ('covid19 needs', 0.02643214409257015), ('please', 0.021618329846928474), ('stayhome', 0.02114571527405612), ('please donate help', 0.02002923835153231), ('please donate', 0.018530974166940103), ('car', 0.018242807474584705), ('helping', 0.017977811356339458)]",neutral
17,16,21,16_change_kids_fundraising_kids health change,"[('change', 0.06962233354742077), ('kids', 0.05302607787535182), ('fundraising', 0.05162797080668277), ('kids health change', 0.04699962932846642), ('fundraising goal', 0.04699962932846642), ('change future', 0.04699962932846642), ('2022 change', 0.04699962932846642), ('2022 change kids', 0.04699962932846642), ('change kids', 0.04699962932846642), ('change kids health', 0.04699962932846642)]",neutral
18,17,20,17_ok_yah would work_yah would_would work,"[('ok', 0.18915597739466872), ('yah would work', 0.13210975406431938), ('yah would', 0.13210975406431938), ('would work', 0.13210975406431938), ('yah', 0.1222994974744688), ('try', 0.11820477325047887), ('might try', 0.09326699998849987), ('would', 0.09003451972765764), ('might', 0.0811706684497623), ('havent', 0.07401500422891295)]",neutral
19,18,19,18_vet_animals_veterinary_dog,"[('vet', 0.0663316392948557), ('animals', 0.03274811611615097), ('veterinary', 0.02456108708711323), ('dog', 0.02456108708711323), ('cat', 0.02456108708711323), ('little', 0.021354081122149357), ('little eye', 0.01809658208732087), ('pets health', 0.01809658208732087), ('reminder never take', 0.01809658208732087), ('safety granted', 0.01809658208732087)]",neutral
20,19,19,19_blood_donation_blood donation_blood donations,"[('blood', 0.0900850869862856), ('donation', 0.02980206015783515), ('blood donation', 0.02653900228908208), ('blood donations', 0.023533707705860156), ('donate', 0.0235004574746832), ('donations', 0.020397865563942012), ('need blood', 0.01962773488955602), ('donateblood', 0.01962773488955602), ('donate blood', 0.01817021105334965), ('youre', 0.015993244620607514)]",neutral
21,20,19,20_donation_yes looks plenty_yes looks_contact national,"[('donation', 0.03259600329763219), ('yes looks plenty', 0.027602317138334973), ('yes looks', 0.027602317138334973), ('contact national', 0.027602317138334973), ('opportunities gofundme', 0.027602317138334973), ('nurses union nnu', 0.027602317138334973), ('nurses union', 0.027602317138334973), ('contact national nurses', 0.027602317138334973), ('nnu ask', 0.027602317138334973), ('nnu', 0.027602317138334973)]",neutral
22,21,18,21_research_project_funding_health,"[('research', 0.026044710585249646), ('project', 0.02601494536247023), ('funding', 0.024864829071272312), ('health', 0.02254044151204358), ('wishes per', 0.02140608565641088), ('need funding', 0.02140608565641088), ('wishes', 0.020089750480612328), ('grant', 0.019686114544399228), ('proposals', 0.019589572143815747), ('fast', 0.019589572143815747)]",neutral
23,22,18,22_lmao_lmao lmao_lmao lmao lmao_congrats,"[('lmao', 1.028723315246503), ('lmao lmao', 0.6624556113200394), ('lmao lmao lmao', 0.4293567007090379), ('congrats', 0.41139820870914656), ('woohoo lmao', 0.16599222373612116), ('lmao point', 0.16599222373612116), ('whats lmao lmao', 0.16599222373612116), ('whats lmao', 0.16599222373612116), ('woohoo', 0.16599222373612116), ('point lmao', 0.16599222373612116)]",neutral
24,23,17,23_emergency_emergency allotments_allotments_states,"[('emergency', 0.07221682750188954), ('emergency allotments', 0.04908839802746916), ('allotments', 0.04908839802746916), ('states', 0.04321862021970634), ('declaration', 0.033122780566001965), ('emergency declaration', 0.033122780566001965), ('health emergency', 0.03217499100410568), ('emergency allotments available', 0.027426547247276438), ('states continue', 0.027426547247276438), ('emergency declaration related', 0.027426547247276438)]",neutral
25,24,17,24_game_stream_tonights_charity,"[('game', 0.043646947761596354), ('stream', 0.04266414561498712), ('tonights', 0.0381269416587073), ('charity', 0.03104731360688408), ('military', 0.030501553326965837), ('charity stream', 0.026729930363104247), ('live 11pm', 0.024711177019225206), ('est dont', 0.024711177019225206), ('cares covid19 charity', 0.024711177019225206), ('est dont miss', 0.024711177019225206)]",neutral
