,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,5084,-1_health_amp_grant_donation,"[('health', 0.0030648164879921455), ('amp', 0.0030156762230369467), ('grant', 0.0025894029561482944), ('donation', 0.002295020718946614), ('thank', 0.002235946587858901), ('support', 0.0022040305586324346), ('help', 0.0021268446554597075), ('healthcare', 0.0021193673739581843), ('care', 0.002109859408686046), ('donations', 0.0020915544804247436)]",positive
1,0,971,0_immigrants_migrant_workers_immigrant,"[('immigrants', 0.0061758182554628015), ('migrant', 0.005736649478109207), ('workers', 0.004531768787400233), ('immigrant', 0.0044292978009902294), ('rights', 0.0037507553721301758), ('healthcare', 0.0035941612504286164), ('worker', 0.0035834531405240493), ('migrant workers', 0.0034897519937115715), ('care', 0.003203367370995346), ('covid19', 0.0031032174640222513)]",positive
2,1,590,1_mental_mental health_health_awareness,"[('mental', 0.02122373252865501), ('mental health', 0.021041688568029012), ('health', 0.007514643612014244), ('awareness', 0.0053137379688393445), ('mental health awareness', 0.0046035155913803465), ('charity', 0.004541716098235317), ('health awareness', 0.00450804261055477), ('artists', 0.004307530393133055), ('black', 0.004052667538712199), ('support', 0.004004445353454332)]",positive
3,2,244,2_masks_mask_face_face masks,"[('masks', 0.03171349196764052), ('mask', 0.01220670637031726), ('face', 0.007801144585043598), ('face masks', 0.007335322303083485), ('n95', 0.0071068967484752025), ('n95 masks', 0.006396828548240523), ('donation', 0.005944404301641924), ('gloves', 0.00568407135648143), ('surgical', 0.0047079051868829025), ('donations', 0.004432174114011719)]",positive
4,3,219,3_granted_take_take granted_health granted,"[('granted', 0.026366171259965748), ('take', 0.023638567942060155), ('take granted', 0.01770005158110117), ('health granted', 0.016856408685598186), ('never', 0.012730090300816402), ('things', 0.011992788620089838), ('take health', 0.011797969830394812), ('take health granted', 0.010609781290767263), ('dont', 0.009390756023822671), ('good health', 0.00853558665340985)]",positive
5,4,192,4_campaign_gop_campaign donations_fundraising,"[('campaign', 0.021683960836936456), ('gop', 0.011626754418877117), ('campaign donations', 0.01053859149373628), ('fundraising', 0.00990505369797084), ('donations', 0.006938128255655476), ('senate', 0.006283811354819047), ('donation campaign', 0.00585287261445634), ('made donation campaign', 0.004359645638955455), ('grassroots', 0.004007052222813699), ('please', 0.0038803551912500547)]",positive
6,5,188,5_meals_food_restaurants_frontline,"[('meals', 0.0142392855716531), ('food', 0.011474443926365537), ('restaurants', 0.009881255640845335), ('frontline', 0.007949203205775161), ('feed', 0.007931229662821561), ('delivered', 0.007619634441948337), ('local restaurants', 0.007248083000619597), ('donations', 0.006763227475339503), ('meal', 0.006634780766434984), ('workers', 0.006536559992225587)]",positive
7,6,183,6_veterinary_dog_vet_dogsdonate,"[('veterinary', 0.014140465159127981), ('dog', 0.013577368593052195), ('vet', 0.012933436339949507), ('dogsdonate', 0.011976191536283457), ('veterinary hospital', 0.01014395430385712), ('pet', 0.008873859953294172), ('animal', 0.00870536256548196), ('cats', 0.008431812061321462), ('kitten', 0.0074963496988295405), ('pets', 0.007439834171754233)]",positive
8,7,168,7_vaccine_vaccination_vaccines_clinic,"[('vaccine', 0.02232566100834792), ('vaccination', 0.011915650922194812), ('vaccines', 0.008202038730029918), ('clinic', 0.007093433959886867), ('doctor', 0.006517801284521343), ('covid vaccine', 0.006492237473917862), ('covid', 0.006118299955725339), ('dose', 0.005918018252867285), ('vaccinated', 0.00586170751205206), ('grant park', 0.005237179802581798)]",positive
9,8,142,8_amp_fire_dollar_nurses,"[('amp', 0.018268187298483087), ('fire', 0.0064803152934186595), ('dollar', 0.0051220675475357825), ('nurses', 0.00479412782804625), ('paramedics', 0.004229310040216305), ('amp support', 0.004215977188532061), ('support', 0.004068333586751917), ('donation', 0.003948441274270402), ('tushita', 0.003915566278602304), ('police', 0.003898598776513052)]",positive
10,9,140,9_birthday_happy birthday_happy_thankful,"[('birthday', 0.03132901131029739), ('happy birthday', 0.027672867163244245), ('happy', 0.02467634368811227), ('thankful', 0.016806185658581798), ('god', 0.015092338261707796), ('good', 0.014973508215685), ('may', 0.014503872503009453), ('good health', 0.014101992348945415), ('thanksgiving', 0.01294923779447068), ('happy thanksgiving', 0.01227087114696296)]",positive
11,10,140,10_game_military_baseball_active military,"[('game', 0.019532726452975505), ('military', 0.015921865513544676), ('baseball', 0.014669440117136494), ('active military', 0.014356159044008334), ('active', 0.011686146738487372), ('players', 0.009056901515332495), ('team', 0.008912865659500635), ('special', 0.008766715532503798), ('play', 0.008478509353255094), ('team active military', 0.008322578874769233)]",positive
12,11,134,11_blood_blood donation_blood donations_blooddonation,"[('blood', 0.06036343106422185), ('blood donation', 0.02278620386650338), ('blood donations', 0.013329512895274129), ('blooddonation', 0.010228563716446577), ('schedule', 0.009816158220119022), ('donor', 0.00964031702044374), ('save', 0.009097729743040642), ('donating blood', 0.009001044341218354), ('blood drive', 0.008834474596899443), ('blood donor', 0.008765288612656113)]",positive
13,12,125,12_safe_good morning_weekend_stay,"[('safe', 0.036076139341369), ('good morning', 0.03028463388008577), ('weekend', 0.02777160006277571), ('stay', 0.024850720501608553), ('morning', 0.023926949797912187), ('cheers', 0.02292679220665801), ('stay safe', 0.01945811283546328), ('take care', 0.019285833376927575), ('everyone', 0.018967938576066847), ('sajedaa', 0.016576281234712793)]",positive
14,13,122,13_god_jesus_lord_may,"[('god', 0.027763538162516324), ('jesus', 0.0209438634565277), ('lord', 0.020707644570158935), ('may', 0.01791447452363892), ('amen', 0.016379051176037437), ('god grant', 0.015255694158230795), ('grant', 0.013611249843800912), ('christ', 0.01166473560877521), ('prayer', 0.011318424054601412), ('good health', 0.010809049707824953)]",positive
