,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,1632,-1_health_support_amp_mental,"[('health', 0.006969810253998186), ('support', 0.0063322406393363185), ('amp', 0.005332587859082898), ('mental', 0.004933667097258266), ('mental health', 0.0048766316127997825), ('services', 0.004612167199693473), ('health services', 0.004055435785938298), ('people', 0.003676954877982582), ('workers', 0.003558734791740841), ('need', 0.0032110151935962426)]",negative
1,0,422,0_mental_mental health_health_services,"[('mental', 0.014170713768538738), ('mental health', 0.013624376152018811), ('health', 0.011049961818453106), ('services', 0.006656199107396485), ('mental health services', 0.006613880183464179), ('health services', 0.006247167462939455), ('support', 0.006171217218386126), ('service', 0.005588417485284577), ('mental health support', 0.004900412865021408), ('health service', 0.0046928939427318805)]",negative
2,1,171,1_vaccine_vaccination_covid_quarantine,"[('vaccine', 0.01823158231239378), ('vaccination', 0.0098318598662967), ('covid', 0.008627989839499996), ('quarantine', 0.008517559288423064), ('support', 0.006814766305768125), ('vaccines', 0.006525249954498804), ('australia', 0.005754017100549933), ('many', 0.0052039187857393695), ('im', 0.0050602421393622825), ('people', 0.004797533509628024)]",negative
3,2,164,2_covid_covid19_support_morrison,"[('covid', 0.011755016329462459), ('covid19', 0.011142180737253485), ('support', 0.0067700423620259175), ('morrison', 0.005049999572148111), ('due', 0.004870234970689391), ('increased', 0.004780231848604421), ('coronavirus', 0.0046040787026874015), ('health', 0.004588104644708986), ('food', 0.004436191699024548), ('pandemic', 0.004433430959851073)]",negative
4,3,143,3_education_taxes_pay_example,"[('education', 0.011438042029161814), ('taxes', 0.011022075894125655), ('pay', 0.008792549479334725), ('example', 0.00864278858939848), ('education health', 0.007381165012256214), ('victorians', 0.007348661051505348), ('health', 0.007244465074433416), ('dishonest', 0.007075660726297773), ('public health', 0.00705456178460314), ('shifty', 0.0069972461217043935)]",negative
5,4,120,4_nurses_women_amp_staff,"[('nurses', 0.01669460544696801), ('women', 0.015792089208201073), ('amp', 0.008126493216863118), ('staff', 0.008054409729903057), ('doctors', 0.007459466547840554), ('nurse', 0.007410544406374846), ('hospitals', 0.007330515818932182), ('health', 0.007194799709965082), ('teachers', 0.007041754037951939), ('support', 0.0067925392036454965)]",negative
6,5,55,5_masks_mask_one_wear,"[('masks', 0.03445036972427905), ('mask', 0.024997100087313092), ('one', 0.013596567120248452), ('wear', 0.011796036924503447), ('wearing', 0.010956240682391824), ('least', 0.009605614636705107), ('admitted', 0.009050657634638823), ('checkin', 0.009050657634638823), ('hes', 0.008177449810892802), ('nurses per', 0.008144357211380258)]",negative
7,6,46,6_days_3139_pushups_please,"[('days', 0.019920018420557607), ('3139', 0.01972289351309082), ('pushups', 0.01972289351309082), ('please', 0.019387820277912794), ('mental health', 0.01867245858094173), ('mental', 0.01812647606193685), ('24', 0.017119686855996203), ('pushforbetter', 0.01671765305318561), ('24 days', 0.01671765305318561), ('june', 0.0164276574084253)]",negative
8,7,44,7_amp_safe amp_workspaces_healthy workspaces,"[('amp', 0.0405235628249627), ('safe amp', 0.010424459631849315), ('workspaces', 0.010424459631849315), ('healthy workspaces', 0.010424459631849315), ('fails', 0.008995546124022695), ('safe', 0.008728815197033743), ('masks', 0.008406952416265127), ('staying', 0.008313629307557342), ('amp supported', 0.007968747876880981), ('healthy', 0.007193365178922174)]",negative
9,8,41,8_women_abortion_birth_formula,"[('women', 0.029887713856911354), ('abortion', 0.020996713109389466), ('birth', 0.017030410476464957), ('formula', 0.012525326611814663), ('midwives', 0.012005818398563853), ('reproductive health', 0.011862276149028076), ('reproductive', 0.011599282790048567), ('care', 0.011270659422197933), ('health care', 0.010416605733944493), ('reproductive health services', 0.01037222278157077)]",negative
10,9,41,9_ndis_support worker_worker_disability,"[('ndis', 0.029359965762860957), ('support worker', 0.02921473642933171), ('worker', 0.02849080834405215), ('disability', 0.010885703198061198), ('lars', 0.010662796623198209), ('support', 0.009911646730776255), ('get', 0.009092810577979478), ('paid', 0.008882351806755428), ('replacement', 0.008347073133358272), ('disability support', 0.007870658618650528)]",negative
11,10,35,10_mori_view article_covid19_article,"[('mori', 0.03238265363928249), ('view article', 0.030130815542341136), ('covid19', 0.028887567589792162), ('article', 0.027360242609247888), ('view', 0.026710725003180082), ('omicron', 0.022717229053418116), ('mental health', 0.02233209562037736), ('mori health', 0.022315168673628497), ('providers', 0.021718807402784455), ('mental', 0.021679105347638644)]",negative
12,11,33,11_protests_police_vs_protestors,"[('protests', 0.02231609449372649), ('police', 0.021084750282285316), ('vs', 0.018583971991541295), ('protestors', 0.017555578538729646), ('lockdowns', 0.016837170337191443), ('protesters', 0.016636755342877594), ('health measures', 0.014530802833856283), ('supporting protests', 0.014123923985380432), ('hypocrisy', 0.012956066011655186), ('cops protesters', 0.012041480093047771)]",negative
13,12,32,12_heroes_hospital support_doctors_working,"[('heroes', 0.058620309414072556), ('hospital support', 0.028310386235968422), ('doctors', 0.027672039292043846), ('working', 0.024099186119892573), ('nurses', 0.023507739510292967), ('support staff risking', 0.022977812291297663), ('lives save covid19', 0.022977812291297663), ('orderlies support staff', 0.022977812291297663), ('risking lives save', 0.022977812291297663), ('save covid19', 0.022977812291297663)]",negative
14,13,31,13_trans_mental_mental health_lgbtiq,"[('trans', 0.020242174862417108), ('mental', 0.012444383986695238), ('mental health', 0.012107039031897717), ('lgbtiq', 0.011959229545964113), ('lgbtq', 0.011553416022264017), ('people', 0.011364274536780076), ('youth', 0.01098151795966473), ('gender', 0.010699229152787969), ('lgbtiq people', 0.009361949511594456), ('acon', 0.009361949511594456)]",negative
15,14,30,14_nhs_london covid19 cases_cases threaten_major incident declared,"[('nhs', 0.025757986193969663), ('london covid19 cases', 0.02114097360134476), ('cases threaten', 0.02114097360134476), ('major incident declared', 0.02114097360134476), ('major incident', 0.02114097360134476), ('overwhelm health services', 0.02114097360134476), ('london covid19', 0.02114097360134476), ('incident declared', 0.02114097360134476), ('threaten overwhelm', 0.02114097360134476), ('threaten overwhelm health', 0.02114097360134476)]",negative
16,15,30,15_work_every healthcare_get support need_get coronavirus work,"[('work', 0.02143414475875705), ('every healthcare', 0.02021118900604076), ('get support need', 0.02021118900604076), ('get coronavirus work', 0.02021118900604076), ('put workcover claim', 0.02021118900604076), ('coronavirus work', 0.02021118900604076), ('coronavirus work put', 0.02021118900604076), ('worker get coronavirus', 0.02021118900604076), ('put workcover', 0.02021118900604076), ('message every', 0.02021118900604076)]",negative
17,16,29,16_petition_sign_leave_ausunions,"[('petition', 0.03514315286490339), ('sign', 0.02972459292853973), ('leave', 0.026511014708600296), ('ausunions', 0.025407868953107222), ('workers', 0.02335258240769749), ('casual', 0.0220895853855907), ('signed petition', 0.020368739230003034), ('support covid19', 0.018485694288097553), ('signed', 0.017843535644616236), ('sign petition', 0.01756524304659572)]",negative
18,17,29,17_deaths_load result stonewalling_continues deaths 2022_deaths 2022 last,"[('deaths', 0.017184582476688696), ('load result stonewalling', 0.013304188491862812), ('continues deaths 2022', 0.013304188491862812), ('deaths 2022 last', 0.013304188491862812), ('morrison govt funding', 0.013304188491862812), ('current covid19 case', 0.013304188491862812), ('hospitals current covid19', 0.013304188491862812), ('pandemic continues deaths', 0.013304188491862812), ('case load', 0.013304188491862812), ('case load result', 0.013304188491862812)]",negative
19,18,28,18_aboriginal_aznr_indigenous_western,"[('aboriginal', 0.04186739837353525), ('aznr', 0.03243138561561973), ('indigenous', 0.025769208367125686), ('western', 0.021820457892379238), ('aboriginal health', 0.01871492740660738), ('health services across', 0.018338207919912527), ('services across', 0.018338207919912527), ('vaccine', 0.01673083250654777), ('medical service', 0.016616341739407625), ('indigenous vaccination', 0.01495244082089332)]",negative
20,19,27,19_cases_victoria_lockdown_usa,"[('cases', 0.031897891263192875), ('victoria', 0.020020024202566017), ('lockdown', 0.01790097601795134), ('usa', 0.014806786228813356), ('done victoria amp', 0.013895485758167826), ('hardship payment', 0.013895485758167826), ('communicate support', 0.013895485758167826), ('amp melbourne', 0.013895485758167826), ('medical experts lockdown', 0.013895485758167826), ('well done victoria', 0.013895485758167826)]",negative
21,20,27,20_ffs_wants_stayhomensw ffs_also one wants,"[('ffs', 0.023850633262149014), ('wants', 0.01726052086666321), ('stayhomensw ffs', 0.016213766350263153), ('also one wants', 0.016213766350263153), ('dealing real covid', 0.016213766350263153), ('freedom health workers', 0.016213766350263153), ('wants lockdown believe', 0.016213766350263153), ('dealing real', 0.016213766350263153), ('workers dealing real', 0.016213766350263153), ('protest also', 0.016213766350263153)]",negative
22,21,27,21_morrison_morrison doesnt_morrison doesnt care_god election,"[('morrison', 0.05395525858663509), ('morrison doesnt', 0.023053397200150615), ('morrison doesnt care', 0.023053397200150615), ('god election', 0.02026597250797021), ('heartless thank', 0.02026597250797021), ('idea pressures', 0.02026597250797021), ('idea pressures us', 0.02026597250797021), ('inflated salary heartless', 0.02026597250797021), ('god election close', 0.02026597250797021), ('aussies need living', 0.02026597250797021)]",negative
23,22,27,22_example_shifty_warmonger_dishonest,"[('example', 0.08035220860988651), ('shifty', 0.07362028578353734), ('warmonger', 0.054800573053114705), ('dishonest', 0.05195247650311081), ('follow example', 0.05052917317806999), ('example less taxes', 0.05052917317806999), ('citizens follow', 0.05052917317806999), ('citizens follow example', 0.05052917317806999), ('example less', 0.05052917317806999), ('usas citizens follow', 0.05052917317806999)]",negative
24,23,27,23_fraction_cope_shut_border,"[('fraction', 0.023117657194832813), ('cope', 0.020108591275054096), ('shut', 0.01929450349015066), ('border', 0.017787617768285913), ('wodonga', 0.013899879924286419), ('albury wodonga', 0.013899879924286419), ('albury', 0.013899879924286419), ('couldnt', 0.013075994687824475), ('couldnt provide often', 0.01285731152436612), ('take much effective', 0.01285731152436612)]",negative
25,24,26,24_homeless_position_etc etc_homelessness,"[('homeless', 0.04236147833669581), ('position', 0.016496592165181168), ('etc etc', 0.014837018470696949), ('homelessness', 0.014366534856042073), ('etc', 0.013424248166069155), ('unemployed homeless', 0.012022714109626565), ('homeless people', 0.012022714109626565), ('housing health', 0.010305047026106308), ('sector', 0.010059869175932844), ('support', 0.009657462601509185)]",negative
26,25,26,25_covid19australia_government support_shutdown_businesses,"[('covid19australia', 0.025649365886942898), ('government support', 0.021640339780746486), ('shutdown', 0.021219497543990436), ('businesses', 0.020767542535496793), ('australian government', 0.018763493969102416), ('australian', 0.01865484384893407), ('covid19aus', 0.018250750032367775), ('schools vote', 0.01730176049160651), ('vote rt', 0.01730176049160651), ('covid19australia covid19australia', 0.01730176049160651)]",negative
27,26,26,26_privatisation_choice_health_private,"[('privatisation', 0.017175078376843844), ('choice', 0.017047286776594325), ('health', 0.013208715468379142), ('private', 0.012887494403719802), ('career', 0.012393499987464895), ('exhorbiant fees', 0.010611198795194482), ('every aspect healthcare', 0.010611198795194482), ('experience justify', 0.010611198795194482), ('youre responsible save', 0.010611198795194482), ('dont boast', 0.010611198795194482)]",negative
28,27,25,27_agedcare_registered_registered nurse_aged care,"[('agedcare', 0.07149422385633536), ('registered', 0.05390471661862383), ('registered nurse', 0.040780169478324975), ('aged care', 0.031494792048593755), ('aged', 0.03024188173786319), ('commission', 0.029905457617438316), ('aged care workers', 0.029549992126975122), ('royal commission', 0.02765605157103902), ('nurse', 0.027485548603210726), ('royal', 0.02682249461306597)]",negative
29,28,24,28_barrett_amy coney barrett_amy coney_23 million,"[('barrett', 0.06012846931007819), ('amy coney barrett', 0.05782978005450795), ('amy coney', 0.05782978005450795), ('23 million', 0.05782978005450795), ('23 million people', 0.05782978005450795), ('coney', 0.05782978005450795), ('coney barrett', 0.05782978005450795), ('million people', 0.05672709485972023), ('affordable care', 0.05672709485972023), ('care act', 0.05672709485972023)]",negative
