,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,250,-1_support_health_us_amp,"[('support', 0.013936187709741922), ('health', 0.013839399623037115), ('us', 0.010601988029552319), ('amp', 0.010100355975108406), ('stay', 0.008979065693784134), ('covid19', 0.007707086320924739), ('pledge', 0.007031138494864766), ('always', 0.006806752336161014), ('fight', 0.006738883594561472), ('also', 0.0063434553378708325)]",positive
1,0,56,0_children_scheme_pm_children scheme,"[('children', 0.05304978363500813), ('scheme', 0.040995434662800506), ('pm', 0.030124797808695317), ('children scheme', 0.027249602947502942), ('cares', 0.02712509143642333), ('cares children', 0.02671219027427091), ('lost parents', 0.02622670714572617), ('lost', 0.02569021030876835), ('parents', 0.025200913788582694), ('lost parents covid19', 0.025189866159228365)]",positive
2,1,56,1_health_services_health services_director,"[('health', 0.029681564711656366), ('services', 0.025636994767043796), ('health services', 0.02420578695942554), ('director', 0.01858355974845989), ('amp', 0.014807198227844815), ('assam', 0.013526151704684195), ('meeting', 0.013185180668117365), ('director health services', 0.013185180668117365), ('director health', 0.013035377577982888), ('dir', 0.011067657346496729)]",positive
3,2,53,2_covid19_staff_support_workers,"[('covid19', 0.01907346145920989), ('staff', 0.017217987555284572), ('support', 0.015060763343615929), ('workers', 0.01459085303462647), ('sir', 0.011815532937138131), ('doctor', 0.011709052956459602), ('supporting', 0.011545807286073092), ('services', 0.011285417269122314), ('doctors', 0.0112624126358844), ('people', 0.01080574853166223)]",positive
4,3,49,3_vaccination_bangladesh_vaccine_camp,"[('vaccination', 0.040611842960419475), ('bangladesh', 0.022217904872185484), ('vaccine', 0.018430311217921793), ('camp', 0.018386682864026345), ('health', 0.015218378903776262), ('awareness', 0.014312556018708627), ('covid19', 0.014267731273493872), ('covid19 vaccination', 0.013432994629733734), ('support', 0.012009020090644631), ('general', 0.011756222935660724)]",positive
5,4,42,4_happy_love_always_good,"[('happy', 0.03879489007024478), ('love', 0.035593210633396564), ('always', 0.02592680630199174), ('good', 0.02508997277028014), ('life', 0.021730281355426675), ('birthday', 0.019761994382644407), ('happiness', 0.01950484874204793), ('safe', 0.018951697815706606), ('good health', 0.018659967662561176), ('happy birthday', 0.01768074562684945)]",positive
6,5,29,5_follow us_updates_follow_us,"[('follow us', 0.07377210559582902), ('updates', 0.07283907367231007), ('follow', 0.06879166407174078), ('us', 0.04787432145646824), ('fitness', 0.04754041023454185), ('motivation', 0.04391100110684439), ('amp fitness technology', 0.042541539310545294), ('news updates', 0.042541539310545294), ('work follow us', 0.042541539310545294), ('amp fitness', 0.042541539310545294)]",positive
7,6,27,6_alert kind_careful_careful alert_careful alert kind,"[('alert kind', 0.029316994571164667), ('careful', 0.029316994571164667), ('careful alert', 0.029316994571164667), ('careful alert kind', 0.029316994571164667), ('supportive careful alert', 0.029316994571164667), ('supportive careful', 0.029316994571164667), ('covid19', 0.027799881734665393), ('alert', 0.027475348660094673), ('india', 0.027123721877111553), ('supportive', 0.02538587731254644)]",positive
8,7,27,7_covid19_india_rural_via namo app,"[('covid19', 0.02463431300974202), ('india', 0.022800139809527147), ('rural', 0.01890739997541289), ('via namo app', 0.016547286392316975), ('namo app', 0.016547286392316975), ('supporting', 0.016532844765374356), ('namo', 0.016147330845612224), ('communities', 0.016147330845612224), ('via namo', 0.016147330845612224), ('via', 0.015892685651082192)]",positive
9,8,26,8_global_like_global covid19_pandemic,"[('global', 0.026059538110894547), ('like', 0.01967986225546753), ('global covid19', 0.019650467665476734), ('pandemic', 0.01821075088488537), ('covid19', 0.017238115642558265), ('yet central gvt', 0.016304737449354522), ('gvt', 0.016304737449354522), ('plan successfulsomust supported', 0.016304737449354522), ('plan successfulsomust', 0.016304737449354522), ('educate ppl', 0.016304737449354522)]",positive
10,9,26,9_cargo_medical cargo_medical_essential medical cargo,"[('cargo', 0.05014306814810942), ('medical cargo', 0.04816072290149371), ('medical', 0.04784047804906371), ('essential medical cargo', 0.0461502832651103), ('essential medical', 0.045625948011941406), ('country', 0.045095533151494), ('indias', 0.04089254677091619), ('essential', 0.04089254677091619), ('flights', 0.03993350544387986), ('transport', 0.03892072705346985)]",positive
11,10,24,10_oxygen_bed_hospital_concentrators,"[('oxygen', 0.06179554489532137), ('bed', 0.034896388414019576), ('hospital', 0.027458904390757127), ('concentrators', 0.027018389411029315), ('oxygen concentrators', 0.024537603523646954), ('bed covid', 0.0219877459283735), ('college amp hospital', 0.020606511495071006), ('amp hospital', 0.020606511495071006), ('medical college amp', 0.019901368222858182), ('college amp', 0.019901368222858182)]",positive
12,11,24,11_nutrition_health_amp_tea,"[('nutrition', 0.026610507176847147), ('health', 0.02474821236329443), ('amp', 0.024621859925494895), ('tea', 0.015039453972221744), ('nature', 0.014582904869272467), ('sant shri', 0.014197091802016788), ('sant', 0.014197091802016788), ('shri asharamji bapu', 0.014197091802016788), ('shri asharamji', 0.014197091802016788), ('bapu', 0.014197091802016788)]",positive
13,12,23,12_covid_help_please_sir,"[('covid', 0.024021216835401968), ('help', 0.022163528847686784), ('please', 0.01994261705317961), ('sir', 0.018425621293579043), ('support', 0.01742081744114133), ('please help', 0.01673294267529717), ('father', 0.016133232442928778), ('admitted', 0.016133232442928778), ('urgent', 0.016133232442928778), ('support medical', 0.015229607569436192)]",positive
14,13,23,13_amp_economy_ensure_support,"[('amp', 0.05790960785883859), ('economy', 0.022474697712136456), ('ensure', 0.016362444226340787), ('support', 0.01623683289703794), ('health support', 0.015709216750319117), ('industrial', 0.014110403107788924), ('took', 0.01360468493909667), ('aged', 0.01284268440693512), ('health', 0.011193612235868265), ('dedicated', 0.011120608216739741)]",positive
15,14,22,14_day_nurses_nurses midwives_midwives,"[('day', 0.049659278233181295), ('nurses', 0.04152955376810553), ('nurses midwives', 0.04060396353708572), ('midwives', 0.0398774458779831), ('world', 0.03397603470341363), ('health day', 0.0331259946801892), ('world health day', 0.030327925418446207), ('doctors', 0.028868023193128974), ('world health', 0.02842277447596001), ('health', 0.02788604936850789)]",positive
16,15,21,15_act_great_sir_covid19,"[('act', 0.023443287992216327), ('great', 0.023316229691950196), ('sir', 0.02198284536110298), ('covid19', 0.021709235194098786), ('leader stay', 0.017967042568919952), ('whoever support us', 0.017967042568919952), ('medical staffs whoever', 0.017967042568919952), ('real leader stay', 0.017967042568919952), ('doctors medical staffs', 0.017967042568919952), ('doctors medical', 0.017967042568919952)]",positive
17,16,20,16_mental_mental health_health_support mental,"[('mental', 0.10877855146681095), ('mental health', 0.10040822307961465), ('health', 0.039610865580266885), ('support mental', 0.03129290775568082), ('support mental health', 0.025964911047874916), ('students', 0.024634381436357208), ('support', 0.021341291783612337), ('someone', 0.020373936244055403), ('support students', 0.020373936244055403), ('manodarpan initiative', 0.020373936244055403)]",positive
18,17,20,17_help_achieve goal_help achieve goal_fundndingplease help achieve,"[('help', 0.0768946681591376), ('achieve goal', 0.07001754162822568), ('help achieve goal', 0.07001754162822568), ('fundndingplease help achieve', 0.06928416239174194), ('help achieve', 0.06928416239174194), ('achieve', 0.06858525394504898), ('achieve goal name', 0.06724948323147072), ('fundndingplease', 0.0660785117681508), ('options fundndingplease help', 0.0660785117681508), ('options fundndingplease', 0.0660785117681508)]",positive
19,18,20,18_hollow healthcare system_give support welcome_asol poriborton state_asol poriborton,"[('hollow healthcare system', 0.06544330333498659), ('give support welcome', 0.06544330333498659), ('asol poriborton state', 0.06544330333498659), ('asol poriborton', 0.06544330333498659), ('asol', 0.06544330333498659), ('bengal lets', 0.06544330333498659), ('government exposed hollow', 0.06544330333498659), ('bengal lets give', 0.06544330333498659), ('shri asol poriborton', 0.06544330333498659), ('covid crisis government', 0.06544330333498659)]",positive
20,19,19,19_kolkata_doctorhomevisit_hospital_visit,"[('kolkata', 0.05774314667757138), ('doctorhomevisit', 0.0318226951462343), ('hospital', 0.031032323455307712), ('visit', 0.02851510513466737), ('ventilator', 0.027349144038526525), ('healthcare', 0.02323213073368803), ('us 919205987988', 0.022692620888416705), ('visit doctorhomevisit homecare', 0.022692620888416705), ('support call', 0.022692620888416705), ('medilane provides dedicated', 0.022692620888416705)]",positive
21,20,19,20_19 covid_covid 19 covid_let_covid,"[('19 covid', 0.06986340868092585), ('covid 19 covid', 0.06986340868092585), ('let', 0.062284806737149576), ('covid', 0.05797417032434897), ('covid 19', 0.052042046251195816), ('19', 0.05174869651519059), ('protect', 0.04110433649402936), ('need', 0.0402687827310933), ('feel need doctors', 0.03964260658148642), ('need doctors', 0.03964260658148642)]",positive
22,21,19,21_project_sir_nagaon district people_nagaonassam,"[('project', 0.08867103902791382), ('sir', 0.07070296542884982), ('nagaon district people', 0.05692846241185664), ('nagaonassam', 0.05692846241185664), ('middle asssamwe arranged', 0.05692846241185664), ('poor sir help', 0.05692846241185664), ('health service nagaonassam', 0.05692846241185664), ('hospital nagaon district', 0.05692846241185664), ('plots land', 0.05692846241185664), ('plots', 0.05692846241185664)]",positive
23,22,16,22_kit_workers_area_jiribam,"[('kit', 0.029555429334288858), ('workers', 0.022078101623217657), ('area', 0.021365356678300335), ('jiribam', 0.02107584382766437), ('support', 0.01963254034648511), ('mask', 0.018730995056219047), ('food', 0.01618890970909382), ('ppe kits', 0.015240362708491882), ('need', 0.015011136565153103), ('health workers', 0.014893960320010377)]",positive
24,23,16,23_eye_bangladesh_ancp_eye health,"[('eye', 0.07476257139969336), ('bangladesh', 0.04580666617741778), ('ancp', 0.036593755409971986), ('eye health', 0.0332337745241268), ('ppe', 0.033154725287266394), ('vital', 0.031896567293241154), ('means', 0.028461809763311544), ('still', 0.02614777582458832), ('help', 0.0228601078929084), ('eye issues still', 0.022533719128808537)]",positive
