,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,700,-1_health_support_mental_mental health,"[('health', 0.019721747728234585), ('support', 0.017545451035635547), ('mental', 0.012711101688265001), ('mental health', 0.012182045222388485), ('amp', 0.011386183752077146), ('covid19', 0.009755413067549516), ('care', 0.007938098331081297), ('services', 0.007260889787413103), ('help', 0.0065709355188988475), ('people', 0.006130320511453707)]",positive
1,0,204,0_covid19_health_alberta_support,"[('covid19', 0.020443996464725018), ('health', 0.019730072868246722), ('alberta', 0.016480460344667592), ('support', 0.01476270325850839), ('care', 0.014297666956453587), ('alberta health', 0.013463521303786056), ('services', 0.013151942042787858), ('alberta health services', 0.012806874979898502), ('health services', 0.01254786103936105), ('health care', 0.012342226052154211)]",positive
2,1,129,1_mental_mental health_health_support,"[('mental', 0.04929383570621658), ('mental health', 0.049094507230824834), ('health', 0.034508572841282656), ('support', 0.01881678988146375), ('services', 0.01369706023065185), ('supports', 0.013636993755237614), ('need', 0.012016942576291554), ('support mental health', 0.011098394607737636), ('support mental', 0.01089099788632959), ('mental health services', 0.010149324786868329)]",positive
3,2,35,2_mens_mens health_movember_support,"[('mens', 0.03544648711654415), ('mens health', 0.02892529880621526), ('movember', 0.025060246179887263), ('support', 0.023035581934181124), ('health', 0.020861984761183755), ('cancer', 0.020799980673172846), ('thank', 0.01873849559830537), ('prostate', 0.015519646876312413), ('prostate cancer', 0.015519646876312413), ('please', 0.015467253949627058)]",positive
4,3,33,3_safety_safe_health_support,"[('safety', 0.02764406804342393), ('safe', 0.021853274969051324), ('health', 0.019425653667507016), ('support', 0.016499692615554337), ('health safety', 0.01589410280525795), ('public', 0.01295361868915247), ('community', 0.012907878414856928), ('emergency', 0.01259794495063251), ('ensuring', 0.012175170896124448), ('employees', 0.012175170896124448)]",positive
5,4,29,4_amp_support_community_amp safety,"[('amp', 0.0792618543405453), ('support', 0.019557844598301587), ('community', 0.013240645972363416), ('amp safety', 0.01183361374796907), ('health amp safety', 0.01183361374796907), ('health', 0.011581185027533667), ('lab', 0.011555169227838261), ('across', 0.010884532741722715), ('communities', 0.010520248240359433), ('individuals', 0.01043785110292068)]",positive
6,5,29,5_personal support_personal_personal support worker_support worker,"[('personal support', 0.07169815743723541), ('personal', 0.06760998049690171), ('personal support worker', 0.058001311069701494), ('support worker', 0.05531725677019231), ('worker', 0.054258301614261026), ('psw', 0.05228010207888554), ('support', 0.045851777373751), ('worker psw', 0.04397988556351022), ('support worker psw', 0.04397988556351022), ('hiring', 0.03910808587485568)]",positive
7,6,28,6_activity_physical_physical activity_day,"[('activity', 0.027922064416479323), ('physical', 0.026129071008719282), ('physical activity', 0.025735921035290016), ('day', 0.02457250492748794), ('fitness', 0.02315597296428084), ('health', 0.022469559512842872), ('support', 0.018821871576261986), ('beactive', 0.016823636829192138), ('fitness day', 0.014292209858228865), ('national health', 0.013833561783577237)]",positive
8,7,27,7_childrens hospital_hospital_event_foundations,"[('childrens hospital', 0.03393416432758919), ('hospital', 0.033428709613912935), ('event', 0.03318223655267017), ('foundations', 0.033065602598462356), ('childrens', 0.032206471473812164), ('fundraising', 0.03049672621268323), ('million reasons', 0.03027772762325685), ('million reasons run', 0.03027772762325685), ('reasons run', 0.03027772762325685), ('childrens hospital foundations', 0.03027772762325685)]",positive
9,8,26,8_vaccines_vaccine_vaccinated_support,"[('vaccines', 0.031965249693856744), ('vaccine', 0.030405914082421114), ('vaccinated', 0.02788863263698619), ('support', 0.020817003489663814), ('covid19', 0.02046516002214192), ('covid', 0.019604372975772305), ('best', 0.01838756431575866), ('way', 0.017840798829610604), ('sale', 0.016830355179677466), ('support health', 0.015405576422251072)]",positive
10,9,25,9_kitties_donation_kitties care_adoptable kitties,"[('kitties', 0.03596401856863169), ('donation', 0.033573762752485824), ('kitties care', 0.029833411146454252), ('adoptable kitties', 0.029833411146454252), ('adoptable', 0.029833411146454252), ('adoptable kitties care', 0.029833411146454252), ('safe team', 0.029833411146454252), ('safeteamrescue', 0.029833411146454252), ('safe', 0.02627084218104202), ('adopt', 0.026104234753147472)]",positive
11,10,22,10_healthcare_health_health care_build new hospitals,"[('healthcare', 0.04382021381680116), ('health', 0.032356165698493734), ('health care', 0.031826486913155), ('build new hospitals', 0.029071244440844014), ('build new', 0.029071244440844014), ('build', 0.02823488659131613), ('new hospitals', 0.027794794718113212), ('hospitals', 0.027691059109604964), ('care', 0.026627551305122676), ('new', 0.02575945333161634)]",positive
12,11,22,11_rural_rural health_alberta_alberta rural health,"[('rural', 0.08808258580619105), ('rural health', 0.05378073636441167), ('alberta', 0.03401409762787075), ('alberta rural health', 0.030302647563687515), ('alberta rural', 0.030302647563687515), ('health', 0.028823021168198446), ('rural health week', 0.02702271708705451), ('health week', 0.026060593455380702), ('ruralhealthmatters', 0.026060593455380702), ('community', 0.024094706374399602)]",positive
13,12,20,12_pride_month_pride month_lgbtq,"[('pride', 0.04919747609963835), ('month', 0.039678083252937785), ('pride month', 0.03740257931137696), ('lgbtq', 0.029087575867792897), ('celebrate', 0.025591712250346888), ('youth', 0.020895135251042484), ('lgbtq2s', 0.020846855897111743), ('community', 0.02017231231345083), ('support', 0.01804989629385293), ('health', 0.017514363950668223)]",positive
