,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,2634,-1_support_health_amp_lockdown,"[('support', 0.003794134556790363), ('health', 0.0036944635766797775), ('amp', 0.00311953601968164), ('lockdown', 0.0026064955713983777), ('people', 0.0025743907873221946), ('care', 0.0024967050534036124), ('services', 0.0023618257615341367), ('govt', 0.002351325477829803), ('dont', 0.0023469896463236134), ('hospital', 0.0023408139982365995)]",negative
1,0,1213,0_bjp_cases_party_doctors,"[('bjp', 0.006762668201309126), ('cases', 0.004716693292610908), ('party', 0.004464089674817602), ('doctors', 0.004244262855316035), ('worker', 0.004202384429605966), ('covid', 0.0036582132046595467), ('support', 0.0035881594669237406), ('hospitals', 0.0034011458192378836), ('services', 0.0033767683723017585), ('health services', 0.003262148771937473)]",negative
2,1,810,1_protest_farmers_protests_caa,"[('protest', 0.017783913639283274), ('farmers', 0.010983957685342218), ('protests', 0.00982579007820646), ('caa', 0.007042190675608754), ('supporting', 0.005071415124397755), ('farmers protest', 0.0044170638311979), ('india', 0.004132175045563782), ('people', 0.003827406535770251), ('peaceful', 0.0037859215030579957), ('anti', 0.0036712794174886478)]",negative
3,2,231,2_mask_customer_order_wear,"[('mask', 0.01615150021097514), ('customer', 0.011273495294180773), ('order', 0.008359105707092382), ('wear', 0.008153511859167843), ('customer care', 0.0075795100626936274), ('product', 0.006743193790245266), ('flipkart', 0.006718424755433553), ('wearing', 0.006651912657039276), ('wear mask', 0.006608931112428435), ('masks', 0.006047462288449123)]",negative
4,3,179,3_sant_asharamji_sant shri_sant shri asharamji,"[('sant', 0.03365382486691409), ('asharamji', 0.03334565534111452), ('sant shri', 0.03298523257886484), ('sant shri asharamji', 0.03262265850217031), ('shri asharamji', 0.03262265850217031), ('bapu', 0.0322467572226216), ('asharamji bapu', 0.03170658597131448), ('shri asharamji bapu', 0.030963518098706535), ('shri', 0.030246596399256042), ('bail', 0.02861750758807117)]",negative
5,4,158,4_vaccine_vaccination_vaccinated_vaccination drive,"[('vaccine', 0.023837444083798575), ('vaccination', 0.016046284440015605), ('vaccinated', 0.007682585020821049), ('vaccination drive', 0.006689072980990635), ('vaccines', 0.006341416880137449), ('india', 0.00613009771888198), ('drive', 0.005716982885466042), ('corona', 0.005265392889499071), ('come', 0.004905723501887635), ('support vaccination', 0.004896605305830414)]",negative
6,5,125,5_mental_mental health_health_mental health services,"[('mental', 0.042585570461779784), ('mental health', 0.03820325439063369), ('health', 0.012807223859816795), ('mental health services', 0.01209534690140511), ('mentalhealth', 0.00906616170773407), ('depression', 0.00638515107551785), ('services', 0.005362720863288022), ('mental health issues', 0.005244352991496924), ('health services', 0.005105694261101726), ('need mental', 0.004972540864692221)]",negative
7,6,114,6_oxygen_oxygen support_bed_patient,"[('oxygen', 0.03182135512874242), ('oxygen support', 0.01661030048049447), ('bed', 0.015303264482002955), ('patient', 0.01254322562200148), ('spo2', 0.010820647744924907), ('hospital', 0.010370453345233963), ('level', 0.010299822820365581), ('oxygen level', 0.009492380772595442), ('name', 0.00836811278732428), ('icu', 0.00824717431852286)]",negative
8,7,107,7_amp_cases_amp support_cases amp,"[('amp', 0.02065392540613177), ('cases', 0.0063111136123168), ('amp support', 0.005727824354387279), ('cases amp', 0.0055017037471203276), ('stayhome', 0.005470136557473865), ('lockdown', 0.005385928104609705), ('deaths', 0.0050988692126220855), ('support amp', 0.0050187667186405525), ('support police', 0.004806662894664983), ('providers', 0.00458367086361422)]",negative
9,8,105,8_quarantine_uptown_stay_home,"[('quarantine', 0.024928421128160697), ('uptown', 0.009746048889600019), ('stay', 0.009212842736134149), ('home', 0.008945810803082073), ('home quarantine', 0.008778010795907744), ('lets', 0.008610873678480875), ('pandemic', 0.007578070801795981), ('self', 0.0069566607739261314), ('lets fight', 0.006857415493457845), ('negative', 0.00683708221090715)]",negative
