,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,433,-1_health_support_services_amp,"[('health', 0.01210886533000302), ('support', 0.010854609001986948), ('services', 0.007405040470417698), ('amp', 0.0070150065887041166), ('health services', 0.006614054198288794), ('need', 0.0061018714875654976), ('people', 0.005593770827648341), ('care', 0.005455672781890971), ('india', 0.0048647937425906574), ('lockdown', 0.004708029582521955)]",neutral
1,0,143,0_support_help_need_please,"[('support', 0.01541797523547534), ('help', 0.013674444367733019), ('need', 0.012841251936518434), ('please', 0.011419656369086094), ('covid', 0.010563958693162786), ('covid19', 0.010221017717721754), ('also', 0.009700749849959436), ('lockdown', 0.009301229175226303), ('sir', 0.009113919370300417), ('test', 0.00863429670582927)]",neutral
2,1,90,1_mental_mental health_health_support,"[('mental', 0.05039024127823796), ('mental health', 0.044795968676738705), ('health', 0.02903012116471385), ('support', 0.012869311827986158), ('mentalhealth', 0.012697075809368673), ('may', 0.011610866181646041), ('people', 0.011015897180585278), ('brain', 0.008267779860420321), ('memory', 0.00826318509979897), ('support mental', 0.00826318509979897)]",neutral
3,2,80,2_services_health_hospitals_amp,"[('services', 0.01535899498697124), ('health', 0.01529382927922858), ('hospitals', 0.015139862497624479), ('amp', 0.013750563767945043), ('health services', 0.013190103152842815), ('good', 0.010504066060498082), ('public', 0.00992472600425591), ('india', 0.00885466570317986), ('govt', 0.00883158645694761), ('support', 0.008354406310360473)]",neutral
4,3,52,3_health_services_health services_health care,"[('health', 0.025810024906640243), ('services', 0.017467270417651583), ('health services', 0.014583977333623006), ('health care', 0.011865038336417796), ('go', 0.011192834981202942), ('medical research', 0.010043226805558225), ('research', 0.010017045566803755), ('go govt', 0.00960145458465929), ('block', 0.00946296534667111), ('overall', 0.00931628112503582)]",neutral
5,4,51,4_oxygen_ventilator_bed_hospital,"[('oxygen', 0.05876068816215176), ('ventilator', 0.02579425497719176), ('bed', 0.022975645938668805), ('hospital', 0.022060307504099323), ('ventilator support', 0.019454800024365265), ('oxygen support', 0.01921897893902941), ('support', 0.016196589233968234), ('delhi', 0.014508690221978256), ('icu', 0.012717021414032872), ('medical', 0.012183709752970884)]",neutral
6,5,49,5_bjp_beds_patients_vaccination,"[('bjp', 0.02183988874738029), ('beds', 0.018945486702109438), ('patients', 0.01672040381165716), ('vaccination', 0.013076928815465494), ('support', 0.012752223658151962), ('hospital', 0.01207109466890976), ('supporter', 0.010959760273184693), ('critical', 0.010953101725494279), ('focus', 0.01053617260359915), ('implant', 0.010289046063286313)]",neutral
7,6,38,6_amp_cow_amp support_stage,"[('amp', 0.05899419431437152), ('cow', 0.024680660758703024), ('amp support', 0.017869340162002704), ('stage', 0.01164620739576564), ('support', 0.011301847124775312), ('spread', 0.010737767962604613), ('safe', 0.00932935814786128), ('emergency', 0.009238865231806085), ('share', 0.009203801110803954), ('evacuation', 0.008898020566844909)]",neutral
8,7,38,7_please_years still reguralized_reguralized_still reguralized please,"[('please', 0.10382418048935041), ('years still reguralized', 0.09149408658507732), ('reguralized', 0.09149408658507732), ('still reguralized please', 0.09149408658507732), ('mrb already', 0.09149408658507732), ('nurses recruited', 0.09149408658507732), ('mrb already years', 0.09149408658507732), ('please raise', 0.09149408658507732), ('mrb', 0.09149408658507732), ('support staff nurses', 0.09149408658507732)]",neutral
9,8,37,8_soil_msme_salary_pay,"[('soil', 0.024435174997376678), ('msme', 0.02403887012665965), ('salary', 0.019953891899802987), ('pay', 0.019732171724329107), ('farmers', 0.01934923823786486), ('grade', 0.018826857437120002), ('support', 0.013915271893397928), ('enhance', 0.013770277332920883), ('work', 0.012140174456632104), ('gdp', 0.012043718589831446)]",neutral
