,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,4135,-1_amp_support_health_care,"[('amp', 0.002223163993653739), ('support', 0.0021674582791200926), ('health', 0.002121369183186529), ('care', 0.00179202331250614), ('good', 0.001659937274693914), ('sir', 0.0016374940610186738), ('people', 0.001621304566477177), ('services', 0.00161468868953952), ('health services', 0.0014837098684820995), ('thanks', 0.0014394237575210322)]",positive
1,0,301,0_mental_mental health_mentalhealth_mental health issues,"[('mental', 0.02950070965144127), ('mental health', 0.029122359192766404), ('mentalhealth', 0.010584194727502981), ('mental health issues', 0.008707221424416137), ('mental health support', 0.00806508580649561), ('health issues', 0.007374710707502655), ('issues', 0.0072311876395454635), ('support mental', 0.006995338687020587), ('support mental health', 0.006162717908395287), ('health support', 0.006080591746452131)]",positive
2,1,281,1_stop covid19outbreak india_stop covid19outbreak_together stop_together stop covid19outbreak,"[('stop covid19outbreak india', 0.031040264203048368), ('stop covid19outbreak', 0.031040264203048368), ('together stop', 0.031040264203048368), ('together stop covid19outbreak', 0.031040264203048368), ('covid19outbreak india', 0.031040264203048368), ('welfare govt india', 0.030985880657584584), ('state health family', 0.030985880657584584), ('minister state health', 0.030985880657584584), ('family welfare govt', 0.030931784022179592), ('welfare govt', 0.030931784022179592)]",positive
3,2,209,2_ambulance_ambulance service_service_life support,"[('ambulance', 0.035307880032866786), ('ambulance service', 0.017915482030020684), ('service', 0.012308442399241623), ('life support', 0.011919585877857634), ('ventilator ambulance', 0.010764195804112803), ('life support system', 0.009854686833071433), ('cardiac', 0.009011884859257229), ('care ambulance', 0.008933247625350834), ('icu ventilator ambulance', 0.00889789128538214), ('cardiac care', 0.008764862719845104)]",positive
4,3,202,3_vaccination_vaccine_vaccines_covid19 vaccination,"[('vaccination', 0.019649362451239407), ('vaccine', 0.0124087814384381), ('vaccines', 0.010082768433428427), ('covid19 vaccination', 0.007419111644645441), ('vaccinated', 0.00634883538127561), ('vaccination camp', 0.006234345028967255), ('covidvaccine', 0.005887620830103772), ('camp', 0.005612365202343279), ('bangladesh', 0.005548890378691316), ('covid19 vaccines', 0.005222978493622201)]",positive
5,4,194,4_lockdown_python_created covid19 support_covid19 support plan,"[('lockdown', 0.020511345834173765), ('python', 0.011313816098369907), ('created covid19 support', 0.008602648775423168), ('covid19 support plan', 0.008602648775423168), ('support plan', 0.008543105394111124), ('plan', 0.008183557940239224), ('created covid19', 0.007987673002485254), ('learn', 0.0070578832488697625), ('covid19 support', 0.007024006511101463), ('created', 0.006843130519180946)]",positive
6,5,193,5_children_lost parents_lost_students,"[('children', 0.02063521094051198), ('lost parents', 0.01808250338830241), ('lost', 0.017842008686754993), ('students', 0.017276703852886054), ('parents', 0.016908411055342527), ('children lost', 0.012188737500296224), ('children lost parents', 0.01172603142207339), ('pm', 0.010591461099745991), ('parents due', 0.01015059100133784), ('children scheme', 0.010093744534005833)]",positive
7,6,183,6_world health day_health day_world health_2020,"[('world health day', 0.017488998206694), ('health day', 0.016232193199804974), ('world health', 0.01595767522956357), ('2020', 0.01334590128164975), ('midwives', 0.012309506110109898), ('world', 0.0117333234179102), ('day', 0.011629866790996984), ('day 2020', 0.010855859048021657), ('health day 2020', 0.01064346253470459), ('nurses midwives', 0.009901550426036628)]",positive
8,7,178,7_corona_care corona_immunity_covidcureandcare,"[('corona', 0.012745705134922522), ('care corona', 0.009784154066776062), ('immunity', 0.009630390644164927), ('covidcureandcare', 0.009503058163188235), ('health care corona', 0.009438826469166885), ('coronavirusindia', 0.00925524205715561), ('coronavirus', 0.007817255446717667), ('covidcureandcare health care', 0.007308620308873843), ('covidcureandcare health', 0.007308620308873843), ('us amazing', 0.006912406988890143)]",positive
9,8,177,8_join supporting need_hand critical hour_join supporting_part war coronavirus,"[('join supporting need', 0.018960606214985288), ('hand critical hour', 0.018960606214985288), ('join supporting', 0.018960606214985288), ('part war coronavirus', 0.018885925734249107), ('part war', 0.018885925734249107), ('helping hand critical', 0.018885925734249107), ('need helping', 0.018885925734249107), ('need helping hand', 0.018885925734249107), ('hand critical', 0.018885925734249107), ('supporting need helping', 0.018885925734249107)]",positive
10,9,165,9_sant shri_sant_sant shri asharamji_asharamji,"[('sant shri', 0.024624252325281135), ('sant', 0.024569189435446552), ('sant shri asharamji', 0.024231925849988286), ('asharamji', 0.024175729498639595), ('shri asharamji', 0.024175729498639595), ('bapu', 0.024070637261744233), ('asharamji bapu', 0.02326810773096955), ('shri asharamji bapu', 0.02326810773096955), ('colours', 0.0171831603766504), ('shri', 0.016549362275356968)]",positive
