,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,1043,-1_health_service_health service_support,"[('health', 0.012545522319008774), ('service', 0.009351004505649522), ('health service', 0.009124146147232401), ('support', 0.00806530003431284), ('people', 0.007225379158310355), ('mental', 0.006495757814223627), ('mental health', 0.006088224674515347), ('amp', 0.00581774441640617), ('services', 0.005701044885174174), ('covid19', 0.005659620518533451)]",negative
1,0,293,0_health_service_health service_public,"[('health', 0.019532954904778226), ('service', 0.019447968811861775), ('health service', 0.01899425832811303), ('public', 0.0073041258361240275), ('money', 0.0067122228228174655), ('services', 0.006610455388719705), ('health services', 0.006605331965411415), ('people', 0.005850007881804901), ('government', 0.005577842674652188), ('dont', 0.005235266847597808)]",negative
2,1,133,1_nurses_workers_work_support,"[('nurses', 0.016602277143846954), ('workers', 0.014706892796281698), ('work', 0.011009905265596724), ('support', 0.010791053244006225), ('service', 0.01004848115727153), ('covid', 0.009916917108434018), ('care', 0.009514907577879), ('health service', 0.008853366479657909), ('health', 0.00884343058290619), ('covid19', 0.008738492300416678)]",negative
3,2,127,2_mental_mental health_mental health services_health,"[('mental', 0.04414790356256096), ('mental health', 0.04364618548286515), ('mental health services', 0.025766976372448958), ('health', 0.01935561076701076), ('services', 0.019197628042376947), ('health services', 0.019071544608472366), ('need', 0.009858244645386085), ('support', 0.008801185501442451), ('mental health service', 0.008334962543925547), ('people', 0.007868338907751415)]",negative
4,3,102,3_amp_health_eu_support,"[('amp', 0.03964192999482676), ('health', 0.009493596049646303), ('eu', 0.009246290221467056), ('support', 0.008860863560073963), ('service', 0.008681073771386187), ('health service', 0.008574600215726083), ('waiting', 0.007906729591102547), ('need', 0.007020399850152138), ('one', 0.0063478279575297555), ('lack', 0.005856579024697454)]",negative
5,4,82,4_vaccine_vaccinated_vaccines_service,"[('vaccine', 0.024670784118558508), ('vaccinated', 0.02042846727922321), ('vaccines', 0.017526765849038884), ('service', 0.013490287305242639), ('health service', 0.013131715184039985), ('health', 0.011733330362403325), ('unvaccinated', 0.01162753801340421), ('effort', 0.010570489103094735), ('recipient', 0.009055768141951996), ('public', 0.008874679708178441)]",negative
6,5,72,5_ireland_service_health service_irish,"[('ireland', 0.03491501370148095), ('service', 0.027129792038390176), ('health service', 0.02612251940915204), ('irish', 0.023142790157164073), ('health', 0.02095736827041658), ('irish health', 0.017892754968734007), ('irish health service', 0.015680953543872146), ('doesnt health service', 0.014277384320046044), ('doesnt health', 0.014277384320046044), ('doesnt', 0.01381922746359995)]",negative
7,6,44,6_covid_covid19_health_health service,"[('covid', 0.020691957217221616), ('covid19', 0.016892465214784373), ('health', 0.013663892437202558), ('health service', 0.013593211304791004), ('service', 0.013188585787463826), ('covid19 infection', 0.012877862232370718), ('excuse', 0.01141614654325895), ('infection', 0.011320699528587181), ('failed', 0.011141264397141666), ('blame', 0.010820731956616711)]",negative
8,7,43,7_hope_support_baby_thank,"[('hope', 0.021200528672811445), ('support', 0.019726849936877667), ('baby', 0.016281681873754242), ('thank', 0.011986805800202163), ('mother', 0.011147182879815268), ('please', 0.01062303043872524), ('stick', 0.010567739006042609), ('positive', 0.01043430650799776), ('mum', 0.010275299510493854), ('doctor', 0.009497184265789443)]",negative
9,8,42,8_petition_student_sign petition_sign,"[('petition', 0.06285402667391178), ('student', 0.0628495777327617), ('sign petition', 0.06174904081238232), ('sign', 0.06156143385187269), ('student nurses', 0.05956504304579479), ('sign petition via', 0.056208972109626686), ('petition via', 0.056208972109626686), ('via', 0.05003597579239912), ('nurses', 0.0469159363821966), ('unpaid', 0.03647305066951819)]",negative
