,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,165,-1_health_service_support_health service,"[('health', 0.023761658337246853), ('service', 0.01667457719185723), ('support', 0.01617929206870689), ('health service', 0.01565160234344707), ('services', 0.009979739847955785), ('amp', 0.00983129866642826), ('health services', 0.009426671441968298), ('people', 0.009291038952155467), ('need', 0.00907311967751919), ('staff', 0.008662081205876368)]",neutral
1,0,118,0_ireland_health_service_health service,"[('ireland', 0.02677746161329033), ('health', 0.023032688273525195), ('service', 0.020408092381400008), ('health service', 0.017493294620617696), ('support', 0.014813819751882593), ('irish', 0.0143437339678301), ('would', 0.012147178207511542), ('covid', 0.01113370853618556), ('etc', 0.010068022782430918), ('workers', 0.01005135073270558)]",neutral
2,1,111,1_mental_mental health_health_support,"[('mental', 0.05446776971744969), ('mental health', 0.052045417357470605), ('health', 0.03385298346171254), ('support', 0.02284400637480808), ('services', 0.020067073053797253), ('mental health services', 0.019894361103736546), ('health services', 0.016142971947499706), ('people', 0.015321418886230488), ('amp', 0.012796632126688315), ('please', 0.007964955432462595)]",neutral
3,2,60,2_health_health service_service_public,"[('health', 0.02827836743222433), ('health service', 0.022948641869052176), ('service', 0.022808155257955074), ('public', 0.021601849315804056), ('need', 0.017650598237677215), ('lockdown', 0.016026159204068514), ('public health', 0.01473311911166284), ('dont', 0.011678756863827544), ('insurance', 0.011491574370155702), ('people', 0.011188996259539122)]",neutral
4,3,35,3_covid_virus_health_covid19,"[('covid', 0.031593458644856146), ('virus', 0.030359318480175826), ('health', 0.02981521744683501), ('covid19', 0.024894499760772574), ('health services', 0.02334270544516802), ('services', 0.021417271045715353), ('service', 0.019569864272525272), ('health service', 0.01882171033839498), ('concerns', 0.016221308406375954), ('effect', 0.013547179008155668)]",neutral
5,4,24,4_midwives_nurses_nurses midwives_student nurses,"[('midwives', 0.10201154609870651), ('nurses', 0.09333707858820939), ('nurses midwives', 0.0827305220513927), ('student nurses', 0.08155408086420024), ('student', 0.07996641696961665), ('student nurses midwives', 0.06450241026382918), ('future', 0.05771268286763664), ('nursing', 0.056556712525789955), ('pandemic gone', 0.053334774026471986), ('unpaid future nursing', 0.053334774026471986)]",neutral
6,5,22,5_done_health service_service_keep,"[('done', 0.026902222176357054), ('health service', 0.024785443277077435), ('service', 0.023929891818314213), ('keep', 0.02305904757973462), ('covid', 0.022188784138889233), ('well', 0.01983362665711137), ('health', 0.018954207201381978), ('ive', 0.015991515172479133), ('living', 0.015372698386489745), ('prepared honest feedback', 0.015280446750884247)]",neutral
7,6,21,6_health service_service_health_service come,"[('health service', 0.10346643769511686), ('service', 0.09989495177438859), ('health', 0.07714593479830775), ('service come', 0.029288180935791358), ('health service come', 0.029288180935791358), ('balls', 0.029288180935791358), ('power', 0.02764145855342882), ('dont health service', 0.02764145855342882), ('dont health', 0.02764145855342882), ('better', 0.026908426409800484)]",neutral
8,7,17,7_amp_get_running_cypsc,"[('amp', 0.06965805966177235), ('get', 0.024952236510210044), ('running', 0.022850208476289203), ('cypsc', 0.016345670202268004), ('health', 0.015930776828771424), ('however', 0.015897102124739274), ('need get', 0.015655019220794274), ('healthy', 0.01511950858391586), ('covid19', 0.01461155534837012), ('support', 0.01450757251662733)]",neutral
9,8,17,8_care_social_support_nurse,"[('care', 0.0342946447712434), ('social', 0.0305794291364136), ('support', 0.02809056647687812), ('nurse', 0.021985923590424377), ('lit', 0.02176270006967558), ('ups', 0.02176270006967558), ('sign ups', 0.02176270006967558), ('health nurse', 0.02176270006967558), ('social worker', 0.02176270006967558), ('worker', 0.021179544467661175)]",neutral
10,9,17,9_care_hospital_emergency_health,"[('care', 0.03728491352513929), ('hospital', 0.02865606579781582), ('emergency', 0.027737352419637342), ('health', 0.024624237654578572), ('would', 0.023451062204668655), ('frontline', 0.020778597114150255), ('us', 0.018855381790347438), ('urge', 0.01852806213663076), ('delay seek care', 0.01852806213663076), ('urge patients', 0.01852806213663076)]",neutral
11,10,14,10_nurses_score_wont_student nurses,"[('nurses', 0.06251922925823507), ('score', 0.05023365260054252), ('wont', 0.042803847792178246), ('student nurses', 0.02856298984600181), ('pay', 0.02856298984600181), ('reading score increased', 0.028101350575406334), ('reading score', 0.028101350575406334), ('score decreased', 0.028101350575406334), ('gravy train', 0.028101350575406334), ('requirement expat nurses', 0.028101350575406334)]",neutral
12,11,14,11_icu_beds_icu beds_health,"[('icu', 0.09625434588862265), ('beds', 0.07290746719103129), ('icu beds', 0.06586378775292206), ('health', 0.047252785460027896), ('health service', 0.046580184499605555), ('service', 0.04497231554392083), ('winter', 0.03992003269806629), ('covid staff shortages', 0.03405222481490414), ('nurses health', 0.03405222481490414), ('staff shortages', 0.03405222481490414)]",neutral
13,12,14,12_nurses_doctors_staff_patients,"[('nurses', 0.08155829654149158), ('doctors', 0.0490970151817316), ('staff', 0.041148703064127885), ('patients', 0.03543370239562747), ('junior', 0.032534922507863585), ('supporting junior', 0.032534922507863585), ('support staff', 0.02922375599427819), ('support', 0.028876316588119465), ('often', 0.028487967340116823), ('back', 0.026332450148297822)]",neutral
