,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,1504,-1_health_support_amp_service,"[('health', 0.007928149921170975), ('support', 0.006318319285528594), ('amp', 0.005785661174920042), ('service', 0.005153112880526704), ('mental', 0.005097130129897478), ('health service', 0.004957126484292129), ('mental health', 0.004949480476029642), ('services', 0.00387922888276079), ('great', 0.0037906495898242026), ('supporting', 0.003680662845634504)]",positive
1,0,213,0_mental_mental health_mental health services_health,"[('mental', 0.030215626277466445), ('mental health', 0.030088033299059628), ('mental health services', 0.016455875186373356), ('health', 0.015350979721705566), ('health services', 0.01287136055980216), ('services', 0.012025617836431586), ('support', 0.006585125920607623), ('matters', 0.006404514604365454), ('people', 0.006041397665607185), ('need', 0.00588011518004115)]",positive
2,1,181,1_amp_support_amp support_team,"[('amp', 0.026725959461165006), ('support', 0.0077086910744170335), ('amp support', 0.007439263464708127), ('team', 0.006882302094952645), ('covid19', 0.00632296891097399), ('us', 0.004853732419972083), ('covid', 0.0046783529922711665), ('workers', 0.004480990408341238), ('frontline workers', 0.004388533385500272), ('people', 0.004256859151141325)]",positive
3,2,108,2_health service_service_ireland_health,"[('health service', 0.029756627764821537), ('service', 0.028345962928366983), ('ireland', 0.02083132854839429), ('health', 0.016174860391568544), ('irish', 0.01056617516741377), ('healthcare', 0.01046091750408195), ('services', 0.01000960181942391), ('irish health service', 0.007417182388329118), ('kerry', 0.006849018318310427), ('irish health', 0.006589420473031663)]",positive
4,3,75,3_nurses_student nurses_student_nursing,"[('nurses', 0.03219027067297111), ('student nurses', 0.019104256704533144), ('student', 0.019008767452559285), ('nursing', 0.01796102410190157), ('midwives', 0.014419204744799593), ('educator', 0.013994465494210519), ('support', 0.011049594381674679), ('rcninoy22', 0.010786129490619085), ('diabetes', 0.010372132021347931), ('shown', 0.009675139444020837)]",positive
5,4,74,4_amp_health_weight_obesity,"[('amp', 0.011039717767858795), ('health', 0.010575157472434791), ('weight', 0.009477691312964704), ('obesity', 0.008278378663001299), ('activity', 0.007191335630356459), ('bray', 0.0070957531397154), ('classes', 0.0070957531397154), ('benefits', 0.006900632950413891), ('physical activity', 0.006819582398905581), ('support', 0.00646732987929489)]",positive
6,5,54,5_workers_front line workers_line workers_covid19,"[('workers', 0.02143863782717693), ('front line workers', 0.019338316090763613), ('line workers', 0.019338316090763613), ('covid19', 0.019156468292199868), ('front line', 0.017552121741913552), ('front', 0.01670480050974687), ('line', 0.014929868086501877), ('frontline', 0.013714050506980349), ('frontlineheroes', 0.013554706423203704), ('supporting', 0.013284781891997128)]",positive
7,6,50,6_ireland_irish_ireland covid19_covid19,"[('ireland', 0.02812707643102691), ('irish', 0.017523619367880848), ('ireland covid19', 0.016109855602456598), ('covid19', 0.013895720596560813), ('health service', 0.013879769326544274), ('service', 0.012592166337625473), ('times', 0.012441784667272969), ('covid19ireland', 0.011931495548846708), ('public health measures', 0.011522827122053287), ('health measures', 0.011183699779915516)]",positive
8,7,48,7_cooking_food_local_supportlocal,"[('cooking', 0.015161819456915552), ('food', 0.012657348692791377), ('local', 0.011311248638026471), ('supportlocal', 0.010848555332036353), ('amp', 0.009811974388677067), ('vouchers', 0.009031822586490037), ('money', 0.008836982839553026), ('gift', 0.008122352375817758), ('help', 0.00805729061767564), ('volunteers', 0.007948284142743442)]",positive
9,8,44,8_mags_theatre nurses_theatre_nurse,"[('mags', 0.031438087198370004), ('theatre nurses', 0.018996008619782238), ('theatre', 0.017683924049083127), ('nurse', 0.01516149387557946), ('staff', 0.014742783985002419), ('tralee', 0.013721125261865526), ('nurses', 0.013100761287187082), ('covid19', 0.012302483265837182), ('rcninoy22', 0.010845208447140474), ('ppe', 0.010671730872149362)]",positive
