,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,210,-1_support_health_covid19_supporting,"[('support', 0.0164292837547258), ('health', 0.014625986169969359), ('covid19', 0.014212172354295725), ('supporting', 0.007258398485077277), ('amp', 0.0071795146436675755), ('singapore', 0.006665886483416939), ('thank', 0.006439069261945719), ('awards', 0.006377175003746372), ('iia', 0.006148851483741254), ('government', 0.005709330015677306)]",positive
1,0,74,0_always_love_happy_support,"[('always', 0.032010125860422255), ('love', 0.022278295623696914), ('happy', 0.021840684114405377), ('support', 0.019869603857211114), ('take', 0.016061074926807747), ('care', 0.015514086345050585), ('health', 0.015289428509535049), ('always support', 0.014744612141014895), ('im', 0.01386535398716897), ('take care', 0.01371931657771221)]",positive
2,1,45,1_health_good_malaysia_support,"[('health', 0.02195405119317853), ('good', 0.017707133646822516), ('malaysia', 0.017570927526823706), ('support', 0.014774833637413392), ('selangor', 0.012667269282372417), ('mco', 0.012667269282372417), ('time', 0.011998104503691825), ('kj', 0.011149550027870537), ('service', 0.011035650001898207), ('services', 0.009922257195972135)]",positive
3,2,43,2_local_thread_skincare_check,"[('local', 0.06953569441611439), ('thread', 0.05634158257859145), ('skincare', 0.05557039281121095), ('check', 0.053145296203577864), ('merdeka sale local', 0.04755273467211241), ('sale local skincare', 0.04755273467211241), ('local skincare give', 0.04755273467211241), ('skincare give try', 0.04755273467211241), ('sale local', 0.04755273467211241), ('skincare give', 0.04755273467211241)]",positive
4,3,40,3_covid19_medical_coronavirus_nurses,"[('covid19', 0.027269587706721977), ('medical', 0.02725308004470334), ('coronavirus', 0.025419612390719087), ('nurses', 0.024388482801464162), ('staff', 0.024231885718582258), ('doctors', 0.022501036738683526), ('brothers', 0.021214164634762975), ('brothers sisters', 0.021214164634762975), ('sisters', 0.021214164634762975), ('may', 0.020902204326477075)]",positive
5,4,36,4_supplements_21stcenturysg_shop_store,"[('supplements', 0.04563604795697575), ('21stcenturysg', 0.04028302778274308), ('shop', 0.039550574410722315), ('store', 0.03393804989048241), ('visit intenz', 0.03321381923769751), ('visit intenz healthcare', 0.03321381923769751), ('intenz healthcare store', 0.03321381923769751), ('intenz healthcare', 0.03321381923769751), ('intenz', 0.03321381923769751), ('healthcare store 21stcenturysg', 0.03321381923769751)]",positive
6,5,36,5_nurses_support_alhamdulillah_stay,"[('nurses', 0.030366116304212293), ('support', 0.023043406352524033), ('alhamdulillah', 0.017120036515839293), ('stay', 0.0162038145028549), ('lets', 0.015935638501991648), ('korang', 0.013539349371195563), ('workers', 0.012745817561871767), ('appreciate', 0.012651211142121638), ('kitajagakita', 0.01222859751131378), ('kind', 0.011588163614088893)]",positive
7,6,35,6_amp_safe_support_amp support,"[('amp', 0.05995785647863123), ('safe', 0.02002464801431443), ('support', 0.01623726707459746), ('amp support', 0.015422935701981682), ('home', 0.014578106965079277), ('stay', 0.013396918871155763), ('covid19', 0.01319991940633887), ('support amp', 0.012981336962976818), ('health', 0.012794253009431749), ('thanks', 0.012361553479871333)]",positive
8,7,33,7_mental_mental health_health_support,"[('mental', 0.06365508804768583), ('mental health', 0.054091245789530534), ('health', 0.037743046377823664), ('support', 0.02704937667956471), ('instagram', 0.014061091364127592), ('good', 0.012903537529483812), ('therapist', 0.01102852634123554), ('counselling', 0.01102852634123554), ('patients', 0.010259838202015412), ('encourage', 0.010171578435167089)]",positive
9,8,31,8_covid19_healthcare workers_keep_actuaries,"[('covid19', 0.04073558315800923), ('healthcare workers', 0.021382149667948058), ('keep', 0.020957884657955908), ('actuaries', 0.020561254254549344), ('caregivers', 0.01877860653488415), ('support healthcare', 0.01877860653488415), ('healthcare', 0.018563127761781584), ('lives', 0.018143289441323065), ('community', 0.01773532727272321), ('workers', 0.016629832020305546)]",positive
