,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,215,-1_support_health_people_dont,"[('support', 0.017869604499222362), ('health', 0.01171010499005696), ('people', 0.009552617762388063), ('dont', 0.007966371825314825), ('amp', 0.007831053029241204), ('need', 0.007674793721722159), ('healthcare', 0.007504611439081017), ('covid', 0.007270881589722899), ('covid19', 0.006842439841515045), ('like', 0.006776528154819073)]",negative
1,0,179,0_mental_mental health_health_support,"[('mental', 0.03052467331535321), ('mental health', 0.02974149611351888), ('health', 0.027705884451989304), ('support', 0.018932351306593934), ('amp', 0.012543050808172175), ('mental health services', 0.010089221155768229), ('services', 0.009740044373316988), ('health services', 0.009203673774287624), ('health support', 0.008405560948740396), ('need', 0.00834152196688064)]",negative
2,1,36,1_healthcare_trump_supporters_hes,"[('healthcare', 0.026231633340773833), ('trump', 0.021283782371161138), ('supporters', 0.019602305600979936), ('hes', 0.019570473752168693), ('health', 0.017487939330308882), ('hes going', 0.016408442091251255), ('political', 0.016272459135807597), ('support', 0.015615362533201468), ('care', 0.01437614457343731), ('historic', 0.014082378705891806)]",negative
3,2,35,2_cult_support_vaccine_health,"[('cult', 0.023419787501193053), ('support', 0.01945247084798388), ('vaccine', 0.01940121251962005), ('health', 0.016886127652950073), ('cult ideology', 0.016723989054544548), ('vaccination', 0.016723989054544548), ('get', 0.01511847810446424), ('ideology', 0.01460711025222674), ('protect', 0.01440455381693684), ('beliefs', 0.01393665754545379)]",negative
4,3,26,3_matter_people_trudeau_support,"[('matter', 0.03478750927856683), ('people', 0.028448799038260867), ('trudeau', 0.024574955426011118), ('support', 0.02055512427573056), ('doesnt matter', 0.020462292490266272), ('healthcare', 0.018173549896222392), ('become', 0.016621175813862677), ('party', 0.016115249700554203), ('covid', 0.015964167577838643), ('bc', 0.015825302761101844)]",negative
5,4,25,4_pandemic_support people need_read resources_health organisation,"[('pandemic', 0.036217254631681864), ('support people need', 0.02970314512346436), ('read resources', 0.02970314512346436), ('health organisation', 0.02970314512346436), ('covid19 pandemic thats', 0.02970314512346436), ('tools support people', 0.02970314512346436), ('25 covid19', 0.02970314512346436), ('25 covid19 pandemic', 0.02970314512346436), ('according world health', 0.02970314512346436), ('depression increased 25', 0.02970314512346436)]",negative
6,5,20,5_womens_sex_womens health_men,"[('womens', 0.045511363282205945), ('sex', 0.034342598735062436), ('womens health', 0.027570250659028288), ('men', 0.026770149585990395), ('support', 0.02547625109858287), ('health', 0.0234257273684432), ('women', 0.02338165405369628), ('babies', 0.021416119668792314), ('abortion', 0.020406707684403665), ('choice', 0.018445936989850517)]",negative
7,6,18,6_covid19_vaccines_first nations_rt first,"[('covid19', 0.04915119176478329), ('vaccines', 0.04900229171578424), ('first nations', 0.04394398984311925), ('rt first', 0.04394398984311925), ('mtis receive', 0.04394398984311925), ('mtis', 0.04394398984311925), ('reserve inuit mtis', 0.04394398984311925), ('vaccines provincial territorial', 0.04394398984311925), ('provincial territorial', 0.04394398984311925), ('vaccines provincial', 0.04394398984311925)]",negative
8,7,17,7_protests_better_crime_amp,"[('protests', 0.047597976817957736), ('better', 0.0437833225743144), ('crime', 0.038737633692228164), ('amp', 0.036807881240648106), ('wages', 0.033318583772570416), ('anger amp', 0.03170589591590737), ('voter question', 0.03170589591590737), ('seniors anger amp', 0.03170589591590737), ('amp seniors anger', 0.03170589591590737), ('seniors anger', 0.03170589591590737)]",negative
9,8,17,8_texas_state_state health_state health services,"[('texas', 0.0860597333339882), ('state', 0.08375989288942798), ('state health', 0.07631463215234302), ('state health services', 0.07631463215234302), ('department', 0.06953022914904652), ('department state health', 0.06899522673582421), ('texas department state', 0.06899522673582421), ('texas department', 0.06899522673582421), ('department state', 0.06899522673582421), ('health services', 0.053082831760725736)]",negative
10,9,17,9_stupid_republicans_care_virus,"[('stupid', 0.09926564156624876), ('republicans', 0.0715618043324798), ('care', 0.06425963417765351), ('virus', 0.042114518790080394), ('interesting fact covid19', 0.04170313088237232), ('virus doesnt care', 0.04170313088237232), ('stupid republicans vote', 0.04170313088237232), ('interesting fact', 0.04170313088237232), ('fact covid19 virus', 0.04170313088237232), ('virus doesnt', 0.04170313088237232)]",negative
11,10,16,10_texas_tx_support_healthcare,"[('texas', 0.04749115719099683), ('tx', 0.03880004454375747), ('support', 0.025834111481907444), ('healthcare', 0.02531532953771447), ('texans', 0.021713176705754084), ('campaign', 0.017782569002710812), ('go', 0.016188730796108327), ('please', 0.016034403966270486), ('exhausted healthcare provider', 0.016019240028355215), ('texans support', 0.016019240028355215)]",negative
12,11,16,11_thank_take_card_gift card,"[('thank', 0.027443116413942217), ('take', 0.024928539550424993), ('card', 0.024045332722298043), ('gift card', 0.024045332722298043), ('gift', 0.024045332722298043), ('support', 0.02324472021531811), ('covid', 0.02308706873670068), ('hours', 0.02254641487353413), ('week', 0.021048895433171042), ('covid19', 0.021025787588268407)]",negative
13,12,13,12_failure_ford_highway_get done,"[('failure', 0.03465366931070842), ('ford', 0.03401353202244424), ('highway', 0.026391218841546632), ('get done', 0.026391218841546632), ('didnt', 0.024595683475794664), ('done', 0.02077431150026818), ('trudeau money doctors', 0.020669338560473215), ('voted ford', 0.020669338560473215), ('money doctors', 0.020669338560473215), ('money doctors nurses', 0.020669338560473215)]",negative
14,13,12,13_mask_masks_please_know,"[('mask', 0.061819035862533726), ('masks', 0.05602336581791807), ('please', 0.03061485814760457), ('know', 0.02805205356282276), ('fight', 0.026785479383729296), ('youre health professional', 0.02597526071967515), ('please contact', 0.02597526071967515), ('contact us', 0.02597526071967515), ('personnel please', 0.02597526071967515), ('covid19 support', 0.02597526071967515)]",negative
15,14,12,14_hospitals_doctors_covid19_patients,"[('hospitals', 0.038834598698974834), ('doctors', 0.03669482268954), ('covid19', 0.03570416760271994), ('patients', 0.034774752391790786), ('100', 0.033440176929625996), ('department health services', 0.03197897664073214), ('department health', 0.03197897664073214), ('beds', 0.028714773659689694), ('department', 0.023060586023784593), ('spreading facts', 0.022593173436217973)]",negative
16,15,11,15_nurses_support_national_new,"[('nurses', 0.08465661997403504), ('support', 0.05062808551650963), ('national', 0.04178441387026858), ('new', 0.029071022501049527), ('service', 0.02837209556225575), ('notice', 0.026908723418416908), ('hideous', 0.026908723418416908), ('national cathedral', 0.026908723418416908), ('parliament support', 0.026908723418416908), ('national service', 0.026908723418416908)]",negative
