,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,284,-1_support_health_amp_healthcare,"[('support', 0.016452583830650878), ('health', 0.01575543638218602), ('amp', 0.01050956511849195), ('healthcare', 0.008654755931452013), ('workers', 0.008508565715294038), ('services', 0.00799525912244126), ('care', 0.007721339932587879), ('covid19', 0.007401278999108704), ('supporting', 0.007360909515441308), ('thank', 0.007147400157500247)]",positive
1,0,175,0_mental_mental health_health_support,"[('mental', 0.041880214105259404), ('mental health', 0.04131704312496159), ('health', 0.030867460669161257), ('support', 0.01966236065301989), ('services', 0.010845332408925459), ('mental health services', 0.009686838961026444), ('stress', 0.007957271871223618), ('health services', 0.007800278892826349), ('help', 0.007160281164648231), ('mentalhealth', 0.006883476085855611)]",positive
2,1,112,1_love_support_appreciate_thank,"[('love', 0.024696745828340326), ('support', 0.02075920137980455), ('appreciate', 0.018461857412934293), ('thank', 0.015979936028590606), ('amp', 0.013113202633269472), ('day', 0.011940872912715268), ('happy', 0.011230706814324158), ('health', 0.011084952890476021), ('community', 0.010368190291767028), ('appreciate support', 0.009962103753406743)]",positive
3,2,52,2_support_cancer_families_health,"[('support', 0.017073315564033284), ('cancer', 0.014527207039155653), ('families', 0.013283690906090292), ('health', 0.01223566722064767), ('continued', 0.012176478353486538), ('relief', 0.011292241699196714), ('amp', 0.010642990362098433), ('make', 0.010476325971283009), ('donation', 0.010241150121981981), ('women', 0.010169044927408956)]",positive
4,3,43,3_covid19_support_im_covid,"[('covid19', 0.03668742374577548), ('support', 0.026181016328412327), ('im', 0.017404205955058916), ('covid', 0.016597905541421792), ('global', 0.01618943610026806), ('pandemic', 0.014947741315755872), ('thank', 0.014275409518874273), ('get', 0.014151495101629037), ('medical', 0.011549970546552277), ('support thank', 0.010752645578080831)]",positive
5,4,43,4_body_health_medicalsupport staff_medicalsupport,"[('body', 0.020610888774957148), ('health', 0.02048805085963844), ('medicalsupport staff', 0.018233031607426956), ('medicalsupport', 0.018233031607426956), ('food', 0.017384755116013284), ('nutrition', 0.017148325528687662), ('kayalamia78', 0.014700082503812084), ('many', 0.01421838070638294), ('need', 0.013747607760913768), ('supports', 0.01372451033563161)]",positive
6,5,43,5_amp_safety_health_amp safety,"[('amp', 0.03922503629643895), ('safety', 0.02051104722797383), ('health', 0.018928719700631987), ('amp safety', 0.014380167759441856), ('health amp safety', 0.014380167759441856), ('environmental', 0.014380167759441856), ('support', 0.012695228945972518), ('health amp', 0.01249276574868848), ('teachers', 0.011528939803632227), ('environmental health', 0.011334739285925793)]",positive
7,6,28,6_hospital_charity goodcauses_goodcauses_rivieranayarit,"[('hospital', 0.06642248740474209), ('charity goodcauses', 0.063631244598655), ('goodcauses', 0.063631244598655), ('rivieranayarit', 0.063631244598655), ('charity', 0.06306396167259766), ('san', 0.05233782805779695), ('charity goodcauses donate', 0.0476356729189134), ('givingback helpingothers', 0.0476356729189134), ('givingback', 0.0476356729189134), ('helpingothers', 0.0476356729189134)]",positive
8,7,26,7_medical_covid19_army_support,"[('medical', 0.06354021063764341), ('covid19', 0.036266267095632646), ('army', 0.026383843730777193), ('support', 0.022842326940258815), ('federal', 0.02014042283552878), ('support federal', 0.0188448438240188), ('medical providers', 0.0188448438240188), ('fema', 0.016174884167338206), ('providers', 0.01600998920157566), ('response', 0.015280636721000058)]",positive
9,8,25,8_staff_students_important lost_match supplies keep,"[('staff', 0.0776368555243126), ('students', 0.05823659478008704), ('important lost', 0.05790462855927731), ('match supplies keep', 0.05790462855927731), ('match supplies', 0.05790462855927731), ('lost match', 0.05790462855927731), ('health important lost', 0.05790462855927731), ('lost match supplies', 0.05790462855927731), ('important lost match', 0.05790462855927731), ('match', 0.05714412614465802)]",positive
