,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,369,-1_support_health_amp_dont,"[('support', 0.014772356625649404), ('health', 0.011063335280359443), ('amp', 0.008806064894189511), ('dont', 0.007186726873235978), ('people', 0.006981491419745092), ('care', 0.006372809701570612), ('supporting', 0.006162450214429234), ('nigeria', 0.006151586116838474), ('campaign', 0.0058204997270113355), ('protest', 0.005707293348893787)]",negative
1,0,587,0_health_support_covid19_endsars,"[('health', 0.01977087471368254), ('support', 0.015809002043694415), ('covid19', 0.012221734576953447), ('endsars', 0.008248428278727751), ('endsars endsars', 0.007157830262497841), ('people', 0.006606659281030669), ('mental', 0.006561610113627371), ('mental health', 0.0064999111037455344), ('services', 0.006418682514418243), ('endsars endsars endsars', 0.006413449949258751)]",negative
2,1,113,1_protest_endsars_support_protests,"[('protest', 0.03925258826865254), ('endsars', 0.020129100361148695), ('support', 0.01893429167528167), ('protests', 0.018852055602509896), ('peaceful', 0.016568613404104517), ('protesters', 0.013584229689573428), ('nigeria', 0.012630261337996636), ('people', 0.010571272646282647), ('supporting', 0.008455405248701472), ('peaceful protest', 0.008440922031816544)]",negative
3,2,55,2_women_reproductive_sexual_girls,"[('women', 0.037382888496047914), ('reproductive', 0.02715763174223721), ('sexual', 0.024441868568013492), ('girls', 0.02308398698090163), ('sexual reproductive', 0.021428634123256966), ('reproductive health', 0.02023512872732854), ('health', 0.018273494359191726), ('services', 0.016896511222728932), ('sexual reproductive health', 0.016537973127265723), ('covid19', 0.01563540980744387)]",negative
4,3,41,3_hunger_vaccine_data_vaccines,"[('hunger', 0.029929146542693814), ('vaccine', 0.029915111328368688), ('data', 0.02038996058260693), ('vaccines', 0.019561885226764504), ('nations resources', 0.01837322532465155), ('impacts health hunger', 0.01837322532465155), ('hunger vaccines sdrs', 0.01837322532465155), ('hunger vaccines', 0.01837322532465155), ('please support new', 0.01837322532465155), ('new special drawing', 0.01837322532465155)]",negative
5,4,35,4_arsenal_mental health_mental_supporting arsenal,"[('arsenal', 0.06518955846461298), ('mental health', 0.04496411736966641), ('mental', 0.044723415924372976), ('supporting arsenal', 0.044441811955895534), ('supporting', 0.041621521853672044), ('chelsea', 0.037593063952511135), ('health', 0.03536772846464631), ('stop supporting arsenal', 0.031709774981155375), ('stop supporting', 0.029627874637263688), ('manchester', 0.024891032667736346)]",negative
6,5,26,5_peter_peter obi_obi_campaign,"[('peter', 0.09168636240945921), ('peter obi', 0.07473356097742799), ('obi', 0.0739267144650197), ('campaign', 0.04713082272764658), ('supporting peter', 0.02706082866550557), ('supporting peter obi', 0.021166529486305184), ('peter obi campaign', 0.020014597560987103), ('obi campaign', 0.020014597560987103), ('peter obis', 0.019464907792704447), ('support peter obi', 0.019000274809227766)]",negative
7,6,26,6_tacha_tacha tacha_tacha tacha tacha_nurses,"[('tacha', 0.09632546328941906), ('tacha tacha', 0.08867666905301276), ('tacha tacha tacha', 0.08476738360558356), ('nurses', 0.03842279430467923), ('nurse', 0.026791202744028148), ('violence', 0.026543421463603056), ('nigeria', 0.019107937858959444), ('support', 0.01604009908783235), ('next', 0.015352336019806977), ('without', 0.015030268460880245)]",negative
8,7,25,7_ghana_vaccinated_far_ghana health,"[('ghana', 0.06979935399901799), ('vaccinated', 0.06212548984983114), ('far', 0.05949875290775676), ('ghana health', 0.058473323619786764), ('ghana health service', 0.05123245798246076), ('health service', 0.03822646508914262), ('number', 0.038020116531677826), ('service', 0.035938982520941985), ('vaccination began 2021', 0.035151026413924945), ('97m far received', 0.035151026413924945)]",negative
9,8,25,8_information_fake_covid19_fake news,"[('information', 0.04208736455854875), ('fake', 0.03817421881982502), ('covid19', 0.03593958588106785), ('fake news', 0.027428491539532446), ('news', 0.025116755112909745), ('spread fake news', 0.025084737202115615), ('risking lives protect', 0.025084737202115615), ('take responsibility supportive', 0.025084737202115615), ('stop spread', 0.025084737202115615), ('rest us', 0.025084737202115615)]",negative
10,9,25,9_swap_buy swap_dm call_08166786213,"[('swap', 0.05968283603572172), ('buy swap', 0.05968283603572172), ('dm call', 0.05968283603572172), ('08166786213', 0.05748150870181582), ('swap battery', 0.05748150870181582), ('buy swap battery', 0.05748150870181582), ('call 08166786213', 0.05748150870181582), ('dm call 08166786213', 0.05748150870181582), ('battery', 0.05648132191377677), ('dm', 0.056114041239326076)]",negative
11,10,21,10_please_mother_bank_help,"[('please', 0.02706855340183257), ('mother', 0.01872702239925552), ('bank', 0.018706295905432685), ('help', 0.018651804928751754), ('wait', 0.01789287956452994), ('ur', 0.017836345452726547), ('retweet', 0.017469625134326282), ('need', 0.017300454567138444), ('order', 0.016970115143704372), ('account', 0.01621038304604923)]",negative
12,11,18,11_strike_nard_support strike_im,"[('strike', 0.07556953034202013), ('nard', 0.05232013316625883), ('support strike', 0.02510922239469291), ('im', 0.025007025596838674), ('nlc', 0.023836708397031194), ('nard please call', 0.02076276935787428), ('call strike forthwith', 0.02076276935787428), ('nigeria nard please', 0.02076276935787428), ('obeseki', 0.02076276935787428), ('strike forthwith day', 0.02076276935787428)]",negative
13,12,18,12_campaign_supporters_funding_candidate,"[('campaign', 0.07390969927744577), ('supporters', 0.04302217090853873), ('funding', 0.020865572639907345), ('candidate', 0.02010510083917345), ('like', 0.018880898113699134), ('end campaign ground', 0.01849101006875904), ('ideas', 0.01849101006875904), ('crowd', 0.01849101006875904), ('end campaign', 0.01849101006875904), ('campaign ground', 0.01849101006875904)]",negative
14,13,18,13_line_enjoin_staysafeathome_enjoin nigerians,"[('line', 0.04496917144398028), ('enjoin', 0.04113000664585775), ('staysafeathome', 0.04113000664585775), ('enjoin nigerians', 0.04113000664585775), ('enjoin nigerians support', 0.04113000664585775), ('stayhomestaysafe staysafeathome', 0.04113000664585775), ('stayhomestaysafe', 0.04113000664585775), ('staysafe stayhomestaysafe staysafeathome', 0.04113000664585775), ('stayhome takeresponsibility staysafe', 0.04113000664585775), ('stayhome takeresponsibility', 0.04113000664585775)]",negative
15,14,17,14_retweet_outbreak_corona virus_awareness,"[('retweet', 0.047167987862680956), ('outbreak', 0.04442724154827629), ('corona virus', 0.033409914189167986), ('awareness', 0.032840978320653975), ('ncdc', 0.032457557439855865), ('virus', 0.03234140133523829), ('corona', 0.032035245699605856), ('based body', 0.03160185029874369), ('outbreak covid19 corona', 0.03160185029874369), ('painting', 0.03160185029874369)]",negative
