,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,75,-1_health_support_amp_better,"[('health', 0.02783025066238174), ('support', 0.017396563968958795), ('amp', 0.014886210414214115), ('better', 0.011649372336447415), ('health services', 0.010149493597305295), ('details', 0.009847260158174703), ('services', 0.009713387874973538), ('reproductive health', 0.008753120140599735), ('reproductive', 0.008753120140599735), ('environmental', 0.008178741239816342)]",neutral
1,0,50,0_health_nigeria_covid19_support,"[('health', 0.027405047640267844), ('nigeria', 0.026910186047928726), ('covid19', 0.023511519799459847), ('support', 0.020798335022569614), ('state', 0.020309197675402527), ('services', 0.018130140834552486), ('need', 0.015392975773618194), ('care', 0.014839404131009726), ('government', 0.01198898467102122), ('im sure', 0.011772819976954176)]",neutral
2,1,47,1_mental_mental health_health_support,"[('mental', 0.04901085814220262), ('mental health', 0.04680132499016478), ('health', 0.035546009259484375), ('support', 0.03005556496433207), ('need', 0.020533207971754654), ('im', 0.0200202529852641), ('people', 0.01895739473599584), ('good', 0.015524211217658802), ('make', 0.011084536412358919), ('spaces', 0.009134534403994646)]",neutral
3,2,40,2_support_supporting_obi_protest,"[('support', 0.026307417811285972), ('supporting', 0.024940037375224974), ('obi', 0.01944263660815253), ('protest', 0.01944263660815253), ('like', 0.01655503842109776), ('cant', 0.016100394668065836), ('health', 0.01609768042284026), ('party', 0.015685421173663203), ('people', 0.01493394298435738), ('need', 0.01341951734110304)]",neutral
4,3,32,3_covid19_cases_support_health,"[('covid19', 0.04300078665262762), ('cases', 0.028695403073628584), ('support', 0.026151522002033908), ('health', 0.023532774648640117), ('safety', 0.02206191637744642), ('mental health support', 0.020155719341361775), ('suspected', 0.020118693728807483), ('time', 0.01913026871575239), ('health support', 0.018909958231006545), ('confirmed', 0.017718716510989916)]",neutral
5,4,26,4_health_services_health services_access,"[('health', 0.04611664709370604), ('services', 0.04013486821842465), ('health services', 0.03960699560768705), ('access', 0.024172575757708224), ('quality', 0.02152017640700754), ('people', 0.019590763914963446), ('public health', 0.017581241814662273), ('quality health', 0.01651951080722419), ('hardship', 0.01651951080722419), ('public', 0.015810758250528394)]",neutral
6,5,16,5_nurses_waste_nurse_job,"[('nurses', 0.07420021762601454), ('waste', 0.04169588551044962), ('nurse', 0.040703374389319376), ('job', 0.03833881663914715), ('see', 0.03355297829055021), ('support', 0.031616019136787264), ('actions', 0.029465921547799114), ('strikes', 0.028561513181894194), ('amp', 0.027959881461418652), ('feel', 0.027797257006966416)]",neutral
7,6,16,6_healthcare_health_government_support,"[('healthcare', 0.053300671983301955), ('health', 0.04192422463064185), ('government', 0.0389910572253329), ('support', 0.03727167065392516), ('emergency', 0.035866960678345904), ('primary healthcare', 0.03086486101914373), ('primary', 0.028693568542676722), ('care', 0.028638577079138493), ('state', 0.02830730912552745), ('government providing health', 0.025937113078265347)]",neutral
8,7,15,7_safe_support_care_new building,"[('safe', 0.05529711347107879), ('support', 0.037032749688194866), ('care', 0.026557996693047238), ('new building', 0.026261786411484613), ('virus', 0.0253104710731095), ('building', 0.0253104710731095), ('dont care', 0.02453360747675527), ('even', 0.02453360747675527), ('new', 0.02387713101880449), ('dont', 0.02250068161259874)]",neutral
9,8,14,8_vaccination_pregnancy_population_lower,"[('vaccination', 0.05249676485662367), ('pregnancy', 0.038400429094051725), ('population', 0.037372900725085284), ('lower', 0.037372900725085284), ('given', 0.037372900725085284), ('health', 0.03709148792294022), ('staff', 0.03569902173202589), ('lower vaccination', 0.02740360321198394), ('lower vaccination rates', 0.02740360321198394), ('vaccination rates', 0.02740360321198394)]",neutral
10,9,13,9_amp_support_improve_want,"[('amp', 0.03759154631267658), ('support', 0.028338104109227377), ('improve', 0.024915267150056854), ('want', 0.021840980155856907), ('book', 0.02151305700137059), ('areas', 0.019200214547025862), ('would', 0.01662680461853838), ('health', 0.016227525966286346), ('idea', 0.015244889218919935), ('rural areas', 0.015244889218919935)]",neutral
