,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,293,-1_support_health_workers_amp,"[('support', 0.01323243697646589), ('health', 0.01239685386430657), ('workers', 0.008975286603281589), ('amp', 0.008002969271720702), ('safe', 0.00776536963483674), ('thank', 0.006811188718055768), ('stay', 0.006368873809731989), ('healthy', 0.006328767605448295), ('community', 0.00587421871177186), ('love', 0.00581694747681597)]",positive
1,0,538,0_health_support_mental_mental health,"[('health', 0.019984577155063694), ('support', 0.01607236672393085), ('mental', 0.011481994576696672), ('mental health', 0.010989538353048564), ('nurses', 0.010048493909142949), ('covid19', 0.00900390240386483), ('workers', 0.00784085214809218), ('healthcare', 0.007170732418005397), ('services', 0.006944268939213053), ('health services', 0.0064262134239425235)]",positive
2,1,187,1_quarantine_community quarantine_community_enhanced,"[('quarantine', 0.0408951291475687), ('community quarantine', 0.036142218778259336), ('community', 0.03609498763085433), ('enhanced', 0.03235291330373105), ('enhanced community', 0.031024900943092234), ('enhanced community quarantine', 0.03080134194617328), ('covid19', 0.01261015444402875), ('enhance community quarantine', 0.009634276092245733), ('enhance community', 0.009634276092245733), ('stay', 0.009294436036142968)]",positive
3,2,102,2_birthday_happy_always_happy birthday,"[('birthday', 0.044805279829231), ('happy', 0.037650689978610805), ('always', 0.035768715859683976), ('happy birthday', 0.03055628203584833), ('love', 0.028287358215599894), ('good health', 0.025727232922406845), ('good', 0.0256203806580227), ('wish', 0.02007730007175388), ('support', 0.017482842636728172), ('safe', 0.016124516832864318)]",positive
4,3,79,3_always_healthy_safe_love,"[('always', 0.029578306138392206), ('healthy', 0.02844980908089539), ('safe', 0.028211327969568507), ('love', 0.02614901596426814), ('support', 0.02407830292630976), ('stay', 0.023087605584612002), ('safe healthy', 0.017156266269343794), ('year', 0.01573240109528115), ('healthy safe', 0.015533069225221638), ('love support', 0.015441853867156713)]",positive
5,4,57,4_sa_po_na_thank,"[('sa', 0.03553710852588309), ('po', 0.024773486572084738), ('na', 0.02035848049204518), ('thank', 0.016740970672865105), ('mo', 0.01632681043438213), ('amp', 0.015102377496634227), ('im', 0.014911022585073885), ('always', 0.014744442212169083), ('lang', 0.0132249755969889), ('safe', 0.013131969757649927)]",positive
6,5,27,5_thank_frontliners_ppe_support,"[('thank', 0.04347433016372676), ('frontliners', 0.03660681041159415), ('ppe', 0.026852310152399805), ('support', 0.02486495202759545), ('support frontliners', 0.023032572636116817), ('covid19', 0.021835205953287487), ('us', 0.021571820452069172), ('ppe thank keep', 0.020814835304620742), ('ward', 0.020814835304620742), ('us buy', 0.020814835304620742)]",positive
7,6,24,6_solicited_peace_peace order_health protocols,"[('solicited', 0.04509411092307285), ('peace', 0.0386344276306655), ('peace order', 0.037422703391662246), ('health protocols', 0.034628045651890905), ('order', 0.03327338578592685), ('pnp', 0.03167371134418941), ('mps', 0.03167371134418941), ('protocols', 0.02965153572433567), ('brgy', 0.029471061602060467), ('solicited support', 0.02815441008372392)]",positive
8,7,23,7_health services_guided accordingly_please guided_advisory please guided,"[('health services', 0.0451997197062189), ('guided accordingly', 0.042850823695372554), ('please guided', 0.042850823695372554), ('advisory please guided', 0.042850823695372554), ('subject covid19', 0.042850823695372554), ('services interoffice', 0.042850823695372554), ('services interoffice memorandum', 0.042850823695372554), ('interoffice', 0.042850823695372554), ('subject covid19 advisory', 0.042850823695372554), ('please guided accordingly', 0.042850823695372554)]",positive
9,8,21,8_masks_face_medical_mask,"[('masks', 0.050732418036022534), ('face', 0.03580721770453162), ('medical', 0.034863863592563465), ('mask', 0.03275144062976471), ('n95', 0.031170264002389543), ('supplies', 0.028132119947354477), ('face mask', 0.027273981002090848), ('amp', 0.026803837923415706), ('medical supplies', 0.02547334271203922), ('john', 0.02447363321738864)]",positive
10,9,18,9_vaccination_pacific cross_cross_pacific,"[('vaccination', 0.04449997838430904), ('pacific cross', 0.04298215351908453), ('cross', 0.04215752457273397), ('pacific', 0.04142007068087832), ('vaccination campaign', 0.03842763463564131), ('covid19', 0.03236207366550398), ('number', 0.030108341912274926), ('philippines', 0.02942181951036986), ('rep', 0.029299897016650294), ('national vaccination', 0.028921665896946714)]",positive
11,10,17,10_hiv_living_living hiv_people living hiv,"[('hiv', 0.06924513671487059), ('living', 0.04672742655545449), ('living hiv', 0.046269740332158985), ('people living hiv', 0.04136685881457138), ('people living', 0.04136685881457138), ('people', 0.03158057833335746), ('health services people', 0.025748856149859837), ('services people', 0.025748856149859837), ('services people living', 0.025748856149859837), ('health', 0.02316704563093395)]",positive
12,11,16,11_development_safety everyone platform_development covid19_taken following preventive,"[('development', 0.030802579970262246), ('safety everyone platform', 0.025460353559945442), ('development covid19', 0.025460353559945442), ('taken following preventive', 0.025460353559945442), ('following preventive', 0.025460353559945442), ('taken following', 0.025460353559945442), ('platform stay safe', 0.025460353559945442), ('kontra', 0.025460353559945442), ('kontra covid', 0.025460353559945442), ('support measures protect', 0.025460353559945442)]",positive
13,12,16,12_amp_love amp_amp support_thank,"[('amp', 0.0643292110161977), ('love amp', 0.035043698476824536), ('amp support', 0.030656464396332784), ('thank', 0.028035964978867456), ('love amp support', 0.025975220001991282), ('stay', 0.025123019398313014), ('safe', 0.0249591757686292), ('july 12', 0.02312810743231685), ('july 12 2020', 0.02312810743231685), ('see july', 0.02312810743231685)]",positive
14,13,16,13_frontliners_red_nationwide_tie,"[('frontliners', 0.049374308320815), ('red', 0.04441957677450384), ('nationwide', 0.042887266645051124), ('tie', 0.03978883150284387), ('fight', 0.03621257314115233), ('support frontliners', 0.033136780250326105), ('liners', 0.03273813216138742), ('front liners', 0.03273813216138742), ('front', 0.02996327261412431), ('tie red', 0.029946139075857636)]",positive
