,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,175,-1_support_health_safe_medical,"[('support', 0.014720542704748032), ('health', 0.013749076609808654), ('safe', 0.009524333632719076), ('medical', 0.00938728749055692), ('covid19', 0.008811931815875682), ('world', 0.008433594924978634), ('safety', 0.0077463385970598), ('care', 0.007515156567921633), ('amp', 0.007412458580986139), ('love', 0.007289175823647535)]",positive
1,0,116,0_uae_healthcare_health_support,"[('uae', 0.015161695382846738), ('healthcare', 0.014393093149556623), ('health', 0.013390430497118463), ('support', 0.012473694012317219), ('medical', 0.011914997635961384), ('dubai', 0.009530475233460739), ('services', 0.007925258467942448), ('amp', 0.0076580061426552715), ('patients', 0.007425712593814887), ('thank', 0.0073260174492085295)]",positive
2,1,62,1_mental_mental health_awareness_health,"[('mental', 0.05871465192448158), ('mental health', 0.058444564837779475), ('awareness', 0.03165309107339202), ('health', 0.029198416591684456), ('day', 0.026057033424751106), ('important', 0.02233975197668748), ('support', 0.02090097257990794), ('25', 0.020822893421988647), ('mental health awareness', 0.02050778430607051), ('health awareness', 0.019521462583114355)]",positive
3,2,45,2_amp_health_management_healthcare,"[('amp', 0.025445620303743574), ('health', 0.022735443596304104), ('management', 0.019642218391185493), ('healthcare', 0.019007218150965677), ('grateful', 0.01876340635772143), ('workers', 0.018151176237856607), ('covid19', 0.01729378322591711), ('support', 0.015988014458697606), ('schools', 0.014837391948339218), ('time', 0.013977986750380558)]",positive
4,3,39,3_buy swap_dm_swap_delivery,"[('buy swap', 0.052444571193323644), ('dm', 0.052444571193323644), ('swap', 0.051790528863152496), ('delivery', 0.051790528863152496), ('buy', 0.05116827056447478), ('smart', 0.05077713897408607), ('amp turn', 0.0493778822370732), ('follow amp turn', 0.0493778822370732), ('follow amp', 0.0493778822370732), ('turn', 0.04841037340922183)]",positive
5,4,37,4_nurses_world_day_today,"[('nurses', 0.04321889524395067), ('world', 0.03837198925485392), ('day', 0.03450144240499451), ('today', 0.029683548380054096), ('world health day', 0.028226146250067766), ('health day', 0.027889413202077662), ('world health', 0.026447473800585108), ('theme', 0.02638475228508403), ('work nurses', 0.026057785713653553), ('midwives', 0.021060077390216616)]",positive
6,5,32,5_amp_amp support_safety_safety amp,"[('amp', 0.05207050012426205), ('amp support', 0.020601661462772775), ('safety', 0.02027899809893289), ('safety amp', 0.018071938250996823), ('issued', 0.01726862209393194), ('support', 0.016755060627759378), ('amp safety', 0.016094959311968103), ('health amp safety', 0.016094959311968103), ('needs', 0.014723799520974596), ('health amp', 0.014321851403970121)]",positive
7,6,30,6_better_covid19_awareness_coronavirus,"[('better', 0.02165406732490728), ('covid19', 0.021368628136291652), ('awareness', 0.018919658416631676), ('coronavirus', 0.018181026332430343), ('efforts', 0.01810610859757378), ('everyone', 0.018066427181823892), ('people', 0.017958089904203632), ('health authorities', 0.01724608786939492), ('global', 0.016616938947954657), ('support', 0.015923878660467888)]",positive
8,7,28,7_lebanon_donate_lebanonneeds_ppe,"[('lebanon', 0.04150468101467081), ('donate', 0.026961978089056662), ('lebanonneeds', 0.021853357594763142), ('ppe', 0.019184666500571462), ('campaign', 0.018235438248293916), ('covid19 ppe', 0.01693965570449657), ('lebanonneeds covid19', 0.01693965570449657), ('lebanonneeds covid19 ppe', 0.01693965570449657), ('covid19 ppe donate', 0.01693965570449657), ('donate support', 0.01693965570449657)]",positive
9,8,27,8_nurses_frontline_supportnursesandmidwives_midwives,"[('nurses', 0.048263747905698595), ('frontline', 0.037186803852163185), ('supportnursesandmidwives', 0.035860639261496983), ('midwives', 0.03010352238719198), ('risk', 0.02949840862134658), ('hiv', 0.028746041250702445), ('covid19', 0.028106030889851842), ('amp midwives', 0.026636660484225232), ('nurses amp midwives', 0.026636660484225232), ('nurses amp', 0.026636660484225232)]",positive
10,9,24,9_public_qatar_covid19_enhance,"[('public', 0.025137168710073723), ('qatar', 0.023520068025326333), ('covid19', 0.02024586970879158), ('enhance', 0.019860790803733385), ('mr', 0.018887869927039242), ('initiative inform public', 0.018726135402145926), ('government qatars initiative', 0.018726135402145926), ('government qatars', 0.018726135402145926), ('interview', 0.018726135402145926), ('inform public', 0.018726135402145926)]",positive
11,10,24,10_preparedness_bank_sector_indiafightscorona,"[('preparedness', 0.027803729397833946), ('bank', 0.0262262630373135), ('sector', 0.025179914685404092), ('indiafightscorona', 0.02471442613140795), ('kerala', 0.023503218440920733), ('health sector', 0.023244601317220528), ('syrian', 0.020695305443273904), ('plane', 0.020695305443273904), ('aid plane', 0.020695305443273904), ('health', 0.02010172931923672)]",positive
12,11,24,11_wellcarepharmacy doha_wellcarepharmacy doha qatar_wellcarepharmacy_doha qatar,"[('wellcarepharmacy doha', 0.04563341498416669), ('wellcarepharmacy doha qatar', 0.04563341498416669), ('wellcarepharmacy', 0.04452533747454611), ('doha qatar', 0.04222328694361138), ('doha', 0.04072091738228471), ('order', 0.040380602570319446), ('pharmacy', 0.0386663600552645), ('qatar', 0.035556316359995115), ('vitamins', 0.03380093556094918), ('energy', 0.025045502329432187)]",positive
13,12,23,12_donation_million_covid19_global,"[('donation', 0.03492938746324267), ('million', 0.033633386640718965), ('covid19', 0.03339480014331859), ('global', 0.031390954713048605), ('join', 0.029710460661197948), ('help', 0.02576035322085743), ('charity organisation', 0.02487887256514003), ('royal charity', 0.02487887256514003), ('royal charity organisation', 0.02487887256514003), ('organisation', 0.02487887256514003)]",positive
14,13,20,13_doctors_doctors nurses_police_working,"[('doctors', 0.03738978252071536), ('doctors nurses', 0.03456648822189161), ('police', 0.034395173302040144), ('working', 0.03434539750957082), ('paramedics', 0.02649740996667164), ('nurses', 0.025483258894208858), ('deserve respect', 0.02339665387891644), ('lives putting', 0.02339665387891644), ('really deserve', 0.02339665387891644), ('respect support', 0.02339665387891644)]",positive
15,14,18,14_lockdown_day_lockdown2020_stayathome staysafe lockdown,"[('lockdown', 0.03708448152151592), ('day', 0.02984166681420724), ('lockdown2020', 0.029739526331079978), ('stayathome staysafe lockdown', 0.029739526331079978), ('health mentalhealth strongertogether', 0.029739526331079978), ('withyou love india', 0.029739526331079978), ('immunesupport mentorme', 0.029739526331079978), ('day health affirmation', 0.029739526331079978), ('staysafe lockdown', 0.029739526331079978), ('lockdown lockdown2020', 0.029739526331079978)]",positive
